Admin2,,,,,,,,
Province/State,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
03-23-2020,32,659,5,311,128,25,258,138
03-24-2020,39,807,6,389,164,25,314,173
03-25-2020,39,1018,6,435,164,33,369,173
03-26-2020,52,1208,12,484,229,44,368,228
03-27-2020,61,1394,12,546,251,44,400,228
03-28-2020,69,1605,15,616,281,57,491,248
03-29-2020,75,1779,15,646,293,61,574,281
03-30-2020,75,2020,15,679,299,61,626,312
03-31-2020,76,2020,17,733,331,63,622,321
04-01-2020,75,2169,19,771,361,62,621,342
04-02-2020,75,2284,21,823,361,65,609,334
04-03-2020,72,2373,22,861,350,67,602,306
04-04-2020,73,2477,25,888,361,73,580,342
04-05-2020,66,2560,26,895,361,75,554,358
04-06-2020,54,2615,26,744,358,58,528,294
04-07-2020,54,2661,26,757,357,61,560,294
04-08-2020,57,2709,26,766,360,69,580,313
04-09-2020,51,2748,26,604,297,60,480,319
04-10-2020,42,2796,26,589,246,70,302,297
04-11-2020,42,2830,26,597,247,81,325,292
04-12-2020,42,2829,26,606,246,80,328,292
04-13-2020,41,2834,26,610,246,91,341,295
04-14-2020,29,2841,22,551,189,106,159,270
04-15-2020,28,2857,22,552,189,106,167,270
04-16-2020,18,2868,22,554,150,96,148,188
04-17-2020,19,1521,19,560,100,106,129,194
04-18-2020,12,1521,19,271,100,106,133,194
04-19-2020,12,1521,19,271,100,106,133,194
04-20-2020,12,1521,19,271,100,106,133,194
04-21-2020,12,1521,19,271,100,106,133,194
04-22-2020,12,1521,19,271,100,106,133,194
04-23-2020,13,1566,18,282,103,132,149,199
04-24-2020,14,1570,19,282,103,131,155,200
04-25-2020,5,768,28,217,33,80,1197,63
04-26-2020,4,760,5,98,23,78,67,55
04-27-2020,3,743,5,101,20,71,52,55
04-28-2020,2,711,3,94,14,70,49,47
04-29-2020,2,692,3,84,14,63,52,36
04-30-2020,0,691,3,79,14,55,53,36
05-01-2020,0,696,3,63,12,51,53,32
05-02-2020,0,687,5,53,7,50,66,23
05-03-2020,0,663,5,52,7,44,88,19
05-04-2020,1,643,5,57,7,43,94,14
05-05-2020,1,580,3,52,5,47,101,14
05-06-2020,1,537,2,50,2,46,114,14
05-07-2020,1,517,2,45,2,40,122,9
05-08-2020,1,503,2,20,2,39,123,9
05-09-2020,0,505,2,20,2,32,133,7
05-10-2020,0,492,2,18,1,32,132,7
05-11-2020,0,466,2,18,1,32,133,8
05-12-2020,0,443,2,18,1,30,111,7
05-13-2020,0,423,2,15,1,30,118,5
05-14-2020,0,421,2,17,1,26,115,5
05-15-2020,0,418,2,13,0,24,116,5
05-16-2020,0,419,2,12,0,23,123,3
05-17-2020,0,418,2,13,0,21,107,2
05-18-2020,0,418,2,12,0,20,101,3
05-19-2020,0,403,2,12,0,20,101,3
05-20-2020,0,387,0,12,0,19,90,3
05-21-2020,0,388,0,12,0,17,96,3
05-22-2020,0,385,0,13,0,16,96,3
05-23-2020,0,386,0,14,0,16,86,2
05-24-2020,0,386,0,12,0,15,66,2
05-25-2020,0,383,0,12,0,13,58,6
05-26-2020,0,378,0,7,1,12,66,12
05-27-2020,0,372,0,6,1,12,65,12
05-28-2020,0,378,0,6,1,12,71,18
05-29-2020,0,361,0,6,1,10,73,25
05-30-2020,0,362,0,5,1,9,73,25
05-31-2020,0,365,0,5,1,8,74,28
06-01-2020,0,369,0,5,1,8,81,29
06-02-2020,0,365,0,6,1,7,82,30
06-03-2020,0,358,0,8,1,7,90,26
06-04-2020,0,348,0,5,0,7,76,26
06-05-2020,0,343,0,6,0,7,76,30
06-06-2020,1,338,0,5,0,6,73,31
06-07-2020,1,340,0,6,0,6,73,31
06-08-2020,1,337,0,5,0,6,66,30
06-09-2020,1,334,0,5,0,6,56,30
06-10-2020,1,331,0,6,0,6,59,21
06-11-2020,1,324,0,7,0,3,52,18
06-12-2020,1,308,0,8,0,2,52,18
06-13-2020,1,314,0,8,0,2,44,11
06-14-2020,1,317,0,8,0,2,52,2
06-15-2020,1,318,0,8,0,2,58,2
06-16-2020,0,317,0,8,0,2,79,1
06-17-2020,0,319,0,8,0,0,83,2
06-18-2020,0,325,0,7,0,0,95,2
06-19-2020,0,325,0,7,0,0,93,3
06-20-2020,0,330,0,7,0,0,123,3
06-21-2020,0,332,0,7,0,0,127,3
06-22-2020,0,331,0,7,0,0,133,4
06-23-2020,0,340,0,7,0,0,143,4
06-24-2020,0,337,0,6,0,0,176,4
06-25-2020,0,337,0,7,0,0,185,4
06-26-2020,0,341,0,7,0,0,185,4
