Admin2,,,,,,,,,,,,
Province/State,Antwerp,Brussels,East Flanders,Flemish Brabant,Hainaut,Liege,Limburg,Luxembourg,Namur,Unknown,Walloon Brabant,West Flanders
Country/Region,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
11-12-2020,60560,71270,46386,40227,83081,85034,21384,14394,29488,0,21252,38722
11-13-2020,61031,71711,46991,40486,84021,85748,21585,14545,29703,-5432,21359,39158
11-14-2020,61703,72211,47808,40934,85035,86749,21843,14787,30043,-5527,21646,39745
11-15-2020,62216,72592,48444,41165,86262,87228,22014,14877,30287,-5564,21904,40093
11-16-2020,62503,72810,48637,41274,86654,87365,22109,14962,30425,-5722,21983,40255
11-17-2020,62821,72985,48987,41477,87039,87808,22305,15070,30517,-5888,22076,40569
11-18-2020,63503,73537,49705,41806,87734,88570,22570,15237,30779,-5978,22262,41037
11-19-2020,64148,73971,50329,42024,88551,89004,22773,15403,30990,-6078,22380,41573
11-20-2020,64605,74344,50826,42231,89091,89428,22959,15484,31164,-6197,22479,41914
11-21-2020,65043,74700,51272,42435,89570,89792,23128,15608,31346,-6325,22572,42241
11-22-2020,65316,74909,51500,42636,89810,89972,23242,15639,31467,-6381,22637,42414
11-23-2020,65509,75004,51716,42715,89991,90044,23271,15679,31538,-6493,22663,42510
11-24-2020,65744,75119,51973,42832,90170,90305,23458,15757,31618,-6651,22727,42813
11-25-2020,66179,75474,52455,43117,90533,90634,23627,15882,31782,-6746,22831,43122
11-26-2020,66488,75755,52849,43337,90813,90962,23767,15953,31933,-6844,22914,43386
11-27-2020,67070,75996,53256,43553,91397,91266,23940,16062,32118,-6924,22983,43773
11-28-2020,67402,76206,53563,43701,92967,91503,24093,16158,32240,-6973,23076,44051
11-29-2020,67704,76388,53903,43902,93334,91617,24300,16198,32325,-7020,23128,44273
11-30-2020,67839,76457,54011,43964,93425,91624,24352,16226,32352,-7109,23167,44392
12-01-2020,68099,76573,54243,44133,93621,91816,24501,16344,32434,-7225,23219,44668
12-02-2020,68611,76824,54733,44360,94026,92052,24686,16442,32543,-7301,23296,45069
12-03-2020,68962,77067,55139,44591,94379,92268,24851,16511,32642,-7387,23371,45430
12-04-2020,69368,77256,55550,44818,94733,92515,24971,16655,32746,-7453,23440,45698
12-05-2020,69720,77458,55899,45070,95030,92690,25143,16760,32877,-7530,23519,46052
12-06-2020,70046,77621,56171,45221,95260,92817,25244,16808,32948,-7569,23573,46296
