Admin2,,,,,,,,,,,,,,,,
Province/State,Alberta,British Columbia,Diamond Princess,Grand Princess,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated Travellers,Saskatchewan,Yukon
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
11-24-2020,13349,8385,,0,8677,93,24,0,87,142,11629,1,10819,0,2927,14
11-25-2020,13719,8901,,0,8758,94,25,0,102,153,11612,1,10964,0,3012,15
11-26-2020,14052,9591,,0,8845,105,28,0,114,150,11660,2,11456,0,3146,12
11-27-2020,14217,9185,,0,8865,114,31,0,114,151,12059,2,11452,0,3263,15
11-28-2020,14931,9185,,0,9024,111,32,0,114,131,12227,4,11716,0,3322,15
11-29-2020,15692,9185,,0,9172,119,36,0,114,112,12477,4,11991,0,3605,15
11-30-2020,16454,9686,,0,9260,120,36,0,138,108,12976,4,12138,0,3879,17
12-01-2020,16628,9663,,0,9066,116,33,0,142,93,13422,4,12264,0,3819,17
12-02-2020,17144,9835,,0,8970,119,30,0,127,80,13597,4,12740,0,3970,20
12-03-2020,17743,10013,,0,9130,111,29,0,119,75,13648,4,13198,0,4017,11
12-04-2020,18243,9982,,0,9172,111,27,0,117,51,13888,5,13145,0,4116,12
12-05-2020,18806,9982,,0,9115,98,26,0,95,56,14026,5,13849,0,4191,12
12-06-2020,19484,9982,,0,9216,82,30,0,88,51,13954,11,14326,0,4550,12
12-07-2020,20067,10338,,0,5462,81,28,0,90,51,14238,14,14602,0,4763,9
12-08-2020,20388,10278,,0,5379,82,28,0,78,44,14410,14,14854,0,4663,10
12-09-2020,20199,10330,,0,5348,74,20,0,71,48,14485,14,15427,0,4707,10
12-10-2020,20163,10525,,0,5380,75,20,0,64,42,14687,13,16018,0,4682,10
12-11-2020,20161,10601,,0,5517,78,20,5,65,56,14433,12,15942,0,4547,3
12-12-2020,20072,10601,,0,5630,72,23,5,61,50,14461,12,16176,0,4097,3
12-13-2020,20562,10601,,0,5728,65,22,5,59,48,14490,12,16557,0,4188,3
12-14-2020,21123,11089,,0,5791,60,22,6,57,49,14975,17,16657,0,4380,4
12-15-2020,20649,10929,,0,5762,48,20,7,57,45,15396,16,16811,0,4204,1
12-16-2020,20169,11035,,0,5797,52,23,7,55,41,15744,16,17392,0,4213,1
12-17-2020,19865,11100,,0,5829,56,24,8,50,37,16150,17,17861,0,3978,1
12-18-2020,19607,11087,,0,5602,53,27,9,48,34,16287,17,17732,0,3736,1
12-19-2020,19260,11087,,0,5668,50,34,9,46,34,16823,17,17879,0,3762,1
12-20-2020,19201,11087,,0,5749,46,34,9,41,33,17026,17,18205,0,3880,1
12-21-2020,19165,10847,,0,5736,49,31,3,38,18,17255,17,18458,0,3990,1
12-22-2020,18311,10639,,0,4382,47,32,3,40,9,17460,7,18809,0,3945,0
12-23-2020,17821,10279,,0,4427,47,26,1,35,8,17843,7,19381,0,3850,0
12-24-2020,17821,10017,,0,4489,45,24,1,36,9,17843,5,21684,0,3346,0
12-25-2020,17821,10017,,0,4489,44,24,1,36,9,17691,5,21684,0,3346,0
12-26-2020,17821,10017,,0,4489,39,24,1,36,9,18033,5,21684,0,3346,0
12-27-2020,17821,10017,,0,4488,35,24,1,36,9,18207,5,20479,0,3398,0
