Admin2,,,
Province/State,Faroe Islands,Greenland,
Country/Region,Denmark,Denmark,Denmark
03-23-2020,95,4,1425
03-24-2020,89,3,1558
03-25-2020,94,4,1689
03-26-2020,93,4,1835
03-27-2020,90,8,1993
03-28-2020,101,8,2135
03-29-2020,89,8,2322
03-30-2020,98,8,2499
03-31-2020,95,8,2769
04-01-2020,98,8,2109
04-02-2020,96,8,2174
04-03-2020,88,7,2425
04-04-2020,88,8,2633
04-05-2020,82,8,2863
04-06-2020,76,7,3116
04-07-2020,64,1,3377
04-08-2020,53,0,3563
04-09-2020,48,0,3662
04-10-2020,39,0,3799
04-11-2020,39,0,3781
04-12-2020,27,0,3778
04-13-2020,27,0,3798
04-14-2020,21,0,3697
04-15-2020,18,0,3624
04-16-2020,15,0,3535
04-17-2020,13,0,3348
04-18-2020,11,0,3049
04-19-2020,9,0,2888
04-20-2020,9,0,2839
04-21-2020,7,0,2625
04-22-2020,7,0,2441
04-23-2020,9,0,2295
04-24-2020,9,0,2281
04-25-2020,9,0,2358
04-26-2020,9,0,2348
04-27-2020,9,0,2312
04-28-2020,6,0,2296
04-29-2020,6,0,2199
04-30-2020,3,0,2160
05-01-2020,3,0,2122
05-02-2020,3,0,2043
05-03-2020,2,0,2052
05-04-2020,2,0,2089
05-05-2020,2,0,2022
05-06-2020,2,0,1939
05-07-2020,2,0,1858
05-08-2020,0,0,1769
05-09-2020,0,0,1700
05-10-2020,0,0,1683
05-11-2020,0,0,1652
05-12-2020,0,0,1484
05-13-2020,0,0,1471
05-14-2020,0,0,1371
05-15-2020,0,0,1295
05-16-2020,0,0,1208
05-17-2020,0,0,1153
05-18-2020,0,0,1119
05-19-2020,0,0,1077
05-20-2020,0,0,1027
05-21-2020,0,0,978
05-22-2020,0,0,905
05-23-2020,0,0,892
05-24-2020,0,1,898
05-25-2020,0,1,860
05-26-2020,0,1,821
05-27-2020,0,2,809
05-28-2020,0,2,764
05-29-2020,0,2,785
05-30-2020,0,2,735
05-31-2020,0,2,733
06-01-2020,0,2,711
06-02-2020,0,2,665
06-03-2020,0,2,639
06-04-2020,0,0,609
06-05-2020,0,0,636
06-06-2020,0,0,616
06-07-2020,0,0,604
06-08-2020,0,0,577
06-09-2020,0,0,559
06-10-2020,0,0,519
06-11-2020,0,0,487
06-12-2020,0,0,512
06-13-2020,0,0,507
06-14-2020,0,0,528
06-15-2020,0,0,529
06-16-2020,0,0,527
06-17-2020,0,0,511
06-18-2020,0,0,502
06-19-2020,0,0,509
06-20-2020,0,0,509
06-21-2020,0,0,509
06-22-2020,0,0,578
06-23-2020,0,0,565
06-24-2020,0,0,590
06-25-2020,0,0,573
06-26-2020,0,0,563
06-27-2020,0,0,563
06-28-2020,0,0,563
06-29-2020,0,0,534
06-30-2020,0,0,514
07-01-2020,0,0,495
07-02-2020,0,0,440
07-03-2020,0,0,409
07-04-2020,0,0,409
07-05-2020,1,0,409
07-06-2020,1,0,336
07-07-2020,0,0,296
07-08-2020,0,0,290
07-09-2020,0,0,262
07-10-2020,0,0,260
07-11-2020,0,0,260
07-12-2020,0,0,260
07-13-2020,0,0,297
07-14-2020,0,0,291
07-15-2020,0,0,300
07-16-2020,0,0,319
07-17-2020,0,0,353
07-18-2020,0,0,353
07-19-2020,3,0,353
07-20-2020,3,0,400
07-21-2020,3,0,430
07-22-2020,3,0,465
07-23-2020,3,0,479
07-24-2020,3,0,485
07-25-2020,4,0,485
07-26-2020,26,0,485
07-27-2020,26,1,517
07-28-2020,32,1,513
07-29-2020,32,1,535
07-30-2020,37,1,584
07-31-2020,36,1,596
08-01-2020,36,1,596
08-02-2020,33,1,596
08-03-2020,33,1,698
08-04-2020,35,1,742
08-05-2020,49,1,816
