Admin2,,,,,,,,,,,,
Province/State,French Guiana,French Polynesia,Guadeloupe,Martinique,Mayotte,New Caledonia,Reunion,Saint Barthelemy,Saint Pierre and Miquelon,St Martin,Wallis and Futuna,
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France
04-05-2020,39,41,97,95,131,17,304,5,1,23,,68578
04-06-2020,38,42,97,97,131,17,309,5,1,23,,71849
04-07-2020,38,47,101,98,147,17,318,5,1,23,,79404
04-08-2020,43,51,90,98,147,17,318,5,1,23,,80827
04-09-2020,40,51,90,98,160,17,322,5,1,23,,82333
04-10-2020,40,51,68,99,139,17,342,5,1,19,,86740
04-11-2020,40,51,68,99,134,17,348,5,1,19,,89431
04-12-2020,35,53,68,99,134,17,349,2,1,19,,91012
04-13-2020,35,55,68,101,145,17,351,2,1,19,,94094
04-14-2020,35,55,70,101,145,17,351,2,1,19,,85719
04-15-2020,35,55,70,77,145,17,154,2,1,20,,85348
04-16-2020,35,55,70,77,161,17,157,2,1,20,,95228
04-17-2020,35,55,70,77,124,4,165,2,1,20,,94868
04-18-2020,32,53,67,77,133,4,170,1,1,16,,92663
04-19-2020,32,53,67,78,150,3,171,1,1,16,,96598
04-20-2020,27,37,67,78,150,3,171,1,1,16,,97601
04-21-2020,20,37,63,76,190,1,172,0,1,16,,98073
04-22-2020,13,22,63,77,197,1,172,0,1,17,,93863
04-23-2020,22,21,60,77,197,1,174,0,1,17,,94239
04-24-2020,23,16,55,79,206,1,112,0,1,11,,92898
04-25-2020,23,16,55,84,232,1,117,0,1,11,,93084
04-26-2020,23,16,55,84,253,1,117,0,1,11,,93088
04-27-2020,23,14,55,84,253,1,118,0,1,11,,95783
04-28-2020,31,9,55,78,221,1,118,0,1,11,,97059
04-29-2020,31,8,55,78,221,1,120,0,1,11,,92778
04-30-2020,31,8,44,81,300,1,120,0,1,11,,91912
05-01-2020,29,7,45,82,300,1,122,0,1,8,,90958
05-02-2020,29,7,45,82,300,1,123,0,1,8,,92496
05-03-2020,29,7,45,82,409,1,123,0,1,8,,92435
05-04-2020,32,5,42,84,328,1,124,0,1,6,,92280
05-05-2020,32,6,42,84,378,1,124,0,1,6,,91634
05-06-2020,26,6,35,85,378,0,125,0,1,6,,93671
05-07-2020,25,4,36,86,492,0,73,0,1,5,,93015
05-08-2020,21,4,37,89,492,0,72,0,1,5,,93356
05-09-2020,21,4,37,89,485,0,77,0,1,6,,93601
05-10-2020,21,4,37,89,520,0,82,0,1,6,,93624
05-11-2020,21,4,37,82,520,0,82,0,0,6,,93314
05-12-2020,28,2,33,82,591,0,83,0,0,6,,92632
05-13-2020,28,2,33,84,502,0,85,0,0,6,,91581
05-14-2020,39,1,33,84,567,0,86,0,0,6,,91031
05-15-2020,64,1,33,87,567,0,87,0,0,6,,90691
05-16-2020,71,1,33,87,667,0,89,0,0,6,,90582
05-17-2020,71,1,33,87,697,0,89,0,0,6,,89271
05-18-2020,78,0,33,87,725,0,92,0,0,6,,88945
05-19-2020,81,0,33,87,725,0,92,0,0,6,,89206
05-20-2020,100,0,33,87,562,0,35,0,0,4,,89272
05-21-2020,111,0,33,87,562,0,37,0,0,4,,88923
05-22-2020,119,0,28,92,608,0,37,0,0,4,,88923
05-23-2020,135,0,28,92,608,0,40,0,0,4,,88923
05-24-2020,182,0,32,92,673,0,40,0,0,4,,88581
05-25-2020,206,0,32,92,695,0,44,0,0,4,,88217
05-26-2020,237,0,32,92,720,0,47,0,0,4,,87185
05-27-2020,255,0,32,92,311,0,48,0,0,4,,86995
05-28-2020,274,0,32,92,334,1,53,0,0,4,,89600
05-29-2020,277,0,10,88,293,1,58,0,0,4,,89554
05-30-2020,291,0,10,88,293,1,59,0,0,5,,90845
05-31-2020,298,0,10,88,293,1,59,0,0,5,,90977
06-01-2020,298,0,10,88,437,2,61,0,0,5,,91053
06-02-2020,309,0,10,88,489,2,65,0,0,5,,89609
06-03-2020,278,0,10,88,446,2,66,0,0,5,,92838
06-04-2020,259,0,10,88,510,2,67,0,0,5,,89466
06-05-2020,267,0,6,90,531,2,68,0,0,5,,89475
06-06-2020,290,0,6,90,531,2,68,0,0,5,,89698
06-07-2020,305,0,6,90,531,1,68,0,0,5,,89977
06-08-2020,327,0,6,90,472,0,33,0,0,5,,89986
06-09-2020,344,0,6,90,493,1,33,0,0,5,,89626
06-10-2020,406,0,6,90,544,1,38,0,0,5,,89704
06-11-2020,453,0,6,90,558,1,39,0,0,5,,89723
06-12-2020,552,0,0,90,450,1,27,0,0,3,,90025
06-13-2020,639,0,0,90,464,1,28,0,0,3,,90189
06-14-2020,718,0,0,90,479,1,34,0,0,3,,90436
06-15-2020,771,0,0,90,223,0,35,0,0,3,,90576
06-16-2020,797,0,0,90,246,0,34,0,0,3,,90168
06-17-2020,886,0,0,90,250,0,36,0,0,3,,90171
06-18-2020,969,0,0,109,288,0,41,0,0,3,,90245
06-19-2020,1124,0,3,124,299,0,43,0,0,3,,90626
06-20-2020,1268,0,3,124,307,0,44,0,0,3,,90903
06-21-2020,1505,0,3,124,307,0,45,0,0,3,,90882
06-22-2020,1478,0,3,124,215,0,46,0,0,3,,91110
06-23-2020,1569,0,3,124,215,0,46,0,0,3,,91126
06-24-2020,1762,0,3,124,217,0,47,0,0,3,,90744
06-25-2020,1927,0,3,124,258,0,54,0,0,3,,90286
06-26-2020,2093,0,11,130,258,0,55,0,0,3,,91369
06-27-2020,2200,0,11,130,258,0,46,0,0,3,,91271
06-28-2020,2200,2,11,130,258,0,47,0,0,3,,91270
06-29-2020,2407,2,11,130,203,0,48,0,0,3,,92778
06-30-2020,2481,2,11,130,243,0,52,0,0,3,,92896
07-01-2020,2650,2,11,130,267,0,54,0,0,3,,93326
07-02-2020,2748,2,11,130,274,0,57,0,0,3,,93610
07-03-2020,2765,2,13,137,251,0,59,0,0,3,,93911
07-04-2020,3031,2,13,137,251,0,62,0,0,3,,93642
07-05-2020,3031,2,13,137,252,0,73,0,0,3,,93630
07-06-2020,3050,2,13,137,270,0,76,0,0,3,,94679
