Admin2,,,,,,,,,,,,,,,,
Province/State,Aruba,Curacao,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-Brabant,Noord-Holland,Overijssel,Sint Maarten,Unknown,Utrecht,Zeeland,Zuid-Holland
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
07-17-2020,8,3,495,889,573,5834,350,4134,8212,6642,2826,1,470,3708,702,10481
07-18-2020,8,3,498,889,574,5840,350,4138,8228,6665,2828,1,472,3718,716,10529
07-19-2020,10,3,498,889,574,5843,351,4139,8247,6709,2832,1,471,3733,722,10581
07-20-2020,12,3,498,889,574,5843,351,4139,8247,6709,2832,1,656,3733,722,10581
07-21-2020,14,3,499,891,574,5860,352,4145,8284,6778,2845,1,476,3767,731,10735
07-22-2020,14,3,501,891,576,5866,352,4146,8310,6813,2849,1,478,3780,734,10806
07-23-2020,13,3,504,892,576,5869,352,4146,8319,6844,2849,3,480,3796,740,10898
07-24-2020,14,4,505,894,578,5874,353,4150,8343,6885,2850,6,478,3800,746,11000
07-25-2020,14,4,507,897,578,5881,355,4153,8357,6916,2852,15,479,3819,753,11045
07-26-2020,14,4,507,897,578,5881,355,4153,8357,6916,2852,36,479,3819,753,11045
07-27-2020,14,4,508,899,579,5899,360,4159,8399,7023,2857,36,484,3844,766,11233
07-28-2020,14,4,508,901,579,5904,362,4160,8434,7072,2857,36,484,3853,774,11341
07-29-2020,14,4,508,904,580,5909,363,4163,8473,7115,2863,37,489,3877,782,11448
07-30-2020,12,4,509,905,581,5921,365,4167,8516,7211,2863,47,494,3900,790,11594
07-31-2020,13,4,510,914,583,5936,368,4169,8552,7283,2866,49,493,3936,794,11750
08-01-2020,13,4,511,922,584,5958,371,4176,8602,7378,2873,49,502,3958,798,11951
08-02-2020,8,4,512,926,587,5972,373,4179,8662,7436,2876,66,505,3982,803,12136
08-03-2020,9,4,513,934,588,5973,376,4184,8715,7508,2883,70,506,3999,811,12331
08-04-2020,17,4,513,940,588,5981,383,4188,8766,7686,2886,70,503,4024,821,12526
08-05-2020,56,4,518,943,588,5988,388,4195,8818,7775,2891,76,509,4048,827,12740
08-06-2020,146,2,521,948,588,6007,394,4197,8878,7976,2902,74,511,4099,832,12976
08-07-2020,279,0,522,953,589,6030,401,4206,8947,8091,2914,74,512,4150,836,13196
08-08-2020,392,0,525,957,592,6049,408,4213,9017,8224,2924,74,513,4186,843,13379
08-09-2020,446,0,530,962,594,6080,415,4230,9102,8352,2929,86,525,4220,849,13619
08-10-2020,513,1,530,964,608,6100,424,4242,9168,8562,2937,86,528,4253,849,13872
08-11-2020,600,1,532,1009,621,6134,429,4263,9275,8747,2944,95,531,4296,875,14158
08-12-2020,681,1,534,1019,632,6166,439,4276,9331,8901,2958,129,538,4340,881,14451
08-13-2020,776,1,537,1028,641,6191,453,4293,9381,9018,2973,144,550,4391,885,14698
08-14-2020,855,1,538,1047,652,6216,465,4311,9452,9211,2990,150,552,4427,888,14924
08-15-2020,851,1,540,1053,657,6237,473,4347,9520,9405,2997,176,558,4456,893,15190
08-16-2020,898,2,541,1063,663,6266,483,4368,9591,9535,3008,193,567,4491,898,15356
08-17-2020,905,4,544,1076,674,6285,492,4374,9652,9697,3017,202,569,4522,899,15511
08-18-2020,924,4,545,1083,686,6306,503,4385,9718,9852,3032,209,570,4545,902,15671
08-19-2020,1014,4,546,1098,694,6338,508,4398,9784,10007,3040,198,576,4590,911,15854
08-20-2020,1104,4,549,1111,698,6364,516,4421,9834,10173,3057,190,575,4623,918,16024
08-21-2020,1043,4,551,1124,702,6400,523,4444,9916,10313,3081,190,576,4658,924,16182
08-22-2020,1081,5,554,1140,708,6428,532,4466,9976,10401,3096,204,580,4706,939,16371
08-23-2020,1106,5,558,1151,715,6469,538,4494,10044,10506,3109,232,586,4738,948,16498
08-24-2020,1160,12,558,1157,720,6521,541,4513,10129,10672,3121,244,585,4773,953,16683
08-25-2020,1097,14,561,1169,724,6557,544,4538,10188,10814,3126,244,585,4797,954,16779
08-26-2020,1165,18,562,1177,732,6591,549,4562,10287,10946,3140,246,585,4834,953,16981
08-27-2020,1232,19,564,1185,735,6627,555,4584,10359,11078,3146,248,591,4883,960,17139
08-28-2020,1154,26,565,1197,738,6671,565,4602,10447,11210,3153,248,590,4916,964,17293
08-29-2020,1200,26,566,1213,745,6702,569,4627,10533,11336,3166,248,592,4953,976,17430
08-30-2020,1222,31,568,1221,750,6736,571,4644,10598,11437,3178,264,595,5003,979,17636
08-31-2020,1228,32,569,1224,755,6763,579,4668,10668,11597,3188,259,597,5052,982,17801
09-01-2020,1237,35,569,1236,756,6792,581,4687,10718,11726,3191,222,598,5088,982,17975
09-02-2020,1265,35,569,1250,758,6833,585,4710,10786,11923,3209,174,603,5158,984,18260
09-03-2020,1248,38,571,1267,763,6864,593,4727,10850,12074,3225,183,609,5190,987,18509
09-04-2020,1226,38,574,1275,769,6903,600,4752,10924,12280,3234,190,617,5263,993,18787
09-05-2020,1208,48,576,1292,771,6948,607,4774,11004,12460,3251,190,627,5328,1003,18980
09-06-2020,1229,46,579,1316,777,7020,613,4799,11100,12667,3275,190,631,5399,1015,19353
09-07-2020,1223,56,585,1334,785,7088,625,4817,11186,12882,3290,176,637,5484,1018,19610
