Admin2,,,,,,,
Province/State,Azad Jammu and Kashmir,Balochistan,Gilgit-Baltistan,Islamabad,Khyber Pakhtunkhwa,Punjab,Sindh
Country/Region,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
06-10-2020,218,4507,344,5063,10286,34010,20711
06-11-2020,287,4925,342,5470,11248,36946,24005
06-12-2020,287,4925,342,5470,11248,36946,24005
06-13-2020,321,5064,352,5421,11701,31589,25350
06-14-2020,380,5233,397,6454,12799,35397,27368
06-15-2020,386,5326,398,6737,13073,37067,26705
06-16-2020,400,5325,409,6713,13454,39310,27737
06-17-2020,423,5650,427,7104,13721,41111,29374
06-18-2020,442,5759,413,7076,13968,42521,30271
06-19-2020,469,5773,416,7414,14378,44905,31425
06-20-2020,458,5756,420,6184,14573,45640,32193
06-21-2020,477,5723,401,6130,14640,46408,32261
06-22-2020,497,5813,358,6101,14921,47233,32945
06-23-2020,503,5834,353,6363,13148,48085,33131
06-24-2020,515,5999,347,6171,11921,49327,33480
06-25-2020,542,6100,376,6023,11975,49349,33250
06-26-2020,529,6235,367,5557,12249,49884,33121
06-27-2020,534,6337,337,5741,12317,47367,33580
06-28-2020,501,6321,319,5600,12508,47035,34654
06-29-2020,498,6110,329,5386,12554,46627,35026
06-30-2020,513,5871,335,5523,12580,47012,36439
07-01-2020,546,5723,337,5103,12381,47690,36862
07-02-2020,441,5471,323,4802,11472,43351,37862
07-03-2020,441,5471,323,4802,11472,43351,37862
07-04-2020,494,5264,323,4552,10984,35599,38354
07-05-2020,616,4806,330,4201,10660,34957,39837
07-06-2020,606,4586,333,4014,10649,33716,40809
07-07-2020,591,4363,333,3855,10370,30754,41336
07-08-2020,591,4270,302,3650,9207,31182,41352
07-09-2020,584,4043,295,3443,8840,30648,41596
07-10-2020,596,3778,291,3339,8430,30170,41490
07-11-2020,579,3610,306,3226,8229,29375,41650
07-12-2020,577,3461,316,3072,8229,27007,41780
07-13-2020,581,3254,288,2720,8329,21489,40967
07-14-2020,593,3229,294,2833,8280,21854,40490
07-15-2020,664,3193,323,2760,7837,22241,36733
07-16-2020,664,3193,323,2760,7837,22241,36733
07-17-2020,700,2961,348,2639,7666,22389,21183
07-18-2020,667,2894,306,2583,6163,22278,18761
07-19-2020,667,2616,334,2604,5938,22419,18977
07-20-2020,621,2247,344,2553,5729,22333,18600
07-21-2020,615,1953,348,2517,5788,22296,17766
07-22-2020,585,1796,353,2537,5882,22227,16927
07-23-2020,579,1569,339,2581,5122,20879,13785
07-24-2020,554,1515,347,2520,5032,8337,11199
07-25-2020,539,1541,346,2425,5027,8535,11444
07-26-2020,539,1541,346,2425,5027,8535,11444
07-27-2020,536,1489,375,2467,5100,8697,8757
07-28-2020,509,1465,349,2396,5134,8889,8182
07-29-2020,462,1438,334,2421,4814,7807,8237
07-30-2020,431,1475,344,2445,4336,7997,8319
07-31-2020,380,1480,333,2355,4314,8207,8108
08-01-2020,380,1480,333,2355,4314,8207,8108
08-02-2020,390,1490,345,2298,3982,8477,8164
08-03-2020,312,1428,342,2250,3895,8608,8230
08-04-2020,312,1428,342,2250,3895,8608,8230
08-05-2020,246,1417,343,2223,3856,6234,6517
08-06-2020,225,1399,333,2141,3087,6453,6132
08-07-2020,213,1417,371,2179,2532,5791,5991
08-08-2020,188,1394,359,2165,1870,5817,6022
08-09-2020,193,1421,364,2156,1863,5925,5869
08-10-2020,200,1396,363,2121,1849,6034,5836
08-11-2020,176,1366,359,2115,1833,6123,5861
08-12-2020,134,1448,342,2130,1464,6297,4660
08-13-2020,134,1448,342,2130,1464,6297,4660
08-14-2020,127,1463,316,2091,1468,6409,4058
08-15-2020,130,1396,289,2073,1480,6599,4294
08-16-2020,122,1201,308,1941,1526,4567,4288
08-17-2020,122,1201,308,1941,1526,4567,4288
08-18-2020,136,1030,305,1796,1576,4565,4245
08-19-2020,108,990,309,1625,1512,3406,4166
08-20-2020,101,991,296,1414,1515,3404,4224
08-21-2020,96,991,306,1177,1409,3537,4274
08-22-2020,112,1022,318,925,1056,2735,4458
08-23-2020,123,1003,342,719,1115,2884,4002
