Admin2,,,,,,,,,,,,,,,,,,,,
Province/State,Andalusia,Aragon,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla - La Mancha,Castilla y Leon,Catalonia,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,Pais Vasco,Unknown
Country/Region,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
05-19-2020,11113,4677,2070,1786,9592,2139,2065,13777,16589,49844,113,2449,8451,3675,57749,119,1413,4699,11939,-150376
05-20-2020,11131,4708,2070,1797,9571,2145,2068,13826,16626,49867,115,2536,8460,3680,57948,119,1412,4633,11955,-150376
05-21-2020,11172,4740,2067,1803,9604,2152,2070,13870,16667,49867,115,2537,8469,3679,58118,119,1421,4689,11938,-150376
05-22-2020,11199,4760,2069,1815,9632,2157,2075,13901,16713,50380,120,2538,8475,3680,58481,119,1423,4692,11967,-150376
05-23-2020,11208,4769,2070,1817,9661,2164,2078,13921,16776,50451,121,2541,8488,3679,58654,119,1426,4696,11973,-150376
05-24-2020,11209,4788,2089,1819,9680,2165,2080,13949,16828,50447,120,2541,8492,3678,58894,119,1430,4710,11982,-150376
05-25-2020,11116,4774,2092,1824,9725,2167,2081,14121,16642,51745,120,2446,8472,3683,59246,119,1434,4705,12054,-150376
05-26-2020,537,1002,1026,369,-213,636,-206,7655,7953,25783,-44,-204,-703,577,18639,-6,-741,804,-4098,0
05-27-2020,537,1002,1026,369,-213,636,-206,7655,7953,25783,-44,-204,-703,577,18639,-6,-741,804,-4098,0
05-28-2020,564,1058,1027,382,-142,639,-192,7731,8044,26640,-38,-198,-697,577,19024,-6,-735,828,-4095,0
05-29-2020,580,1073,1028,387,-113,645,-191,7785,8109,26912,-22,-196,-695,581,19170,-6,-733,843,-4090,0
05-30-2020,593,1082,1048,395,-103,655,-191,7847,8165,27213,-22,-196,-693,584,19313,-6,-731,852,-4078,0
05-31-2020,598,1093,1051,399,-101,657,-186,7897,8223,27223,-22,-194,-694,583,19403,-6,-731,859,-4076,0
06-01-2020,604,1097,1052,400,-74,659,-186,7922,8267,27229,-21,-194,-684,583,19425,-6,-729,864,-4073,0
06-02-2020,633,1113,1052,408,-64,663,-175,7973,8285,27245,-12,-189,-683,584,19533,-5,-725,864,-4071,0
06-03-2020,651,1133,1052,415,-48,669,-173,8018,8315,27322,-12,-186,-681,585,19685,-5,-723,866,-4061,0
06-04-2020,668,1136,1051,422,-37,673,-173,8056,8365,27373,-4,-187,-679,585,19809,-5,-715,870,-4057,0
06-05-2020,684,1159,1049,368,-17,674,-169,8094,8398,27392,-4,-184,-667,587,19996,-5,-712,880,-4055,0
06-06-2020,701,1172,1050,376,-2,676,-169,8135,8460,27409,-4,-183,-669,588,20135,-5,-712,890,-4049,0
06-07-2020,708,1183,1050,383,12,681,-168,8168,8517,27419,-4,-183,-668,592,20214,-5,-712,893,-4042,0
06-08-2020,710,1187,1052,391,30,682,-166,8206,8537,27425,-4,-183,-672,593,20268,-5,-709,899,-4036,0
06-09-2020,716,1194,1053,393,40,684,-165,8272,8549,27442,-4,-182,-665,593,20377,-5,-709,900,-4029,0
06-10-2020,725,1208,1054,395,59,684,-165,8303,8578,27508,-4,-178,-660,594,20468,-5,-704,904,-3996,0
06-11-2020,729,1214,1054,400,79,683,-162,8365,8610,27633,-4,-177,-659,594,20624,-5,-702,908,-3989,0
06-12-2020,739,1235,1058,404,87,686,-162,8403,8652,27803,-4,-176,-656,597,20804,-5,-700,913,-3981,0
06-13-2020,748,1238,1060,410,91,689,-157,8439,8680,27916,-4,-175,-655,598,20971,-4,-700,916,-3968,0
06-14-2020,752,1242,1060,412,102,690,-155,8466,8699,28030,-4,-173,-654,599,21094,-3,-699,916,-3958,0
06-15-2020,755,1244,1060,415,116,690,-155,8474,8709,28107,-4,-172,-653,600,21143,-3,-699,916,-3946,0
06-16-2020,760,1247,1061,421,119,694,-153,8491,8721,28154,-4,-170,-652,600,21248,-3,-699,917,-3936,0
06-17-2020,764,1252,1059,423,129,694,-151,8508,8763,28240,-4,-168,-649,601,21372,-3,-697,964,-3926,0
06-18-2020,769,1257,1058,425,139,710,-148,8557,8790,28550,-4,-161,-649,601,21507,-3,-697,969,-3914,0
06-19-2020,767,1197,1039,412,51,703,-161,8480,7975,28585,-4,-171,-654,600,21855,-3,-689,937,-4035,0
06-20-2020,778,1215,1039,417,75,703,-161,8526,7993,28661,-4,-170,-656,601,21992,-3,-689,945,-4022,0
06-21-2020,787,1248,1039,422,78,715,-159,8551,8006,28776,-4,-165,-649,601,22071,-3,-682,948,-4007,0
06-22-2020,795,1281,1039,430,85,715,-159,8573,8022,28845,-4,-161,-649,601,22096,0,-674,969,-4000,0
06-23-2020,798,1328,1039,431,93,716,-159,8573,8032,28885,-4,-160,-648,601,22207,-1,-674,982,-3988,0
06-24-2020,820,1377,1039,432,99,722,-152,8573,8067,28978,-3,-154,-645,601,22282,-1,-672,993,-3973,0
06-25-2020,860,1429,1038,434,107,724,-152,8609,8086,29058,-4,-152,-637,602,22426,-1,-670,993,-3970,0
06-26-2020,887,1544,1038,437,110,727,-152,8608,8108,29202,-4,-146,-630,604,22478,-1,-669,1009,-3959,0
06-27-2020,930,1571,1038,444,129,728,-152,8660,8135,29358,-4,-145,-624,603,22683,-1,-669,1017,-3949,0
06-28-2020,948,1620,1038,448,135,728,-141,8678,8135,29483,-4,-145,-621,603,22724,-1,-655,1026,-3948,0
06-29-2020,983,1635,1038,449,139,728,-141,8703,8165,29545,-4,-144,-617,603,22728,-1,-647,1030,-3944,0
06-30-2020,1004,1646,1038,452,177,728,-141,8740,8185,29621,-4,-141,-608,603,22789,-1,-643,1030,-3935,0
07-01-2020,1040,1669,1038,459,186,733,-140,8742,8227,29765,-4,-138,-601,604,22870,-1,-637,1035,-3928,0
07-02-2020,1024,1696,1038,463,214,732,-139,8769,8247,30012,-4,-131,-584,605,22932,-1,-635,1043,-3922,0
07-03-2020,1101,1728,1038,471,228,737,-139,8791,8250,30181,-4,-124,-572,605,22993,,-631,1044,-3912,0
07-04-2020,1101,1728,1038,471,228,737,-139,8791,8250,30181,-4,-124,-572,605,22993,,-631,1044,-3912,0
07-05-2020,1101,1728,1038,471,228,737,-139,8791,8250,30181,-4,-124,-572,605,22993,,-631,1044,-3912,0
07-06-2020,1155,1810,1038,481,264,742,-135,8854,8267,30920,-4,-107,-493,605,23094,,-622,1050,-3893,0
07-07-2020,1171,1834,1038,482,283,744,-135,8871,8269,31065,-4,-105,-487,605,23160,,-619,1053,-3862,0
07-08-2020,1198,1893,1039,483,299,745,-134,8886,8274,31164,-4,-95,-452,606,23232,,-611,1057,-3838,0
07-09-2020,1232,1952,1039,489,316,752,-134,8909,8275,31429,-4,-89,-420,606,23291,,-607,1063,-3819,0
07-10-2020,1280,1945,1040,492,338,751,-134,8922,8279,32010,-4,-65,-392,608,23355,,-602,1090,-3783,0
07-11-2020,1280,1945,1040,492,338,751,-134,8922,8279,32010,-4,-65,-392,608,23355,,-602,1090,-3783,0
07-12-2020,1280,1945,1040,492,338,751,-134,8922,8279,32010,-4,-65,-392,608,23355,,-602,1090,-3783,0
07-13-2020,1404,2174,1040,513,392,758,-129,8970,8282,33207,-4,20,-369,629,23471,,-575,1156,-3767,0
07-14-2020,1434,2258,1045,514,429,762,-128,8971,8317,33549,-4,31,-362,631,23517,,-568,1173,-3734,0
07-15-2020,1467,2424,1045,514,452,768,-125,8976,8327,33971,-3,37,-352,634,23617,1,-562,1194,-3680,0
07-16-2020,1557,2697,1045,520,490,782,-123,8989,8346,34689,-3,47,-344,635,23701,1,-557,1215,-3624,0
07-17-2020,1625,2952,1045,533,531,784,-123,9005,8361,35336,-3,72,-329,638,23844,2,-542,1274,-3546,0
07-18-2020,1625,2952,1045,533,531,784,-123,9005,8361,35336,-3,72,-329,638,23844,2,-542,1274,-3546,0
07-19-2020,1625,2952,1045,533,531,784,-123,9005,8361,35336,-3,72,-329,638,23844,2,-542,1274,-3546,0
07-20-2020,1858,3843,1048,559,700,852,-101,9055,8396,37512,-3,95,-313,649,24113,2,-488,1445,-3184,0
07-21-2020,1935,4033,1050,564,779,854,-99,9059,8435,38025,-3,107,-303,655,24261,2,-476,1522,-3006,0
07-22-2020,2052,4358,1051,569,836,865,-98,9077,8452,38434,-3,124,-303,680,24367,2,-448,1655,-2921,0
07-23-2020,2108,4780,1055,574,922,871,-94,9102,8475,39931,-3,127,-269,692,24581,2,-447,1719,-2765,0
07-24-2020,2221,5085,1057,586,1039,879,-85,9115,8505,41036,-3,131,-239,696,24758,2,-340,1810,-2640,0
07-25-2020,2221,5085,1057,586,1039,879,-85,9115,8505,41036,-3,131,-239,696,24758,2,-340,1810,-2640,0
07-26-2020,2221,5085,1057,586,1039,879,-85,9115,8505,41036,-3,131,-239,696,24758,2,-340,1810,-2640,0
07-27-2020,2500,6323,1068,619,1370,909,-68,9187,8542,43730,-3,145,-188,712,25513,2,-237,2050,-2202,0
07-28-2020,2589,6690,1071,644,1483,911,-57,9211,8599,44447,-3,151,-176,715,25699,2,-178,2092,-2092,0
07-29-2020,2698,7123,1083,668,1595,918,-56,9227,8628,45254,-2,174,-162,718,25922,2,-129,2135,-1972,0
07-30-2020,2818,7480,1098,707,1828,924,-49,9270,8695,46368,,179,-140,722,26364,2,-63,2196,-1787,0
07-31-2020,3001,7998,1119,788,1912,932,-35,9319,8796,47435,,201,-106,727,26956,5,-2,2232,-1576,0
08-01-2020,3001,7998,1119,788,1912,932,-35,9319,8796,47435,,201,-106,727,26956,5,-2,2232,-1576,0
08-02-2020,3001,7998,1119,788,1912,932,-35,9319,8796,47435,,201,-106,727,26956,5,-2,2232,-1576,0
08-03-2020,3532,12740,1155,855,2433,988,28,9417,8969,48678,,275,-15,735,26956,12,132,2373,-1056,0
08-04-2020,3731,13128,1161,982,2567,996,63,9527,9128,51173,,282,22,740,28725,13,176,2502,-975,0
08-05-2020,3884,13785,1175,1066,2855,1012,100,9527,9223,51944,,303,50,742,29338,17,275,2572,-975,0
08-06-2020,4199,14161,1209,1177,3032,1044,119,9598,9406,53046,,341,103,747,30069,21,372,2650,-314,0
08-07-2020,4509,14161,1238,1294,3501,1099,149,9679,9614,54063,,369,188,760,31479,24,503,2759,95,0
08-08-2020,4509,14161,1238,1294,3501,1099,149,9679,9614,54063,,369,188,760,31479,24,503,2759,95,0
08-09-2020,4509,14161,1238,1294,3501,1099,149,9679,9614,54063,,369,188,760,31479,24,503,2759,95,0
08-10-2020,5359,13625,1304,1384,4003,1254,242,9839,9878,56663,0,440,420,796,33920,35,636,3089,1141,0
08-11-2020,5644,14086,1318,1743,4254,1340,253,10018,10476,57106,1,453,458,828,34406,47,711,3128,1385,0
08-12-2020,5945,14655,1336,2022,4522,1406,317,10153,10649,58000,1,490,654,860,34406,53,787,3277,1296,0
08-13-2020,6385,15081,1367,2286,4880,1507,362,10278,10871,58978,2,548,779,906,37545,56,895,3359,2268,0
08-14-2020,6821,15589,1388,2420,5365,1622,423,10446,11150,60070,4,615,914,957,38750,61,1010,3462,2753,0
08-15-2020,6821,15589,1388,2420,5365,1622,423,10446,11150,60070,4,615,914,957,38750,61,1010,3462,2753,0
08-16-2020,6821,15589,1388,2420,5365,1622,423,10446,11150,60070,4,615,914,957,38750,61,1010,3462,2753,0
08-17-2020,8345,17082,1464,2690,6079,1987,612,10784,11608,62789,16,707,1342,1131,44135,77,1249,3774,4189,0
08-18-2020,8792,17503,1483,2927,6467,2078,631,10967,12196,63208,25,758,1482,1189,45739,77,1333,3822,4473,0
08-19-2020,9381,18035,1513,3146,6755,2222,684,11185,12488,64218,28,844,1612,1256,47931,77,1464,3907,4948,0
08-20-2020,9980,18383,1536,3340,7231,2411,732,11398,12874,65309,35,910,1809,1316,50267,90,1577,4017,5502,0
08-21-2020,10694,18739,1576,3581,7684,2584,732,11624,13290,66535,41,1018,2122,1384,53109,90,1735,4110,6192,0
08-22-2020,10694,18739,1576,3581,7684,2584,732,11624,13290,66535,41,1018,2122,1384,53109,90,1735,4110,6192,0
08-23-2020,10694,18739,1576,3581,7684,2584,732,11624,13290,66535,41,1018,2122,1384,53109,90,1735,4110,6192,0
08-24-2020,12513,19723,1650,3933,8556,3286,1010,12226,13923,70104,53,1231,2754,1574,59092,134,2135,4473,7818,0
08-25-2020,13034,19884,1702,4841,9324,3520,1061,12548,14489,70887,63,1287,2919,1640,60984,145,2293,4565,8067,0
08-26-2020,13871,20209,1751,5175,9324,3810,1143,12909,14945,72141,74,1388,3244,1732,63186,158,2540,4685,8217,0
08-27-2020,14682,20505,1787,5701,10573,4143,1232,13253,15436,73485,79,1464,3610,1823,65823,166,2750,4765,8858,0
08-28-2020,15583,20694,1823,5882,11263,4417,1324,13594,15892,74867,82,1520,3817,1895,69260,173,3119,5099,9595,0
08-29-2020,15583,20694,1823,5882,11263,4417,1324,13594,15892,74867,82,1520,3817,1895,69260,173,3119,5099,9595,0
08-30-2020,15583,20694,1823,5882,11263,4417,1324,13594,15892,74867,82,1520,3817,1895,69260,173,3119,5099,9595,0
08-31-2020,17644,20888,1924,6397,12661,5357,1629,14375,17251,78073,107,1854,4668,2249,76673,218,3858,5538,12024,0
09-01-2020,18596,21773,1956,6566,13563,5591,1691,14722,17691,78715,122,1979,4815,2307,78780,228,4200,5695,12455,0
09-02-2020,19474,21997,1986,6892,14018,5854,1802,15226,18131,80270,131,2092,5067,2396,81167,245,4418,5828,12990,0
09-03-2020,20493,22237,2055,7186,14551,6212,1904,15752,18478,81608,135,2230,5198,2458,84228,267,4418,5939,13554,0
09-04-2020,21500,22509,2100,7415,15262,6586,2049,16297,18959,83023,140,2401,5624,2556,87437,285,4680,6106,14266,0
09-05-2020,21500,22509,2100,7415,15262,6586,2049,16297,18959,83023,140,2401,5624,2556,87437,285,4680,6106,14266,0
09-06-2020,21500,22509,2100,7415,15262,6586,2049,16297,18959,83023,140,2401,5624,2556,87437,285,4680,6106,14266,0
09-07-2020,23875,23426,2298,7723,16387,7462,2343,17377,20408,86261,167,2846,6186,2770,96857,332,6235,6655,16049,0
09-08-2020,24907,23641,2313,8027,17049,7656,2422,17915,20985,87001,171,2906,6527,2866,99746,345,6692,6941,16433,0
09-09-2020,25688,23930,2357,8352,17782,7876,2535,18363,21333,87863,193,3056,6792,2894,102667,377,7075,7137,17105,0
09-10-2020,26647,24304,2380,8626,18436,8135,2707,18989,21920,89078,192,3231,7063,2984,106473,421,7679,7137,17666,0
09-11-2020,27881,24681,2427,8938,19381,8407,2858,19686,22488,90337,206,3453,7301,3039,110667,449,7871,7785,18348,0
09-12-2020,27881,24681,2427,8938,19381,8407,2858,19686,22488,90337,206,3453,7301,3039,110667,449,7871,7785,18348,0
09-13-2020,27881,24681,2427,8938,19381,8407,2858,19686,22488,90337,206,3453,7301,3039,110667,449,7871,7785,18348,0
09-14-2020,30373,25963,2641,9210,20212,9128,3206,21828,24568,91410,242,3851,7986,3416,121506,512,9003,8652,19799,0
09-15-2020,31393,26188,2692,9481,21112,9232,3284,22810,25204,91410,245,4070,8181,3484,125019,526,9375,8954,20127,0
09-16-2020,32305,26483,2764,9651,21649,9419,3368,23785,25487,94244,255,4426,8353,3548,128427,528,9375,9255,20419,0
09-17-2020,33662,26764,2843,9935,22327,9566,3490,24502,26356,95545,258,4691,8585,3715,132253,531,9375,9481,20991,0
09-18-2020,35279,27192,2936,10256,22859,9733,3540,25378,27225,96901,269,4970,8687,3833,137310,535,10998,9747,21521,0
09-19-2020,35279,27192,2936,10256,22859,9733,3540,25378,27225,96901,269,4970,8687,3833,137310,535,10998,9747,21521,0
09-20-2020,35279,27192,2936,10256,22859,9733,3540,25378,27225,96901,269,4970,8687,3833,137310,535,10998,9747,21521,0
09-21-2020,38239,28320,3223,10826,23729,10276,3796,26917,29355,100019,300,5758,9506,4226,149277,605,12573,10619,22865,0
09-22-2020,39802,28635,3290,11037,24616,10440,3847,27695,30062,100689,309,5947,9697,4251,152823,629,13082,10987,23149,0
09-23-2020,41340,28873,3367,11171,25260,10595,3914,28563,30692,101725,330,6161,10005,4337,156521,666,13663,11417,23546,0
09-24-2020,41340,29142,3469,11335,25958,10732,3980,29583,31581,102798,337,6349,10087,4446,160842,695,14215,11767,24059,0
09-25-2020,44200,29590,3558,11489,26559,11005,4048,30451,32643,103437,355,6674,10490,4585,163760,731,14728,12104,24466,0
09-26-2020,44200,29590,3558,11489,26559,11005,4048,30451,32643,103437,355,6674,10490,4585,163760,731,14728,12104,24466,0
09-27-2020,44200,29590,3558,11489,26559,11005,4048,30451,32643,103437,355,6674,10490,4585,163760,731,14728,12104,24466,0
09-28-2020,47422,30717,3861,11797,27614,11474,4179,32000,34723,106614,396,7135,11080,4815,177176,824,15891,13101,25660,0
09-29-2020,47422,30717,3861,11797,27614,11474,4179,32000,34723,106614,396,7135,11080,4815,177176,824,15891,13101,25660,0
09-30-2020,49923,31277,3992,12028,29116,11716,4284,33602,36080,108074,428,7447,11248,4997,185051,870,16814,13697,26377,0
10-01-2020,51250,31521,4100,12173,29671,11907,4328,34126,36884,108366,450,7620,11513,5106,188237,906,17341,13930,26829,0
10-02-2020,52802,31888,4176,12348,30256,12107,4366,35029,37846,110410,469,7772,11723,5188,190750,939,17754,14275,27372,0
10-03-2020,52802,31888,4176,12348,30256,12107,4366,35029,37846,110410,469,7772,11723,5188,190750,939,17754,14275,27372,0
10-04-2020,52802,31888,4176,12348,30256,12107,4366,35029,37846,110410,469,7772,11723,5188,190750,939,17754,14275,27372,0
10-05-2020,54309,32210,4504,12641,31382,12497,4521,36000,39779,115959,508,8196,12423,5400,197337,1000,18697,15099,28349,0
10-06-2020,55910,32496,4589,12731,31965,12571,4558,36966,40418,116806,522,8352,12578,5469,202398,1032,19115,15376,28696,0
10-07-2020,57948,32905,4707,12874,32334,12687,4600,37512,41094,118374,543,8570,12793,5578,205245,1051,19767,15636,28745,0
10-08-2020,59920,33357,4823,13013,33034,12811,4637,38332,41840,120086,576,8768,13078,5689,208394,1099,20227,16041,29535,0
10-09-2020,61970,34025,4936,13126,33606,12997,4668,38938,42829,122276,616,8995,13542,5766,211287,1142,20602,16500,29986,0
10-10-2020,61970,34025,4936,13126,33606,12997,4668,38938,42829,122276,616,8995,13542,5766,211287,1142,20602,16500,29986,0
10-11-2020,61970,34025,4936,13126,33606,12997,4668,38938,42829,122276,616,8995,13542,5766,211287,1142,20602,16500,29986,0
10-12-2020,66692,35419,5567,13500,34198,13389,4838,39955,45541,128465,672,9574,14533,5969,216374,1267,21510,17951,30054,0
10-13-2020,66692,35772,5705,13605,34464,13451,4880,40214,45952,129683,702,9726,14776,6132,217497,1314,21637,18341,31963,0
10-14-2020,69049,36031,5888,13714,35209,13516,4951,41111,46815,131181,709,9938,15007,6309,220172,1332,22249,18727,32359,0
10-15-2020,71083,36622,6075,13839,35979,13638,5009,41818,47963,133347,724,10269,15253,6440,223003,1370,22790,19194,33029,0
