Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Blekinge,Dalarna,Gavleborg,Gotland,Halland,Jamtland Harjedalen,Jonkoping,Kalmar,Kronoberg,Norrbotten,Orebro,Ostergotland,Skane,Sormland,Stockholm,Uppsala,Varmland,Vasterbotten,Vasternorrland,Vastmanland,Vastra Gotaland
Country/Region,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
06-05-2020,259,1130,1324,82,814,741,1537,351,821,433,1757,2003,1736,1427,12230,1952,562,490,747,1286,6618
06-06-2020,269,1150,1358,83,830,759,1575,366,840,447,1803,2040,1757,1429,12434,1987,569,495,765,1288,6987
06-07-2020,274,1167,1391,84,856,769,1606,367,840,455,1818,2055,1785,1430,12607,2037,596,504,771,1288,7371
06-08-2020,292,1168,1403,84,863,775,1605,369,851,455,1834,2062,1795,1439,12646,2060,600,506,797,1309,7526
06-09-2020,300,1182,1427,85,880,783,1644,380,853,483,1842,2089,1826,1443,12812,2077,618,510,815,1379,7779
06-10-2020,304,1195,1469,91,903,805,1708,399,867,484,1874,2123,1883,1442,12995,2111,634,519,837,1399,7977
06-11-2020,312,1213,1519,93,934,813,1859,406,877,503,1893,2162,1939,1449,13241,2149,660,526,848,1455,8623
06-12-2020,336,1221,1578,100,960,823,1985,416,891,514,1934,2209,1993,1455,13488,2208,674,533,876,1531,9105
06-13-2020,350,1224,1619,103,989,829,2116,428,903,552,1950,2294,2036,1477,13658,2254,696,538,891,1566,9584
06-14-2020,362,1234,1645,103,1000,845,2139,435,918,552,1953,2306,2052,1482,13785,2258,703,544,896,1566,9962
06-15-2020,371,1244,1676,103,1006,845,2241,438,919,629,1957,2348,2082,1547,13920,2288,704,545,937,1598,10094
06-16-2020,373,1247,1716,108,1024,880,2273,453,919,675,2001,2379,2113,1553,14064,2297,720,547,940,1668,10434
06-17-2020,381,1252,1775,112,1069,901,2418,462,931,728,2023,2399,2213,1556,14241,2350,735,558,965,1676,10776
06-18-2020,393,1257,1812,116,1092,908,2616,472,935,793,2026,2447,2308,1579,14626,2412,742,569,992,1746,11149
06-19-2020,393,1257,1812,116,1092,908,2616,472,935,793,2026,2447,2308,1579,14626,2412,742,569,992,1746,11149
06-20-2020,393,1257,1812,116,1092,908,2616,472,935,793,2026,2447,2308,1579,14626,2412,742,569,992,1746,11149
06-21-2020,393,1257,1812,116,1092,908,2616,472,935,793,2026,2447,2308,1579,14626,2412,742,569,992,1746,11149
06-22-2020,404,1301,1885,125,1127,933,3014,495,946,859,2056,2530,2483,1647,15013,2593,781,601,1063,1799,12155
06-23-2020,406,1310,1942,131,1138,939,3025,516,949,952,2077,2676,2517,1714,16058,2608,785,603,1088,1878,12364
06-24-2020,413,1338,1984,137,1205,949,3192,519,953,1033,2094,2749,2574,1730,16310,2709,799,622,1105,1903,12797
06-25-2020,418,1361,2022,140,1237,960,3367,532,954,1076,2118,2791,2661,1770,16555,2798,831,633,1154,1982,13300
06-26-2020,424,1398,2047,140,1260,960,3518,544,958,1085,2132,2838,2716,1778,16866,2863,846,647,1172,2023,13642
06-27-2020,424,1398,2047,140,1260,960,3518,544,958,1085,2132,2838,2716,1778,16866,2863,846,647,1172,2023,13642
06-28-2020,424,1398,2047,140,1260,960,3518,544,958,1085,2132,2838,2716,1778,16866,2863,846,647,1172,2023,13642
06-29-2020,432,1466,2095,147,1371,984,3794,563,969,1173,2155,2950,2776,1832,17594,2978,874,663,1226,2054,14261
06-30-2020,432,1469,2133,153,1412,985,3808,572,969,1218,2157,2988,2806,1837,17869,3010,883,668,1247,2074,14428
07-01-2020,434,1496,2336,156,1464,984,3866,590,970,1259,2170,2993,2826,1879,18244,3073,885,677,1265,2108,14647
07-02-2020,435,1524,2398,156,1466,985,3933,617,972,1277,2199,3054,2849,1970,18422,3104,892,691,1286,2132,14866
07-03-2020,438,1582,2426,156,1502,1005,4032,634,975,1291,2221,3082,2871,1991,18596,3128,906,696,1311,2159,14997
07-04-2020,438,1582,2426,156,1502,1005,4032,634,975,1291,2221,3082,2871,1991,18596,3128,906,696,1311,2159,14997
07-05-2020,438,1582,2426,156,1502,1005,4032,634,975,1291,2221,3082,2871,1991,18596,3128,906,696,1311,2159,14997
07-06-2020,446,1644,2556,159,1520,1009,4130,643,975,1323,2257,3129,2903,1999,19107,3158,915,710,1359,2238,15448
07-07-2020,448,1647,2586,168,1520,1010,4132,649,975,1361,2278,3134,2921,2020,19146,3166,917,710,1386,2255,15468
07-08-2020,451,1658,2587,168,1545,1014,4176,663,974,1375,2280,3145,2934,2020,19285,3176,922,718,1397,2266,15622
07-09-2020,454,1676,2651,171,1552,1017,4220,666,979,1382,2295,3159,2958,2036,19352,3190,925,720,1418,2286,15726
07-10-2020,456,1688,2675,175,1564,1026,4246,669,982,1402,2302,3169,2990,2047,19545,3196,930,721,1426,2302,15861
07-11-2020,456,1688,2675,175,1564,1026,4246,669,982,1402,2302,3169,2990,2047,19545,3196,930,721,1426,2302,15861
07-12-2020,456,1688,2675,175,1564,1026,4246,669,982,1402,2302,3169,2990,2047,19545,3196,930,721,1426,2302,15861
07-13-2020,457,1699,2818,176,1573,1032,4303,675,991,1421,2315,3187,3023,2065,19776,3216,930,729,1484,2336,16084
07-14-2020,459,1717,2837,180,1576,1037,4305,675,992,1424,2323,3194,3045,2069,19805,3214,931,729,1495,2344,16105
07-15-2020,461,1721,2842,183,1580,1039,4328,676,997,1437,2312,3202,3072,2088,20010,3234,932,753,1506,2362,16185
07-16-2020,462,1725,2862,183,1588,1043,4358,679,1001,1445,2277,3200,3099,2092,20095,3252,935,774,1514,2372,16328
07-17-2020,464,1732,2870,190,1593,1041,4366,682,1002,1456,2282,3208,3133,2093,20227,3263,936,799,1521,2381,16423
07-18-2020,464,1732,2870,190,1593,1041,4366,682,1002,1456,2282,3208,3133,2093,20227,3263,936,799,1521,2381,16423
07-19-2020,464,1732,2870,190,1593,1041,4366,682,1002,1456,2282,3208,3133,2093,20227,3263,936,799,1521,2381,16423
07-20-2020,465,1750,2901,200,1605,1047,4406,687,1017,1460,2285,3225,3169,2113,20383,3272,937,852,1568,2392,16675
07-21-2020,465,1751,2906,200,1614,1050,4408,691,1017,1468,2287,3230,3204,2110,20403,3273,938,852,1568,2394,16691
07-22-2020,465,1763,2924,206,1620,1053,4426,696,1019,1474,2289,3235,3231,2126,20503,3279,938,857,1582,2402,16749
07-23-2020,466,1762,2928,211,1624,1054,4444,698,1025,1478,2292,3236,3259,2126,20563,3286,942,857,1588,2412,16836
07-24-2020,466,1765,2949,213,1628,1054,4451,699,1033,1483,2299,3240,3274,2125,20613,3289,944,860,1595,2416,16904
07-25-2020,466,1765,2949,213,1628,1054,4451,699,1033,1483,2299,3240,3274,2125,20613,3289,944,860,1595,2416,16904
07-26-2020,466,1765,2949,213,1628,1054,4451,699,1033,1483,2299,3240,3274,2125,20613,3289,944,860,1595,2416,16904
07-27-2020,468,1773,2959,224,1635,1065,4465,702,1035,1494,2307,3249,3306,2127,20717,3295,950,864,1616,2422,17022
07-28-2020,469,1774,2960,224,1642,1066,4467,703,1035,1494,2310,3255,3335,2133,20739,3296,950,864,1616,2429,17031
07-29-2020,473,1777,2965,224,1648,1070,4481,704,1039,1503,2319,3237,3349,2136,20804,3302,950,869,1633,2435,17134
07-30-2020,474,1780,2974,232,1680,1075,4492,710,1047,1509,2320,3246,3389,2140,20852,3312,953,870,1632,2445,17229
07-31-2020,477,1784,2975,242,1678,1075,4506,713,1051,1513,2328,3255,3420,2141,20917,3320,955,875,1640,2447,17367
08-01-2020,477,1784,2975,242,1678,1075,4506,713,1051,1513,2328,3255,3420,2141,20917,3320,955,875,1640,2447,17367
08-02-2020,477,1784,2975,242,1678,1075,4506,713,1051,1513,2328,3255,3420,2141,20917,3320,955,875,1640,2447,17367
08-03-2020,479,1800,2986,244,1695,1075,4527,718,1063,1518,2347,3282,3468,2140,21011,3335,965,885,1653,2466,17611
08-04-2020,480,1799,2986,245,1710,1088,4530,720,1065,1527,2353,3299,3502,2139,21042,3343,966,884,1655,2469,17632
08-05-2020,489,1807,2989,251,1715,1090,4551,721,1072,1527,2363,3313,3505,2141,21143,3354,980,888,1659,2484,17738
08-06-2020,499,1821,2997,262,1748,1093,4566,724,1078,1531,2368,3323,3554,2144,21188,3363,991,888,1670,2493,17900
08-07-2020,499,1831,3000,264,1764,1094,4580,726,1098,1532,2383,3331,3589,2146,21259,3368,994,889,1676,2498,18039
08-08-2020,499,1831,3000,264,1764,1094,4580,726,1098,1532,2383,3331,3589,2146,21259,3368,994,889,1676,2498,18039
08-09-2020,499,1831,3000,264,1764,1094,4580,726,1098,1532,2383,3331,3589,2146,21259,3368,994,889,1676,2498,18039
08-10-2020,514,1849,3019,279,1793,1093,4608,730,1125,1539,2398,3358,3630,2151,21367,3387,1007,893,1689,2499,18278
08-11-2020,521,1846,3018,281,1814,1093,4608,734,1128,1538,2398,3364,3675,2151,21401,3391,1022,893,1690,2509,18281
08-12-2020,531,1855,3027,282,1846,1098,4627,735,1137,1547,2412,3372,3707,2158,21461,3397,1026,894,1692,2515,18362
08-13-2020,535,1859,3041,284,1858,1100,4640,743,1161,1548,2423,3379,3774,2162,21548,3400,1037,904,1700,2524,18456
08-14-2020,550,1867,3050,291,1870,1100,4651,751,1190,1554,2430,3391,3818,2162,21627,3421,1050,919,1708,2528,18583
08-15-2020,550,1867,3050,291,1870,1100,4651,751,1190,1554,2430,3391,3818,2162,21627,3421,1050,919,1708,2528,18583
08-16-2020,550,1867,3050,291,1870,1100,4651,751,1190,1554,2430,3391,3818,2162,21627,3421,1050,919,1708,2528,18583
08-17-2020,559,1882,3063,301,1884,1111,4676,758,1214,1562,2442,3435,3873,2169,21784,3436,1067,935,1712,2542,18853
08-18-2020,560,1887,3068,302,1896,1111,4678,761,1217,1561,2451,3445,3947,2170,21817,3440,1068,935,1713,2546,18856
08-19-2020,560,1895,3070,304,1935,1109,4696,771,1218,1564,2454,3449,3990,2171,21841,3450,1069,935,1714,2549,18865
08-20-2020,571,1900,3076,305,1937,1109,4706,774,1234,1565,2467,3461,4044,2174,21943,3465,1075,943,1728,2563,18965
08-21-2020,574,1905,3084,305,1939,1111,4720,781,1232,1565,2471,3465,4099,2176,21995,3466,1081,943,1730,2567,19049
08-22-2020,574,1905,3084,305,1939,1111,4720,781,1232,1565,2471,3465,4099,2176,21995,3466,1081,943,1730,2567,19049
08-23-2020,574,1905,3084,305,1939,1111,4720,781,1232,1565,2471,3465,4099,2176,21995,3466,1081,943,1730,2567,19049
08-24-2020,580,1924,3098,308,1980,1111,4737,798,1255,1566,2476,3498,4164,2176,22136,3500,1094,949,1739,2576,19243
08-25-2020,580,1929,3098,309,2000,1113,4737,799,1256,1566,2476,3505,4250,2177,22173,3500,1095,949,1738,2578,19249
08-26-2020,582,1932,3098,309,2022,1113,4742,802,1259,1569,2482,3513,4295,2177,22227,3506,1096,949,1739,2583,19260
08-27-2020,581,1942,3017,309,2025,1113,4747,810,1271,1569,2484,3522,4346,2167,20550,3513,1104,827,1712,2544,17925
08-28-2020,584,1949,3029,311,2048,1114,4752,811,1278,1575,2486,3524,4400,2169,20548,3520,1105,829,1717,2551,17837
08-29-2020,584,1949,3029,311,2048,1114,4752,811,1278,1575,2486,3524,4400,2169,20548,3520,1105,829,1717,2551,17837
08-30-2020,584,1949,3029,311,2048,1114,4752,811,1278,1575,2486,3524,4400,2169,20548,3520,1105,829,1717,2551,17837
08-31-2020,593,1975,3036,312,2056,1124,4768,822,1299,1576,2488,3531,4465,2176,20638,3534,1106,835,1720,2554,17963
09-01-2020,593,1979,3037,312,2071,1125,4770,823,1299,1576,2488,3549,4532,2176,20655,3535,1107,835,1720,2558,17968
09-02-2020,594,1992,3037,312,2103,1126,4776,823,1300,1578,2517,3551,4535,2176,20616,3539,1109,830,1720,2564,17914
09-03-2020,594,2005,3047,312,2110,1126,4788,824,1307,1579,2532,3544,4574,2176,20648,3547,1115,831,1718,2565,17955
09-04-2020,594,2016,3055,312,2135,1141,4797,826,1314,1580,2539,3553,4614,2177,20691,3556,1116,834,1721,2574,18005
09-05-2020,594,2016,3055,312,2135,1141,4797,826,1314,1580,2539,3553,4614,2177,20691,3556,1116,834,1721,2574,18005
09-06-2020,594,2016,3055,312,2135,1141,4797,826,1314,1580,2539,3553,4614,2177,20691,3556,1116,834,1721,2574,18005
09-07-2020,595,2031,3060,313,2151,1146,4847,830,1336,1581,2572,3580,4660,2178,20821,3567,1133,838,1724,2586,18172
09-08-2020,595,2032,3066,313,2166,1147,4850,832,1336,1581,2579,3585,4717,2178,20831,3571,1134,840,1725,2594,18197
09-09-2020,598,2043,3074,313,2170,1147,4865,832,1341,1581,2589,3598,4735,2181,20843,3580,1137,841,1725,2610,18235
09-10-2020,598,2054,3084,313,2199,1154,4890,834,1355,1584,2602,3613,4785,2185,20896,3596,1146,845,1729,2615,18274
09-11-2020,599,2078,3087,315,2208,1154,4917,835,1368,1584,2612,3623,4830,2187,20946,3602,1147,846,1732,2622,18367
09-12-2020,599,2078,3087,315,2208,1154,4917,835,1368,1584,2612,3623,4830,2187,20946,3602,1147,846,1732,2622,18367
09-13-2020,599,2078,3087,315,2208,1154,4917,835,1368,1584,2612,3623,4830,2187,20946,3602,1147,846,1732,2622,18367
09-14-2020,599,2078,3087,315,2208,1154,4917,835,1368,1584,2612,3623,4830,2187,20946,3602,1147,846,1732,2622,18367
09-15-2020,600,2122,3103,317,2240,1155,4979,838,1396,1591,2652,3653,4963,2197,21141,3645,1154,860,1740,2654,18494
09-16-2020,603,2148,3113,317,2248,1156,4984,841,1405,1593,2663,3663,5006,2198,21166,3653,1154,860,1743,2659,18542
09-17-2020,604,2173,3117,318,2263,1157,5018,843,1421,1594,2677,3666,5044,2200,21233,3665,1164,866,1744,2663,18591
09-18-2020,607,2191,3118,318,2273,1158,5043,847,1432,1597,2688,3677,5090,2206,21339,3676,1168,874,1745,2671,18654
09-19-2020,607,2191,3118,318,2273,1158,5043,847,1432,1597,2688,3677,5090,2206,21339,3676,1168,874,1745,2671,18654
09-20-2020,607,2191,3118,318,2273,1158,5043,847,1432,1597,2688,3677,5090,2206,21339,3676,1168,874,1745,2671,18654
09-21-2020,607,2191,3118,318,2273,1158,5043,847,1432,1597,2688,3677,5090,2206,21339,3676,1168,874,1745,2671,18654
09-22-2020,616,2277,3135,321,2344,1174,5085,849,1474,1605,2739,3706,5232,2223,21714,3712,1180,902,1757,2700,18821
09-23-2020,635,2289,3148,321,2346,1179,5112,853,1475,1612,2750,3716,5279,2237,21776,3731,1180,904,1759,2730,18848
09-24-2020,648,2312,3159,321,2365,1181,5137,853,1503,1613,2758,3723,5320,2245,21906,3743,1183,932,1761,2764,18984
09-25-2020,661,2315,3172,321,2396,1193,5142,854,1519,1620,2764,3736,5364,2247,22191,3765,1185,946,1768,2773,19111
09-26-2020,661,2315,3172,321,2396,1193,5142,854,1519,1620,2764,3736,5364,2247,22191,3765,1185,946,1768,2773,19111
09-27-2020,661,2315,3172,321,2396,1193,5142,854,1519,1620,2764,3736,5364,2247,22191,3765,1185,946,1768,2773,19111
09-28-2020,661,2315,3172,321,2396,1193,5142,854,1519,1620,2764,3736,5364,2247,22191,3765,1185,946,1768,2773,19111
09-29-2020,693,2362,3209,324,2464,1201,5179,860,1582,1645,2797,3794,5514,2257,22643,3821,1201,998,1783,2910,19339
09-30-2020,695,2366,3211,324,2489,1225,5192,865,1583,1662,2819,3814,5582,2267,22741,3829,1202,999,1783,2938,19384
10-01-2020,711,2379,3228,325,2519,1228,5210,867,1608,1667,2842,3839,5671,2273,23054,3865,1215,1012,1789,2955,19465
10-02-2020,730,2403,3247,331,2549,1236,5243,868,1624,1677,2853,3856,5755,2279,23263,3908,1226,1022,1792,2985,19541
10-03-2020,730,2403,3247,331,2549,1236,5243,868,1624,1677,2853,3856,5755,2279,23263,3908,1226,1022,1792,2985,19541
10-04-2020,730,2403,3247,331,2549,1236,5243,868,1624,1677,2853,3856,5755,2279,23263,3908,1226,1022,1792,2985,19541
10-05-2020,730,2403,3247,331,2549,1236,5243,868,1624,1677,2853,3856,5755,2279,23263,3908,1226,1022,1792,2985,19541
10-06-2020,765,2460,3281,341,2601,1269,5295,873,1673,1718,2967,3943,5937,2294,23901,4070,1252,1052,1813,3027,19730
10-07-2020,778,2466,3282,341,2640,1301,5321,876,1675,1727,3009,3949,5966,2304,24048,4148,1254,1053,1815,3052,19780
10-08-2020,780,2491,3313,344,2670,1309,5349,882,1687,1732,3030,3958,6028,2308,24416,4224,1264,1067,1827,3074,19887
10-09-2020,805,2512,3327,345,2696,1314,5386,883,1712,1747,3084,3978,6122,2325,24753,4302,1266,1077,1835,3079,20009
10-10-2020,805,2512,3327,345,2696,1314,5386,883,1712,1747,3084,3978,6122,2325,24753,4302,1266,1077,1835,3079,20009
10-11-2020,805,2512,3327,345,2696,1314,5386,883,1712,1747,3084,3978,6122,2325,24753,4302,1266,1077,1835,3079,20009
10-12-2020,805,2512,3327,345,2696,1314,5386,883,1712,1747,3084,3978,6122,2325,24753,4302,1266,1077,1835,3079,20009
10-13-2020,825,2570,3358,360,2760,1417,5490,894,1742,1804,3234,4086,6312,2347,25411,4488,1287,1110,1850,3141,20269
