Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Cherkasy Oblast,Chernihiv Oblast,Chernivtsi Oblast,Crimea Republic*,Dnipropetrovsk Oblast,Donetsk Oblast,Ivano-Frankivsk Oblast,Kharkiv Oblast,Kherson Oblast,Khmelnytskyi Oblast,Kiev,Kiev Oblast,Kirovohrad Oblast,Luhansk Oblast,Lviv Oblast,Mykolaiv Oblast,Odessa Oblast,Poltava Oblast,Rivne Oblast,Sevastopol*,Sumy Oblast,Ternopil Oblast,Vinnytsia Oblast,Volyn Oblast,Zakarpattia Oblast,Zaporizhia Oblast,Zhytomyr Oblast
Country/Region,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
06-01-2020,82,108,2288,153,656,70,521,628,14,209,2321,1167,89,7,1225,133,654,8,845,28,25,238,402,647,773,182,312
06-02-2020,79,119,2286,137,656,66,516,609,14,202,2284,1188,88,7,1238,114,654,9,824,29,22,233,394,652,778,184,319
06-03-2020,80,134,2278,129,662,64,520,616,15,199,2308,1198,94,9,1314,106,665,6,840,28,23,226,377,654,774,192,294
06-04-2020,86,168,2282,109,587,60,520,646,15,210,2292,1164,91,10,1363,106,625,6,846,27,26,236,384,663,705,186,345
06-05-2020,82,166,2290,102,542,71,529,671,11,184,2343,1202,98,8,1433,112,623,4,883,25,29,244,379,684,701,183,358
06-06-2020,95,172,2326,100,460,77,531,680,11,176,2412,1178,103,9,1480,105,600,5,892,26,29,252,378,708,703,188,355
06-07-2020,99,190,2364,105,417,105,528,654,4,168,2453,1189,110,11,1531,107,606,6,918,28,30,265,397,721,724,195,365
06-08-2020,105,210,2413,116,397,104,547,662,4,168,2525,1198,110,11,1567,107,608,6,942,29,30,281,403,747,748,196,381
06-09-2020,126,215,2427,111,320,108,522,654,4,167,2519,1222,112,11,1607,107,616,5,957,24,35,292,427,780,787,195,419
06-10-2020,136,231,2429,114,278,119,541,658,4,158,2515,1232,109,11,1655,103,592,7,962,24,34,300,405,867,787,191,455
06-11-2020,139,252,2458,101,264,141,567,662,3,154,2534,1265,86,10,1738,101,606,7,966,24,39,328,408,898,802,192,455
06-12-2020,146,277,2468,119,259,151,578,677,2,128,2549,1245,85,9,1838,103,625,8,991,25,38,339,465,895,793,178,469
06-13-2020,161,295,2490,122,247,156,604,727,2,123,2587,1212,76,10,1962,101,640,8,977,26,40,366,497,869,862,170,468
06-14-2020,168,320,2527,143,255,158,625,748,3,126,2652,1229,76,9,2087,102,658,8,1015,30,47,381,519,907,908,176,479
06-15-2020,177,333,2551,169,255,200,645,742,6,129,2703,1214,80,10,2206,102,675,8,1007,29,59,419,538,946,952,178,521
06-16-2020,185,336,2583,172,258,204,681,781,6,124,2729,1181,73,13,2337,98,689,8,1047,25,55,433,542,994,978,179,522
06-17-2020,174,323,2588,173,263,200,713,816,6,128,2702,1172,69,17,2478,99,713,9,1070,27,56,450,561,1016,1017,156,552
06-18-2020,173,326,2550,177,259,201,742,855,7,113,2703,1135,77,19,2630,97,688,14,1142,29,62,479,585,1034,1059,150,550
06-19-2020,176,337,2570,176,240,200,782,866,8,120,2748,1104,72,19,2766,67,671,14,1173,30,63,528,578,1073,1074,146,571
06-20-2020,179,345,2563,180,237,202,815,874,8,121,2764,1075,74,19,2900,77,662,15,1221,32,69,562,608,1143,1173,144,575
06-21-2020,189,353,2590,185,243,209,848,882,8,116,2836,1097,82,19,2998,86,696,16,1310,37,70,598,618,1182,1253,147,603
06-22-2020,189,339,2612,198,243,209,888,870,10,115,2879,1090,88,19,3192,94,732,18,1380,38,71,628,618,1252,1289,148,614
06-23-2020,176,331,2601,190,246,215,923,886,10,114,2913,1097,79,20,3407,88,750,20,1442,45,74,638,625,1290,1385,145,608
06-24-2020,166,339,2587,184,185,223,944,888,10,109,2987,1138,80,21,3603,88,780,24,1521,44,81,665,638,1293,1440,145,599
06-25-2020,163,351,2591,186,153,241,990,899,10,115,3039,1140,81,21,3792,95,875,21,1561,42,77,686,634,1362,1520,143,623
06-26-2020,165,359,2604,173,155,244,1027,898,12,183,3135,1135,84,21,3985,97,871,23,1616,46,76,721,649,1356,1557,139,620
06-27-2020,160,364,2598,160,151,243,1057,941,12,224,3274,1141,82,18,4136,102,821,28,1704,47,73,724,625,1410,1632,131,603
06-28-2020,164,371,2630,160,151,307,1103,939,12,233,3282,1169,84,22,4299,145,855,29,1764,50,71,734,626,1475,1699,134,621
06-29-2020,164,380,2674,193,151,309,1153,948,12,238,3320,1178,80,22,4408,151,875,31,1818,51,72,746,639,1559,1762,135,629
06-30-2020,160,381,2718,175,151,309,1196,968,12,242,3366,1203,79,22,4542,153,939,33,1873,54,70,751,657,1614,1855,137,629
07-01-2020,146,383,2751,163,141,309,1239,982,14,239,3432,1204,75,21,4632,154,951,36,1899,52,62,741,627,1648,1913,130,548
07-02-2020,142,391,2741,170,137,386,1279,986,12,232,3489,1206,68,24,4728,149,951,34,1932,47,60,752,615,1702,1974,117,542
07-03-2020,122,398,2704,142,145,420,1333,1001,13,231,3502,1248,69,24,4853,152,981,35,1947,47,59,747,619,1725,2037,120,508
07-04-2020,114,404,2667,136,128,416,1366,1033,12,220,3582,1193,67,23,5010,152,989,35,1950,47,56,766,610,1795,2113,127,467
07-05-2020,118,415,2656,144,117,497,1408,1057,11,227,3629,1211,67,20,5145,139,1018,37,1981,53,64,787,606,1836,2212,136,481
07-06-2020,127,419,2612,182,115,498,1424,1054,11,228,3677,1223,66,20,5172,140,1031,37,2034,53,68,796,603,1836,2263,136,488
07-07-2020,133,418,2543,169,112,503,1455,1085,9,220,3698,1232,65,21,5310,132,1062,35,1955,53,58,776,581,1845,2312,126,445
07-08-2020,139,369,2473,181,97,500,1488,1106,14,240,3760,1175,62,18,5418,122,1096,35,1954,52,54,784,558,1724,2295,117,391
07-09-2020,127,348,2408,168,105,506,1538,1140,14,229,3788,1190,63,20,5517,108,1163,33,1938,54,52,779,544,1626,2379,108,390
07-10-2020,119,317,2320,167,99,506,1580,1154,16,223,3835,1165,55,17,5582,100,1178,27,1874,55,52,789,541,1455,2423,98,373
07-11-2020,120,298,2251,174,95,499,1634,1161,15,223,3933,1133,52,20,5692,97,1167,21,1741,55,41,816,523,1330,2507,83,358
07-12-2020,126,311,2215,198,88,500,1692,1132,15,162,4000,1148,55,20,5763,101,1200,21,1780,58,40,806,520,1352,2512,92,369
07-13-2020,129,312,2168,214,88,500,1733,1123,15,132,4006,1172,56,20,5808,102,1190,24,1844,68,40,811,531,1381,2584,84,379
07-14-2020,122,306,2119,208,78,503,1770,1135,15,119,4101,1107,54,21,5924,90,1198,22,1753,68,38,811,548,1325,2614,81,351
07-15-2020,134,318,2009,213,86,476,1819,1168,16,122,4211,1016,48,22,6065,93,1253,19,1598,68,40,812,533,1203,2591,85,312
07-16-2020,142,322,1914,213,84,472,1867,1184,14,119,4327,945,47,23,6181,90,1288,23,1522,64,38,834,510,1119,2618,87,309
07-17-2020,157,309,1841,221,93,473,1904,1225,14,116,4243,971,43,23,6246,91,1322,27,1461,58,42,820,504,1114,2585,103,312
07-18-2020,173,309,1754,197,95,483,1961,1260,14,123,4309,951,33,25,6358,95,1340,25,1352,52,42,831,496,1051,2624,104,301
07-19-2020,184,319,1682,209,117,484,2040,1273,17,133,4389,950,37,24,6368,98,1380,28,1388,50,57,848,524,1066,2656,108,308
07-20-2020,194,319,1622,235,119,486,2070,1246,17,132,4446,972,38,24,6301,107,1419,30,1333,62,58,864,541,1063,2731,107,317
07-21-2020,190,325,1579,221,132,488,2126,1258,20,142,4451,966,41,26,6308,103,1472,30,1241,61,43,838,518,1025,2708,109,310
07-22-2020,188,302,1508,219,168,456,2181,1270,21,137,4517,903,37,26,6309,105,1482,33,1114,58,54,865,516,973,2698,114,312
07-23-2020,200,279,1459,207,182,391,2244,1277,21,125,4604,867,37,31,6343,96,1446,42,1117,57,62,892,505,967,2695,123,295
07-24-2020,207,228,1408,227,205,317,2314,1310,17,125,4600,851,32,33,6448,99,1482,48,1102,57,63,887,517,925,2718,124,306
07-25-2020,208,235,1378,215,219,329,2362,1341,15,136,4648,841,31,31,6556,98,1576,55,1116,77,75,936,540,918,2769,128,301
07-26-2020,206,256,1353,236,231,336,2432,1305,15,147,4743,882,33,31,6654,104,1637,60,1175,78,93,980,557,963,2806,137,301
07-27-2020,210,265,1335,263,232,336,2503,1311,16,147,4813,927,35,31,6644,117,1687,60,1223,77,108,1022,597,997,2838,150,314
07-28-2020,204,262,1307,258,234,260,2565,1353,17,150,4841,956,34,31,6736,115,1758,66,1228,68,116,1063,611,978,2864,150,303
07-29-2020,192,224,1256,263,263,237,2667,1371,20,159,4923,967,33,32,6814,110,1814,75,1256,66,125,1077,617,951,2909,164,297
07-30-2020,182,243,1239,251,279,208,2719,1390,20,171,5122,972,37,27,6868,124,1828,90,1209,58,139,1134,633,927,2915,167,324
07-31-2020,174,277,1229,249,281,224,2776,1432,22,189,5168,993,35,31,6952,131,1881,96,1243,54,138,1167,639,943,2910,172,336
08-01-2020,189,297,1227,270,269,220,2880,1484,19,201,5227,1026,33,26,7057,142,1915,100,1266,51,152,1204,639,956,2954,182,374
08-02-2020,196,337,1261,303,277,229,2984,1543,20,215,5324,1062,35,25,7146,161,2012,113,1297,54,170,1240,663,1016,2987,189,398
08-03-2020,200,354,1238,322,293,229,3088,1565,20,224,5425,1064,36,25,7249,182,2080,113,1341,56,182,1250,674,1072,3003,212,425
08-04-2020,188,363,1205,345,313,230,3122,1673,18,226,5480,1046,32,25,7288,172,2142,114,1356,56,179,1243,671,1064,3048,209,435
08-05-2020,185,347,1174,344,321,233,3167,1770,22,237,5585,1042,32,29,7319,176,2213,120,1298,53,185,1243,687,1031,3061,229,469
