Admin2,,,,,,,,,,,,,,,,
Province/State,Alberta,British Columbia,Diamond Princess,Grand Princess,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated Travellers,Saskatchewan,Yukon
Country/Region,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
03-26-2020,486,725,0,13,36,33,82,1,73,,858,5,1632,0,95,3
03-27-2020,542,725,0,13,39,45,102,1,90,,994,9,2024,0,95,3
03-28-2020,542,884,0,13,64,51,120,1,110,,1144,11,2498,0,134,4
03-29-2020,621,884,0,13,72,66,135,1,122,,1355,11,2840,0,156,4
03-30-2020,661,970,0,13,96,68,148,1,127,,1706,18,3430,0,156,4
03-31-2020,690,1013,0,13,103,70,152,1,147,,1966,21,4162,0,184,5
04-01-2020,754,1013,0,13,127,81,175,2,173,,2392,21,4611,0,193,5
04-02-2020,969,1121,0,13,167,91,183,2,193,,2793,22,5518,0,206,6
04-03-2020,969,1174,0,13,182,91,195,2,207,,3255,22,6101,0,220,6
04-04-2020,1075,1203,0,13,182,91,195,4,236,,3630,22,6101,0,220,6
04-05-2020,1181,1203,0,13,203,98,217,4,262,,4354,22,7944,0,249,6
04-06-2020,1250,1266,0,13,203,103,226,5,293,,4347,22,8580,0,249,6
04-07-2020,1373,1266,0,13,217,105,228,5,310,,4726,22,9340,0,260,7
04-08-2020,1373,1291,0,13,217,105,228,5,310,,5276,25,10031,0,260,7
04-09-2020,1423,1336,0,13,221,108,232,5,342,,5759,25,10912,0,271,7
04-10-2020,1451,1370,0,13,230,112,239,5,407,,6237,25,11677,0,285,8
04-11-2020,1567,1445,0,13,243,112,241,5,428,,6648,25,12292,0,289,8
04-12-2020,1567,1445,0,13,242,114,242,5,445,,7049,25,12846,0,298,8
04-13-2020,1732,1490,0,13,246,116,244,5,474,,7470,25,13557,0,300,8
04-14-2020,1870,1490,0,13,246,116,244,5,517,,7953,25,14248,0,300,8
04-15-2020,1870,1517,0,13,246,117,247,5,549,,8447,26,14860,0,304,8
04-16-2020,1996,1561,0,13,250,117,252,5,579,,9840,26,15857,0,305,8
04-17-2020,2397,1575,0,13,250,117,256,5,606,,10456,26,16798,0,307,8
04-18-2020,2562,1618,0,13,253,117,257,5,649,,11013,26,17521,0,313,9
04-19-2020,2803,1647,0,13,254,118,257,5,675,,11561,26,17950,0,315,9
04-20-2020,2908,1647,0,13,254,118,257,5,721,,12063,26,19319,0,316,11
04-21-2020,3095,1724,0,13,255,118,257,5,737,,12715,26,20126,0,320,11
04-22-2020,3401,1795,0,13,257,118,256,5,772,,13718,26,20965,0,326,11
04-23-2020,3720,1824,0,13,262,118,256,5,827,,14068,26,21838,0,331,11
04-24-2020,4017,1853,0,13,263,118,256,5,,,14550,26,22616,0,341,11
04-25-2020,4233,1948,0,13,267,118,257,5,,,15012,26,23267,0,349,11
04-26-2020,4480,1948,0,13,271,118,258,5,,,15568,26,24109,0,353,11
04-27-2020,4696,1998,0,13,273,118,258,5,900,,15970,26,24983,0,365,11
04-28-2020,4850,2053,0,13,273,118,258,5,915,,16500,27,25761,0,366,11
04-29-2020,5165,2087,0,13,275,118,258,5,935,,16978,27,26610,0,383,11
04-30-2020,5355,2112,0,13,277,118,258,5,947,,17395,27,27550,0,389,11
05-01-2020,5573,2145,1,13,281,118,259,5,959,,17880,27,28656,0,415,11
05-02-2020,5670,2171,1,13,282,118,259,5,963,,18321,27,29664,0,421,11
05-03-2020,5766,2171,1,13,282,118,259,5,971,,18574,27,31873,0,433,11
05-04-2020,5836,2224,1,13,283,118,259,5,985,,19097,27,32631,0,467,11
05-05-2020,5893,2232,1,13,284,119,259,5,991,,19468,27,33425,0,487,11
05-06-2020,5963,2255,1,13,286,120,259,5,998,,19910,27,34334,0,512,11
05-07-2020,6017,2288,1,13,283,120,261,5,1007,,20388,27,35249,0,531,11
05-08-2020,6098,2315,1,13,284,120,261,5,1008,,20826,27,36161,0,544,11
05-09-2020,6157,2330,1,13,284,120,261,5,1011,,21148,27,36997,0,553,11
05-10-2020,6253,2330,1,13,287,120,261,5,1018,,21469,27,37732,0,564,11
05-11-2020,6300,2353,1,13,289,120,261,5,1019,,21817,27,38480,0,568,11
05-12-2020,6345,2360,1,13,290,120,261,5,1020,,22158,27,39235,0,573,11
05-13-2020,6407,2376,1,13,290,120,261,5,1024,,22516,27,39940,0,577,11
05-14-2020,6457,2392,1,13,289,120,261,5,1026,,22865,27,40732,,582,11
05-15-2020,6515,2407,1,13,289,120,260,5,1034,,23258,27,41429,,590,11
05-16-2020,6587,2428,1,13,289,120,260,5,1037,,23645,27,42192,,591,11
05-17-2020,6644,2428,1,13,289,120,260,5,1040,,23974,27,42928,,592,11
05-18-2020,6683,2444,1,13,290,120,260,5,1043,,24286,27,43636,,592,11
05-19-2020,6716,2446,1,13,290,120,260,5,1044,,24755,27,44206,,599,11
05-20-2020,6735,2467,1,13,290,120,260,5,1045,,25197,27,44784,,620,11
05-21-2020,6768,2479,1,13,290,121,260,5,1046,,25595,27,45504,,622,11
05-22-2020,6800,2507,1,13,292,121,260,5,1048,,26085,27,46150,,627,11
05-23-2020,6818,2517,1,13,292,121,260,5,1049,,26560,27,46847,,630,11
05-24-2020,6860,2517,1,13,292,121,260,5,1050,,26897,27,47420,,632,11
05-25-2020,6879,2530,1,13,292,121,260,5,1051,,27302,27,47993,,634,11
05-26-2020,6901,2541,1,13,292,122,260,5,1052,,27624,27,48607,,634,11
05-27-2020,6926,2550,1,13,292,123,260,5,1053,,27943,27,49148,,637,11
05-28-2020,6955,2558,1,13,294,126,261,5,1055,,28320,27,49711,,639,11
05-29-2020,6979,2562,1,13,294,128,261,5,1055,,28700,27,50232,,641,11
05-30-2020,6992,2573,1,13,294,129,261,5,1056,,29023,27,50651,,645,11
05-31-2020,7010,2573,1,13,295,132,261,5,1056,,29390,27,51059,,646,11
06-01-2020,7044,2597,1,13,295,132,261,5,1057,,29845,27,51354,,646,11
06-02-2020,7057,2601,,13,297,133,261,5,1057,,30259,27,51593,,646,11
06-03-2020,7076,2623,0,13,298,135,261,5,1058,,30603,27,51884,,647,11
06-04-2020,7091,2632,0,13,298,136,261,5,1058,,30946,27,52143,,648,11
06-05-2020,7098,2632,0,13,300,136,261,5,1058,,31359,27,52398,,649,11
06-06-2020,7138,2632,0,13,300,136,261,5,1058,,31620,27,52624,,650,11
06-07-2020,7138,2632,0,13,300,137,261,5,1059,,32096,27,52849,,650,11
06-08-2020,7202,2659,0,13,300,146,261,5,1059,,32395,27,53047,,654,11
