Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Caldas,Capital District,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres y Providencia,Santander,Sucre,Tolima,Unknown,Valle del Cauca,Vaupes,Vichada
Country/Region,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
06-08-2020,2029,1574,2,6761,4221,225,175,13329,25,36,158,449,472,226,1403,6,1,259,109,780,991,1700,145,11,121,278,17,167,131,293,64,4677,11,1
06-09-2020,2029,1574,2,6761,4221,225,175,13329,25,36,158,449,472,226,1403,6,1,259,109,780,991,1700,145,11,121,278,17,167,131,293,64,4677,11,1
06-10-2020,2033,1648,2,7096,4364,227,179,13709,25,36,160,470,488,231,1454,6,2,259,113,799,999,1794,148,11,122,286,17,194,143,295,64,4820,11,1
06-11-2020,2066,1704,2,7502,4484,231,185,14132,25,36,163,496,556,235,1491,7,2,259,113,819,1001,1989,148,11,122,294,17,202,166,298,64,4978,11,1
06-12-2020,2075,1731,2,7931,4623,236,188,14537,25,36,166,499,576,243,1585,7,2,267,115,833,1003,2030,148,12,123,302,17,208,174,314,66,5258,11,1
06-13-2020,2091,1782,2,8597,4755,236,191,14940,25,37,169,504,582,248,1644,7,2,267,115,850,1010,2057,148,12,124,308,18,211,196,343,68,5443,11,1
06-14-2020,2111,1884,2,9077,4905,241,191,15458,25,37,178,528,680,253,1732,7,2,272,121,920,1011,2081,156,13,125,315,18,222,213,382,75,5633,27,1
06-15-2020,2131,2147,45,10882,5256,251,200,16404,25,38,189,554,715,279,1789,7,5,276,138,973,1025,2171,162,13,128,323,19,253,240,394,74,6077,27,1
06-16-2020,2131,2147,45,10882,5256,251,200,16404,25,38,189,554,715,279,1789,7,5,276,138,973,1025,2171,162,13,128,323,19,253,240,394,74,6077,27,1
