Admin2,,,
Province/State,Faroe Islands,Greenland,
Country/Region,Denmark,Denmark,Denmark
03-23-2020,118,4,1450
03-24-2020,122,5,1591
03-25-2020,132,6,1724
03-26-2020,140,6,1877
03-27-2020,144,10,2046
03-28-2020,155,10,2201
03-29-2020,159,10,2395
03-30-2020,168,10,2577
03-31-2020,169,10,2860
04-01-2020,173,10,3107
04-02-2020,177,10,3386
04-03-2020,179,10,3757
04-04-2020,181,11,4077
04-05-2020,181,11,4369
04-06-2020,183,11,4681
04-07-2020,184,11,5071
04-08-2020,184,11,5402
04-09-2020,184,11,5635
04-10-2020,184,11,5819
04-11-2020,184,11,5996
04-12-2020,184,11,6174
04-13-2020,184,11,6318
04-14-2020,184,11,6511
04-15-2020,184,11,6681
04-16-2020,184,11,6879
04-17-2020,184,11,7073
04-18-2020,184,11,7242
04-19-2020,185,11,7384
04-20-2020,185,11,7515
04-21-2020,185,11,7695
04-22-2020,185,11,7912
04-23-2020,187,11,8073
04-24-2020,187,11,8210
04-25-2020,187,11,8445
04-26-2020,187,11,8575
04-27-2020,187,11,8698
04-28-2020,187,11,8851
04-29-2020,187,11,9008
04-30-2020,187,11,9158
05-01-2020,187,11,9311
05-02-2020,187,11,9407
05-03-2020,187,11,9523
05-04-2020,187,11,9670
05-05-2020,187,11,9821
05-06-2020,187,11,9938
05-07-2020,187,11,10083
05-08-2020,187,11,10218
05-09-2020,187,11,10319
05-10-2020,187,11,10429
05-11-2020,187,11,10513
05-12-2020,187,11,10591
05-13-2020,187,11,10667
05-14-2020,187,11,10713
05-15-2020,187,11,10791
05-16-2020,187,11,10858
05-17-2020,187,11,10927
05-18-2020,187,11,10968
05-19-2020,187,11,11044
05-20-2020,187,11,11117
05-21-2020,187,11,11182
05-22-2020,187,11,11230
05-23-2020,187,11,11289
05-24-2020,187,12,11360
05-25-2020,187,12,11387
05-26-2020,187,12,11428
05-27-2020,187,13,11480
05-28-2020,187,13,11512
05-29-2020,187,13,11593
05-30-2020,187,13,11633
05-31-2020,187,13,11669
06-01-2020,187,13,11699
06-02-2020,187,13,11734
06-03-2020,187,13,11771
06-04-2020,187,13,11811
06-05-2020,187,13,11875
06-06-2020,187,13,11924
06-07-2020,187,13,11948
06-08-2020,187,13,11962
06-09-2020,187,13,12001
06-10-2020,187,13,12016
06-11-2020,187,13,12035
06-12-2020,187,13,12099
06-13-2020,187,13,12139
06-14-2020,187,13,12193
06-15-2020,187,13,12217
06-16-2020,187,13,12250
06-17-2020,187,13,12294
06-18-2020,187,13,12344
06-19-2020,187,13,12391
06-20-2020,187,13,12391
06-21-2020,187,13,12391
06-22-2020,187,13,12527
06-23-2020,187,13,12561
06-24-2020,187,13,12615
06-25-2020,187,13,12636
06-26-2020,187,13,12675
06-27-2020,187,13,12675
06-28-2020,187,13,12675
06-29-2020,187,13,12751
06-30-2020,187,13,12768
07-01-2020,187,13,12794
07-02-2020,187,13,12815
07-03-2020,187,13,12832
07-04-2020,187,13,12832
07-05-2020,188,13,12832
07-06-2020,188,13,12878
07-07-2020,188,13,12888
07-08-2020,188,13,12900
07-09-2020,188,13,12916
07-10-2020,188,13,12946
07-11-2020,188,13,12946
07-12-2020,188,13,12946
07-13-2020,188,13,13037
07-14-2020,188,13,13061
07-15-2020,188,13,13092
07-16-2020,188,13,13124
07-17-2020,188,13,13173
07-18-2020,188,13,13173
07-19-2020,191,13,13173
07-20-2020,191,13,13262
07-21-2020,191,13,13302
07-22-2020,191,13,13350
07-23-2020,191,13,13390
07-24-2020,191,13,13438
07-25-2020,192,13,13438
07-26-2020,214,13,13438
07-27-2020,214,14,13547
