Admin2,,,,,,,,,,,,
Province/State,French Guiana,French Polynesia,Guadeloupe,Martinique,Mayotte,New Caledonia,Reunion,Saint Barthelemy,Saint Pierre and Miquelon,St Martin,Wallis and Futuna,
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France
04-05-2020,61,41,135,149,147,18,344,6,1,32,,92839
04-06-2020,72,42,135,151,147,18,349,6,1,32,,98010
04-07-2020,72,47,139,152,171,18,358,6,1,32,,109069
04-08-2020,77,51,141,154,171,18,358,6,1,32,,112950
04-09-2020,83,51,141,154,184,18,362,6,1,32,,117749
04-10-2020,83,51,143,155,191,18,382,6,1,32,,124869
04-11-2020,83,51,143,155,196,18,388,6,1,32,,129654
04-12-2020,86,53,143,155,196,18,389,6,1,32,,132591
04-13-2020,86,55,143,157,207,18,391,6,1,32,,136779
04-14-2020,86,55,145,157,217,18,391,6,1,32,,130253
04-15-2020,86,55,145,158,217,18,391,6,1,35,,133470
04-16-2020,86,55,145,158,233,18,394,6,1,35,,145960
04-17-2020,96,55,145,158,245,18,402,6,1,35,,147969
04-18-2020,96,55,148,158,254,18,407,6,1,37,,147969
04-19-2020,96,55,148,163,271,18,408,6,1,37,,152894
04-20-2020,97,56,148,163,271,18,408,6,1,37,,155275
04-21-2020,97,56,148,163,311,18,410,6,1,37,,158050
04-22-2020,97,57,148,164,326,18,410,6,1,38,,155860
04-23-2020,107,57,148,164,326,18,412,6,1,38,,158183
04-24-2020,111,57,149,170,354,18,412,6,1,38,,158636
04-25-2020,111,57,149,175,380,18,417,6,1,38,,160292
04-26-2020,111,57,149,175,401,18,417,6,1,38,,160847
04-27-2020,111,57,149,175,401,18,418,6,1,38,,164589
04-28-2020,125,58,149,175,460,18,418,6,1,38,,167605
04-29-2020,125,58,149,175,460,18,420,6,1,38,,165093
04-30-2020,126,58,151,178,539,18,420,6,1,38,,165764
05-01-2020,128,58,152,179,539,18,422,6,1,38,,165764
05-02-2020,128,58,152,179,539,18,423,6,1,38,,166976
05-03-2020,128,58,152,179,650,18,423,6,1,38,,167272
05-04-2020,133,58,152,181,686,18,424,6,1,38,,167886
05-05-2020,133,60,152,181,739,18,424,6,1,38,,168935
05-06-2020,138,60,152,182,739,18,425,6,1,38,,172465
05-07-2020,138,60,153,183,854,18,427,6,1,38,,173040
05-08-2020,141,60,154,186,854,18,426,6,1,38,,174318
05-09-2020,141,60,154,186,988,18,431,6,1,39,,174758
05-10-2020,144,60,154,186,1023,18,436,6,1,39,,175027
05-11-2020,144,60,154,187,1023,18,436,6,1,39,,175479
05-12-2020,153,60,155,187,1095,18,437,6,1,39,,176198
05-13-2020,153,60,155,189,1143,18,439,6,1,39,,175981
05-14-2020,164,60,155,189,1210,18,440,6,1,39,,176712
05-15-2020,189,60,155,192,1210,18,441,6,1,39,,177319
05-16-2020,197,60,155,192,1312,18,443,6,1,39,,177207
05-17-2020,197,60,155,192,1342,18,443,6,1,39,,177240
05-18-2020,210,60,155,192,1370,18,446,6,1,39,,177554
05-19-2020,218,60,155,192,1370,18,446,6,1,39,,178428
05-20-2020,237,60,155,192,1475,18,447,6,1,40,,179069
05-21-2020,249,60,155,192,1475,18,449,6,1,40,,179306
05-22-2020,261,60,156,197,1521,18,449,6,1,40,,179306
05-23-2020,279,60,156,197,1521,18,452,6,1,40,,179306
05-24-2020,328,60,161,197,1587,18,452,6,1,40,,179859
05-25-2020,353,60,161,197,1609,18,456,6,1,40,,180166
05-26-2020,384,60,161,197,1634,18,459,6,1,40,,179887
05-27-2020,406,60,161,197,1645,18,460,6,1,40,,180044
05-28-2020,436,60,161,197,1670,19,465,6,1,40,,183309
05-29-2020,450,60,162,200,1699,19,470,6,1,40,,183816
05-30-2020,477,60,162,200,1699,19,471,6,1,41,,185616
05-31-2020,499,60,162,200,1699,19,471,6,1,41,,185851
06-01-2020,499,60,162,200,1934,20,473,6,1,41,,185952
06-02-2020,517,60,162,200,1986,20,477,6,1,41,,184980
06-03-2020,533,60,162,200,1993,20,478,6,1,41,,188836
06-04-2020,556,60,162,200,2058,20,479,6,1,41,,185986
06-05-2020,589,60,164,202,2079,20,480,6,1,41,,186538
06-06-2020,639,60,164,202,2079,20,480,6,1,41,,187067
06-07-2020,689,60,164,202,2079,20,480,6,1,41,,187360
06-08-2020,729,60,164,202,2151,20,481,6,1,41,,187458
06-09-2020,773,60,164,202,2175,21,481,6,1,41,,187599
06-10-2020,865,60,164,202,2226,21,486,6,1,41,,187996
06-11-2020,917,60,164,202,2240,21,487,6,1,41,,188354
06-12-2020,1043,60,171,202,2268,21,488,6,1,42,,188918
06-13-2020,1161,60,171,202,2282,21,489,6,1,42,,189311
06-14-2020,1255,60,171,202,2298,21,495,6,1,42,,189602
06-15-2020,1326,60,171,202,2310,21,496,6,1,42,,189670
06-16-2020,1421,60,171,202,2333,21,495,6,1,42,,189595
06-17-2020,1554,60,171,202,2345,21,497,6,1,42,,189906
06-18-2020,1758,60,171,221,2383,21,502,6,1,42,,190107
06-19-2020,1969,60,174,236,2394,21,504,6,1,42,,190676
06-20-2020,2163,60,174,236,2404,21,505,6,1,42,,191112
06-21-2020,2441,60,174,236,2404,21,506,6,1,42,,191117
06-22-2020,2458,60,174,236,2434,21,507,6,1,42,,191442
06-23-2020,2593,60,174,236,2434,21,507,6,1,42,,191730
06-24-2020,2827,60,174,236,2467,21,508,6,1,42,,191543
06-25-2020,3033,60,174,236,2508,21,516,6,1,42,,191288
06-26-2020,3270,60,182,242,2508,21,517,6,1,42,,192624
06-27-2020,3461,60,182,242,2508,21,520,6,1,42,,192430
06-28-2020,3461,62,182,242,2508,21,521,6,1,43,,192429
06-29-2020,3774,62,182,242,2560,21,522,6,1,43,,194109
06-30-2020,4004,62,182,242,2603,21,526,6,1,43,,194373
07-01-2020,4268,62,182,242,2643,21,528,6,1,43,,194985
07-02-2020,4444,62,182,242,2650,21,531,6,1,43,,195458
07-03-2020,4558,62,184,249,2661,21,533,6,1,43,,195904
07-04-2020,4913,62,184,249,2661,21,536,6,1,43,,195546
07-05-2020,4913,62,184,249,2661,21,547,6,1,43,,195535
07-06-2020,5054,62,184,249,2679,21,550,6,1,43,,196748
07-07-2020,5178,62,184,249,2688,21,551,6,1,43,,197089
07-08-2020,5459,62,184,249,2688,21,563,6,1,43,,196796
07-09-2020,5558,62,184,249,2702,21,566,6,1,43,,197964
07-10-2020,5704,62,190,255,2711,21,571,6,2,43,,198450
07-11-2020,5949,62,190,255,2711,21,577,6,2,43,,198199
07-12-2020,5949,62,190,255,2711,21,593,6,2,43,,198183
07-13-2020,6170,62,190,255,2724,21,596,6,2,43,,199571
07-14-2020,6229,62,190,255,2724,21,599,6,2,43,,199509
07-15-2020,6299,62,190,255,2743,22,608,6,2,43,,200338
07-16-2020,6393,62,190,255,2778,22,612,6,2,43,,200739
07-17-2020,6509,62,195,255,2782,22,614,6,4,46,,201448
07-18-2020,6655,62,195,262,2782,22,624,6,4,46,,201285
07-19-2020,6655,62,195,262,2782,22,628,6,4,46,,201281
07-20-2020,6745,62,195,262,2808,22,631,6,4,46,,203242
07-21-2020,6851,62,195,262,2824,22,639,6,4,46,,203696
07-22-2020,6883,62,195,262,2839,22,645,6,4,46,,204641
07-23-2020,7086,62,195,262,2862,22,646,6,4,46,,205476
