Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Country/Region,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
05-14-2020,3136,389,1143,4639,27056,3161,7291,8995,83820,6603,403,2578,4315,29209,4357,1345,3366,9859,1420,1166,18845
05-15-2020,3148,389,1144,4654,27110,3175,7364,9060,84119,6619,407,2578,4318,29346,4366,1348,3374,9883,1422,1172,18889
05-16-2020,3178,390,1151,4668,27182,3183,7396,9111,84518,6642,410,2578,4326,29483,4374,1352,3382,9913,1422,1173,18928
05-17-2020,3186,392,1151,4684,27232,3191,7446,9159,84844,6667,411,2581,4338,29547,4379,1353,3388,9948,1424,1173,18941
05-18-2020,3193,392,1151,4695,27267,3198,7485,9191,85019,6678,422,2582,4351,29619,4386,1353,3395,9961,1424,1174,18950
05-19-2020,3197,393,1153,4707,27314,3203,7505,9257,85481,6675,422,2587,4358,29727,4396,1354,3403,9968,1427,1175,18997
05-20-2020,3205,393,1156,4714,27364,3209,7533,9289,85775,6677,422,2587,4368,29885,4407,1355,3411,9982,1427,1175,19030
05-21-2020,3212,394,1156,4723,27417,3215,7558,9344,86091,6689,423,2587,4378,29990,4413,1356,3417,10000,1429,1176,19038
05-22-2020,3220,394,1157,4733,27470,3227,7589,9389,86384,6697,426,2590,4388,30077,4440,1356,3421,10035,1429,1177,19059
05-23-2020,3221,398,1157,4744,27513,3233,7607,9427,86825,6701,431,2590,4395,30137,4448,1356,3421,10047,1430,1177,19069
05-24-2020,3226,399,1157,4749,27558,3236,7627,9480,87110,6714,432,2593,4404,30180,4458,1356,3423,10062,1430,1178,19086
05-25-2020,3227,399,1157,4755,27587,3240,7643,9497,87258,6716,432,2593,4405,30228,4467,1354,3427,10067,1430,1179,19097
05-26-2020,3230,399,1157,4767,27611,3251,7661,9550,87417,6718,432,2593,4415,30314,4469,1354,3430,10070,1431,1181,19105
05-27-2020,3235,399,1158,4773,27627,3255,7672,9589,87801,6718,434,2593,4422,30387,4479,1355,3435,10082,1431,1181,19113
05-28-2020,3237,399,1158,4777,27701,3262,7693,9605,88183,6719,435,2595,4425,30445,4481,1355,3438,10086,1431,1182,19125
05-29-2020,3237,399,1158,4787,27739,3267,7709,9619,88537,6723,436,2595,4428,30501,4482,1356,3440,10088,1431,1182,19134
05-30-2020,3237,399,1158,4797,27759,3271,7715,9651,88758,6727,436,2596,4429,30583,4490,1356,3442,10100,1431,1183,19146
05-31-2020,3222,399,1158,4802,27790,3273,7728,9663,88968,6730,436,2597,4430,30637,4494,1356,3443,10104,1431,1184,19152
06-01-2020,3245,399,1158,4806,27809,3274,7738,9719,89018,6730,436,2598,4432,30658,4498,1357,3443,10107,1431,1187,19154
06-02-2020,3249,399,1158,4809,27828,3276,7743,9734,89205,6734,436,2598,4432,30715,4498,1357,3447,10117,1431,1187,19162
06-03-2020,3252,399,1158,4821,27842,3276,7753,9751,89442,6735,436,2598,4433,30734,4499,1357,3447,10121,1431,1187,19164
06-04-2020,3255,399,1158,4822,27860,3279,7764,9772,89526,6738,436,2598,4433,30758,4503,1357,3447,10122,1431,1187,19168
06-05-2020,3257,399,1159,4822,27877,3280,7773,9786,89928,6740,436,2599,4433,30807,4507,1359,3448,10129,1431,1187,19174
06-06-2020,3258,399,1159,4822,27894,3283,7801,9799,90070,6742,436,2600,4434,30845,4511,1362,3450,10134,1431,1189,19182
06-07-2020,3265,399,1159,4826,27908,3283,7812,9812,90195,6745,436,2603,4435,30855,4511,1362,3451,10135,1432,1191,19183
06-08-2020,3265,399,1159,4828,27928,3284,7828,9826,90389,6747,436,2604,4436,30869,4512,1362,3452,10144,1432,1191,19187
06-09-2020,3266,400,1159,4833,27946,3284,7851,9834,90581,6747,438,2604,4439,30890,4512,1361,3454,10145,1435,1191,19191
06-10-2020,3266,400,1159,4834,27970,3286,7869,9854,90680,6750,439,2604,4439,30916,4512,1361,3455,10148,1436,1191,19194
06-11-2020,3267,401,1161,4837,27995,3287,7889,9864,90932,6751,439,2606,4441,30958,4513,1362,3455,10158,1436,1191,19199
06-12-2020,3271,401,1161,4608,28028,3290,7916,9871,91204,6752,439,2608,4443,30989,4515,1363,3455,10165,1436,1191,19199
06-13-2020,3275,401,1162,4608,28056,3296,7941,9875,91414,6754,439,2610,4446,31029,4515,1363,3456,10172,1436,1191,19212
06-14-2020,3279,401,1162,4609,28073,3296,7955,9879,91658,6758,439,2613,4447,31059,4515,1363,3457,10180,1436,1191,19219
06-15-2020,3279,401,1162,4613,28084,3296,7958,9887,91917,6762,439,2611,4448,31061,4516,1363,3458,10188,1436,1191,19220
06-16-2020,3280,401,1162,4613,28097,3297,7967,9891,92060,6763,439,2611,4448,31090,4516,1365,3460,10191,1437,1191,19221
06-17-2020,3281,401,1162,4614,28111,3299,7977,9896,92302,6764,440,2611,4449,31131,4516,1366,3462,10193,1437,1191,19225
06-18-2020,3281,401,1165,4615,28143,3301,7986,9903,92518,6768,440,2613,4457,31162,4519,1367,3464,10195,1437,1191,19233
06-19-2020,3280,401,1165,4615,28170,3303,7995,9910,92675,6768,441,2615,4458,31188,4520,1368,3070,10205,1438,1191,19235
06-20-2020,3281,401,1167,4615,28198,3304,8009,9920,92840,6768,441,2618,4458,31215,4525,1369,3070,10207,1438,1193,19238
06-21-2020,3281,401,1173,4617,28221,3305,8017,9927,92968,6768,441,2622,4463,31241,4527,1369,3072,10210,1438,1193,19245
06-22-2020,3282,401,1174,4624,28243,3305,8025,9935,93111,6774,444,2633,4464,31248,4527,1369,3072,10211,1438,1193,19247
06-23-2020,3282,401,1175,4634,28260,3305,8033,9939,93173,6775,444,2633,4465,31254,4529,1360,3073,10217,1438,1193,19250
06-24-2020,3283,401,1175,4645,28304,3305,8039,9940,93261,6779,444,2634,4852,31276,4529,1361,3074,10222,1439,1194,19253
06-25-2020,3284,401,1175,4662,28351,3305,8051,9954,93431,6781,444,2634,4855,31296,4530,1362,3076,10224,1439,1194,19257
06-26-2020,3285,401,1178,4665,28393,3307,8064,9958,93587,6783,445,2634,4859,31311,4531,1362,3076,10226,1440,1194,19262
06-27-2020,3285,401,1179,4665,28435,3307,8082,9963,93664,6785,445,2636,4860,31322,4531,1363,3077,10238,1440,1194,19264
06-28-2020,3286,401,1180,4665,28456,3308,8096,9967,93761,6785,445,2637,4863,31336,4531,1364,3077,10243,1440,1194,19275
06-29-2020,3287,402,1180,4666,28472,3308,8105,9974,93839,6785,445,2639,4863,31338,4531,1364,3078,10248,1440,1194,19278
06-30-2020,3287,402,1181,4690,28492,3308,8110,9977,93901,6785,445,2639,4863,31349,4531,1366,3080,10250,1441,1195,19286
07-01-2020,3289,402,1181,4699,28508,3312,8119,9982,94010,6786,445,2642,4864,31365,4530,1366,3081,10254,1441,1195,19289
07-02-2020,3292,402,1181,4702,28535,3314,8130,9984,94108,6789,445,2642,4865,31378,4530,1368,3090,10258,1444,1195,19309
07-03-2020,3298,404,1182,4712,28562,3318,8141,9987,94223,6789,445,2642,4871,31394,4533,1369,3091,10267,1446,1196,19314
07-04-2020,3305,404,1183,4714,28613,3326,8172,9991,94318,6789,445,2645,4873,31405,4536,1369,3094,10276,1447,1196,19318
07-05-2020,3309,404,1183,4719,28637,3326,8186,9999,94416,6790,445,2647,4873,31423,4536,1370,3094,10285,1447,1196,19326
07-06-2020,3309,404,1183,4746,28675,3326,8205,10001,94527,6790,445,2647,4873,31429,4536,1371,3095,10287,1447,1196,19327
07-07-2020,3309,404,1184,4747,28706,3327,8210,10003,94580,6791,445,2648,4876,31434,4535,1371,3096,10306,1447,1196,19341
07-08-2020,3310,405,1185,4750,28755,3331,8224,10006,94651,6794,445,2650,4876,31459,4536,1371,3097,10313,1447,1196,19348
07-09-2020,3318,405,1185,4755,28769,3332,8252,10010,94770,6798,445,2653,4876,31475,4536,1371,3098,10314,1447,1196,19358
07-10-2020,3321,405,1186,4762,28822,3333,8275,10025,94905,6799,445,2658,4879,31485,4540,1372,3098,10316,1448,1196,19369
07-11-2020,3323,406,1188,4769,28869,3335,8294,10031,94972,6803,445,2661,4881,31494,4541,1372,3099,10321,1448,1196,19379
07-12-2020,3328,406,1216,4772,28940,3335,8314,10031,95049,6804,446,2666,4881,31498,4541,1372,3099,10322,1450,1196,19395
07-13-2020,3328,406,1216,4779,28958,3335,8338,10032,95143,6804,446,2673,4881,31504,4541,1373,3100,10326,1450,1196,19401
07-14-2020,3328,406,1216,4779,28971,3338,8356,10038,95173,6805,446,2674,4881,31507,4541,1374,3115,10330,1450,1196,19420
07-15-2020,3331,405,1218,4787,28989,3339,8376,10042,95236,6805,446,2677,4881,31515,4541,1376,3115,10338,1452,1196,19441
