Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali,Unknown
Country/Region,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru
05-28-2020,546,3455,152,2921,639,669,9953,916,383,780,2662,1675,3818,7020,87478,3959,402,447,426,6942,322,1093,372,1219,3530,0
05-29-2020,546,3455,152,2921,639,669,9953,916,383,780,2662,1675,3818,7020,87478,3959,402,447,426,6942,322,1093,372,1219,3530,0
05-30-2020,582,3515,171,3335,712,720,12105,1015,430,848,2789,1816,3998,7020,96583,4635,485,477,458,7180,333,1225,375,1219,3645,0
05-31-2020,605,4220,194,3332,748,747,12167,1062,436,885,3334,1848,4660,8484,100526,4715,493,515,463,7504,392,1296,448,1348,4054,0
06-01-2020,608,4444,189,3633,762,786,12495,1103,449,979,3450,1896,4898,8811,103020,5133,519,509,473,8143,386,1335,398,1352,4268,0
06-02-2020,637,4668,198,3727,790,830,12911,1125,455,987,3536,1951,5114,9138,109078,5355,561,508,476,8148,399,1433,447,1226,4467,0
06-03-2020,654,4647,203,3817,826,853,13171,1157,465,1013,3851,2007,5351,9348,108323,5517,611,525,480,7890,398,1502,458,1267,4580,0
06-04-2020,680,5048,221,3961,862,882,13291,1174,487,1068,3919,2089,5392,9440,108680,5757,600,561,512,9510,422,1662,468,1489,5023,0
06-05-2020,732,5226,237,4204,865,875,13410,1182,507,1120,4020,2093,5483,9634,110161,6172,731,668,553,10198,456,1781,504,1501,5087,0
06-06-2020,758,5290,248,4316,886,907,13656,1199,516,1154,4187,2114,5670,9686,112974,6187,743,674,565,10487,462,1847,506,1543,5183,0
06-07-2020,771,5386,259,4460,910,935,13865,1229,528,1176,4330,2158,5841,9829,116159,6225,744,676,574,10716,468,1896,493,1581,5306,0
06-08-2020,823,5443,288,4494,915,947,14017,1260,569,1183,4375,2194,5916,9933,118036,6349,749,712,643,10886,471,1952,535,1585,5421,0
06-09-2020,873,5582,295,4566,958,984,14284,1274,579,1215,4530,2249,6082,10100,120183,6506,807,715,656,11067,476,2052,547,1631,5525,0
06-10-2020,926,5736,314,4620,995,1013,14489,1309,602,1254,4713,2298,6311,10286,122883,6719,832,724,679,11520,497,2206,563,1686,5648,0
06-11-2020,995,5885,319,4764,1028,1062,14830,1344,612,1287,4893,2393,6642,10532,125640,7000,903,728,700,12177,526,2306,572,1736,5914,0
06-12-2020,995,5885,319,4764,1028,1062,14830,1344,612,1287,4893,2393,6642,10532,125640,7000,903,728,700,12177,526,2306,572,1736,5914,0
06-13-2020,1033,6000,331,4881,1071,1135,15200,1368,635,1363,5101,2483,6830,10791,128700,7167,945,738,729,12768,545,2454,582,1814,6085,0
06-14-2020,1170,6294,348,5115,1157,1279,15807,1436,659,1494,5456,2626,7239,11276,132186,7629,1047,746,759,13799,566,2754,607,1937,6350,0
06-15-2020,1179,6410,351,5195,1171,1314,15955,1449,663,1527,5534,2680,7391,11394,134008,7737,1050,747,794,14046,585,2826,611,1975,6400,0
06-16-2020,1349,6509,353,5280,1220,1350,16115,1458,679,1593,5653,2726,7579,11576,136464,7781,1096,768,817,14220,589,2911,624,2008,6438,0
06-17-2020,1407,6649,402,5336,1296,1378,16224,1469,751,1614,5745,2771,7714,11699,138203,7849,1184,829,826,14413,694,3015,680,2115,6645,0
06-18-2020,1440,6746,410,5454,1331,1422,16458,1494,753,1657,5865,2869,7839,11883,139869,7953,1229,833,829,14659,701,3110,688,2136,6760,0
