Admin2,,,,,,,,,,,,,,,,,,,,
Province/State,Andalusia,Aragon,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla - La Mancha,Castilla y Leon,Catalonia,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,Pais Vasco,Unknown
Country/Region,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
05-19-2020,12471,5520,2373,2005,10962,2294,2273,16677,18549,55825,117,2953,9058,4027,66643,121,1558,5202,13409,0
05-20-2020,12502,5551,2374,2018,10949,2300,2277,16739,18586,55888,119,3040,9067,4033,66860,121,1560,5136,13435,0
05-21-2020,12547,5588,2374,2024,10987,2307,2279,16789,18627,55888,119,3042,9077,4033,67049,121,1570,5195,13421,0
05-22-2020,12576,5618,2376,2037,11021,2312,2284,16830,18674,57036,124,3044,9084,4036,67425,121,1572,5200,13454,0
05-23-2020,12597,5627,2377,2039,11051,2321,2287,16855,18737,57114,125,3048,9098,4036,67610,121,1575,5205,13467,0
05-24-2020,12600,5646,2397,2041,11073,2322,2289,16889,18789,57148,124,3047,9105,4036,67871,121,1579,5219,13476,0
05-25-2020,12450,5600,2380,2035,11056,2317,2283,16909,18555,57320,124,2952,9079,4041,67932,121,1573,5195,13478,0
05-26-2020,12612,5600,2399,2111,11089,2323,2283,16992,18591,57569,124,2955,9108,4044,68066,121,1587,5199,13486,0
05-27-2020,12612,5600,2399,2111,11089,2323,2283,16992,18591,57569,124,2955,9108,4044,68066,121,1587,5199,13486,0
05-28-2020,12639,5656,2400,2124,11160,2327,2297,17068,18682,58427,129,2961,9115,4044,68451,121,1593,5223,13489,0
05-29-2020,12655,5671,2401,2129,11191,2333,2298,17122,18747,58699,145,2963,9117,4048,68597,121,1595,5238,13494,0
05-30-2020,12668,5680,2421,2137,11199,2343,2298,17184,18804,59003,145,2964,9120,4051,68740,121,1597,5247,13506,0
05-31-2020,12673,5691,2424,2141,11201,2345,2303,17234,18863,59013,145,2966,9119,4051,68830,121,1597,5254,13508,0
06-01-2020,12679,5695,2425,2142,11228,2347,2303,17259,18907,59019,146,2966,9129,4051,68852,121,1599,5259,13511,0
06-02-2020,12708,5711,2425,2150,11238,2351,2314,17310,18925,59035,155,2971,9130,4052,68960,122,1603,5259,13513,0
06-03-2020,12726,5731,2425,2157,11254,2357,2316,17355,18956,59112,155,2974,9132,4053,69112,122,1605,5261,13523,0
06-04-2020,12743,5734,2425,2164,11265,2361,2316,17393,19009,59163,163,2973,9134,4054,69236,122,1613,5265,13527,0
06-05-2020,12759,5757,2424,2110,11285,2362,2320,17431,19042,59182,163,2976,9146,4056,69423,122,1616,5275,13529,0
06-06-2020,12776,5770,2426,2118,11300,2364,2320,17472,19104,59199,163,2977,9144,4057,69562,122,1616,5285,13535,0
06-07-2020,12783,5781,2427,2125,11314,2369,2321,17505,19161,59209,163,2977,9145,4061,69641,122,1616,5288,13542,0
06-08-2020,12785,5785,2429,2133,11332,2370,2323,17543,19181,59215,163,2977,9141,4062,69695,122,1619,5294,13548,0
06-09-2020,12791,5792,2430,2135,11342,2372,2324,17609,19193,59232,163,2978,9148,4062,69804,122,1619,5295,13555,0
06-10-2020,12800,5806,2431,2137,11361,2372,2324,17640,19222,59298,163,2982,9153,4063,69895,122,1624,5299,13588,0
06-11-2020,12804,5812,2431,2142,11381,2371,2327,17702,19254,59423,163,2983,9154,4063,70051,122,1626,5303,13595,0
06-12-2020,12814,5833,2435,2146,11389,2374,2327,17740,19296,59593,163,2984,9157,4066,70231,122,1628,5308,13603,0
06-13-2020,12823,5836,2437,2152,11393,2377,2332,17776,19324,59706,163,2985,9158,4067,70398,123,1628,5311,13616,0
06-14-2020,12827,5840,2437,2154,11404,2378,2334,17803,19343,59820,163,2987,9159,4068,70521,124,1629,5311,13626,0
06-15-2020,12830,5842,2437,2157,11418,2378,2334,17811,19353,59897,163,2988,9160,4069,70570,124,1629,5311,13638,0
06-16-2020,12835,5845,2438,2163,11421,2382,2336,17828,19365,59944,163,2990,9161,4069,70675,124,1629,5312,13648,0
06-17-2020,12839,5850,2436,2165,11431,2382,2338,17845,19407,60030,163,2992,9164,4070,70799,124,1631,5359,13658,0
06-18-2020,12844,5855,2435,2167,11441,2398,2341,17894,19434,60340,163,2999,9164,4070,70934,124,1631,5364,13670,0
06-19-2020,12864,5880,2435,2169,11451,2402,2342,17894,19466,60450,163,3000,9169,4072,71007,124,1638,5370,13679,0
06-20-2020,12875,5898,2435,2174,11476,2402,2342,17940,19485,60530,163,3001,9167,4073,71144,124,1638,5378,13693,0
06-21-2020,12884,5931,2435,2179,11479,2414,2344,17965,19499,60645,163,3006,9174,4073,71223,124,1645,5381,13708,0
06-22-2020,12892,5964,2435,2187,11486,2414,2344,17987,19516,60714,163,3010,9174,4073,71248,127,1653,5402,13715,0
06-23-2020,12895,6011,2435,2188,11494,2415,2344,17987,19527,60754,163,3011,9175,4073,71359,126,1653,5415,13727,0
06-24-2020,12917,6060,2435,2189,11501,2421,2351,17987,19563,60847,164,3017,9178,4073,71434,126,1655,5426,13742,0
06-25-2020,12957,6112,2435,2191,11509,2423,2351,18021,19585,60927,163,3019,9186,4074,71579,126,1657,5426,13745,0
06-26-2020,12984,6228,2435,2194,11512,2426,2351,18024,19607,61073,163,3025,9193,4076,71632,126,1658,5442,13756,0
06-27-2020,13027,6255,2435,2201,11531,2427,2351,18076,19634,61229,163,3026,9199,4076,71839,126,1658,5450,13766,0
06-28-2020,13045,6304,2435,2205,11537,2427,2362,18094,19634,61355,163,3026,9202,4076,71881,126,1672,5459,13767,0
06-29-2020,13080,6319,2435,2206,11541,2427,2362,18120,19665,61417,163,3027,9206,4076,71885,126,1680,5463,13772,0
06-30-2020,13102,6330,2435,2209,11579,2427,2362,18158,19685,61494,163,3030,9215,4076,71950,126,1684,5463,13783,0
07-01-2020,13139,6353,2435,2216,11588,2432,2363,18160,19730,61639,163,3033,9222,4077,72033,126,1690,5468,13792,0
07-02-2020,13123,6380,2435,2220,11616,2431,2364,18187,19750,61888,163,3040,9239,4078,72096,126,1693,5476,13798,0
07-03-2020,13205,6412,2435,2228,11630,2436,2364,18209,19753,62057,163,3047,9251,4078,72168,126,1697,5477,13809,0
07-04-2020,13205,6412,2435,2228,11630,2436,2364,18209,19753,62057,163,3047,9251,4078,72168,126,1697,5477,13809,0
07-05-2020,13205,6412,2435,2228,11630,2436,2364,18209,19753,62057,163,3047,9251,4078,72168,126,1697,5477,13809,0
07-06-2020,13259,6495,2435,2238,11666,2441,2368,18273,19770,62797,163,3064,9330,4078,72269,126,1706,5483,13828,0
07-07-2020,13275,6519,2435,2239,11685,2443,2368,18291,19773,62943,163,3066,9336,4078,72336,126,1709,5486,13859,0
07-08-2020,13303,6578,2436,2240,11701,2444,2369,18307,19778,63042,163,3076,9371,4079,72409,126,1717,5490,13884,0
07-09-2020,13338,6637,2436,2246,11718,2451,2369,18330,19782,63307,163,3082,9403,4079,72469,126,1721,5496,13903,0
07-10-2020,13386,6632,2437,2249,11740,2450,2369,18343,19787,63888,163,3106,9431,4081,72532,126,1726,5523,13939,0
07-11-2020,13386,6632,2437,2249,11740,2450,2369,18343,19787,63888,163,3106,9431,4081,72532,126,1726,5523,13939,0
07-12-2020,13386,6632,2437,2249,11740,2450,2369,18343,19787,63888,163,3106,9431,4081,72532,126,1726,5523,13939,0
07-13-2020,13510,6861,2437,2270,11794,2457,2374,18392,19790,65086,163,3191,9454,4102,72649,126,1753,5589,13955,0
07-14-2020,13540,6945,2442,2271,11831,2461,2375,18393,19826,65429,163,3202,9461,4104,72695,126,1760,5606,13989,0
07-15-2020,13573,7111,2442,2271,11854,2467,2378,18399,19836,65852,164,3208,9471,4107,72797,128,1766,5627,14043,0
07-16-2020,13663,7384,2442,2277,11892,2481,2380,18413,19855,66570,164,3218,9479,4108,72882,128,1771,5649,14099,0
07-17-2020,13731,7639,2442,2290,11933,2483,2381,18431,19870,67217,164,3243,9494,4111,73026,129,1786,5708,14177,0
07-18-2020,13731,7639,2442,2290,11933,2483,2381,18431,19870,67217,164,3243,9494,4111,73026,129,1786,5708,14177,0
07-19-2020,13731,7639,2442,2290,11933,2483,2381,18431,19870,67217,164,3243,9494,4111,73026,129,1786,5708,14177,0
