Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Blekinge,Dalarna,Gavleborg,Gotland,Halland,Jamtland Harjedalen,Jonkoping,Kalmar,Kronoberg,Norrbotten,Orebro,Ostergotland,Skane,Sormland,Stockholm,Uppsala,Varmland,Vasterbotten,Vasternorrland,Vastmanland,Vastra Gotaland
Country/Region,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
06-05-2020,264,1277,1435,88,870,774,1681,390,897,481,1896,2197,1928,1655,14366,2136,599,518,835,1434,7218
06-06-2020,274,1297,1470,89,887,792,1719,405,916,495,1942,2238,1957,1657,14571,2171,606,523,853,1436,7589
06-07-2020,279,1314,1503,90,913,803,1750,406,916,503,1957,2253,1985,1658,14745,2221,633,532,860,1436,7973
06-08-2020,297,1315,1516,90,920,809,1751,408,930,503,1975,2260,1995,1669,14803,2244,641,535,887,1457,8128
06-09-2020,307,1329,1542,91,937,817,1792,421,935,533,1983,2287,2028,1673,14971,2262,662,539,905,1527,8383
06-10-2020,311,1345,1587,97,963,839,1857,440,950,537,2016,2324,2088,1675,15173,2302,678,548,929,1547,8608
06-11-2020,319,1363,1637,99,994,847,2009,447,961,556,2036,2363,2144,1682,15425,2340,708,555,942,1606,9255
06-12-2020,343,1372,1696,106,1020,862,2137,457,975,570,2077,2418,2198,1688,15673,2400,723,563,971,1683,9752
06-13-2020,357,1375,1737,109,1049,868,2268,469,987,608,2096,2503,2254,1710,15844,2446,745,568,989,1718,10231
06-14-2020,369,1385,1763,109,1060,884,2291,476,1002,608,2099,2515,2270,1715,15971,2450,752,574,994,1718,10609
06-15-2020,379,1395,1794,109,1066,884,2394,479,1004,685,2107,2557,2300,1780,16107,2483,757,575,1035,1750,10743
06-16-2020,382,1398,1835,114,1084,920,2426,495,1005,731,2151,2588,2336,1789,16275,2499,776,577,1039,1820,11083
06-17-2020,389,1405,1895,118,1131,941,2573,504,1017,787,2176,2614,2437,1792,16492,2555,793,588,1067,1833,11455
06-18-2020,402,1410,1933,122,1154,951,2771,514,1021,853,2183,2662,2532,1815,16878,2617,800,599,1094,1904,11828
06-19-2020,402,1410,1933,122,1154,951,2771,514,1021,853,2183,2662,2532,1815,16878,2617,800,599,1094,1904,11828
06-20-2020,402,1410,1933,122,1154,951,2771,514,1021,853,2183,2662,2532,1815,16878,2617,800,599,1094,1904,11828
06-21-2020,402,1410,1933,122,1154,951,2771,514,1021,853,2183,2662,2532,1815,16878,2617,800,599,1094,1904,11828
06-22-2020,414,1457,2007,131,1190,977,3176,542,1033,919,2214,2749,2707,1884,17285,2798,842,631,1166,1957,12853
06-23-2020,417,1466,2064,137,1201,983,3189,563,1038,1012,2236,2896,2742,1952,18334,2825,848,634,1197,2038,13065
06-24-2020,425,1495,2107,144,1271,993,3358,568,1044,1093,2253,2969,2809,1968,18595,2928,863,653,1214,2064,13510
06-25-2020,430,1518,2148,147,1303,1004,3533,581,1046,1136,2279,3011,2897,2008,18852,3017,897,664,1263,2143,14013
06-26-2020,436,1555,2174,147,1331,1008,3685,594,1052,1145,2293,3062,2952,2016,19164,3082,912,678,1283,2184,14384
06-27-2020,436,1555,2174,147,1331,1008,3685,594,1052,1145,2293,3062,2952,2016,19164,3082,912,678,1283,2184,14384
06-28-2020,436,1555,2174,147,1331,1008,3685,594,1052,1145,2293,3062,2952,2016,19164,3082,912,678,1283,2184,14384
06-29-2020,444,1623,2226,154,1442,1032,3963,614,1063,1233,2316,3174,3020,2074,19892,3204,940,694,1338,2215,15006
06-30-2020,444,1626,2264,160,1483,1033,3977,626,1063,1284,2319,3212,3051,2080,20171,3236,951,699,1360,2239,15173
07-01-2020,447,1653,2467,162,1536,1038,4035,645,1066,1326,2333,3217,3072,2123,20547,3299,954,708,1382,2274,15408
07-02-2020,449,1681,2531,162,1538,1039,4102,674,1068,1344,2363,3278,3095,2214,20759,3330,961,722,1403,2298,15628
07-03-2020,452,1739,2559,162,1574,1059,4201,691,1072,1358,2385,3306,3121,2235,20933,3354,975,727,1428,2329,15759
07-04-2020,452,1739,2559,162,1574,1059,4201,691,1072,1358,2385,3306,3121,2235,20933,3354,975,727,1428,2329,15759
