Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Cherkasy Oblast,Chernihiv Oblast,Chernivtsi Oblast,Crimea Republic*,Dnipropetrovsk Oblast,Donetsk Oblast,Ivano-Frankivsk Oblast,Kharkiv Oblast,Kherson Oblast,Khmelnytskyi Oblast,Kiev,Kiev Oblast,Kirovohrad Oblast,Luhansk Oblast,Lviv Oblast,Mykolaiv Oblast,Odessa Oblast,Poltava Oblast,Rivne Oblast,Sevastopol*,Sumy Oblast,Ternopil Oblast,Unknown,Vinnytsia Oblast,Volyn Oblast,Zakarpattia Oblast,Zaporizhia Oblast,Zhytomyr Oblast
Country/Region,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
07-12-2022,163768,126202,150465,184260,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85160,182268,146363,0,149845,132045,112462,215070,192801
07-13-2022,163768,126202,150465,184282,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85172,182268,146363,209501,149845,132045,112462,215070,192801
07-14-2022,163768,126202,150465,184307,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85188,182268,146363,209501,149845,132045,112462,215070,192801
07-15-2022,163768,126202,150465,184338,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85213,182268,146363,210557,149845,132045,112462,215070,192801
07-16-2022,163768,126202,150465,184374,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85232,182268,146363,210557,149845,132045,112462,215070,192801
07-17-2022,163768,126202,150465,184417,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85246,182268,146363,210557,149845,132045,112462,215070,192801
07-18-2022,163768,126202,150465,184465,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85277,182268,146363,210557,149845,132045,112462,215070,192801
07-19-2022,163768,126202,150465,184510,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85295,182268,146363,210557,149845,132045,112462,215070,192801
07-20-2022,163768,126202,150465,184558,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85301,182268,146363,210557,149845,132045,112462,215070,192801
07-21-2022,163768,126202,150465,184610,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85326,182268,146363,210557,149845,132045,112462,215070,192801
07-22-2022,163768,126202,150465,184655,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85354,182268,146363,211988,149845,132045,112462,215070,192801
07-23-2022,163768,126202,150465,184708,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85380,182268,146363,211988,149845,132045,112462,215070,192801
07-24-2022,163768,126202,150465,184770,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85397,182268,146363,211988,149845,132045,112462,215070,192801
07-25-2022,163768,126202,150465,184823,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85433,182268,146363,211988,149845,132045,112462,215070,192801
07-26-2022,163768,126202,150465,184882,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85453,182268,146363,211988,149845,132045,112462,215070,192801
07-27-2022,163768,126202,150465,184949,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85459,182268,146363,211988,149845,132045,112462,215070,192801
07-28-2022,163768,126202,150465,185028,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85488,182268,146363,211988,149845,132045,112462,215070,192801
07-29-2022,163768,126202,150465,185105,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85542,182268,146363,214086,149845,132045,112462,215070,192801
07-30-2022,163768,126202,150465,185190,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85586,182268,146363,214086,149845,132045,112462,215070,192801
07-31-2022,163768,126202,150465,185282,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85651,182268,146363,214086,149845,132045,112462,215070,192801
08-01-2022,163768,126202,150465,185390,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85694,182268,146363,214086,149845,132045,112462,215070,192801
08-02-2022,163768,126202,150465,185509,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85730,182268,146363,214086,149845,132045,112462,215070,192801
08-03-2022,163768,126202,150465,185636,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85757,182268,146363,214086,149845,132045,112462,215070,192801
08-04-2022,163768,126202,150465,185779,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85810,182268,146363,214086,149845,132045,112462,215070,192801
08-05-2022,163768,126202,150465,185948,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85881,182268,146363,216872,149845,132045,112462,215070,192801
08-06-2022,163768,126202,150465,186126,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,85982,182268,146363,216872,149845,132045,112462,215070,192801
08-07-2022,163768,126202,150465,186312,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86073,182268,146363,216872,149845,132045,112462,215070,192801
08-08-2022,163768,126202,150465,186511,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86158,182268,146363,216872,149845,132045,112462,215070,192801
08-09-2022,163768,126202,150465,186701,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86245,182268,146363,216872,149845,132045,112462,215070,192801
08-10-2022,163768,126202,150465,186902,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86266,182268,146363,216872,149845,132045,112462,215070,192801
08-11-2022,163768,126202,150465,187115,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86329,182268,146363,220765,149845,132045,112462,215070,192801
08-12-2022,163768,126202,150465,187340,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86420,182268,146363,220765,149845,132045,112462,215070,192801
08-13-2022,163768,126202,150465,187613,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86632,182268,146363,220765,149845,132045,112462,215070,192801
08-14-2022,163768,126202,150465,187897,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86777,182268,146363,220765,149845,132045,112462,215070,192801
08-15-2022,163768,126202,150465,188176,303551,216052,181629,305661,107686,201270,445098,226220,45117,80033,303357,146174,325462,179994,171031,86890,182268,146363,220765,149845,132045,112462,215070,192801
