Admin2,,,,,,,,
Province/State,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
03-23-2020,0,6,0,0,0,0,0,1
03-24-2020,0,7,0,0,0,0,0,1
03-25-2020,0,7,0,0,0,0,0,1
03-26-2020,0,7,0,1,0,0,3,2
03-27-2020,0,7,0,1,0,0,3,2
03-28-2020,0,8,0,1,0,0,3,2
03-29-2020,0,8,0,2,0,0,4,2
03-30-2020,1,8,0,2,0,0,4,2
03-31-2020,1,8,0,2,0,1,4,2
04-01-2020,1,9,0,2,0,2,4,2
04-02-2020,1,10,0,4,0,2,5,2
04-03-2020,1,12,0,4,0,2,7,2
04-04-2020,2,12,0,4,0,2,8,2
04-05-2020,2,16,0,4,0,2,8,3
04-06-2020,2,18,0,4,0,2,10,4
04-07-2020,2,21,0,4,1,2,11,4
04-08-2020,2,21,0,4,2,3,12,6
04-09-2020,2,21,0,4,3,3,12,6
04-10-2020,2,22,0,4,3,4,13,6
04-11-2020,2,23,0,5,3,4,14,6
04-12-2020,2,24,0,5,4,5,14,6
04-13-2020,2,25,0,5,4,5,14,6
04-14-2020,2,25,0,5,4,6,14,6
04-15-2020,3,25,0,5,4,6,14,6
04-16-2020,3,25,0,5,4,6,14,6
04-17-2020,3,26,0,5,4,7,14,7
04-18-2020,3,26,0,6,4,7,14,7
04-19-2020,3,26,0,6,4,7,14,7
04-20-2020,3,26,0,6,4,7,14,7
04-21-2020,3,26,0,6,4,7,14,7
04-22-2020,3,26,0,6,4,7,14,7
04-23-2020,3,31,0,6,4,8,16,7
04-24-2020,3,33,0,6,4,9,16,8
04-25-2020,3,33,0,6,4,10,16,8
04-26-2020,3,34,0,6,4,11,17,8
04-27-2020,3,34,0,6,4,11,17,8
04-28-2020,3,39,0,6,4,11,18,8
04-29-2020,3,40,0,6,4,12,18,8
04-30-2020,3,41,0,6,4,13,18,8
05-01-2020,3,41,0,6,4,13,18,8
05-02-2020,3,42,0,6,4,13,18,8
05-03-2020,3,42,0,6,4,13,18,9
05-04-2020,3,43,0,6,4,13,18,9
05-05-2020,3,44,0,6,4,13,18,9
05-06-2020,3,44,0,6,4,13,18,9
05-07-2020,3,44,0,6,4,13,18,9
05-08-2020,3,44,0,6,4,13,18,9
05-09-2020,3,44,0,6,4,13,18,9
05-10-2020,3,44,0,6,4,13,18,9
05-11-2020,3,44,0,6,4,13,18,9
05-12-2020,3,45,0,6,4,13,18,9
05-13-2020,3,45,0,6,4,13,18,9
05-14-2020,3,45,0,6,4,13,18,9
05-15-2020,3,45,0,6,4,13,18,9
05-16-2020,3,45,0,6,4,13,18,9
05-17-2020,3,46,0,6,4,13,18,9
05-18-2020,3,46,0,6,4,13,18,9
05-19-2020,3,47,0,6,4,13,18,9
05-20-2020,3,47,0,6,4,13,18,9
05-21-2020,3,48,0,6,4,13,18,9
05-22-2020,3,48,0,6,4,13,18,9
05-23-2020,3,48,0,6,4,13,19,9
05-24-2020,3,48,0,6,4,13,19,9
05-25-2020,3,48,0,6,4,13,19,9
05-26-2020,3,48,0,7,4,13,19,9
05-27-2020,3,48,0,7,4,13,19,9
05-28-2020,3,48,0,7,4,13,19,9
05-29-2020,3,48,0,7,4,13,19,9
05-30-2020,3,48,0,7,4,13,19,9
05-31-2020,3,48,0,7,4,13,19,9
06-01-2020,3,48,0,6,4,13,19,9
06-02-2020,3,48,0,6,4,13,19,9
06-03-2020,3,48,0,6,4,13,19,9
06-04-2020,3,48,0,6,4,13,19,9
06-05-2020,3,48,0,6,4,13,19,9
06-06-2020,3,48,0,6,4,13,19,9
06-07-2020,3,48,0,6,4,13,19,9
06-08-2020,3,48,0,6,4,13,19,9
06-09-2020,3,48,0,6,4,13,19,9
06-10-2020,3,48,0,6,4,13,19,9
06-11-2020,3,48,0,6,4,13,19,9
06-12-2020,3,48,0,6,4,13,19,9
06-13-2020,3,48,0,6,4,13,19,9
06-14-2020,3,48,0,6,4,13,19,9
06-15-2020,3,48,0,6,4,13,19,9
06-16-2020,3,48,0,6,4,13,19,9
06-17-2020,3,48,0,6,4,13,19,9
06-18-2020,3,48,0,6,4,13,19,9
06-19-2020,3,48,0,6,4,13,19,9
06-20-2020,3,48,0,6,4,13,19,9
06-21-2020,3,48,0,6,4,13,19,9
06-22-2020,3,48,0,6,4,13,19,9
06-23-2020,3,48,0,6,4,13,20,9
06-24-2020,3,49,0,6,4,13,20,9
06-25-2020,3,49,0,6,4,13,20,9
06-26-2020,3,49,0,6,4,13,20,9
06-27-2020,3,49,0,6,4,13,20,9
06-28-2020,3,49,0,6,4,13,20,9
06-29-2020,3,49,0,6,4,13,20,9
06-30-2020,3,49,0,6,4,13,20,9
07-01-2020,3,49,0,6,4,13,20,9
07-02-2020,3,49,0,6,4,13,20,9
07-03-2020,3,49,0,6,4,13,20,9
07-04-2020,3,49,0,6,4,13,20,9
07-05-2020,3,49,0,6,4,13,22,9
07-06-2020,3,49,0,6,4,13,22,9
07-07-2020,3,49,0,6,4,13,22,9
07-08-2020,3,49,0,6,4,13,22,9
07-09-2020,3,49,0,6,4,13,22,9
07-10-2020,3,49,0,6,4,13,23,9
07-11-2020,3,49,0,6,4,13,24,9
07-12-2020,3,49,0,6,4,13,24,9
07-13-2020,3,49,0,6,4,13,24,9
07-14-2020,3,49,0,6,4,13,27,9
07-15-2020,3,49,0,6,4,13,29,9
07-16-2020,3,49,0,6,4,13,32,9
07-17-2020,3,49,0,6,4,13,34,9
07-18-2020,3,49,0,6,4,13,38,9
07-19-2020,3,49,0,6,4,13,39,9
07-20-2020,3,49,0,6,4,13,42,9
07-21-2020,3,49,0,6,4,13,44,9
07-22-2020,3,49,0,6,4,13,49,9
07-23-2020,3,49,0,6,4,13,55,9
07-24-2020,3,49,0,6,4,13,61,9
07-25-2020,3,49,0,6,4,13,71,9
07-26-2020,3,49,0,6,4,13,77,9
07-27-2020,3,49,0,6,4,13,83,9
07-28-2020,3,49,0,6,4,13,92,9
07-29-2020,3,49,0,6,4,13,105,9
07-30-2020,3,49,0,6,4,13,112,9
07-31-2020,3,50,0,6,4,13,116,9
08-01-2020,3,50,0,6,4,13,123,9
08-02-2020,3,50,0,6,4,13,136,9
08-03-2020,3,50,0,6,4,13,147,9
08-04-2020,3,50,0,6,4,13,162,9
08-05-2020,3,50,0,6,4,13,170,9
08-06-2020,3,50,0,6,4,13,181,9
08-07-2020,3,50,0,6,4,13,193,9
08-08-2020,3,50,0,6,4,13,210,9
08-09-2020,3,50,0,6,4,13,228,9
08-10-2020,3,50,0,6,4,13,246,9
08-11-2020,3,50,0,6,4,13,267,9
08-12-2020,3,51,0,6,4,13,275,9
08-13-2020,3,51,0,6,4,13,289,9
08-14-2020,3,51,0,6,4,13,293,9
08-15-2020,3,52,0,6,4,13,309,9
08-16-2020,3,52,0,6,4,13,334,9
08-17-2020,3,52,0,6,4,13,351,9
08-18-2020,3,52,0,6,4,13,363,9
08-19-2020,3,52,0,6,4,13,376,9
08-20-2020,3,52,0,6,4,13,385,9
08-21-2020,3,52,0,6,4,13,398,9
08-22-2020,3,52,0,6,4,13,415,9
08-23-2020,3,52,0,6,4,13,430,9
08-24-2020,3,52,0,6,4,13,438,9
08-25-2020,3,52,0,6,4,13,462,9
08-26-2020,3,52,0,6,4,13,485,9
08-27-2020,3,52,0,6,4,13,496,9
08-28-2020,3,52,0,6,4,13,513,9
08-29-2020,3,52,0,6,4,13,524,9
08-30-2020,3,52,0,6,4,13,565,9
08-31-2020,3,52,0,6,4,13,570,9
09-01-2020,3,52,0,6,4,13,576,9
09-02-2020,3,52,0,6,4,13,591,9
09-03-2020,3,52,0,6,4,13,650,9
09-04-2020,3,52,0,6,4,13,661,9
09-05-2020,3,52,0,6,4,13,666,9
09-06-2020,3,52,0,6,4,13,675,9
09-07-2020,3,52,0,6,4,13,683,9
09-08-2020,3,52,0,6,4,13,694,9
09-09-2020,3,52,0,6,4,13,701,9
09-10-2020,3,52,0,6,4,13,710,9
09-11-2020,3,52,0,6,4,13,716,9
09-12-2020,3,52,0,6,4,13,723,9
09-13-2020,3,52,0,6,4,13,729,9
09-14-2020,3,52,0,6,4,13,729,9
