Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Para,Paraiba,Parana,Pernambuco,Piaui,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondonia,Roraima,Santa Catarina,Sao Paulo,Sergipe,Tocantins,Unknown
Country/Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
05-20-2020,76,251,142,1561,362,1900,77,341,78,634,32,17,177,1633,230,137,1834,87,170,161,3237,90,64,94,5363,69,42,0
05-21-2020,78,262,151,1620,376,2161,84,363,85,663,34,17,191,1852,245,141,1925,91,178,166,3412,101,72,98,5558,76,47,0
05-22-2020,80,280,157,1669,399,2251,90,397,93,693,37,17,201,1937,248,146,2057,93,181,172,3657,106,83,100,5773,82,49,0
05-23-2020,87,301,162,1744,413,2308,95,417,95,722,37,17,217,2001,258,150,2144,99,184,176,3905,115,81,103,6045,86,51,0
05-24-2020,92,316,163,1758,460,2324,104,446,95,754,40,17,226,2148,272,153,2200,107,200,180,3993,121,84,105,6163,93,52,0
05-25-2020,97,337,168,1781,477,2493,114,465,96,784,41,17,230,2372,279,156,2248,110,209,197,4105,121,86,109,6220,103,58,0
05-26-2020,105,354,173,1852,495,2603,124,487,104,817,43,17,234,2469,286,159,2328,119,220,203,4361,133,102,121,6423,116,64,0
05-27-2020,113,368,183,1891,531,2671,133,511,108,853,46,18,240,2545,298,162,2468,134,242,209,4605,137,102,126,6712,127,65,0
05-28-2020,122,385,198,1964,570,2733,142,538,115,887,51,18,255,2704,318,169,2566,138,254,213,4856,142,102,131,6980,135,68,0
05-29-2020,135,406,207,2011,609,2859,154,560,119,911,56,18,257,2827,327,173,2669,146,268,213,5079,145,108,134,7275,142,70,0
05-30-2020,142,424,215,2047,638,2956,162,583,122,932,57,19,263,2900,347,181,2740,157,305,218,5277,151,110,136,7532,149,71,0
05-31-2020,148,443,222,2052,667,3010,170,604,124,955,61,20,271,2923,360,182,2807,161,305,224,5344,156,116,143,7615,158,73,0
