Admin2,,,,,,,,,,,,,,,,,
Province/State,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysen,Biobio,Coquimbo,Los Lagos,Los Rios,Magallanes,Maule,Metropolitana,Nuble,OHiggins,Tarapaca,Unknown,Valparaiso
Country/Region,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
05-20-2020,17,44,7,0,0,9,2,12,6,18,14,348,21,7,4,0,35
05-21-2020,17,44,7,0,0,9,2,13,6,18,15,388,21,7,4,0,38
05-22-2020,17,45,7,0,0,10,2,13,6,18,15,423,21,8,5,0,40
05-23-2020,21,45,7,0,0,10,2,13,6,18,15,455,21,11,5,0,44
05-24-2020,21,45,7,0,0,10,2,13,6,18,15,494,21,11,7,0,48
05-25-2020,21,45,7,0,0,10,2,13,6,18,15,529,22,13,7,0,53
05-26-2020,23,45,7,0,0,10,2,13,6,18,15,567,22,13,8,0,57
05-27-2020,25,45,7,0,0,10,2,13,6,18,15,595,22,14,11,0,58
05-28-2020,28,45,7,0,0,10,2,13,6,18,15,638,22,14,12,0,60
05-29-2020,28,47,7,0,0,11,2,13,6,19,15,685,22,14,14,0,61
05-30-2020,29,47,7,0,0,11,2,13,6,19,15,728,23,16,18,0,63
05-31-2020,31,47,7,0,0,11,2,13,6,19,15,775,23,18,21,0,66
06-01-2020,32,47,8,0,0,11,2,13,7,19,17,824,23,18,22,0,70
06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0
06-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0
06-04-2020,38,47,8,0,0,13,4,13,8,19,21,1034,24,21,28,0,78
06-05-2020,42,48,9,0,0,13,5,13,8,19,24,1105,24,22,28,0,88
06-06-2020,47,49,9,0,0,13,5,13,8,19,24,1184,24,25,30,0,91
06-07-2020,47,50,10,0,0,13,5,13,8,19,24,1273,25,25,32,0,93
06-08-2020,45,32,8,0,0,11,5,12,8,15,18,1950,18,22,35,0,85
06-09-2020,45,32,8,0,0,11,5,12,8,15,18,1968,18,23,35,0,85
06-10-2020,56,33,10,0,0,11,6,12,8,15,18,2115,20,26,46,0,99
06-11-2020,57,34,10,0,0,12,7,12,8,15,19,2273,20,28,46,0,107
06-12-2020,65,35,10,0,0,14,7,12,9,15,19,2468,20,30,48,0,118
06-13-2020,67,36,10,0,0,16,8,13,9,15,20,2681,22,32,52,0,120
06-14-2020,72,36,11,0,0,18,10,13,9,15,23,2878,22,33,58,0,125
06-15-2020,72,36,11,0,0,19,10,13,9,15,23,2913,22,35,58,0,126
06-16-2020,72,36,11,0,0,19,10,13,9,15,23,2934,22,35,58,0,126
06-17-2020,81,36,11,0,0,25,12,14,10,15,24,3114,24,41,67,0,141
06-18-2020,87,37,12,0,0,28,15,14,10,15,25,3319,24,44,68,0,143
06-19-2020,93,38,12,0,0,31,16,14,10,15,27,3545,25,46,71,0,150
06-20-2020,94,39,12,1,0,32,16,15,10,15,32,3715,27,50,79,0,158
06-21-2020,100,39,12,2,0,34,17,17,10,15,33,3870,28,52,80,0,170
06-22-2020,100,39,12,2,0,35,17,17,10,15,33,3892,28,52,80,0,170
06-23-2020,100,39,12,2,0,35,17,17,10,15,33,3895,28,52,80,0,170
06-24-2020,113,40,15,2,0,40,18,18,10,15,36,4065,29,59,84,0,187
06-25-2020,122,40,16,2,0,42,22,19,10,15,36,4206,30,63,85,0,195
06-26-2020,128,40,19,2,0,45,23,20,10,15,39,4342,31,65,85,0,204
06-27-2020,142,40,20,2,0,46,23,20,10,15,41,4584,31,68,88,0,217
06-28-2020,147,41,20,2,0,50,23,21,10,15,48,4711,32,69,91,0,229
06-29-2020,147,41,20,2,0,50,23,21,10,15,48,4777,32,69,91,0,229
06-30-2020,147,41,20,2,0,50,23,21,10,15,48,4889,32,69,91,0,230
07-01-2020,147,41,20,2,0,50,23,21,10,15,48,4954,32,69,91,0,230
07-02-2020,163,41,21,2,0,58,24,21,10,15,53,5055,33,77,95,0,252
07-03-2020,171,44,22,3,0,59,24,21,10,15,59,5145,33,83,96,266,0
07-04-2020,174,44,22,5,0,61,26,21,10,15,65,5251,33,89,98,278,0
07-05-2020,183,45,22,5,0,64,26,21,10,15,70,5328,33,92,102,292,0
