Admin2,,,
Province/State,Faroe Islands,Greenland,
Country/Region,Denmark,Denmark,Denmark
03-23-2020,0,0,24
03-24-2020,0,0,32
03-25-2020,0,0,34
03-26-2020,0,0,41
03-27-2020,0,0,52
03-28-2020,0,0,65
03-29-2020,0,0,72
03-30-2020,0,0,77
03-31-2020,0,0,90
04-01-2020,0,0,104
04-02-2020,0,0,123
04-03-2020,0,0,139
04-04-2020,0,0,161
04-05-2020,0,0,179
04-06-2020,0,0,187
04-07-2020,0,0,203
04-08-2020,0,0,218
04-09-2020,0,0,237
04-10-2020,0,0,247
04-11-2020,0,0,260
04-12-2020,0,0,273
04-13-2020,0,0,285
04-14-2020,0,0,299
04-15-2020,0,0,309
04-16-2020,0,0,321
04-17-2020,0,0,336
04-18-2020,0,0,346
04-19-2020,0,0,355
04-20-2020,0,0,364
04-21-2020,0,0,370
04-22-2020,0,0,384
04-23-2020,0,0,394
04-24-2020,0,0,403
04-25-2020,0,0,418
04-26-2020,0,0,422
04-27-2020,0,0,427
04-28-2020,0,0,434
04-29-2020,0,0,443
04-30-2020,0,0,452
05-01-2020,0,0,460
05-02-2020,0,0,475
05-03-2020,0,0,484
05-04-2020,0,0,493
05-05-2020,0,0,503
05-06-2020,0,0,506
05-07-2020,0,0,514
05-08-2020,0,0,522
05-09-2020,0,0,526
05-10-2020,0,0,529
05-11-2020,0,0,533
05-12-2020,0,0,527
05-13-2020,0,0,533
05-14-2020,0,0,537
05-15-2020,0,0,537
05-16-2020,0,0,543
05-17-2020,0,0,547
05-18-2020,0,0,548
05-19-2020,0,0,551
05-20-2020,0,0,554
05-21-2020,0,0,561
05-22-2020,0,0,561
05-23-2020,0,0,561
05-24-2020,0,0,562
05-25-2020,0,0,563
05-26-2020,0,0,563
05-27-2020,0,0,565
05-28-2020,0,0,568
05-29-2020,0,0,568
05-30-2020,0,0,571
05-31-2020,0,0,574
06-01-2020,0,0,576
06-02-2020,0,0,580
06-03-2020,0,0,580
06-04-2020,0,0,582
06-05-2020,0,0,586
06-06-2020,0,0,587
06-07-2020,0,0,589
06-08-2020,0,0,593
06-09-2020,0,0,593
06-10-2020,0,0,593
06-11-2020,0,0,593
06-12-2020,0,0,594
06-13-2020,0,0,597
06-14-2020,0,0,597
06-15-2020,0,0,598
06-16-2020,0,0,598
06-17-2020,0,0,598
06-18-2020,0,0,600
06-19-2020,0,0,600
06-20-2020,0,0,600
06-21-2020,0,0,600
06-22-2020,0,0,602
06-23-2020,0,0,603
06-24-2020,0,0,603
06-25-2020,0,0,603
06-26-2020,0,0,604
06-27-2020,0,0,604
06-28-2020,0,0,604
06-29-2020,0,0,605
06-30-2020,0,0,605
07-01-2020,0,0,606
07-02-2020,0,0,606
07-03-2020,0,0,606
07-04-2020,0,0,606
07-05-2020,0,0,606
07-06-2020,0,0,607
07-07-2020,0,0,609
07-08-2020,0,0,609
07-09-2020,0,0,609
07-10-2020,0,0,609
07-11-2020,0,0,609
07-12-2020,0,0,609
07-13-2020,0,0,610
07-14-2020,0,0,610
07-15-2020,0,0,610
07-16-2020,0,0,610
07-17-2020,0,0,611
07-18-2020,0,0,611
07-19-2020,0,0,611
07-20-2020,0,0,611
07-21-2020,0,0,611
07-22-2020,0,0,611
07-23-2020,0,0,612
07-24-2020,0,0,613
07-25-2020,0,0,613
07-26-2020,0,0,613
07-27-2020,0,0,613
07-28-2020,0,0,613
07-29-2020,0,0,614
07-30-2020,0,0,615
07-31-2020,0,0,615
08-01-2020,0,0,615
08-02-2020,0,0,615
08-03-2020,0,0,616
08-04-2020,0,0,616
08-05-2020,0,0,616
08-06-2020,0,0,617
08-07-2020,0,0,617
08-08-2020,0,0,617
08-09-2020,0,0,617
08-10-2020,0,0,620
08-11-2020,0,0,621
08-12-2020,0,0,621
08-13-2020,0,0,621
08-14-2020,0,0,621
08-15-2020,0,0,621
08-16-2020,0,0,621
08-17-2020,0,0,621
08-18-2020,0,0,621
08-19-2020,0,0,621
08-20-2020,0,0,621
08-21-2020,0,0,621
08-22-2020,0,0,622
08-23-2020,0,0,622
08-24-2020,0,0,623
08-25-2020,0,0,623
08-26-2020,0,0,623
08-27-2020,0,0,624
08-28-2020,0,0,624
08-29-2020,0,0,624
08-30-2020,0,0,624
08-31-2020,0,0,624
09-01-2020,0,0,625
09-02-2020,0,0,626
09-03-2020,0,0,626
09-04-2020,0,0,627
09-05-2020,0,0,627
09-06-2020,0,0,627
09-07-2020,0,0,628
09-08-2020,0,0,628
09-09-2020,0,0,628
09-10-2020,0,0,629
09-11-2020,0,0,629
09-12-2020,0,0,630
09-13-2020,0,0,631
09-14-2020,0,0,633
