Admin2,,,,,,,,,,,,
Province/State,French Guiana,French Polynesia,Guadeloupe,Martinique,Mayotte,New Caledonia,Reunion,Saint Barthelemy,Saint Pierre and Miquelon,St Martin,Wallis and Futuna,
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France
04-05-2020,0,0,7,4,2,0,0,0,0,2,,8078
04-06-2020,0,0,7,4,2,0,0,0,0,2,,8911
04-07-2020,0,0,7,4,2,0,0,0,0,2,,10328
04-08-2020,0,0,8,6,2,0,0,0,0,2,,10869
04-09-2020,0,0,8,6,2,0,0,0,0,2,,12210
04-10-2020,0,0,8,6,2,0,0,0,0,2,,13197
04-11-2020,0,0,8,6,3,0,0,0,0,2,,13832
04-12-2020,0,0,8,6,3,0,0,0,0,2,,14393
04-13-2020,0,0,8,6,3,0,0,0,0,2,,14967
04-14-2020,0,0,8,6,3,0,0,0,0,2,,15729
04-15-2020,0,0,8,8,3,0,0,0,0,2,,17167
04-16-2020,0,0,8,8,3,0,0,0,0,2,,17920
04-17-2020,0,0,8,8,4,0,0,0,0,2,,18681
04-18-2020,0,0,8,8,4,0,0,0,0,2,,19323
04-19-2020,0,0,8,12,4,0,0,0,0,2,,19718
04-20-2020,1,0,8,12,4,0,0,0,0,2,,20265
04-21-2020,1,0,12,14,4,0,0,0,0,2,,20796
04-22-2020,1,0,12,14,4,0,0,0,0,2,,21340
04-23-2020,1,0,12,14,4,0,0,0,0,2,,21856
04-24-2020,1,0,12,14,4,0,0,0,0,3,,22245
04-25-2020,1,0,12,14,4,0,0,0,0,3,,22614
04-26-2020,1,0,12,14,4,0,0,0,0,3,,22856
04-27-2020,1,0,12,14,4,0,0,0,0,3,,23293
04-28-2020,1,0,12,14,4,0,0,0,0,3,,23660
04-29-2020,1,0,12,14,4,0,0,0,0,3,,24087
04-30-2020,1,0,12,14,4,0,0,0,0,3,,24376
05-01-2020,1,0,12,14,4,0,0,0,0,3,,24594
05-02-2020,1,0,12,14,4,0,0,0,0,3,,24729
05-03-2020,1,0,12,14,6,0,0,0,0,3,,24864
05-04-2020,1,0,12,14,6,0,0,0,0,3,,25168
05-05-2020,1,0,12,14,9,0,0,0,0,3,,25498
05-06-2020,1,0,13,14,9,0,0,0,0,3,,25772
05-07-2020,1,0,13,14,10,0,0,0,0,3,,25949
05-08-2020,1,0,13,14,10,0,0,0,0,3,,26192
05-09-2020,1,0,13,14,11,0,0,0,0,3,,26271
05-10-2020,1,0,13,14,11,0,0,0,0,3,,26341
05-11-2020,1,0,13,14,11,0,0,0,0,3,,26604
05-12-2020,1,0,13,14,12,0,0,0,0,3,,26951
05-13-2020,1,0,13,14,14,0,0,0,0,3,,27032
05-14-2020,1,0,13,14,16,0,0,0,0,3,,27381
05-15-2020,1,0,13,14,16,0,0,0,0,3,,27485
