Admin2,,,,,,,,,,,,,,,,,
Province/State,Baden-Wurttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thuringen,Unknown
Country/Region,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
05-14-2020,1629,2250,177,162,37,228,423,20,537,1483,212,149,195,52,125,133,72
05-15-2020,1645,2277,181,164,37,228,429,20,542,1493,216,154,196,54,126,135,0
05-16-2020,1649,2288,181,166,37,231,432,20,547,1502,216,155,197,54,126,137,0
05-17-2020,1653,2297,182,166,37,232,435,20,548,1505,217,155,197,54,126,138,0
05-18-2020,1664,2306,182,166,38,232,439,20,550,1512,219,159,197,54,126,139,0
05-19-2020,1673,2331,186,166,38,234,442,20,557,1525,222,160,198,54,128,147,0
05-20-2020,1679,2353,186,166,38,236,446,20,565,1537,222,162,200,54,131,149,0
05-21-2020,1684,2370,190,167,39,239,451,20,570,1546,224,162,202,54,134,151,0
05-22-2020,1692,2372,190,168,40,240,457,20,572,1547,226,162,203,54,134,151,0
05-23-2020,1696,2383,191,168,41,240,458,20,574,1555,227,162,204,54,136,152,0
05-24-2020,1697,2391,191,168,41,241,460,20,574,1563,228,162,204,54,137,152,0
05-25-2020,1707,2402,191,168,41,241,460,20,576,1565,228,162,205,54,137,152,0
05-26-2020,1726,2419,193,170,42,241,462,20,580,1571,228,164,207,55,139,155,0
05-27-2020,1738,2442,193,169,42,242,466,20,585,1577,230,164,208,55,140,157,0
05-28-2020,1743,2454,196,169,42,245,471,20,587,1582,230,165,210,55,143,158,0
05-29-2020,1749,2460,197,169,42,245,476,20,596,1587,230,165,210,55,144,159,0
05-30-2020,1751,2466,198,170,42,246,476,20,596,1595,230,165,213,55,145,162,0
05-31-2020,1752,2466,198,170,42,252,477,20,596,1597,230,165,213,55,145,162,0
06-01-2020,1758,2468,198,170,42,253,480,20,597,1598,230,165,214,55,145,162,0
06-02-2020,1760,2472,198,170,42,253,480,20,599,1599,230,165,211,55,145,163,1
06-03-2020,1772,2479,200,169,43,253,480,20,604,1607,230,166,212,55,146,166,0
06-04-2020,1778,2491,200,170,44,253,482,20,607,1611,230,168,212,55,146,168,0
06-05-2020,1790,2494,201,169,44,253,482,20,608,1617,230,168,212,55,146,169,0
06-06-2020,1791,2494,205,170,44,254,483,20,608,1622,230,168,213,55,146,170,0
06-07-2020,1791,2501,205,170,44,254,484,20,608,1623,230,168,214,56,147,170,0
06-08-2020,1795,2505,205,170,44,254,484,20,609,1623,230,169,214,56,147,170,0
06-09-2020,1801,2521,206,170,44,254,484,20,610,1635,231,169,217,56,148,170,0
06-10-2020,1801,2531,208,169,44,254,485,20,611,1636,231,170,217,56,148,171,0
06-11-2020,1802,2536,208,170,45,254,489,20,612,1641,231,170,219,56,148,171,0
06-12-2020,1805,2538,208,170,45,254,489,20,613,1643,231,170,219,56,148,174,0
06-13-2020,1805,2540,208,170,45,255,491,20,616,1643,231,170,219,56,150,174,0
06-14-2020,1805,2541,208,172,46,255,491,20,616,1645,231,170,219,57,151,174,0
06-15-2020,1808,2541,208,172,48,255,491,20,616,1646,231,170,219,57,151,174,0
06-16-2020,1811,2541,209,170,49,255,495,20,616,1648,233,170,220,57,151,175,0
06-17-2020,1816,2547,210,170,49,257,496,20,619,1655,233,171,221,57,152,178,0
06-18-2020,1821,2556,211,170,49,259,498,20,620,1658,234,171,221,57,152,178,0
06-19-2020,1824,2562,211,170,49,259,499,20,620,1660,234,171,221,57,152,178,0
06-20-2020,1824,2566,211,170,49,259,500,20,620,1663,234,171,221,57,152,178,0
06-21-2020,1824,2566,211,170,49,259,500,20,620,1663,234,171,221,57,152,178,0
06-22-2020,1826,2567,211,170,49,259,501,20,620,1663,234,171,221,57,152,178,0
06-23-2020,1826,2571,211,170,49,259,501,20,623,1669,235,171,221,58,152,178,0
06-24-2020,1827,2578,212,170,49,259,503,20,625,1669,235,171,222,58,152,178,0
06-25-2020,1830,2583,212,170,49,259,505,20,626,1669,235,172,222,58,152,178,0
06-26-2020,1830,2594,213,171,50,259,505,20,629,1673,235,173,222,58,152,181,0
06-27-2020,1830,2594,213,171,50,259,506,20,630,1674,235,173,222,58,152,181,0
06-28-2020,1830,2594,213,171,50,259,506,20,630,1674,235,173,222,58,152,181,0
06-29-2020,1830,2594,214,171,53,259,506,20,630,1678,235,173,222,58,152,181,0
06-30-2020,1838,2594,214,171,53,259,508,20,630,1680,235,173,223,59,152,181,0
07-01-2020,1838,2594,214,171,53,259,508,20,632,1683,235,173,223,59,152,181,0
07-02-2020,1839,2597,214,172,53,260,508,20,634,1684,235,174,224,59,152,181,0
07-03-2020,1837,2598,214,172,53,260,509,20,636,1686,235,174,224,59,152,181,0
07-04-2020,1839,2600,215,172,53,260,511,20,637,1688,235,174,224,59,152,181,0
07-05-2020,1839,2600,215,172,54,261,512,20,637,1688,235,174,224,59,152,181,0
07-06-2020,1837,2600,215,172,54,261,512,20,637,1689,235,174,224,59,152,181,0
07-07-2020,1837,2606,215,172,54,261,512,20,640,1689,235,174,224,59,153,181,0
07-08-2020,1838,2607,215,172,54,261,512,20,642,1696,236,174,224,60,153,182,0
07-09-2020,1838,2609,216,172,54,261,514,20,643,1698,236,174,225,61,154,182,0
