Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Unknown,Uttar Pradesh,Uttarakhand,West Bengal
Country/Region,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India
07-28-2020,1,1090,3,86,253,14,44,2,3853,36,2348,397,14,321,89,1953,63,4,0,820,13883,0,5,0,5,147,43,318,631,1,3571,480,17,0,1456,66,1411
07-29-2020,1,1213,3,92,278,14,48,2,3907,39,2396,413,14,348,98,2147,68,6,0,843,14463,0,5,0,5,159,47,361,650,1,3741,21,0,1530,72,1490,480
07-30-2020,2,1281,3,94,282,14,51,2,3936,42,2418,417,14,365,103,2230,68,7,0,857,14729,4,5,0,5,169,48,370,663,1,3838,21,0,1587,76,1536,480
07-31-2020,5,1349,3,98,296,15,53,2,3963,45,2441,421,14,377,106,2314,73,7,0,867,14994,5,5,0,5,177,49,386,674,1,3935,519,21,0,1630,80,1581
08-01-2020,7,1407,3,101,309,18,55,2,3989,48,2464,428,14,388,113,2412,81,7,0,876,15316,6,5,0,5,187,51,405,690,1,4034,530,23,0,1677,83,1629
08-02-2020,8,1474,3,105,329,19,58,2,4004,53,2486,433,14,396,118,2496,82,7,0,886,15576,7,5,0,5,197,52,423,703,1,4132,540,27,0,1730,86,1678
08-03-2020,10,1537,3,109,330,19,61,2,4021,56,2508,440,14,407,125,2594,84,7,0,900,15842,7,5,0,5,207,56,442,715,1,4241,563,28,0,1778,90,1731
08-04-2020,12,1604,3,115,347,20,69,2,4033,60,2533,448,14,417,128,2704,87,7,0,912,16142,7,5,0,5,216,58,462,732,1,4349,576,30,0,1817,95,1785
08-05-2020,14,1681,3,121,355,20,71,2,4044,64,2556,455,14,426,136,2804,94,7,0,929,16476,7,5,0,6,225,65,491,745,1,4461,589,31,0,1857,98,1846
08-06-2020,16,1753,3,126,363,20,77,2,4059,66,2583,458,14,436,145,2897,97,7,0,946,16792,8,5,0,6,235,70,517,757,1,4571,601,36,0,1918,98,1902
08-07-2020,19,1842,3,132,369,23,87,2,4082,70,2605,467,14,449,151,2998,102,9,0,962,17092,10,5,0,7,247,75,539,767,1,4690,615,37,0,1981,112,1954
08-08-2020,20,1939,3,140,382,24,89,2,4098,72,2628,474,14,459,155,3091,106,9,0,977,17367,11,6,0,7,259,80,562,778,1,4808,627,41,0,2028,117,2005
08-09-2020,20,2036,3,145,387,25,96,2,4111,75,2652,483,15,472,177,3198,108,9,0,996,17757,11,6,0,8,272,87,586,789,1,4927,637,42,0,2069,125,2059
08-10-2020,20,2116,3,151,397,25,99,2,4131,80,2672,489,17,478,188,3312,115,9,0,1015,18050,11,6,0,8,286,89,604,800,1,5041,645,43,0,2120,134,2100
08-11-2020,21,2203,3,155,413,26,104,2,4139,86,2695,500,18,490,192,3398,120,9,0,1033,18306,12,6,0,8,296,91,636,811,1,5159,654,43,0,2176,136,2149
08-12-2020,21,2296,3,161,416,26,109,2,4153,89,2713,503,18,498,197,3510,126,9,0,1048,18650,12,6,0,8,305,96,675,822,1,5278,665,44,0,2230,140,2203
08-13-2020,22,2378,4,169,426,27,114,2,4167,91,2731,511,19,509,209,3613,129,9,0,1065,19063,13,6,0,8,314,102,706,833,1,5397,674,46,0,2280,143,2259
08-14-2020,24,2475,5,175,442,28,130,2,4178,93,2746,518,19,520,224,3717,139,9,0,1081,19427,13,6,0,8,324,106,731,846,1,5514,684,50,0,2335,147,2319
08-15-2020,24,2562,5,182,450,28,134,2,4188,98,2765,528,19,527,228,3831,146,10,0,1094,19749,13,6,0,8,333,106,771,862,1,5641,693,55,0,2393,151,2377
08-16-2020,28,2650,5,189,461,29,141,2,4196,104,2785,538,19,542,244,3947,156,14,0,1105,20037,16,6,0,8,343,110,812,876,1,5766,703,59,0,2449,152,2428
08-17-2020,29,2732,5,197,468,30,150,2,4214,111,2800,550,19,548,250,4062,169,14,0,1128,20265,17,6,0,8,353,114,863,887,1,5886,711,62,0,2515,158,2473
08-18-2020,30,2820,5,203,476,30,158,2,4226,116,2820,557,19,561,262,4201,175,17,0,1141,20687,18,6,0,8,362,123,898,898,1,6007,719,65,0,2585,164,2528
08-19-2020,30,2906,5,213,487,31,161,2,4235,124,2837,567,19,572,277,4327,182,18,0,1159,21033,18,6,0,8,372,129,921,910,3,6123,729,65,0,2638,178,2581
08-20-2020,31,3001,5,221,492,31,168,2,4257,126,2853,578,23,578,286,4429,191,18,0,1171,21359,18,6,0,8,380,137,957,921,3,6239,737,69,0,2733,187,2634
08-21-2020,32,3092,5,227,498,33,180,2,4270,135,2867,585,25,593,297,4522,203,19,0,1185,21698,20,6,0,8,390,143,991,933,3,6340,744,70,0,2797,192,2689
08-22-2020,32,3189,5,234,503,33,189,2,4284,140,2881,597,29,608,308,4615,218,21,0,1206,21995,22,7,0,9,399,151,1036,944,3,6420,755,72,0,2867,195,2737
08-23-2020,33,3282,5,242,511,37,197,2,4300,144,2895,603,29,617,312,4683,223,23,0,1229,22253,22,8,0,9,409,159,1086,955,3,6517,761,73,0,2926,200,2794
08-24-2020,35,3368,5,252,514,37,206,2,4313,148,2908,613,29,624,330,4810,234,23,0,1246,22465,22,8,0,9,419,164,1129,967,3,6614,770,78,0,2987,207,2851
08-25-2020,37,3368,5,260,519,40,221,2,4330,157,2928,623,30,638,347,4958,244,24,0,1265,22794,24,8,0,9,428,172,1178,980,3,6721,780,83,0,3059,213,2909
08-26-2020,41,3541,5,274,530,41,231,2,4347,165,2945,634,32,657,362,5091,257,25,0,1282,23089,25,8,0,9,441,180,1219,992,3,6839,788,85,0,3149,219,2964
