Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Country/Region,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
05-14-2020,379,27,95,394,3930,317,595,1329,15296,974,22,290,448,3493,461,125,263,973,73,141,1743
05-15-2020,381,27,95,396,3943,318,604,1336,15411,977,22,290,451,3557,461,125,263,976,73,142,1762
05-16-2020,383,27,95,396,3960,319,616,1346,15450,982,22,290,453,3594,463,125,265,979,73,142,1783
05-17-2020,385,27,95,396,3973,319,622,1355,15519,984,22,290,453,3612,470,125,267,984,73,143,1794
05-18-2020,388,27,95,399,3986,320,628,1367,15543,984,22,291,453,3632,471,126,267,989,73,143,1803
05-19-2020,389,27,95,399,3997,320,640,1376,15597,986,22,291,455,3679,473,126,268,992,74,143,1820
05-20-2020,389,27,96,401,4008,322,647,1386,15662,987,22,291,455,3718,478,126,268,998,74,143,1832
05-21-2020,391,27,96,403,4025,323,662,1397,15727,990,22,291,455,3742,478,127,268,1004,74,143,1841
05-22-2020,394,27,96,404,4037,325,669,1407,15784,990,22,291,455,3757,482,128,268,1009,74,143,1854
05-23-2020,394,27,96,404,4047,327,676,1414,15840,993,22,291,456,3771,486,129,269,1011,74,143,1865
05-24-2020,398,27,96,405,4055,329,684,1419,15840,994,22,291,457,3783,487,129,269,1013,75,143,1869
05-25-2020,400,27,96,405,4068,329,688,1425,15874,995,22,291,458,3798,491,129,270,1015,75,143,1878
05-26-2020,400,27,96,405,4076,329,693,1431,15896,996,22,291,461,3812,494,130,271,1021,75,143,1886
05-27-2020,400,27,96,406,4083,331,701,1438,15954,996,22,291,462,3828,495,130,272,1027,75,143,1895
05-28-2020,402,27,96,410,4094,333,708,1445,15974,997,22,291,462,3838,496,130,272,1029,75,143,1898
05-29-2020,404,27,97,411,4102,333,721,1452,16012,986,22,291,462,3851,500,130,272,1031,76,143,1906
05-30-2020,404,27,97,411,4107,333,728,1459,16079,987,22,291,462,3858,500,130,273,1037,76,143,1916
05-31-2020,405,27,97,412,4114,333,735,1465,16112,987,22,291,462,3867,504,130,274,1041,76,143,1918
06-01-2020,408,27,97,413,4124,335,739,1467,16131,987,22,291,462,3876,506,131,274,1048,76,143,1918
06-02-2020,413,27,97,415,4136,336,741,1468,16143,987,22,291,463,3884,508,131,275,1053,76,143,1921
06-03-2020,414,27,97,415,4147,336,747,1473,16172,987,22,291,463,3898,511,131,275,1055,76,143,1921
06-04-2020,415,27,97,420,4154,336,750,1479,16201,988,23,292,464,3910,514,131,276,1059,76,143,1934
06-05-2020,415,27,97,425,4167,338,754,1486,16222,989,23,292,464,3927,521,131,276,1063,76,143,1938
06-06-2020,418,27,97,426,4171,338,758,1492,16249,991,23,292,464,3934,522,131,276,1068,76,144,1949
06-07-2020,418,27,97,426,4175,339,760,1499,16270,991,23,292,464,3941,525,131,277,1070,76,144,1954
06-08-2020,418,27,97,426,4179,340,763,1505,16302,991,23,292,464,3954,525,131,278,1074,76,144,1955
06-09-2020,451,27,97,426,4185,340,766,1509,16317,992,23,292,464,3961,526,131,278,1077,76,144,1961
06-10-2020,453,27,97,428,4192,341,770,1513,16349,992,23,292,464,3976,529,131,278,1078,76,144,1961
06-11-2020,453,27,97,430,4192,342,776,1514,16374,992,23,292,464,3988,530,131,279,1079,76,144,1964
06-12-2020,453,27,97,430,4196,342,781,1516,16405,993,23,291,464,3996,532,131,279,1080,76,144,1967
06-13-2020,454,27,97,430,4199,343,806,1518,16428,993,23,291,464,4006,532,132,279,1082,76,144,1977
06-14-2020,456,27,97,430,4204,343,808,1521,16449,993,23,291,464,4012,532,132,279,1085,77,144,1978
06-15-2020,456,27,97,430,4207,343,811,1525,16457,993,23,292,465,4012,534,132,280,1088,77,144,1978
06-16-2020,457,27,97,430,4209,343,814,1529,16466,994,23,292,465,4018,535,132,280,1091,77,144,1982
06-17-2020,457,27,97,431,4215,343,818,1532,16480,994,23,292,465,4026,536,132,280,1092,77,144,1987
06-18-2020,458,27,97,431,4219,343,822,1536,16516,994,23,292,465,4032,538,132,280,1093,77,145,1994
06-19-2020,459,27,97,431,4224,343,826,1540,16534,994,23,292,466,4039,538,132,280,1095,77,146,1998
06-20-2020,459,27,97,431,4230,344,827,1545,16557,994,23,292,466,4045,540,132,280,1095,78,146,2002
06-21-2020,459,27,97,431,4231,344,827,1549,16570,994,23,292,466,4051,540,132,280,1095,78,146,2002
06-22-2020,460,27,97,431,4235,344,830,1552,16573,994,23,292,466,4055,540,132,280,1099,78,146,2003
