Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Port Quarantine,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Unknown,Wakayama,Yamagata,Yamaguchi,Yamanashi
Country/Region,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
07-18-2020,34,0,1,46,5,8,33,0,7,19,3,102,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,68,1,0,1,0,1,326,0,22,0,3,1,0,1
07-19-2020,34,0,1,46,5,8,33,0,7,19,3,102,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,68,1,0,1,0,1,326,0,22,0,3,1,0,1
07-20-2020,34,0,1,46,5,8,33,0,7,19,3,102,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,69,1,0,1,0,1,327,0,22,0,3,1,0,1
07-21-2020,34,0,1,46,5,8,33,0,7,19,3,102,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,69,1,0,1,0,1,327,0,22,0,3,1,0,1
07-22-2020,35,0,1,46,5,8,33,0,7,19,3,102,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,70,1,0,1,0,1,327,0,22,0,3,1,0,1
07-23-2020,35,0,1,46,5,8,33,0,7,19,3,103,45,10,27,0,0,0,98,3,3,18,1,1,0,0,1,2,0,1,0,7,86,1,0,71,1,0,1,0,1,327,0,22,0,3,1,0,1
07-24-2020,35,0,1,46,5,8,33,0,7,19,3,103,45,10,27,0,0,0,98,3,3,19,1,1,0,0,1,2,0,1,0,7,86,1,0,72,1,0,1,0,1,327,0,22,0,3,1,0,1
07-25-2020,35,0,1,46,5,8,33,0,7,19,3,103,45,10,27,0,0,0,98,3,3,19,1,1,0,0,2,2,0,1,0,7,86,1,0,72,1,0,1,0,1,328,0,22,0,3,1,0,1
07-26-2020,35,0,1,46,5,8,33,0,7,19,3,103,45,10,27,0,0,0,98,3,3,19,1,1,0,0,2,2,0,1,0,7,88,1,0,72,1,0,1,0,1,328,0,22,0,3,1,0,1
07-27-2020,35,0,1,46,5,8,33,0,7,19,3,103,45,10,27,0,0,0,98,3,3,19,1,1,0,0,2,2,0,1,0,7,88,1,0,72,1,0,1,0,1,328,0,22,0,3,1,0,1
07-28-2020,35,0,1,48,5,8,33,0,7,19,3,103,45,10,27,0,0,1,98,3,3,19,1,1,0,0,2,2,0,1,0,7,88,1,0,72,1,0,1,0,1,328,0,22,0,3,1,0,1
07-29-2020,35,0,1,48,5,8,33,0,7,19,3,103,45,10,27,0,0,1,98,3,3,19,1,1,0,0,2,2,0,1,0,7,88,1,0,72,1,0,1,0,1,328,0,22,0,3,1,0,1
07-30-2020,35,0,1,48,5,8,33,0,7,19,3,103,45,10,27,0,0,1,99,3,3,20,1,1,0,0,2,2,0,1,0,7,89,1,0,73,1,0,1,0,1,330,0,22,0,3,1,0,1
