Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Unknown,Veracruz,Yucatan,Zacatecas
Country/Region,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
11-12-2020,919,4042,627,861,1170,2591,12279,2748,724,959,3598,2359,2464,4410,14579,2149,1246,888,4206,1805,4943,1241,1865,2222,3753,3223,3010,2785,1252,0,5149,1886,1103
11-13-2020,931,4054,631,862,1170,2659,12378,2795,726,974,3634,2370,2472,4434,14642,2162,1250,891,4223,1813,4956,1252,1866,2239,3783,3228,3015,2798,1253,0,5161,1891,1111
11-14-2020,950,4081,636,862,1170,2742,12500,2813,727,983,3643,2385,2491,4466,14739,2172,1260,896,4239,1819,4964,1266,1887,2257,3790,3251,3017,2809,1253,0,5172,1901,1118
11-15-2020,951,4085,636,877,1170,2748,12593,2836,729,983,3651,2393,2494,4479,14775,2173,1263,896,4243,1823,4969,1267,1888,2263,3796,3253,3020,2824,1265,0,5175,1904,1120
11-16-2020,952,4091,639,889,1170,2778,12686,2853,729,983,3657,2404,2504,4499,14809,2177,1264,897,4245,1826,4970,1272,1891,2264,3801,3256,3021,2845,1265,0,5181,1911,1132
11-17-2020,956,4094,644,889,1170,2815,12707,2862,732,983,3663,2408,2514,4511,14836,2180,1266,897,4245,1827,4971,1273,1891,2267,3801,3261,3023,2846,1265,0,5184,1912,1133
11-18-2020,962,4108,648,889,1172,2859,12769,2925,733,984,3681,2416,2524,4531,14898,2184,1270,899,4291,1835,4987,1279,1895,2283,3817,3274,3026,2850,1269,0,5207,1917,1146
11-19-2020,970,4119,650,892,1172,2929,12836,2958,734,1036,3693,2421,2553,4554,14982,2192,1276,901,4313,1843,5005,1292,1898,2309,3829,3284,3027,2855,1272,0,5220,1922,1167
11-20-2020,973,4147,651,894,1172,3043,12910,3001,735,1049,3742,2429,2567,4584,15042,2207,1277,902,4359,1849,5013,1300,1899,2321,3848,3306,3030,2869,1272,0,5277,1981,1174
