Admin2,,,,,,,
Province/State,Azad Jammu and Kashmir,Balochistan,Gilgit-Baltistan,Islamabad,Khyber Pakhtunkhwa,Punjab,Sindh
Country/Region,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
06-10-2020,9,62,14,57,610,807,696
06-11-2020,10,75,15,65,632,890,776
06-12-2020,10,75,15,65,632,890,776
06-13-2020,11,80,16,71,642,938,793
06-14-2020,13,85,16,78,675,1031,831
06-15-2020,13,85,17,83,707,1081,853
06-16-2020,13,89,17,90,731,1149,886
06-17-2020,15,93,18,94,755,1202,916
06-18-2020,15,99,18,95,773,1265,964
06-19-2020,17,100,21,95,789,1347,1013
06-20-2020,19,100,21,98,808,1407,1048
06-21-2020,20,102,22,101,821,1435,1089
06-22-2020,22,104,22,106,843,1495,1103
06-23-2020,23,106,23,108,855,1516,1124
06-24-2020,25,108,23,115,869,1602,1161
06-25-2020,25,109,23,119,879,1629,1178
06-26-2020,28,113,23,120,890,1656,1205
06-27-2020,28,114,24,122,914,1673,1243
06-28-2020,28,116,24,127,922,1681,1269
06-29-2020,28,119,24,128,935,1727,1343
06-30-2020,30,121,26,128,951,1762,1377
07-01-2020,32,121,28,129,973,1784,1406
07-02-2020,33,122,28,129,983,1819,1437
07-03-2020,33,122,28,129,983,1819,1437
07-04-2020,34,122,28,130,1002,1844,1459
07-05-2020,36,123,28,137,1028,1884,1526
07-06-2020,36,124,30,140,1038,1899,1572
07-07-2020,40,124,30,140,1045,1929,1614
07-08-2020,40,124,31,142,1054,1955,1637
07-09-2020,41,125,34,146,1063,1972,1677
07-10-2020,42,126,36,147,1074,1985,1713
07-11-2020,43,126,36,152,1087,2006,1747
07-12-2020,44,126,36,153,1099,2013,1795
07-13-2020,45,126,36,155,1106,2026,1826
07-14-2020,46,127,38,155,1114,2043,1863
07-15-2020,46,127,38,156,1120,2051,1888
07-16-2020,46,127,38,156,1120,2051,1888
07-17-2020,46,131,39,157,1130,2067,1952
07-18-2020,47,131,41,157,1139,2079,1974
07-19-2020,47,132,43,159,1142,2083,1993
07-20-2020,47,133,43,160,1147,2090,2019
07-21-2020,47,135,45,161,1153,2095,2041
07-22-2020,48,136,45,162,1158,2100,2060
07-23-2020,49,136,46,162,1169,2105,2096
07-24-2020,49,136,47,162,1170,2113,2110
07-25-2020,49,136,47,163,1176,2116,2135
07-26-2020,49,136,47,163,1176,2116,2135
07-27-2020,49,136,48,164,1178,2116,2151
07-28-2020,49,136,48,165,1180,2125,2162
07-29-2020,50,136,50,165,1186,2133,2172
07-30-2020,51,136,53,165,1192,2138,2189
07-31-2020,54,136,53,165,1194,2140,2209
08-01-2020,54,136,53,165,1194,2140,2209
08-02-2020,54,136,54,165,1200,2144,2223
08-03-2020,54,136,55,167,1208,2153,2226
08-04-2020,54,136,55,167,1208,2153,2226
08-05-2020,55,136,55,167,1213,2157,2231
08-06-2020,55,136,55,167,1215,2162,2245
08-07-2020,57,137,55,170,1219,2164,2250
08-08-2020,58,137,55,171,1222,2166,2259
08-09-2020,58,137,55,171,1230,2169,2262
08-10-2020,58,138,57,171,1231,2170,2272
08-11-2020,59,138,57,171,1231,2174,2282
08-12-2020,59,138,58,173,1235,2179,2297
08-13-2020,59,138,58,173,1235,2179,2297
08-14-2020,59,138,60,173,1236,2180,2307
08-15-2020,60,138,60,173,1238,2180,2313
08-16-2020,60,138,61,173,1239,2182,2322
08-17-2020,60,138,61,173,1239,2182,2322
08-18-2020,61,138,61,175,1239,2185,2331
08-19-2020,61,139,62,175,1242,2186,2336
08-20-2020,61,139,63,175,1242,2186,2343
08-21-2020,61,139,63,175,1243,2188,2350
08-22-2020,61,141,63,175,1246,2188,2357
08-23-2020,61,141,64,175,1248,2188,2367
08-24-2020,61,141,64,175,1248,2188,2367
08-25-2020,61,141,65,175,1248,2192,2373
08-26-2020,61,141,65,175,1248,2193,2384
08-27-2020,61,141,67,175,1249,2193,2388
08-28-2020,61,141,67,175,1250,2195,2394
08-29-2020,61,141,67,175,1250,2195,2395
08-30-2020,61,141,67,175,1250,2196,2398
08-31-2020,62,141,67,175,1250,2198,2401
09-01-2020,63,141,67,175,1250,2199,2403
09-02-2020,64,143,71,175,1255,2205,2415
09-03-2020,65,143,71,175,1255,2206,2420
09-04-2020,65,144,71,175,1255,2208,2422
09-05-2020,65,144,71,175,1255,2208,2422
09-06-2020,65,145,71,176,1255,2210,2423
09-07-2020,65,145,71,177,1256,2211,2425
09-08-2020,65,145,73,177,1256,2213,2430
09-09-2020,65,145,73,177,1256,2213,2436
09-10-2020,65,145,73,178,1256,2214,2439
09-11-2020,65,145,74,178,1256,2215,2440
09-12-2020,65,145,74,178,1257,2217,2443
09-13-2020,65,145,76,178,1257,2217,2445
09-14-2020,66,145,78,178,1257,2220,2445
09-15-2020,66,145,79,178,1257,2220,2448
09-16-2020,66,145,79,178,1257,2223,2451
09-17-2020,66,145,80,180,1257,2225,2455
09-18-2020,66,145,81,180,1258,2226,2459
09-19-2020,67,145,81,180,1258,2226,2459
09-20-2020,69,145,82,180,1258,2226,2460
09-21-2020,69,145,82,180,1258,2227,2463
09-22-2020,70,145,83,180,1258,2227,2469
09-23-2020,70,145,83,181,1258,2229,2471
09-24-2020,70,145,84,181,1258,2229,2477
09-25-2020,71,145,85,181,1259,2229,2481
09-26-2020,71,145,85,181,1259,2230,2486
09-27-2020,71,145,87,181,1259,2231,2492
09-28-2020,72,145,88,181,1259,2234,2495
09-29-2020,74,145,88,182,1259,2234,2497
09-30-2020,74,146,88,182,1260,2235,2499
10-01-2020,74,146,88,182,1260,2237,2512
10-02-2020,75,146,88,183,1260,2238,2517
10-03-2020,76,146,88,183,1260,2240,2520
10-04-2020,76,146,88,183,1260,2240,2520
10-05-2020,76,146,89,184,1262,2243,2523
10-06-2020,77,146,89,184,1263,2245,2531
10-07-2020,77,146,89,187,1263,2247,2535
10-08-2020,77,146,89,188,1263,2248,2541
10-09-2020,77,146,89,188,1263,2252,2543
