Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali,Unknown
Country/Region,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru
05-28-2020,21,241,0,31,6,3,289,3,1,9,222,16,174,605,1473,289,6,2,8,497,6,19,4,69,105,0
05-29-2020,21,241,0,31,6,3,289,3,1,9,222,16,174,605,1473,289,6,2,8,497,6,19,4,69,105,0
05-30-2020,21,262,3,39,7,5,312,3,1,10,239,19,184,611,1625,295,6,2,9,510,7,19,4,71,107,0
05-31-2020,21,267,3,44,7,5,321,3,1,12,244,19,191,612,1709,296,6,2,9,519,7,21,5,75,107,0
06-01-2020,21,270,3,49,7,6,329,3,1,13,252,19,199,616,1786,297,6,2,9,527,7,24,5,76,107,0
06-02-2020,26,277,3,50,7,7,338,3,1,13,258,20,205,618,1868,299,6,2,11,531,7,25,5,77,110,0
06-03-2020,26,286,3,51,7,7,346,3,1,13,261,20,212,621,1947,300,6,2,11,538,8,28,5,79,113,0
06-04-2020,27,292,3,56,7,8,360,4,2,13,272,20,220,621,2019,300,8,2,11,548,8,30,5,82,113,0
06-05-2020,27,300,4,59,8,9,369,4,2,13,277,21,223,629,2095,300,10,2,11,556,9,31,5,84,114,0
06-06-2020,27,305,4,60,8,9,378,4,2,14,281,22,235,630,2186,303,11,2,11,560,9,34,5,86,115,0
06-07-2020,27,312,4,60,8,10,389,4,4,16,290,24,244,634,2283,305,11,3,11,568,9,38,5,89,117,0
06-08-2020,27,318,5,65,8,11,391,5,4,18,292,25,252,635,2349,307,11,4,11,573,9,38,5,91,117,0
06-09-2020,27,327,7,71,8,11,401,5,5,18,298,28,262,636,2449,308,12,4,12,584,9,40,5,93,118,0
06-10-2020,27,335,7,81,8,13,410,5,5,19,306,29,273,642,2543,309,13,5,13,593,9,41,5,93,119,0
06-11-2020,27,340,7,85,11,13,418,5,5,22,317,34,273,648,2675,311,15,5,13,593,9,42,5,95,120,0
06-12-2020,27,340,7,85,11,13,418,5,5,22,317,34,273,648,2675,311,15,5,13,593,9,42,5,95,120,0
06-13-2020,28,347,7,95,11,14,434,6,5,24,328,37,303,656,2784,311,15,6,13,605,10,46,5,96,122,0
06-14-2020,29,371,8,109,11,16,452,9,6,28,346,43,332,663,2988,316,18,6,13,623,13,59,5,98,126,0
06-15-2020,29,378,9,115,11,16,464,10,6,30,353,46,348,668,3083,316,19,6,14,631,13,63,6,99,127,0
06-16-2020,30,387,9,121,11,17,477,11,7,31,356,46,365,674,3196,318,19,6,15,642,13,66,6,104,129,0
06-17-2020,30,394,10,134,11,18,498,11,9,35,372,50,384,680,3278,320,19,6,16,651,13,72,7,106,133,0
06-18-2020,31,397,10,145,11,18,506,13,9,36,383,52,400,688,3390,321,20,7,16,661,14,80,7,108,138,0
06-19-2020,32,403,11,154,13,19,513,13,9,38,391,85,414,694,3485,324,21,8,16,667,14,83,7,108,138,0
06-20-2020,33,411,11,159,13,20,527,13,9,40,398,106,431,700,3580,326,22,8,16,683,15,83,8,109,140,0
06-21-2020,33,411,11,159,13,20,527,13,9,40,398,106,431,700,3580,326,22,8,16,683,15,83,8,109,140,0
06-22-2020,34,426,14,179,15,22,550,13,9,43,425,108,462,709,3761,330,24,9,20,694,15,101,8,111,141,0
06-23-2020,34,431,14,188,16,24,555,13,9,46,430,112,481,713,3855,330,24,9,20,700,16,123,8,111,142,0
06-24-2020,34,437,14,203,21,24,563,13,10,47,433,116,496,718,3950,332,24,9,20,715,16,126,8,112,145,0
06-25-2020,34,441,15,209,21,43,572,14,10,50,442,120,515,722,4029,334,25,10,20,725,16,129,8,112,145,0
06-26-2020,34,444,15,212,21,59,584,17,11,52,449,124,528,725,4124,334,25,10,20,733,18,131,8,115,146,0
06-27-2020,35,452,16,225,22,62,596,18,11,56,456,128,538,731,4228,339,27,10,20,737,18,138,8,118,146,0
06-28-2020,42,457,16,230,24,65,611,18,11,57,464,133,553,737,4320,341,27,11,20,742,19,142,8,120,149,0
06-29-2020,43,468,18,245,25,67,619,19,11,58,470,135,568,741,4420,344,30,11,20,748,19,144,9,120,152,0
06-30-2020,69,474,19,253,25,68,625,19,11,64,476,138,585,747,4489,345,31,13,21,754,21,148,9,121,152,0
07-01-2020,84,478,19,264,26,71,633,19,12,64,486,140,598,751,4581,346,32,14,23,759,22,151,9,123,155,0
07-02-2020,85,487,19,280,26,74,643,19,12,69,497,146,615,756,4652,347,42,15,23,769,25,154,9,125,156,0
07-03-2020,85,495,20,290,27,81,646,19,13,72,502,150,632,764,4725,348,58,15,23,782,27,158,10,127,157,0
07-04-2020,87,503,20,302,28,84,650,20,13,75,513,156,651,768,4814,350,70,15,24,787,28,160,10,127,157,0
07-05-2020,88,505,20,309,29,87,658,21,15,80,527,162,675,768,4900,351,70,16,24,799,28,163,10,127,157,0
07-06-2020,88,512,20,323,29,105,664,22,16,83,536,167,690,773,4978,351,73,17,25,805,31,167,10,127,160,0
07-07-2020,90,518,21,333,31,110,678,22,18,86,547,179,707,775,5063,353,73,19,25,808,32,167,10,127,160,0
07-08-2020,90,527,21,343,32,114,683,23,19,89,561,189,725,777,5156,354,75,20,25,809,33,170,10,127,161,0
07-09-2020,90,532,22,356,32,119,693,23,22,91,568,191,738,780,5252,355,76,21,25,820,35,174,10,127,162,0
07-10-2020,91,534,22,368,33,121,702,24,24,93,580,198,745,784,5360,356,78,23,25,827,36,176,11,127,162,0
07-11-2020,93,541,23,390,34,125,707,24,24,96,594,204,759,793,5447,359,78,23,25,829,36,177,11,127,163,0
07-12-2020,93,549,23,406,34,129,715,26,24,98,609,213,773,798,5530,360,79,25,28,839,37,180,12,127,163,0
07-13-2020,94,555,23,427,36,131,722,27,24,106,621,221,788,799,5611,361,80,26,29,845,38,183,13,127,167,0
07-14-2020,96,561,23,449,37,131,725,27,24,112,631,229,811,803,5684,362,80,30,30,851,38,185,13,127,170,0
07-15-2020,96,565,23,474,39,134,735,29,24,117,644,241,827,805,5763,364,81,33,32,853,38,188,13,129,170,0
07-16-2020,97,575,25,495,41,135,748,30,24,122,652,249,841,808,5856,366,81,34,33,860,40,188,13,129,173,0
07-17-2020,97,582,25,508,43,140,755,35,26,127,662,260,854,813,5939,366,82,35,34,867,42,189,14,129,175,0
07-18-2020,96,565,23,474,39,134,735,29,24,117,644,241,827,805,5763,364,81,33,32,853,38,188,13,129,170,581
07-19-2020,96,565,23,474,39,134,735,29,24,117,644,241,827,805,5763,364,81,33,32,853,38,188,13,129,170,770
07-20-2020,98,600,27,555,43,144,770,41,27,134,678,285,876,819,6122,369,83,38,37,874,49,194,15,132,177,0
07-21-2020,103,613,28,585,46,150,782,47,28,138,696,295,917,829,6320,371,84,46,38,886,51,198,17,133,178,0
07-22-2020,103,618,29,601,47,151,786,49,30,143,704,302,939,833,6414,371,85,50,38,892,52,200,17,133,180,0
07-23-2020,120,782,31,628,69,176,987,65,31,177,764,351,1248,1197,8331,542,94,52,38,1225,53,234,25,208,226,0
07-24-2020,121,788,31,649,70,179,998,66,33,182,774,360,1262,1201,8413,542,96,54,39,1232,55,237,27,208,226,0
07-25-2020,121,788,31,649,70,179,998,66,33,182,774,360,1262,1201,8413,542,96,54,39,1232,55,237,27,208,226,0
07-26-2020,121,788,31,649,70,179,998,66,33,182,774,360,1262,1201,8413,542,96,54,39,1232,55,237,27,208,226,0
07-27-2020,123,810,36,696,72,196,1012,73,37,191,788,384,1294,1207,8699,544,96,57,42,1246,68,280,29,209,229,0
07-28-2020,123,813,36,711,74,199,1017,75,37,191,798,390,1320,1211,8785,544,96,59,43,1249,70,301,30,209,231,0
07-29-2020,123,818,37,718,74,201,1020,80,37,191,804,402,1327,1215,8892,545,97,80,43,1251,72,319,30,209,231,0
07-30-2020,123,818,37,718,74,201,1020,80,37,191,804,402,1327,1215,8892,545,97,80,43,1251,72,319,30,209,231,0
07-31-2020,124,825,38,726,74,203,1026,82,38,192,813,408,1331,1216,8993,545,97,100,45,1254,72,342,33,211,233,0
08-01-2020,124,825,38,726,74,203,1026,82,38,192,813,408,1331,1216,8993,545,97,100,45,1254,72,342,33,211,233,0
08-02-2020,124,839,40,776,77,212,1041,106,38,197,866,432,1363,1226,9259,549,104,112,50,1268,82,367,37,214,235,0
