Admin2,,,,,,,,,,,,,,,,,,,,
Province/State,Andalusia,Aragon,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla - La Mancha,Castilla y Leon,Catalonia,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,Pais Vasco,Unknown
Country/Region,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
05-19-2020,1358,843,303,219,1370,155,208,2900,1960,5981,4,504,607,352,8894,2,145,503,1470,0
05-20-2020,1371,843,304,221,1378,155,209,2913,1960,6021,4,504,607,353,8912,2,148,503,1480,0
05-21-2020,1375,848,307,221,1383,155,209,2919,1960,6021,4,505,608,354,8931,2,149,506,1483,0
05-22-2020,1377,858,307,222,1389,155,209,2929,1961,6656,4,506,609,356,8944,2,149,508,1487,0
05-23-2020,1389,858,307,222,1390,157,209,2934,1961,6663,4,507,610,357,8956,2,149,509,1494,0
05-24-2020,1391,858,308,222,1393,157,209,2940,1961,6701,4,506,613,358,8977,2,149,509,1494,0
05-25-2020,1334,826,288,211,1331,150,202,2788,1913,5575,4,506,607,358,8686,2,139,490,1424,0
05-26-2020,1404,826,310,209,1332,150,202,2945,1922,5583,5,507,607,360,8691,2,148,490,1424,0
05-27-2020,1404,826,310,209,1332,150,202,2945,1922,5583,5,507,607,360,8691,2,148,490,1424,0
05-28-2020,1404,826,310,209,1332,151,202,2945,1922,5584,4,507,608,360,8691,2,148,490,1424,0
05-29-2020,1404,826,310,209,1334,151,202,2945,1922,5584,4,507,608,360,8691,2,148,490,1424,0
05-30-2020,1404,826,310,209,1332,151,202,2945,1923,5587,4,508,609,360,8691,2,148,490,1424,0
05-31-2020,1404,826,310,209,1332,151,202,2945,1924,5587,4,508,609,361,8691,2,148,490,1424,0
06-01-2020,1404,826,310,209,1332,151,202,2945,1924,5587,4,508,609,361,8691,2,148,490,1424,0
06-02-2020,1404,826,310,209,1332,151,202,2945,1924,5587,4,508,609,361,8691,2,148,490,1424,0
06-03-2020,1404,826,310,209,1332,151,202,2945,1925,5587,4,508,609,361,8691,2,148,490,1424,0
06-04-2020,1404,826,311,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-05-2020,1404,826,312,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-06-2020,1404,826,313,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-07-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-08-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-09-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-10-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-11-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-12-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-13-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-14-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-15-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-16-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-17-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-18-2020,1404,826,314,209,1332,151,202,2945,1928,5587,4,508,609,362,8691,2,148,490,1424,0
06-19-2020,1426,911,333,224,1430,162,216,3022,2775,5662,4,519,619,365,8416,2,147,528,1554,0
06-20-2020,1426,911,333,224,1431,162,216,3022,2776,5666,4,519,619,365,8416,2,147,528,1555,0
06-21-2020,1426,911,333,224,1431,162,216,3022,2777,5666,4,519,619,365,8416,2,147,528,1555,0
06-22-2020,1426,911,333,224,1431,162,216,3022,2778,5666,4,519,619,365,8416,2,147,528,1555,0
06-23-2020,1426,911,333,224,1431,162,216,3022,2779,5666,4,519,619,365,8416,2,147,528,1555,0
06-24-2020,1426,911,333,224,1432,162,216,3022,2780,5666,4,519,619,365,8416,2,147,528,1555,0
06-25-2020,1426,911,334,224,1432,162,216,3020,2783,5666,4,519,619,365,8417,2,147,528,1555,0
06-26-2020,1426,912,334,224,1432,162,216,3024,2783,5668,4,519,619,365,8418,2,147,528,1555,0
06-27-2020,1426,912,334,224,1432,162,216,3024,2783,5668,4,519,619,366,8420,2,147,528,1555,0
06-28-2020,1426,912,334,224,1432,162,216,3024,2783,5669,4,519,619,366,8421,2,147,528,1555,0
06-29-2020,1426,912,334,224,1432,162,216,3025,2784,5669,4,519,619,366,8421,2,147,528,1556,0
06-30-2020,1427,912,334,224,1432,162,216,3026,2784,5670,4,519,619,366,8425,2,147,528,1558,0
07-01-2020,1428,912,334,224,1432,162,216,3026,2787,5671,4,519,619,366,8427,2,147,528,1560,0
07-02-2020,1428,912,334,224,1432,162,216,3026,2787,5673,4,519,619,366,8428,2,148,528,1560,0
07-03-2020,1433,912,334,224,1432,162,216,3026,2787,5673,4,519,619,366,8439,2,148,528,1561,0
07-04-2020,1433,912,334,224,1432,162,216,3026,2787,5673,4,519,619,366,8439,2,148,528,1561,0
07-05-2020,1433,912,334,224,1432,162,216,3026,2787,5673,4,519,619,366,8439,2,148,528,1561,0
07-06-2020,1433,913,334,224,1432,162,216,3027,2787,5674,4,519,619,366,8439,2,148,528,1561,0
07-07-2020,1433,913,334,224,1432,162,216,3028,2788,5675,4,519,619,366,8440,2,148,528,1561,0
07-08-2020,1434,913,334,224,1432,162,216,3029,2788,5675,4,519,619,366,8441,2,148,528,1562,0
07-09-2020,1435,913,334,224,1432,162,216,3029,2791,5675,4,519,619,366,8442,2,148,528,1562,0
07-10-2020,1435,915,334,224,1432,162,216,3029,2792,5675,4,519,619,366,8441,2,148,528,1562,0
07-11-2020,1435,915,334,224,1432,162,216,3029,2792,5675,4,519,619,366,8441,2,148,528,1562,0
07-12-2020,1435,915,334,224,1432,162,216,3029,2792,5675,4,519,619,366,8441,2,148,528,1562,0
07-13-2020,1435,915,334,224,1432,162,216,3030,2792,5676,4,519,619,366,8442,2,148,528,1562,0
07-14-2020,1435,915,334,224,1432,162,216,3030,2793,5677,4,519,619,366,8442,2,148,528,1563,0
07-15-2020,1435,915,334,224,1432,162,216,3031,2793,5678,4,519,619,366,8444,2,148,528,1563,0
07-16-2020,1435,915,334,224,1432,162,216,3032,2793,5678,4,519,619,366,8445,2,148,529,1563,0
07-17-2020,1435,915,334,224,1432,162,217,3034,2793,5678,4,519,619,366,8446,2,148,529,1563,0
07-18-2020,1435,915,334,224,1432,162,217,3034,2793,5678,4,519,619,366,8446,2,148,529,1563,0
07-19-2020,1435,915,334,224,1432,162,217,3034,2793,5678,4,519,619,366,8446,2,148,529,1563,0
07-20-2020,1435,915,334,224,1433,162,217,3033,2794,5678,4,519,619,366,8447,2,148,529,1563,0
07-21-2020,1435,915,334,224,1433,162,217,3033,2795,5678,4,519,619,366,8448,2,148,529,1563,0
07-22-2020,1435,915,334,224,1433,162,217,3032,2795,5680,4,519,619,366,8449,2,148,529,1563,0
07-23-2020,1435,915,334,224,1433,162,217,3033,2796,5680,4,519,619,366,8450,2,148,529,1563,0
07-24-2020,1436,915,334,224,1433,162,217,3032,2796,5680,4,519,619,366,8450,2,148,529,1566,0
07-25-2020,1436,915,334,224,1433,162,217,3032,2796,5680,4,519,619,366,8450,2,148,529,1566,0
07-26-2020,1436,915,334,224,1433,162,217,3032,2796,5680,4,519,619,366,8450,2,148,529,1566,0
07-27-2020,1436,915,334,224,1433,162,217,3032,2797,5680,4,519,619,366,8451,2,148,529,1566,0
