Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Blekinge,Dalarna,Gavleborg,Gotland,Halland,Jamtland Harjedalen,Jonkoping,Kalmar,Kronoberg,Norrbotten,Orebro,Ostergotland,Skane,Sormland,Stockholm,Uppsala,Varmland,Vasterbotten,Vasternorrland,Vastmanland,Vastra Gotaland
Country/Region,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
06-05-2020,5,147,111,6,56,33,144,39,76,48,139,194,192,228,2136,184,37,28,88,148,600
06-06-2020,5,147,112,6,57,33,144,39,76,48,139,198,200,228,2137,184,37,28,88,148,602
06-07-2020,5,147,112,6,57,34,144,39,76,48,139,198,200,228,2138,184,37,28,89,148,602
06-08-2020,5,147,113,6,57,34,146,39,79,48,141,198,200,230,2157,184,41,29,90,148,602
06-09-2020,7,147,115,6,57,34,148,41,82,50,141,198,202,230,2159,185,44,29,90,148,604
06-10-2020,7,150,118,6,60,34,149,41,83,53,142,201,205,233,2178,191,44,29,92,148,631
06-11-2020,7,150,118,6,60,34,150,41,84,53,143,201,205,233,2184,191,48,29,94,151,632
06-12-2020,7,151,118,6,60,39,152,41,84,56,143,209,205,233,2185,192,49,30,95,152,647
06-13-2020,7,151,118,6,60,39,152,41,84,56,146,209,218,233,2186,192,49,30,98,152,647
06-14-2020,7,151,118,6,60,39,152,41,84,56,146,209,218,233,2186,192,49,30,98,152,647
06-15-2020,8,151,118,6,60,39,153,41,85,56,150,209,218,233,2187,195,53,30,98,152,649
06-16-2020,9,151,119,6,60,40,153,42,86,56,150,209,223,236,2211,202,56,30,99,152,649
06-17-2020,8,153,120,6,62,40,155,42,86,59,153,215,224,236,2251,205,58,30,102,157,679
06-18-2020,9,153,121,6,62,43,155,42,86,60,157,215,224,236,2252,205,58,30,102,158,679
06-19-2020,9,153,121,6,62,43,155,42,86,60,157,215,224,236,2252,205,58,30,102,158,679
