Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Para,Paraiba,Parana,Pernambuco,Piaui,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondonia,Roraima,Santa Catarina,Sao Paulo,Sergipe,Tocantins,Unknown
Country/Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
05-20-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116683
05-21-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125960
05-22-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135430
05-23-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142587
05-24-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149911
05-25-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153833
05-26-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158593
05-27-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166647
05-28-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177604
05-29-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189476
05-30-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200892
05-31-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206555
06-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211080
06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223638
06-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238617
06-04-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254963
06-05-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266940
06-06-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277149
06-07-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283952
06-08-2020,4113,9645,6148,39586,12406,46361,8966,11192,0,23272,1454,1190,6857,44244,4340,2558,23417,599,1824,8587,53445,3131,1537,6931,49295,4525,2634,
06-09-2020,4336,10290,6544,39586,13484,48659,9782,11892,0,25120,1597,1227,7363,46694,4671,2744,23723,622,1824,10410,56552,3364,1569,7828,49295,4575,2986,
06-10-2020,4336,11220,6717,42586,14228,50537,10403,12725,0,26795,1697,1360,7816,49651,4671,2887,25569,641,1096,10906,57933,3504,1579,8203,49295,4575,2986,
06-11-2020,4775,12177,7095,43508,14610,52628,11089,13277,0,29518,1792,1461,8307,51652,4671,2887,25794,641,1993,11277,60005,3573,1752,8203,49295,4575,3410,
06-12-2020,4775,13094,7253,44447,14976,53906,11825,13921,0,31569,1912,1552,9822,53724,5620,3044,25794,671,1993,11592,61690,3700,1754,8919,49295,4732,3543,
06-13-2020,5043,13761,7311,45238,15279,54956,12483,14224,0,33561,2042,1701,10647,55864,6477,3044,27903,681,1993,12027,62375,4142,1754,9218,49295,4732,3685,
06-14-2020,5108,14261,7363,45624,15486,56352,13194,14224,0,34210,2117,1819,11156,57008,6689,3044,28770,696,1993,12233,63817,4327,1754,9430,49295,5391,3780,
06-15-2020,5224,15169,7460,45828,15850,58432,13878,15252,0,35466,2386,1907,11553,55864,6890,3113,28894,709,1993,12613,65063,4394,1758,9430,49295,5391,3897,
06-16-2020,5383,16115,8041,46894,16777,59901,15172,15252,0,36979,2401,1969,11826,55864,7500,3215,30767,709,1993,13288,65063,4649,1770,9430,49295,5526,4226,
06-17-2020,5566,17065,8529,48173,17886,62428,16614,17254,0,39386,2401,2110,12695,63944,7972,3294,30986,734,1993,13803,69559,4832,1785,12633,49295,5883,4226,
06-18-2020,5566,17941,8766,49178,18351,64271,16869,17254,0,41773,2766,2200,13678,66918,7978,3551,30986,734,1993,14290,70407,4958,1785,12633,49295,6213,4226,
06-19-2020,5940,19154,9080,49178,22028,65927,18812,19092,0,43830,2766,2290,15138,66305,7978,4019,30986,734,1993,14836,70407,5263,1785,13599,49295,6213,4983,
06-20-2020,6089,19644,9416,50980,21691,67277,20446,19836,0,46017,3247,2450,15989,69305,9956,4019,33497,13029,1993,15373,75899,5263,2786,14078,49295,6449,5050,
