Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Caldas,Capital District,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres y Providencia,Santander,Sucre,Tolima,Unknown,Valle del Cauca,Vaupes,Vichada
Country/Region,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia
06-08-2020,1067,589,1,2173,1344,133,117,5682,21,31,63,71,91,66,407,0,0,222,44,380,927,585,106,3,95,233,15,50,5,200,0,1727,11,0
06-09-2020,1067,589,1,2173,1344,133,117,5682,21,31,63,71,91,66,407,0,0,222,44,380,927,585,106,3,95,233,15,50,5,200,0,1727,11,0
06-10-2020,1070,591,1,2190,1364,133,117,5720,21,31,63,71,92,68,411,0,0,222,44,381,927,586,106,3,95,233,15,50,5,200,0,1745,11,0
06-11-2020,1156,610,1,2289,1452,136,119,6060,21,31,66,71,95,68,434,0,0,225,44,409,938,616,107,3,95,233,15,50,5,204,0,1802,11,0
06-12-2020,1167,659,1,2390,1484,139,125,6155,21,32,69,71,110,70,452,0,0,227,46,414,939,633,107,3,95,233,15,52,6,206,0,1891,11,0
06-13-2020,1209,703,1,2596,1577,144,125,6429,21,33,71,72,125,71,494,0,0,227,47,425,939,672,108,3,96,234,17,54,6,207,0,2032,11,0
06-14-2020,1232,765,1,2707,1613,150,130,6742,21,33,73,73,137,78,525,0,0,232,48,433,939,710,110,4,100,234,17,54,7,208,0,2072,11,1
06-15-2020,1309,782,2,2792,1685,158,130,6885,21,33,73,86,139,81,555,0,0,233,51,445,940,725,110,5,100,235,17,54,10,208,0,2110,11,1
06-16-2020,1309,782,2,2792,1685,158,130,6885,21,33,73,86,139,81,555,0,0,233,51,445,940,725,110,5,100,235,17,54,10,208,0,2110,11,1
06-17-2020,1354,809,2,2839,1748,165,130,6953,21,33,74,89,173,84,561,2,0,236,51,457,941,743,110,5,102,235,17,55,16,222,0,2161,11,1
06-18-2020,1452,862,2,2972,1893,167,131,7206,21,33,76,92,167,88,597,2,0,235,51,490,942,760,111,8,102,239,17,60,21,227,0,2325,11,1
06-19-2020,1499,909,2,3234,2122,185,132,7617,21,33,79,107,176,98,681,2,0,236,51,515,943,797,115,8,104,241,17,70,34,234,0,2452,11,1
06-20-2020,1552,954,2,3391,2290,185,134,8105,22,33,82,114,197,100,744,2,0,236,52,528,943,872,116,8,105,244,17,80,36,243,0,2636,11,1
06-21-2020,1639,1048,2,4044,2814,193,140,9100,22,34,103,152,234,108,915,2,0,237,57,568,953,1134,117,9,105,251,17,99,45,254,0,3004,11,1
06-22-2020,1747,1128,2,4337,2970,196,140,9671,22,35,107,188,251,115,994,2,0,239,57,582,956,1201,118,9,109,252,17,106,47,258,0,3156,11,1
06-23-2020,1771,1187,2,4721,3173,197,147,10044,22,35,115,225,271,119,1070,2,0,240,60,591,958,1296,118,9,109,252,17,122,54,267,0,3311,11,1
06-24-2020,1771,1187,2,4721,3173,197,147,10044,22,35,115,225,271,119,1070,2,0,240,60,591,958,1296,118,9,109,252,17,122,54,267,0,3311,11,1
06-25-2020,1811,1261,2,4969,3285,199,152,10317,22,35,119,281,305,136,1115,2,1,241,61,621,958,1376,124,9,111,257,17,134,55,278,0,3463,11,1
06-26-2020,1838,1335,2,5342,3548,199,153,10714,22,35,134,309,333,150,1190,2,3,241,62,646,956,1501,146,9,114,261,17,139,65,283,0,3649,11,1
06-27-2020,1862,1405,3,5896,3759,203,154,10999,22,35,134,315,365,176,1240,2,3,243,65,658,956,1605,147,9,114,266,17,157,78,292,0,3806,12,1
06-28-2020,1894,1521,3,6686,4134,213,165,11955,22,36,148,376,412,200,1352,2,6,244,78,729,966,1754,156,9,115,279,17,168,98,308,0,4286,12,1
06-29-2020,1894,1521,3,6686,4134,213,165,11955,22,36,148,376,412,200,1352,2,6,244,78,729,966,1754,156,9,115,279,17,168,98,308,0,4286,12,1
06-30-2020,1914,1606,4,7190,4396,216,173,12255,22,45,147,410,470,212,1399,2,6,246,81,747,970,1907,159,9,115,275,17,189,115,319,0,4391,13,1
07-01-2020,1946,1749,4,7752,4530,224,180,12756,22,45,157,458,547,229,1478,2,6,252,83,778,971,2061,159,9,117,282,18,199,123,327,0,4665,13,1
07-02-2020,1951,1921,4,8149,4640,228,181,13065,22,47,161,475,586,241,1516,2,7,252,108,789,976,2102,164,9,117,284,18,204,133,340,0,4771,17,1
07-03-2020,1960,2012,7,8473,4747,234,183,13299,22,47,161,493,609,246,1573,2,7,254,111,793,980,2169,166,9,117,290,21,211,147,353,0,4892,17,1
07-04-2020,1966,2083,7,8719,4818,235,183,13484,22,48,168,501,614,251,1590,2,7,255,121,810,980,2181,176,9,118,297,21,216,155,358,0,4996,17,1
07-05-2020,2001,2136,7,9077,5033,238,186,13771,22,48,170,515,630,258,1628,2,7,256,122,827,994,2194,177,9,119,310,21,227,165,359,0,5115,18,1
07-06-2020,2039,2189,7,9383,5185,242,189,14099,22,49,178,565,661,261,1675,2,7,260,127,835,1002,2248,179,9,122,315,21,241,192,376,0,5262,18,1
07-07-2020,2079,2290,8,9960,5507,244,200,14930,22,49,184,641,707,287,1651,6,8,273,129,859,1005,2320,189,9,130,320,21,268,227,390,0,5436,20,1
07-08-2020,2089,2361,8,10476,5641,247,202,15228,23,49,188,683,736,294,1686,11,9,278,138,887,1009,2386,201,9,131,335,21,284,261,403,0,5566,20,1
07-09-2020,2104,2451,8,11080,5869,252,205,15566,23,49,189,687,802,298,1736,11,11,280,147,910,1012,2398,203,9,134,351,21,299,285,416,0,5807,20,1
07-10-2020,2110,2577,8,11980,6104,259,209,16217,23,50,201,704,850,312,1800,11,14,285,160,967,1024,2445,208,10,137,359,21,325,333,464,0,6083,21,1
07-11-2020,2159,2671,19,12904,6358,271,214,16755,23,51,206,784,896,326,1866,11,21,290,174,986,1035,2535,212,10,139,366,21,340,367,511,0,6257,21,1
07-12-2020,2167,2795,26,13652,6594,276,215,17323,23,56,215,796,964,338,1947,11,32,293,180,1051,1068,2638,215,11,142,377,21,351,387,518,0,6482,21,1
07-13-2020,2186,2884,26,14421,6845,278,221,17866,23,58,225,840,992,360,2028,11,35,321,188,1072,1080,2685,224,11,142,385,21,371,432,534,0,6664,21,1
07-14-2020,2196,2944,29,15287,7068,285,225,18421,23,59,232,872,1048,379,2082,11,36,321,200,1106,1087,2729,225,12,142,394,21,389,516,550,0,6898,21,1
07-15-2020,2199,3089,62,16317,7300,292,226,19075,25,61,244,889,1095,408,2129,11,37,331,223,1175,1093,2778,235,13,145,422,21,455,607,594,0,7233,21,1
07-16-2020,2230,3202,64,17524,7596,295,229,19668,26,62,252,924,1145,439,2205,11,37,333,239,1224,1107,2823,237,13,149,429,21,482,670,601,0,7476,22,1
07-17-2020,2245,3657,76,20336,8452,311,241,22047,32,65,302,979,1305,520,2386,13,37,346,340,1423,1166,2984,271,13,155,476,23,592,911,692,,8214,26,1
07-18-2020,2265,3865,81,22240,8952,317,243,23318,36,69,319,1054,1387,573,2495,13,37,348,386,1512,1212,3084,280,15,159,491,23,625,1035,869,,8506,26,1
07-19-2020,2275,4348,83,24428,9507,334,245,24447,38,73,352,1114,1458,656,2697,13,39,358,453,1680,1289,3148,292,16,166,509,23,663,1235,902,,8923,28,1
07-20-2020,2276,4571,85,25686,9792,335,246,25614,40,82,389,1137,1534,711,2803,13,39,360,490,1821,1331,3227,300,16,166,525,23,682,1363,915,,9203,28,1
07-21-2020,2279,4870,85,26344,10025,350,249,26411,45,82,410,1153,1567,742,2900,13,39,360,504,1911,1347,3343,302,16,168,534,23,725,1410,1084,,9520,28,1
07-22-2020,2279,5070,86,27095,10249,354,253,27281,52,83,437,1178,1594,773,2972,13,39,360,536,1988,1372,3371,307,18,170,546,23,752,1492,1102,,9739,28,1
07-23-2020,2285,5483,104,28788,10720,371,256,29333,54,87,488,1221,1681,861,3118,13,43,362,625,2154,1414,3438,334,20,173,568,24,801,1679,1143,,10280,29,1
07-24-2020,2296,6011,106,29592,10947,386,258,32222,55,96,539,1259,1749,895,3273,13,43,365,658,2241,1430,3558,355,22,185,606,27,861,1733,1194,,10859,29,1
07-25-2020,2301,6428,121,31473,11351,394,265,33753,69,98,571,1297,1800,1044,3419,13,43,367,721,2428,1468,3623,377,24,189,621,27,901,1972,1224,,11243,41,1
07-26-2020,2301,6428,121,31473,11351,394,265,33753,69,98,571,1297,1800,1044,3419,13,43,367,721,2428,1468,3623,377,24,189,621,27,901,1972,1224,,11243,41,1
07-27-2020,2309,7378,124,33900,12090,430,273,37916,97,111,637,1398,1925,1289,3725,13,47,391,894,2746,1555,3840,422,43,195,657,28,1058,2286,1276,,12058,49,1
07-28-2020,2313,7983,133,34602,12333,436,276,40090,116,112,684,1440,1969,1428,3896,13,48,395,943,2966,1609,3984,467,56,197,667,28,1108,2476,1304,,12568,49,1
07-29-2020,2315,8721,133,35585,12690,457,283,42179,128,113,736,1482,2046,1595,4076,13,48,413,1008,3154,1669,4118,514,73,203,689,29,1169,2722,1345,,13019,51,1
07-30-2020,2333,9248,136,36901,13077,478,292,44015,155,119,779,1532,2094,1732,4237,13,48,419,1091,3248,1719,4284,552,84,205,705,29,1220,2924,1450,,13524,51,1
07-31-2020,2339,10133,137,37728,13343,496,303,46107,200,121,809,1565,2146,1836,4423,13,48,426,1108,3364,1763,4498,590,128,208,721,29,1283,3013,1487,,13970,51,1
08-01-2020,2343,10976,140,38624,13655,509,304,48624,231,125,853,1596,2198,2012,4576,13,49,434,1144,3554,1806,4611,657,170,208,741,29,1335,3166,1560,,14411,53,1
08-02-2020,2348,11859,142,39712,13876,527,317,51123,248,134,889,1652,2218,2153,4781,13,55,453,1227,3718,1860,4755,736,196,210,770,30,1399,3355,1617,,14812,53,1
08-03-2020,2350,13170,152,40553,14151,539,321,53395,255,144,924,1713,2269,2216,5112,13,55,477,1268,3789,1898,4927,835,212,210,824,30,1529,3405,1651,,15280,59,1
08-04-2020,2354,14378,154,41484,14448,555,330,55013,359,148,1007,1754,2338,2496,5303,13,58,512,1346,3946,1954,5091,923,257,210,848,32,1682,3710,1699,,15796,59,1
08-05-2020,2357,15721,157,42109,14708,575,386,56602,394,154,1055,1814,2399,2621,5560,13,59,530,1424,4048,1989,5226,1035,291,213,891,32,1765,3866,1736,,16527,59,1
08-06-2020,2360,16901,160,42802,15048,589,401,57838,466,161,1120,1881,2427,3048,5713,13,59,544,1496,4368,2053,5420,1125,370,218,932,32,1831,4054,1780,,17085,59,1
08-07-2020,2365,18389,163,43527,15346,607,411,59566,492,172,1174,1942,2446,3237,5897,13,60,562,1543,4487,2091,5562,1266,392,221,957,32,1916,4209,1837,,17553,59,1
08-08-2020,2365,19654,170,44207,15666,631,421,61188,539,178,1201,2002,2484,3522,6143,13,62,585,1593,4639,2153,5723,1349,435,235,995,33,2030,4353,1881,,18081,59,1
08-09-2020,2366,22017,178,44999,15992,665,434,62758,693,185,1310,2062,2538,3921,6520,13,62,621,1648,4818,2272,5864,1554,508,244,1040,33,2187,4512,1929,,18685,59,1
08-10-2020,2382,23671,182,45918,16264,704,463,65361,762,195,1391,2148,2624,4316,6896,13,65,661,1697,5056,2339,6084,1734,548,252,1087,33,2436,4722,1970,,19450,59,1
08-11-2020,2384,24659,194,46617,16428,716,476,70225,860,201,1427,2286,2647,4667,6998,13,68,677,1743,5160,2384,6289,2039,569,258,1143,33,2563,4808,2000,,19833,60,2
08-12-2020,2388,25896,197,46990,16679,765,511,75551,958,207,1473,2327,2658,5105,7186,13,69,691,1797,5278,2462,6363,2200,604,269,1167,34,2687,4924,2026,,20248,60,2
08-13-2020,2391,27747,202,47530,16868,792,570,80857,1009,222,1533,2475,2680,5446,7492,13,70,728,1922,5410,2530,6515,2379,666,278,1202,34,2812,5088,2082,,20889,60,2
08-14-2020,2401,29781,214,48673,17262,825,627,84153,1155,241,1648,2622,2712,5809,7864,13,88,780,1984,5686,2692,6837,2560,725,290,1316,34,3107,5280,2188,,21664,60,2
08-15-2020,2404,32702,225,49508,17697,875,721,87444,1307,266,1732,2748,2768,6227,8295,13,97,875,2043,6037,2818,7105,2800,792,310,1410,38,3417,5512,2263,,23906,60,5
08-16-2020,2419,35264,245,50182,17947,946,802,92318,1520,287,1819,2884,2829,6558,8843,13,103,957,2135,6329,2977,7354,3080,864,325,1498,40,3747,5784,2376,,24926,60,5
08-17-2020,2429,37954,311,51004,18225,1047,869,97193,1721,302,1929,3111,2868,7126,9347,13,126,1063,2228,6578,3191,7668,3358,923,346,1644,41,4190,6005,2494,,26155,61,5
08-18-2020,2437,39880,319,51656,18442,1090,921,101852,1791,327,1986,3308,2876,7504,9595,13,127,1137,2282,6698,3269,7894,3579,1047,368,1743,41,4487,6174,2727,,26686,62,5
08-19-2020,2467,42789,342,52278,18752,1177,1015,106822,2014,350,2100,3526,2924,7878,10176,13,134,1245,2362,7021,3450,8211,3850,1174,392,1912,42,5024,6398,2826,,27567,62,5
08-20-2020,2487,45345,367,53204,19242,1235,1051,109655,2260,385,2191,3650,3002,9041,10643,13,157,1429,2504,7313,3749,8500,4100,1227,414,2114,46,5659,6677,3132,,28260,67,5
08-21-2020,2507,47006,378,53662,19435,1337,1079,112187,2491,425,2273,3885,3050,9534,11312,13,160,1521,2657,7547,4019,8841,4371,1322,452,2216,48,6122,6872,3245,,28887,81,5
08-22-2020,2507,47006,378,53662,19435,1337,1079,112187,2491,425,2273,3885,3050,9534,11312,13,160,1521,2657,7547,4019,8841,4371,1322,452,2216,48,6122,6872,3245,,28887,81,5
08-23-2020,2518,49952,425,54557,20214,1473,1165,122221,2968,499,2469,4351,3115,10974,12275,14,174,1806,2911,8034,4387,9454,5112,1496,484,2451,53,7053,7530,3431,,30361,92,5
08-24-2020,2531,51521,454,55100,20523,1543,1251,125529,3082,517,2607,4541,3132,11277,12741,14,180,1888,2971,8244,4538,9766,5413,1576,519,2654,59,7490,7704,3502,,31195,98,5
08-25-2020,2539,53243,502,55563,20766,1645,1325,128820,3220,536,2714,4824,3146,12140,13400,15,187,2055,3149,8544,4728,9956,5676,1678,541,2783,62,7857,8001,3784,,31960,99,5
08-26-2020,2542,54702,524,55955,21051,1735,1400,132641,3463,575,2823,5013,3175,12857,13939,15,193,2212,3269,8773,5100,10174,6057,1722,568,2956,71,8478,8294,3975,,32756,101,5
08-27-2020,2548,55960,547,56294,21578,1825,1467,135948,3587,593,2903,5133,3190,13617,14425,16,198,2424,3367,8883,5290,10412,6438,1847,591,3086,73,9189,8520,4111,,33615,101,5
08-28-2020,2552,57125,567,56918,21710,1883,1504,141204,3763,611,3014,5395,3221,14160,14997,17,201,2557,3444,9066,5516,10532,6716,1878,617,3269,78,9630,8854,4248,,34253,103,5
08-29-2020,2556,58599,621,57303,21825,2023,1574,145433,3918,644,3135,5626,3245,14450,15483,17,205,2666,3546,9323,5716,10795,6980,1947,640,3455,85,10038,9036,4406,,35126,141,5
08-30-2020,2557,60156,651,57747,22017,2205,1634,148540,3992,671,3260,5955,3284,14817,16056,17,216,2817,3664,9528,5871,10972,7266,1972,674,3598,90,10483,9310,4564,,35875,145,5
08-31-2020,2559,61466,673,57951,22292,2326,1705,151131,4122,705,3382,6242,3297,14991,16499,17,220,2980,3779,9643,6057,11132,7689,2031,721,3815,104,10981,9493,4824,,36479,149,5
09-01-2020,2562,63372,704,58268,22401,2419,1771,155509,4229,729,3455,6428,3317,15076,17023,18,220,3071,3800,9870,6202,11226,7848,2071,742,3975,104,11311,9527,4938,,37194,152,20
09-02-2020,2563,64922,743,58574,22504,2578,1906,159074,4346,756,3574,6813,3327,15339,17474,22,220,3181,3876,9999,6399,11414,8075,2088,788,4228,117,11710,9600,5069,,38093,172,23
09-03-2020,2570,65974,755,58909,22822,2730,1992,160976,4525,793,3737,7066,3374,15774,18349,27,230,3570,4043,10209,6795,11588,8369,2195,836,4436,130,12254,9840,5306,,38776,176,25
09-04-2020,2570,65974,755,58909,22822,2730,1992,160976,4525,793,3737,7066,3374,15774,18349,27,230,3570,4043,10209,6795,11588,8369,2195,836,4436,130,12254,9840,5306,,38776,176,25
09-05-2020,2572,67885,766,59079,23071,2750,2016,161768,4930,813,3898,7580,3379,16014,18926,49,241,3915,4091,10301,7481,11755,8918,2316,874,4545,135,13375,9964,5399,,39142,192,79
09-06-2020,2578,70908,802,59841,23663,2932,2157,166329,5215,839,4254,8405,3506,17070,19782,54,245,4163,4378,10713,7831,12306,9507,2482,939,4859,143,14377,10734,5791,,41127,201,98
09-07-2020,2578,70908,802,59841,23663,2932,2157,166329,5215,839,4254,8405,3506,17070,19782,54,245,4163,4378,10713,7831,12306,9507,2482,939,4859,143,14377,10734,5791,,41127,201,98
