Admin2,,,,,,,,,,,,
Province/State,French Guiana,French Polynesia,Guadeloupe,Martinique,Mayotte,New Caledonia,Reunion,Saint Barthelemy,Saint Pierre and Miquelon,St Martin,Wallis and Futuna,
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France
04-05-2020,22,0,31,50,14,1,40,1,0,7,,16183
04-06-2020,34,0,31,50,14,1,40,1,0,7,,17250
04-07-2020,34,0,31,50,22,1,40,1,0,7,,19337
04-08-2020,34,0,43,50,22,1,40,1,0,7,,21254
04-09-2020,43,0,43,50,22,1,40,1,0,7,,23206
04-10-2020,43,0,67,50,50,1,40,1,0,11,,24932
04-11-2020,43,0,67,50,59,1,40,1,0,11,,26391
04-12-2020,51,0,67,50,59,1,40,4,0,11,,27186
04-13-2020,51,0,67,50,59,1,40,4,0,11,,27718
04-14-2020,51,0,67,50,69,1,40,4,0,11,,28805
04-15-2020,51,0,67,73,69,1,237,4,0,13,,30955
04-16-2020,51,0,67,73,69,1,237,4,0,13,,32812
04-17-2020,61,0,67,73,117,14,237,4,0,13,,34420
04-18-2020,64,2,73,73,117,14,237,5,0,19,,35983
04-19-2020,64,2,73,73,117,15,237,5,0,19,,36578
04-20-2020,69,19,73,73,117,15,237,5,0,19,,37409
04-21-2020,76,19,73,73,117,17,238,6,0,19,,39181
04-22-2020,83,35,73,73,125,17,238,6,0,19,,40657
04-23-2020,84,36,76,73,125,17,238,6,0,19,,42088
04-24-2020,87,41,82,77,144,17,300,6,0,24,,43493
04-25-2020,87,41,82,77,144,17,300,6,0,24,,44594
04-26-2020,87,41,82,77,144,17,300,6,0,24,,44903
04-27-2020,87,43,82,77,144,17,300,6,0,24,,45513
04-28-2020,93,49,82,83,235,17,300,6,0,24,,46886
04-29-2020,93,50,82,83,235,17,300,6,0,24,,48228
04-30-2020,94,50,95,83,235,17,300,6,0,24,,49476
05-01-2020,98,51,95,83,235,17,300,6,0,27,,50212
05-02-2020,98,51,95,83,235,17,300,6,0,27,,49751
05-03-2020,98,51,95,83,235,17,300,6,0,27,,49973
05-04-2020,100,53,98,83,352,17,300,6,0,29,,50438
05-05-2020,100,54,98,83,352,17,300,6,0,29,,51803
05-06-2020,111,54,104,83,352,18,300,6,0,29,,53022
05-07-2020,112,56,104,83,352,18,354,6,0,30,,54076
05-08-2020,119,56,104,83,352,18,354,6,0,30,,54770
05-09-2020,119,56,104,83,492,18,354,6,0,30,,54886
05-10-2020,122,56,104,83,492,18,354,6,0,30,,55062
05-11-2020,122,56,104,91,492,18,354,6,1,30,,55561
05-12-2020,124,58,109,91,492,18,354,6,1,30,,56615
05-13-2020,124,58,109,91,627,18,354,6,1,30,,57368
05-14-2020,124,59,109,91,627,18,354,6,1,30,,58300
05-15-2020,124,59,109,91,627,18,354,6,1,30,,59143
05-16-2020,125,59,109,91,627,18,354,6,1,30,,59142
05-17-2020,125,59,109,91,627,18,354,6,1,30,,59907
05-18-2020,131,60,109,91,627,18,354,6,1,30,,60416
05-19-2020,136,60,109,91,627,18,354,6,1,30,,61246
05-20-2020,136,60,109,91,894,18,411,6,1,33,,61713
05-21-2020,137,60,109,91,894,18,411,6,1,33,,62216
05-22-2020,141,60,115,91,894,18,411,6,1,33,,62216
05-23-2020,143,60,115,91,894,18,411,6,1,33,,62216
05-24-2020,145,60,115,91,894,18,411,6,1,33,,62961
05-25-2020,146,60,115,91,894,18,411,6,1,33,,63542
05-26-2020,146,60,115,91,894,18,411,6,1,33,,64222
05-27-2020,150,60,115,91,1314,18,411,6,1,33,,64503
05-28-2020,161,60,115,91,1315,18,411,6,1,33,,65098
05-29-2020,172,60,138,98,1385,18,411,6,1,33,,65599
05-30-2020,185,60,138,98,1385,18,411,6,1,33,,66051
05-31-2020,200,60,138,98,1385,18,411,6,1,33,,66123
06-01-2020,200,60,138,98,1473,18,411,6,1,33,,66120
06-02-2020,207,60,138,98,1473,18,411,6,1,33,,66485
06-03-2020,254,60,138,98,1523,18,411,6,1,33,,67031
06-04-2020,296,60,138,98,1523,18,411,6,1,33,,67510
06-05-2020,321,60,144,98,1523,18,411,6,1,33,,68007
06-06-2020,348,60,144,98,1523,18,411,6,1,33,,68282
06-07-2020,383,60,144,98,1523,19,411,6,1,33,,68283
06-08-2020,400,60,144,98,1654,20,447,6,1,33,,68319
06-09-2020,427,60,144,98,1654,20,447,6,1,33,,68736
06-10-2020,457,60,144,98,1654,20,447,6,1,33,,69032
06-11-2020,462,60,144,98,1654,20,447,6,1,33,,69344
06-12-2020,489,60,157,98,1790,20,460,6,1,36,,69578
