Admin2,,,,,,,,,,,,,,,,,
Province/State,Baden-Wurttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thuringen,Unknown
Country/Region,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
05-14-2020,29400,39140,5737,2700,800,4400,7600,700,9500,31300,5800,2400,4400,1500,2600,2200,123
05-15-2020,29700,39510,5787,2800,800,4400,7900,700,9600,31500,5800,2400,4400,1500,2600,2200,0
05-16-2020,29700,39880,5825,2800,800,4400,7900,700,9600,31500,5807,2400,4400,1479,2600,2200,609
05-17-2020,30000,40060,5850,2800,800,4500,8000,700,9800,31900,5831,2403,4500,1480,2700,2230,457
05-18-2020,30200,40260,5880,2800,900,4500,8100,700,9900,32200,5846,2421,4510,1500,2700,2300,324
05-19-2020,30300,40400,5918,2900,900,4500,8200,700,9900,32400,5879,2428,4560,1523,2700,2300,173
05-20-2020,30600,40750,5959,2900,1000,4600,8200,700,10000,32700,5914,2433,4590,1542,2700,2340,38
05-21-2020,30800,41060,5987,2900,1000,4600,8300,700,10100,32900,5941,2435,4620,1554,2800,2390,0
05-22-2020,31000,41340,6018,2900,1000,4600,8400,702,10200,33100,5969,2441,4620,1554,2800,2420,0
05-23-2020,31100,41530,6049,2900,1000,4600,8400,702,10200,33300,5996,2445,4700,1554,2800,2440,0
05-24-2020,31200,41740,6060,2900,1100,4600,8400,707,10200,33400,6023,2447,4700,1554,2800,2450,0
05-25-2020,31300,41850,6086,3000,1100,4700,8500,707,10300,33600,6045,2457,4720,1554,2800,2480,0
05-26-2020,31400,42100,6123,3000,1100,4700,8600,707,10300,33800,6077,2466,4740,1554,2800,2500,0
05-27-2020,31500,42310,6175,3000,1100,4700,8700,707,10400,34000,6105,2479,4770,1554,2800,2520,0
05-28-2020,31595,42480,6208,3000,1100,4700,8700,707,10400,34100,6130,2489,4810,1591,2800,2550,0
05-29-2020,31595,42660,6240,3000,1200,4700,8800,720,10600,34300,6145,2489,4830,1596,2800,2570,0
05-30-2020,31900,42820,6259,3000,1200,4700,8900,721,10600,34300,6181,2491,4850,1596,2800,2590,0
05-31-2020,31900,42920,6279,3000,1200,4700,8900,722,10600,34500,6203,2492,4850,1596,2900,2590,0
06-01-2020,31900,42920,6319,3000,1200,4700,9000,722,10700,34500,6223,2492,4850,1596,2900,2610,0
06-02-2020,32100,43140,6358,3010,1200,4800,9000,722,10700,34800,6246,2499,4900,1604,2900,2630,0
06-03-2020,32200,43310,6388,3100,1200,4800,9100,722,10800,35000,6267,2502,4900,1604,2900,2660,0
06-04-2020,32209,43480,6412,3100,1200,4800,9100,722,10900,35100,6289,2507,4900,1610,2900,2680,0
06-05-2020,32400,43480,6443,3100,1300,4800,9200,722,10900,35200,6304,2511,4900,1610,2900,2710,0
06-06-2020,32400,43600,6455,3100,1300,4800,9200,730,11000,35300,6320,2513,5000,1610,2900,2730,0
06-07-2020,32500,43620,6470,3100,1300,4800,9200,730,11000,35400,6336,2518,5000,1610,2900,2740,0
06-08-2020,32506,43700,6495,3100,1300,4800,9300,730,11000,35500,6343,2522,5000,1610,2900,2750,0
06-09-2020,32600,43800,6531,3100,1300,4800,9300,730,11100,35700,6354,2524,5000,1610,2900,2780,0
06-10-2020,32700,43900,6559,3100,1300,4800,9400,730,11200,35700,6391,2530,5000,1610,2900,2810,0
06-11-2020,32717,44000,6582,3100,1400,4800,9400,730,11200,35737,6407,2531,5000,1627,2900,2830,0
06-12-2020,32800,44100,6582,3100,1400,4800,9500,738,11200,36000,6417,2531,5000,1627,2900,2840,0
06-13-2020,32800,44200,6627,3100,1400,4800,9500,739,11300,36100,6437,2600,5000,1627,2900,2840,0
06-14-2020,32800,44200,6656,3100,1400,4800,9500,739,11300,36100,6442,2600,5065,1627,2900,2860,0
06-15-2020,32900,44300,6685,3100,1400,4800,9600,740,11400,36300,6444,2543,5065,1627,2900,2860,28
06-16-2020,32907,44300,6725,3100,1400,4800,9600,741,11400,36400,6454,2546,5065,1627,2900,2870,7
06-17-2020,33000,44400,6778,3100,1400,4800,9600,744,11600,36600,6465,2550,5075,1627,2970,2890,0
06-18-2020,33000,44500,6806,3100,1500,4800,9600,749,11600,36600,6479,2551,5075,1627,2970,2890,0
06-19-2020,33017,44500,6850,3100,1500,4800,9600,750,11600,36600,6497,2557,5075,1627,2979,2920,0
06-20-2020,33100,44600,6874,3100,1500,4800,9700,752,11700,36800,6507,2563,5075,1627,2981,2930,0
06-21-2020,33100,44600,6886,3100,1500,4800,9700,753,11700,36900,6514,2563,5075,1627,2982,2940,0
06-22-2020,33114,44700,6920,3100,1500,4800,9700,753,11800,37000,6517,2566,5075,1668,2980,2950,0
06-23-2020,33200,44700,6961,3200,1500,4800,9800,758,11900,37200,6530,2568,5100,1668,2980,2960,0
06-24-2020,33200,44900,7032,3200,1500,4900,9800,760,12000,37300,6543,2569,5100,1668,2980,2970,0
06-25-2020,33223,45000,7081,3200,1505,4900,9800,762,12000,37400,6553,2574,5105,1681,2980,3000,0
06-26-2020,33252,45100,7125,3200,1505,4900,9800,762,12100,37500,6565,2574,5105,1681,2980,3000,0
06-27-2020,33300,45100,7196,3200,1517,4900,9900,763,12100,37600,6582,2574,5105,1681,2980,3020,0
06-28-2020,33300,45100,7217,3200,1518,4900,9900,764,12100,37700,6588,2574,5105,1681,2990,3020,0
06-29-2020,33300,45100,7272,3200,1533,4900,9900,765,12100,37700,6590,2577,5105,1718,2990,3020,0
06-30-2020,33300,45100,7349,3200,1539,4900,9900,767,12100,37700,6597,2581,5125,1725,3000,3030,187
07-01-2020,33300,45100,7433,3200,1556,4900,9909,767,12250,37700,6603,2584,5150,1725,3000,3040,883
07-02-2020,33518,45210,7515,3200,1560,4900,9952,769,12265,37853,6603,2584,5165,1749,3000,3050,907
07-03-2020,33570,45250,7612,3200,1564,4900,9993,769,12268,37974,6623,2584,5180,1758,3000,3060,995
07-04-2020,33570,45290,7646,3210,1564,4900,10009,772,12334,39222,6635,2585,5180,1758,3000,3060,265
07-05-2020,33570,45400,7670,3210,1564,4900,10100,775,12500,39800,6646,2586,5180,1758,3000,3060,0
07-06-2020,33570,45400,7738,3220,1589,4900,10100,775,12600,40000,6657,2588,5195,1758,3000,3070,0
07-07-2020,33570,45500,7783,3220,1596,4900,10100,775,12700,40200,6664,2588,5200,1795,3000,3070,0
07-08-2020,33575,45500,7828,3300,1599,4900,10200,777,12750,40400,6668,2589,5200,1797,3000,3070,0
07-09-2020,33624,45600,7896,3300,1600,4900,10200,777,12800,40700,6670,2589,5205,1797,3000,3070,0
07-10-2020,33643,45600,7938,3300,1604,4900,10200,779,12800,40900,6690,2590,5205,1799,3000,3080,0
07-11-2020,33643,45700,7967,3300,1604,4900,10200,781,12800,41000,6697,2590,5205,1799,3000,3080,0
07-12-2020,33643,45700,7995,3300,1605,4900,10200,782,12800,41100,6705,2590,5205,1799,3000,3090,0
07-13-2020,33643,45700,8036,3300,1608,4900,10200,782,12800,41100,6717,2590,5215,1807,3000,3090,612
