Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Unknown,Uttar Pradesh,Uttarakhand,West Bengal
Country/Region,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India
07-28-2020,192,49558,574,25402,27530,575,5172,564,116372,3410,41380,25046,1216,10402,3770,37685,10045,1066,0,19791,221944,1596,186,193,569,17374,1720,9064,26123,174,162249,42909,2467,0,42833,3675,39917
07-29-2020,196,55406,677,27832,30320,611,5636,648,118633,3784,43195,26420,1332,11322,4035,42901,11365,1080,0,20934,239755,1639,207,215,595,18939,1874,10213,27569,198,172883,2678,0,45807,3811,44116,42909
07-30-2020,201,60024,827,29080,31350,647,5921,668,119724,4005,44074,27340,1387,11842,4176,46694,11365,1094,0,21657,248615,1672,210,234,625,19746,1958,10509,28385,214,178178,2962,0,46803,3996,46256,42909
07-31-2020,214,63864,918,30357,33358,667,6230,686,120930,4211,44907,28227,1459,12217,4314,49788,13023,1095,0,22271,256158,1689,215,247,635,20518,2100,10734,29035,231,183956,45388,3327,0,48863,4168,48374
08-01-2020,226,76614,969,31442,34994,683,6610,725,122131,4438,45699,29080,1502,12871,4513,53648,13775,1108,0,22969,266883,1699,252,253,640,21274,2198,11075,29977,269,190966,46502,3463,0,51334,4330,50517
08-02-2020,242,82886,996,32384,36389,698,6991,766,123317,4668,46504,29690,1559,13127,4682,57725,14463,1108,0,23550,276809,1737,264,258,648,21955,2309,11466,30710,289,196483,47590,3605,0,53168,4437,52730
08-03-2020,263,88672,1063,33428,38228,706,7256,860,124254,4876,47478,30470,1658,14032,4792,62500,15278,1109,0,24099,287030,1766,264,266,657,23074,2411,11882,31458,297,202283,49675,3675,0,55393,4538,54818
08-04-2020,277,95625,1105,34421,40348,715,7613,919,125226,5114,48376,31226,1710,14856,5164,69272,16299,1127,0,25414,299356,1814,330,282,659,24483,2537,12491,32832,299,208784,50814,3725,0,57271,4847,56884
08-05-2020,326,104354,1210,35892,42414,715,7871,960,126116,5287,49433,31960,1762,15244,5703,74679,17533,1164,0,26064,305521,1862,330,286,685,25738,2668,12943,33849,303,214815,52103,3793,0,60558,5233,58962
08-06-2020,355,112870,1245,37224,43537,777,8088,973,127124,5453,50350,32640,1865,15708,6594,80281,18333,1177,0,26902,316375,1905,345,288,819,26888,2808,13659,35131,353,221087,53239,3860,0,63402,5427,61023
08-07-2020,425,120464,1326,38809,44482,820,8319,1014,128232,5595,51720,33444,1954,16218,7391,84232,19147,1194,0,27621,327281,1926,411,289,824,28698,2914,14040,36195,406,227575,54330,4084,0,66834,5731,63060
08-08-2020,500,129615,1430,40591,48243,872,8582,1037,129362,5802,52855,34031,2081,16667,8123,89238,20862,1214,0,28353,338362,1927,423,296,896,30242,3054,14880,37163,470,232618,55999,4176,0,69833,5963,65124
08-09-2020,648,138712,1482,42325,51158,904,8809,1121,130587,5995,54166,34781,2181,17003,8838,93908,21832,1222,0,29020,351710,2044,490,298,904,31785,3201,15319,38235,494,238638,57586,4443,0,72650,6134,67120
08-10-2020,709,145636,1592,43586,54088,1004,9013,1167,131657,6208,55304,35492,2205,17375,9724,99126,22616,1237,0,29674,358421,2122,498,323,973,33021,3355,15735,39060,510,244675,59374,4656,0,76724,6301,70328
