Admin2,,,,,,,,,,,,,,,,,,,,,
Province/State,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Country/Region,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
05-14-2020,1275,235,524,2480,16825,2074,2600,5006,38568,2725,152,1908,3362,13825,1643,755,1249,5498,1255,945,12384
05-15-2020,1313,242,544,2522,17166,2116,2672,5121,40962,2847,158,1929,3461,14676,1724,762,1351,5739,1259,953,12688
05-16-2020,1372,250,582,2562,17370,2184,2758,5232,41389,3003,173,1945,3528,15187,1807,812,1458,5991,1268,956,12983
05-17-2020,1379,261,634,2592,17603,2218,2914,5348,41895,3118,173,1977,3584,15696,1892,823,1566,6162,1273,962,13106
05-18-2020,1392,272,655,2623,17756,2257,3031,5485,42403,3379,183,1984,3650,16113,1920,847,1589,6399,1274,971,13143
05-19-2020,1419,282,676,2790,17987,2283,3079,5617,42593,3561,188,1988,3699,16413,1982,887,1611,6653,1287,983,13423
05-20-2020,1499,293,707,2871,18258,2291,3100,5725,43442,3716,202,2024,3787,17016,2027,898,1620,6867,1287,986,13666
05-21-2020,1549,307,734,2947,18466,2314,3259,5872,43649,3867,207,2046,3857,17538,2096,911,1627,7119,1294,990,13911
05-22-2020,1647,318,759,3037,18703,2417,3285,6074,44667,3939,220,2075,3326,17868,2120,922,1634,7240,1296,991,14182
05-23-2020,1659,330,773,3067,18896,2447,3350,6279,45355,3995,220,2085,3374,18341,2157,940,1640,7270,1300,999,14363
05-24-2020,1736,333,786,3076,19046,2495,3374,6437,45656,4028,227,2107,3412,18694,2178,982,1701,7349,1302,1003,14557
05-25-2020,1781,336,797,3137,19160,2525,3401,6516,46169,4059,233,2118,3430,18934,2298,994,1724,7416,1309,1003,14641
05-26-2020,1921,336,823,3178,19389,2547,3430,6681,47044,4147,236,2123,3441,19561,2436,1000,1729,7527,1314,1007,14788
05-27-2020,1969,336,872,3221,19546,2568,3483,6882,47810,4272,246,2131,3483,20095,2471,1010,1845,7595,1324,1011,14931
05-28-2020,2011,338,892,3355,19857,2593,3580,7015,49296,4376,250,2147,3505,20535,2590,1025,2021,7677,1323,1016,15202
05-29-2020,2063,339,902,3390,20073,2611,3825,7173,49842,4385,252,2150,3556,20992,2699,1036,2031,7802,1324,1020,15379
05-30-2020,2063,341,910,3405,20373,2633,3932,7411,50870,4393,258,2168,3601,21435,2768,1040,2170,7897,1324,1023,15618
05-31-2020,2064,343,917,3410,20513,2662,4010,7529,51860,4405,269,2179,3664,21609,2813,1041,2183,7952,1324,1026,15734
06-01-2020,2093,344,926,3454,20617,2673,4105,7641,52026,4416,279,2184,3677,21720,2837,1065,2202,7977,1324,1027,15768
06-02-2020,2093,348,949,3504,20780,2696,4155,7720,52807,4421,281,2187,3686,22003,2939,1071,2206,8053,1324,1031,15838
06-03-2020,2102,349,951,3537,20856,2707,4188,7764,53046,4438,287,2187,3748,22150,2952,1080,2292,8093,1324,1031,15856
06-04-2020,2136,352,959,3572,21018,2730,4260,7899,53101,4447,288,2194,3762,22292,3022,1118,2292,8180,1324,1034,15915
06-05-2020,2172,354,965,3623,21198,2762,4309,8056,53853,4458,291,2206,3846,22511,3140,1161,2300,8209,1326,1034,16007
06-06-2020,2187,355,971,3658,21307,2784,4346,8062,54322,4556,292,2208,3866,22744,3231,1171,2308,8281,1327,1033,16069
06-07-2020,2194,358,971,3675,21405,2793,4362,8070,54505,4595,293,2214,3889,22952,3253,1172,2312,8315,1327,1038,16144
06-08-2020,2215,359,985,3685,21467,2800,4450,8073,54768,4681,294,2215,3891,23049,3289,1175,2321,8349,1327,1039,16152
06-09-2020,2248,359,994,3732,21605,2816,4515,8076,55967,4763,295,2217,3894,23258,3373,1176,2323,8440,1330,1039,16226
06-10-2020,2263,362,1008,3764,21717,2832,4533,8096,56474,4811,296,2218,3895,23568,3426,1180,2324,8531,1332,1041,16268
06-11-2020,2275,362,1012,3797,21803,2833,4596,8100,57218,4857,300,2215,3906,23787,3516,1188,2327,8558,1334,1041,16313
06-12-2020,2290,362,1017,3832,22015,2840,4913,8106,57775,5009,302,2216,3911,24096,3544,1190,2335,8575,1336,1038,16383
06-13-2020,2312,363,1020,3841,22130,2848,5778,8113,58201,5084,319,2224,3912,24203,3561,1197,2335,8588,1339,1040,16457
06-14-2020,2312,363,1021,3860,22232,2850,5825,8115,59220,5139,342,2227,3917,24399,3565,1198,2341,8596,1339,1040,16469
06-15-2020,2337,363,1028,3894,22377,2854,5855,8116,59484,5152,346,2225,3917,24445,3572,1198,2373,8611,1341,1035,16487
06-16-2020,2355,364,1029,3910,22483,2855,6024,8120,60361,5168,351,2226,3919,24622,3628,1200,2374,8637,1342,1037,16521
06-17-2020,2386,364,1032,3925,22551,2857,6120,8120,60850,5185,355,2232,3926,24720,3656,1203,2377,8657,1342,1039,16558
06-18-2020,2389,364,1033,3942,22643,2861,6167,8121,61355,5197,357,2236,3933,24840,3675,1204,2547,8664,1344,1040,16632
06-19-2020,2414,366,1034,4059,22727,2875,6181,8121,62096,5214,365,2248,3936,24971,3727,1206,2640,8687,1344,1041,16655
06-20-2020,2418,366,1040,4059,22761,2877,6195,8125,62372,5235,365,2250,3941,25082,3765,1209,2650,8698,1343,1041,16661
06-21-2020,2419,366,1040,4060,22818,2883,6199,8130,62555,5247,378,2255,3944,25177,3765,1209,2651,8750,1345,1042,16660
06-22-2020,2428,366,1044,4060,22854,2889,6250,8133,62900,5275,378,2252,3945,25223,3769,1209,2651,8752,1347,1042,16659
06-23-2020,2431,366,1050,4062,22935,2890,6315,8131,63691,5288,378,2252,3948,25325,3797,1213,2661,8780,1348,1042,16682
06-24-2020,2444,367,1050,4066,22985,2904,6337,8124,64448,5314,378,2252,4395,25480,3809,1214,2662,8791,1349,1042,16700
06-25-2020,2452,367,1050,4067,23034,2907,6354,8139,64831,5330,385,2255,4398,25544,3814,1216,2666,8799,1350,1043,16724
06-26-2020,2466,367,1051,4070,23097,2914,6412,8138,65323,5385,393,2257,4402,25649,3835,1218,2666,8809,1351,1044,16768
06-27-2020,2487,367,1051,4071,23142,2920,6418,8138,66046,5437,396,2257,4404,25739,3841,1218,2666,8817,1350,1044,16775
