Admin2,,,,,,,,,,,,,,,,,
Province/State,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya,Unknown
Country/Region,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
09-21-2021,150745,116406,92120,50393,92726,48317,79990,2495,103129,166582,142059,621853,39805,175530,9713,5520,0
09-22-2021,152550,117622,93392,50756,92943,48737,81005,2542,107603,168086,145032,624641,40876,176021,9727,5552,0
09-23-2021,,,,,,,,,,,,,,,,,
09-24-2021,,,,,,,,,,,,,,,,,
09-25-2021,,,,,,,,,,,,,,,,,
09-26-2021,,,,,,,,,,,,,,,,,
09-27-2021,,,,,,,,,,,,,,,,,
09-28-2021,,,,,,,,,,,,,,,,,
09-29-2021,,,,,,,,,,,,,,,,,
09-30-2021,,,,,,,,,,,,,,,,,
10-01-2021,,,,,,,,,,,,,,,,,
10-02-2021,,,,,,,,,,,,,,,,,
10-03-2021,,,,,,,,,,,,,,,,,
10-04-2021,,,,,,,,,,,,,,,,,
10-05-2021,,,,,,,,,,,,,,,,,
10-06-2021,,,,,,,,,,,,,,,,,
10-07-2021,,,,,,,,,,,,,,,,,
10-08-2021,,,,,,,,,,,,,,,,,
10-09-2021,,,,,,,,,,,,,,,,,
10-10-2021,,,,,,,,,,,,,,,,,
10-11-2021,,,,,,,,,,,,,,,,,
10-12-2021,,,,,,,,,,,,,,,,,
10-13-2021,,,,,,,,,,,,,,,,,
10-14-2021,,,,,,,,,,,,,,,,,
10-15-2021,,,,,,,,,,,,,,,,,
10-16-2021,,,,,,,,,,,,,,,,,
10-17-2021,,,,,,,,,,,,,,,,,
10-18-2021,,,,,,,,,,,,,,,,,
10-19-2021,,,,,,,,,,,,,,,,,
10-20-2021,,,,,,,,,,,,,,,,,
10-21-2021,,,,,,,,,,,,,,,,,
10-22-2021,,,,,,,,,,,,,,,,,
10-23-2021,,,,,,,,,,,,,,,,,
10-24-2021,,,,,,,,,,,,,,,,,
10-25-2021,,,,,,,,,,,,,,,,,
10-26-2021,,,,,,,,,,,,,,,,,
10-27-2021,,,,,,,,,,,,,,,,,
10-28-2021,,,,,,,,,,,,,,,,,
10-29-2021,,,,,,,,,,,,,,,,,
10-30-2021,,,,,,,,,,,,,,,,,
10-31-2021,,,,,,,,,,,,,,,,,
11-01-2021,,,,,,,,,,,,,,,,,
11-02-2021,,,,,,,,,,,,,,,,,
11-03-2021,,,,,,,,,,,,,,,,,
11-04-2021,,,,,,,,,,,,,,,,,
11-05-2021,,,,,,,,,,,,,,,,,
11-06-2021,,,,,,,,,,,,,,,,,
11-07-2021,,,,,,,,,,,,,,,,,
11-08-2021,,,,,,,,,,,,,,,,,
11-09-2021,,,,,,,,,,,,,,,,,
11-10-2021,,,,,,,,,,,,,,,,,
11-11-2021,,,,,,,,,,,,,,,,,
11-12-2021,,,,,,,,,,,,,,,,,
11-13-2021,,,,,,,,,,,,,,,,,
11-14-2021,,,,,,,,,,,,,,,,,
11-15-2021,,,,,,,,,,,,,,,,,
11-16-2021,,,,,,,,,,,,,,,,,
11-17-2021,,,,,,,,,,,,,,,,,
11-18-2021,,,,,,,,,,,,,,,,,
11-19-2021,,,,,,,,,,,,,,,,,
11-20-2021,,,,,,,,,,,,,,,,,
11-21-2021,,,,,,,,,,,,,,,,,
11-22-2021,,,,,,,,,,,,,,,,,
11-23-2021,,,,,,,,,,,,,,,,,
11-24-2021,,,,,,,,,,,,,,,,,
11-25-2021,,,,,,,,,,,,,,,,,
11-26-2021,,,,,,,,,,,,,,,,,
11-27-2021,,,,,,,,,,,,,,,,,
11-28-2021,,,,,,,,,,,,,,,,,
11-29-2021,,,,,,,,,,,,,,,,,
11-30-2021,,,,,,,,,,,,,,,,,
12-01-2021,,,,,,,,,,,,,,,,,
12-02-2021,,,,,,,,,,,,,,,,,
12-03-2021,,,,,,,,,,,,,,,,,
