Admin2,,,,,,,,,,,,,,,,
Province/State,Aruba,Curacao,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-Brabant,Noord-Holland,Overijssel,Sint Maarten,Unknown,Utrecht,Zeeland,Zuid-Holland
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
07-17-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-18-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-19-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-20-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-21-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-22-2020,100,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-23-2020,101,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-24-2020,101,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-25-2020,102,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-26-2020,102,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-27-2020,102,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-28-2020,102,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-29-2020,102,24,0,0,0,0,0,0,0,0,0,63,0,0,0,0
07-30-2020,105,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
07-31-2020,105,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-01-2020,105,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-02-2020,111,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-03-2020,112,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-04-2020,112,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-05-2020,112,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0
08-06-2020,114,28,0,0,0,0,0,0,0,0,0,86,0,0,0,0
08-07-2020,114,30,0,0,0,0,0,0,0,0,0,86,0,0,0,0
08-08-2020,114,30,0,0,0,0,0,0,0,0,0,86,0,0,0,0
08-09-2020,114,30,0,0,0,0,0,0,0,0,0,86,0,0,0,0
08-10-2020,114,30,0,0,0,0,0,0,0,0,0,86,0,0,0,0
08-11-2020,114,30,0,0,0,0,0,0,0,0,0,93,0,0,0,0
08-12-2020,114,30,0,0,0,0,0,0,0,0,0,102,0,0,0,0
08-13-2020,114,30,0,0,0,0,0,0,0,0,0,102,0,0,0,0
08-14-2020,114,30,0,0,0,0,0,0,0,0,0,102,0,0,0,0
08-15-2020,193,31,0,0,0,0,0,0,0,0,0,107,0,0,0,0
08-16-2020,200,31,0,0,0,0,0,0,0,0,0,107,0,0,0,0
08-17-2020,212,31,0,0,0,0,0,0,0,0,0,107,0,0,0,0
08-18-2020,277,31,0,0,0,0,0,0,0,0,0,107,0,0,0,0
08-19-2020,277,31,0,0,0,0,0,0,0,0,0,133,0,0,0,0
08-20-2020,277,31,0,0,0,0,0,0,0,0,0,146,0,0,0,0
08-21-2020,415,32,0,0,0,0,0,0,0,0,0,146,0,0,0,0
08-22-2020,446,33,0,0,0,0,0,0,0,0,0,147,0,0,0,0
08-23-2020,455,33,0,0,0,0,0,0,0,0,0,147,0,0,0,0
08-24-2020,461,34,0,0,0,0,0,0,0,0,0,147,0,0,0,0
08-25-2020,565,34,0,0,0,0,0,0,0,0,0,147,0,0,0,0
08-26-2020,587,34,0,0,0,0,0,0,0,0,0,179,0,0,0,0
08-27-2020,608,35,0,0,0,0,0,0,0,0,0,179,0,0,0,0
08-28-2020,743,35,0,0,0,0,0,0,0,0,0,179,0,0,0,0
08-29-2020,765,35,0,0,0,0,0,0,0,0,0,179,0,0,0,0
08-30-2020,765,35,0,0,0,0,0,0,0,0,0,179,0,0,0,0
08-31-2020,768,35,0,0,0,0,0,0,0,0,0,200,0,0,0,0
09-01-2020,857,35,0,0,0,0,0,0,0,0,0,241,0,0,0,0
09-02-2020,934,39,0,0,0,0,0,0,0,0,0,302,0,0,0,0
09-03-2020,1031,39,0,0,0,0,0,0,0,0,0,302,0,0,0,0
09-04-2020,1119,39,0,0,0,0,0,0,0,0,0,302,0,0,0,0
09-05-2020,1206,39,0,0,0,0,0,0,0,0,0,302,0,0,0,0
09-06-2020,1206,45,0,0,0,0,0,0,0,0,0,302,0,0,0,0
09-07-2020,1244,45,0,0,0,0,0,0,0,0,0,321,0,0,0,0
09-08-2020,1293,48,0,0,0,0,0,0,0,0,0,321,0,0,0,0
