Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020
,Antwerp,Belgium,60560,61031,61703,62216,62503,62821,63503,64148,64605,65043,65316,65509
,Brussels,Belgium,71270,71711,72211,72592,72810,72985,73537,73971,74344,74700,74909,75004
,East Flanders,Belgium,46386,46991,47808,48444,48637,48987,49705,50329,50826,51272,51500,51716
,Flemish Brabant,Belgium,40227,40486,40934,41165,41274,41477,41806,42024,42231,42435,42636,42715
,Hainaut,Belgium,83081,84021,85035,86262,86654,87039,87734,88551,89091,89570,89810,89991
,Liege,Belgium,85034,85748,86749,87228,87365,87808,88570,89004,89428,89792,89972,90044
,Limburg,Belgium,21384,21585,21843,22014,22109,22305,22570,22773,22959,23128,23242,23271
,Luxembourg,Belgium,14394,14545,14787,14877,14962,15070,15237,15403,15484,15608,15639,15679
,Namur,Belgium,29488,29703,30043,30287,30425,30517,30779,30990,31164,31346,31467,31538
,Unknown,Belgium,0,-5432,-5527,-5564,-5722,-5888,-5978,-6078,-6197,-6325,-6381,-6493
,Walloon Brabant,Belgium,21252,21359,21646,21904,21983,22076,22262,22380,22479,22572,22637,22663
,West Flanders,Belgium,38722,39158,39745,40093,40255,40569,41037,41573,41914,42241,42414,42510
