Admin2,Province/State,Country/Region,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021
,Acre,Brazil,2741,3025,3263,3780,4068,4404,4676,5138,5478,5706,5930,6071,6165,6300,6508,6840,7094,7324,7776,3804,3898,4173,4071,4266,4235,4275,4282,4349,4492,4811,4755,4601,4992,4964,5219,5426,5699,6031,6292,6435,6515,6618,5695,6020,6075,6446,6581,6051,6082,6159,6450,6426,6533,6566,6632,6845,7028,6745,6816,7048,6977,7139,7373,7651,7825,8055,8316,7578,7609,7951,5132,5328,5370,5671,5312,5646,5623,5946,6171,6014,6015,6094,6125,6260,6117,6361,6552,6435,6467,6403,6723,4014,4126,4138,4466,4271,4277,4401,4584,4734,4926,4548,4584,4590,4604,4714,4818,4931,5089,5124,4677,4696,4869,1874,1915,2008,2023,2033,1993,2007,2257,2165,2115,2132,2087,2125,2033,2232,2385,2318,2332,2343,2332,2522,1043,1043,1110,1120,1041,1158,1171,1186,1364,1378,1200,1212,1421,1449,1553,1743,1838,1838,1910,2007,2067,2167,2259,2355,2441,2452,1731,1855,1947,1985,1966,2073,2076,1207,1461,1461,1466,1657,1789,1839,1942,2087,2388,2529,2858,3023,3068,3045,3295,3492,3712,3899,4090,4044,4159,4288,4403,4600,4763,4923,5102,5112,4111,4149,4371,4330,4374,4477,4480,4591,4643,4867,5078,5023,5236,5178,5403,5511,5685,6099,6219,6353,6416,6494,6730,6814,6640,6690,6595,6815,6936,7155,7223,7450,7551,7618,7441,3852,3945,4279,3762,3979,3550,3635,3986,4266,4351,4816,4961,4968,5399,5619,5912,6168,6296,6314,6420,6653,6858,7198,7672,7328,7445,7792,4321,4816,4860,5036,5036,5456,5456,5929,6337,6825,6316,6409,6512,6930,7010,7304,7534,7728,7861,7807,7985,8520,8809,9062,9532,9718,9913,10259,10281,10543,6587,7107,7669,7879,8088,8148,8266,8503,8806,9267,9550,9863,10062,10401,10902,11240,11629,11795,11861,12059,12356,12779,13045,13406,13568,13725,13805,14350,14674,14793,15000,15088,15060,15142,15445,9577,10062,10435,10581,10759,10518,11037,11159,11530,11807,11189,11368,11397
,Alagoas,Brazil,4186,4654,5022,5329,5898,6345,6704,7212,7670,8212,8799,9845,10376,11077,11901,12566,13380,14236,15105,5460,6263,6296,6342,6236,6403,7194,7025,6724,6991,6861,6904,6396,7453,7130,7139,7107,7341,7509,7732,7918,8573,7408,7511,7052,7110,7940,7537,6929,6596,6800,7652,6370,6396,6589,6171,5762,5657,7335,5193,5197,5676,4736,4660,5374,5598,5850,5687,5983,6148,6175,6229,6360,6401,6782,7168,6579,6162,5902,5585,5437,5567,5561,5030,4856,4753,14690,15282,4755,4780,4377,4351,4283,4093,4301,4104,4080,3671,3614,3556,3490,3260,3560,3706,3864,2850,2728,2731,2688,2833,3082,2468,2218,2207,1544,1431,1414,1609,1124,1193,1304,1282,1303,1278,1179,1040,1097,696,1179,1177,1358,1156,1017,1079,1199,1122,1122,1128,1292,1323,972,1053,1030,970,1101,1131,1179,1246,1368,1473,1554,1636,1636,1789,1900,1997,2094,2236,2361,2409,2481,767,847,804,807,796,736,677,649,738,738,737,781,713,692,721,779,855,901,1050,1162,907,962,1040,1034,1047,1158,988,888,909,1049,1081,1225,1443,1687,1809,1453,1598,1629,1706,1884,2213,1748,1787,2059,2008,2060,2286,2002,2314,1996,2305,2268,2575,2328,2629,2113,2213,2638,3022,3273,2418,2372,2284,2461,2681,2619,2885,2328,2238,2245,2537,2799,2650,2991,2737,2788,2805,3296,3428,3189,3181,3568,3116,2859,2964,3334,3703,3089,3012,2795,2567,2632,2850,3274,2514,2560,2419,2281,2320,2508,2330,2403,2403,3052,3052,2593,2688,3146,3175,2813,2755,2621,2684,2742,3358,2981,2682,2996,3297,2614,3003,3317,3973,3559,3440,3387,3571,3804,3727,3779,4296,4397,3677,3794,4048,4075,3986,4161,4148,3940,4473,4810,4755,4866,4887,5928,4585,4757,4925,4917,4809,4738,4558,4270,4405,5008,4546,4400,5369,5775,3981,4094,4811,4141,4088,4678,5327,5452,3921,4108,3900,3748,4782,4185,4493,3919
,Amapa,Brazil,4407,5037,5498,5929,6190,6416,6794,7436,7954,8262,9098,9380,9662,10274,10860,11297,12067,12504,12773,6868,6942,7617,7768,8118,8692,8825,9024,9646,9751,10279,10494,10153,11960,14709,15879,15988,16109,15928,14691,14763,14911,14502,14339,12428,11980,12212,11875,11705,10996,10690,10652,10807,10841,10846,10271,10294,10812,11192,10783,10734,10852,11082,11081,11325,11183,11178,10967,11005,10881,11212,11016,11019,11117,11241,11203,11274,11280,11238,11277,11363,11363,11420,11459,11695,11422,11633,11393,11306,11393,11226,11124,11092,11293,11564,11161,11249,11167,11025,11240,11539,11311,11296,11255,11180,11282,11563,11223,11380,11607,11694,11454,11588,11584,11387,11364,11487,11551,11438,11598,11192,11295,11033,11021,11116,11197,11384,11384,11762,11184,11228,11259,11307,11251,11447,11331,11331,11398,11423,11494,11604,11458,11547,11585,11673,11756,11793,11961,12112,12256,12437,12514,12514,12624,12743,12953,13179,13323,13428,13481,13546,7285,6939,7289,7230,7323,7328,7427,7503,7503,7503,7503,7503,7681,7988,8230,8063,7798,8122,8540,8681,8729,8849,8999,9137,9249,9398,9710,10047,10162,10427,10692,10847,11381,11502,11676,11589,11939,12215,12469,12696,12819,13031,12706,13019,13080,13532,13807,13816,14099,13244,13939,13130,13130,13360,13466,13275,13560,13780,13968,14055,13521,13952,14116,14265,14556,14606,14765,14737,14864,14897,14816,14919,15318,15532,15786,16012,15596,15993,15839,15766,15469,15856,15985,16166,16580,16839,16660,16768,16945,17032,17176,17413,17310,17673,18041,17639,17796,18154,18381,18638,18528,18734,18734,19105,19105,19357,19584,19911,19958,19954,20108,20217,20488,20645,20900,21118,20836,20977,21336,21364,21622,21710,21926,21890,22047,22267,22287,22591,20585,20838,19825,19155,17502,17966,18291,16493,16869,16723,16877,17187,17548,18246,19016,19303,19735,20230,20467,21040,21411,21450,22085,22515,22663,23202,23486,24108,24467,24740,25015,25309,24999,25458,26032,26044,26310,26552,25886,26143,26435,26402,26659,26601,26759,26459,26707,26947
,Amazonas,Brazil,22143,23747,25369,27058,28109,28501,30097,31617,34182,36898,38513,39326,39703,41093,42209,44290,45467,46553,47019,7954,9333,7900,8081,8235,8323,8390,8437,8575,8795,8953,9881,8053,9355,9662,9616,9861,10343,10067,10147,10235,10467,10384,10619,10785,10907,12284,11096,11497,9959,10859,11309,10392,10471,10516,10644,11858,11906,12002,11173,11396,11755,12234,12272,12144,13136,14335,12667,12448,12742,13251,13335,12670,12126,12953,12552,12511,12367,12713,12782,13575,12916,12989,13211,13087,13168,14032,14224,13867,14518,13857,13615,14313,13772,14224,14427,13952,14114,14075,14896,14829,14976,15331,15527,15753,14572,15309,14734,14820,15359,14901,14936,15248,15083,15178,15276,15787,15976,15630,16364,17052,16878,17717,17743,17924,16121,16885,16885,17665,18573,19515,19757,20045,17810,19051,19962,19962,17956,18194,18376,19366,20278,21140,21999,22791,23206,23206,23598,24238,25065,25467,26849,26849,27496,28421,30081,30822,31758,32530,32866,33196,19787,19716,20017,19960,19466,19261,19271,19340,20164,20164,19107,20416,19537,19337,19441,19441,19015,19655,20214,20378,19777,20660,19957,20067,20145,20623,20746,20493,20320,20409,20492,20599,21250,21432,21632,21260,20685,20797,20898,20996,21322,21516,21205,21639,22007,22099,22430,22215,22656,22936,23914,22685,23828,22901,23194,23013,24213,25053,26034,26425,23496,23908,23890,25164,24134,25550,26101,24723,24758,25294,26860,28966,27565,26128,30203,31136,28896,30800,28933,31441,34479,31228,32437,30583,29468,34329,36372,33931,33768,34825,35961,39294,34352,36091,38087,32550,33851,35025,35109,37644,35744,37883,37883,41645,41645,35075,37652,36076,38387,35928,34904,35709,37409,36107,36516,38393,34744,35444,36545,35158,36697,36597,38113,35626,35964,36588,35760,35822,35811,38109,39481,36632,36269,37826,39128,37693,38889,37831,38404,38911,38178,38953,39879,39132,40125,40476,38016,38898,40057,41189,38160,39250,39711,40199,41666,38632,39781,40594,41327,41764,39531,40455,40101,41036,42184,42902,39861,40336,41308,40330,41205,40446,41137,39855,40272,40971
,Bahia,Brazil,10835,11565,12158,12587,13439,13727,14071,14539,15393,16308,16988,17725,18197,20694,21689,22673,25600,26550,27371,15399,16060,17482,18268,18650,19440,19810,20625,21248,21818,21963,20589,20881,22300,22340,22338,22869,23497,23588,23554,23675,23721,23695,23659,24068,25326,28448,26292,26332,26531,26709,26893,26877,28616,29550,30221,25294,23647,22584,20996,17741,19625,12369,11704,18053,19068,18809,14520,13788,12938,13532,13877,14273,14673,13936,13306,12067,12464,23163,13917,14727,14559,13789,13138,14212,14441,15420,19389,15886,14632,13459,14342,14493,14979,16054,15111,12637,13719,11852,11899,11522,11787,12829,11251,10633,10094,9548,9881,12238,9153,8875,8479,7841,7830,7695,7674,7545,8348,7346,7281,6983,7021,7348,7638,7593,7454,7680,5817,7307,7170,7272,7001,6756,6665,7575,7254,7254,6741,6593,6136,6430,6595,6880,6811,8541,7775,8421,9085,11519,13065,14577,16355,16355,17836,19577,20777,22204,24040,25507,26176,27398,7156,7405,7535,7315,6640,6472,6092,5318,4928,4928,6175,6067,5845,5780,6110,6404,6564,7051,8380,9641,7106,6791,7415,8110,8255,10016,8226,8386,8169,8815,8738,8986,13170,16065,11029,11220,11771,11734,12653,11394,15444,11108,10723,14447,12010,12536,15428,11578,11357,11302,11859,12719,12198,12318,13945,10707,9684,9443,12010,13191,6941,6322,5710,5751,5827,6073,7327,5090,4751,4302,4648,5340,5860,6267,6828,6875,6568,6804,7755,8127,10775,12589,12056,10993,10433,15393,14952,10385,11223,11472,12866,10468,11099,11366,12243,12723,14833,12172,12309,12738,13033,13283,13283,13394,13394,13535,13937,17143,17754,14993,15392,15103,18886,15596,16287,20362,17287,16703,16553,17580,21910,19047,19838,20582,23625,19851,19197,20119,21486,22233,21916,20943,19357,19032,19895,20391,21051,20994,20474,18194,17374,17693,17922,18154,17953,19552,15772,15402,16142,15993,16661,16084,15973,14792,14570,18645,16158,15939,17864,14287,14206,13860,13941,13937,14464,17579,15118,14594,15230,15691,16139,15627,16371,16425,15576,15760
,Ceara,Brazil,28660,29252,32322,32814,33271,33692,34418,34604,35088,35536,43550,45479,47316,49652,52451,55982,57705,59610,60289,15124,15416,16385,16588,17011,16644,15535,16031,16318,17257,17625,18476,17068,18021,17543,18792,19192,19242,19599,20131,19122,18479,16615,18512,19155,19772,20757,21120,18526,19147,19661,20097,19817,20731,19693,19021,18951,18792,19310,19785,19292,19715,18061,17086,19147,21577,22177,20427,19470,18505,19172,19980,19848,20577,22627,21197,20695,20466,20683,20624,20634,20671,20657,18648,19795,19416,21251,23279,22199,21159,20666,20295,20771,20663,21175,22214,21915,21192,18849,16598,17169,17377,17892,16881,16618,16375,17581,17537,26723,18101,17453,16717,16235,16230,16303,16613,17038,17411,16366,16772,17269,17143,17620,18072,17558,17094,17129,16313,17578,17050,17969,17801,17409,17208,17944,17864,17864,17984,17441,14688,26687,26437,26022,27075,28356,27739,27806,28221,28825,30094,30663,31757,31757,33091,33790,33808,35750,36640,36865,37735,38017,29778,30220,30409,30505,30937,30618,30400,30124,30309,30309,30960,31023,30731,30484,30887,30958,32498,32473,33303,34396,34492,34527,34823,35256,35493,36009,36155,36582,36085,37743,38922,39676,40624,41274,40472,40671,40633,41299,41088,41014,41014,40560,43320,46196,46408,47410,47637,48866,49345,48385,51140,51402,52309,51475,52548,51168,51546,51814,52886,52886,52352,52385,52043,53214,54021,55758,56153,56356,55949,55501,55612,56983,57257,58183,58630,59538,58818,58927,61034,61591,63127,64066,64445,64965,66707,67572,67534,68666,68974,69741,70751,71738,72503,73489,72756,73795,76901,78339,77641,79624,79631,82114,79862,81008,81008,81885,81885,85169,84348,84348,84635,86656,87533,89393,89393,86833,88465,90706,91728,93716,96283,98308,98834,100132,101599,100854,102640,104054,106224,107612,109730,109799,111844,112244,113137,114305,117452,121612,122886,122974,126429,127520,130713,133211,135021,137653,144231,139236,136768,139361,139361,139314,138717,141341,140844,143488,143275,143118,145500,148801,148801,152484,152071,159680,161141,165681,162817,167941,170114,170114,170114,176514,178301,181966,179884,178609
,Distrito Federal,Brazil,5084,5458,5858,6156,6534,6816,7086,7628,8158,8568,9312,9610,10339,11079,11829,12727,14006,15642,16409,7449,8072,8774,9144,9289,9183,9373,9487,9860,10161,11273,11694,10052,11572,11769,11699,12060,11869,13117,13127,14287,15555,14661,14523,12749,12674,12566,13191,12310,12846,12634,12306,12039,11415,12548,12969,14309,14478,14441,12897,12440,13679,14195,13348,15062,15553,16361,13731,14183,15355,15990,15744,17819,16026,16024,18108,17108,16818,17067,19022,18836,16253,15902,18893,16071,16682,18648,18831,18701,20136,18268,19648,16862,18818,18346,18066,17821,17852,19762,17551,16673,14328,14157,13817,15108,16512,17627,12724,12502,13888,12154,13333,14223,15142,11959,12853,12020,13195,10880,10501,8170,9169,10229,9421,9076,8462,9222,9222,8943,8898,8352,9252,8604,9395,7682,7564,7564,7014,6999,7532,7045,7613,6452,5602,6350,6804,7166,7957,8763,9480,10243,10958,10958,12341,12883,13686,14263,14815,15331,15929,16697,7058,6427,7116,6151,5878,5492,5130,5108,4963,4963,4545,4334,4393,4434,4344,4300,4259,4368,5063,5339,4630,5246,5059,5104,5262,5799,5254,5709,5662,5973,6007,6392,6881,7503,7942,7102,7139,6981,7842,7508,7856,6978,7259,8080,7199,7594,8275,7570,7724,7415,7068,7105,8009,7131,7533,7033,6837,7350,7895,8220,5891,5789,6361,6294,6135,6029,5862,6654,5616,5729,5749,6291,6254,6401,6331,6984,6481,7474,7430,7256,7955,8156,7930,7278,6823,7437,7482,6855,7803,6531,7665,6544,6276,7439,8512,6164,6693,5623,6023,6670,5051,5366,5366,5427,4344,4811,5381,5393,5894,5672,5657,5706,5764,5499,5458,5701,5122,5955,5522,5555,6900,7286,7561,7784,8856,10971,9908,10631,11297,12370,14045,14314,15997,16408,15777,17614,17033,17796,19476,16901,16688,16246,16778,18238,18516,19569,18043,18204,15740,15923,16236,17829,15598,17129,17487,16961,18158,19292,16726,17761,15124,15945,17001,12431,14106,15276,12237,13153,13263,13091,12605,12520,13667,11048,12235,10799
,Espirito Santo,Brazil,7751,8515,9123,9501,9561,9900,10402,10973,11665,12343,12854,13086,13455,14487,15423,16157,17329,18144,18787,8596,9168,9683,9990,10350,10686,11163,11243,12569,12018,13200,12785,12009,13451,13732,14712,14705,15027,15485,14727,16412,16725,17665,18376,18180,17951,19062,17750,17591,17720,18017,19260,18406,18802,19125,19253,19385,19736,19766,19871,19263,19721,19341,19021,20083,19175,18635,16614,16770,15561,14131,13844,13597,13630,13118,13145,12696,11975,11513,11308,11166,11441,11580,11561,11184,11025,11042,12173,11061,11454,11737,11369,11535,11401,12255,11049,10715,10153,9686,10386,9190,8845,8356,8123,7857,7676,7600,7610,7683,7674,7695,7638,7286,6816,6898,6839,7104,7290,7142,6922,6980,6961,6769,6767,7050,7090,6829,5887,6627,6562,7002,6665,6614,6811,6919,7285,7285,7089,7159,7112,7141,7170,7078,6816,7153,7448,8261,9114,9939,10452,11554,12374,12374,13851,14658,15728,16304,17541,18039,18679,19551,7731,7773,8048,8010,8484,8442,8277,8405,9515,9515,8504,8278,9206,8327,8754,8740,8896,7202,7785,8951,8189,8779,8531,7992,8375,8945,8767,9056,9004,9400,9763,9354,9508,11835,12757,10266,11050,10658,10579,11786,13297,12543,12973,15354,12439,12319,13712,12557,11110,12451,16228,13258,15198,13980,15463,13887,13879,13335,13335,15860,14984,14907,14001,14480,14812,15221,16242,15923,17330,16282,16777,14575,15185,14840,15566,16921,15964,17946,14610,13469,13054,13961,14472,14349,14183,15272,12880,12942,13909,13825,13467,12990,12772,12170,11752,11763,12131,13197,11645,11305,11580,11573,11184,13381,11197,11582,11674,11577,11308,11809,11832,12293,11516,11730,12725,12713,11364,12453,11453,11330,12793,12900,11402,11775,12845,11964,11569,11752,12004,11768,12562,12701,12525,12178,12334,12831,12307,13189,13638,13480,14172,14575,14826,15125,16315,17047,17511,17491,18184,18568,18548,20244,21789,23436,22997,23152,24288,24707,24397,25186,22813,25247,23982,20978,21065,22132,22900,22613,24141,20860,23136,19705,19860,21914,19846,19095
,Goias,Brazil,1900,2029,2211,2282,2348,2416,2567,2735,2975,3200,3463,3578,3779,4226,4415,4780,5206,5497,5640,5951,6341,6971,7468,7652,7732,7733,9956,11018,11984,13040,13746,13732,15316,16225,17239,18259,19163,20454,21191,21549,22570,23907,25038,25718,25744,27883,27905,28642,30607,31931,23512,24108,24542,24915,24833,25517,26003,26788,27136,27203,27164,26762,28111,30659,33245,6741,4422,4524,4323,5309,5802,5222,5570,6107,5833,5372,4482,5519,6295,7157,7173,6712,5499,5871,5925,6760,9172,7258,6510,5571,6072,6756,7382,6879,6747,7851,6064,6326,6159,7010,6534,6634,6126,5536,5661,5917,4701,6025,6822,6145,5582,4230,4358,5461,5238,5768,6295,3966,5171,4406,5593,6221,5980,5872,5093,4232,1401,6965,6043,6687,5955,4863,5927,5648,5774,5774,6181,5129,4267,4668,5460,5656,5148,6294,5520,5689,6796,9006,10980,12580,13263,13263,15869,16544,17944,19575,21666,23094,23608,24585,5465,3854,4320,4209,3990,3790,3699,3165,3529,3529,3157,3424,3285,2801,2911,3392,3734,3303,3482,3704,3165,3128,2692,3441,3347,3614,3438,3176,3176,3318,3730,3730,5557,5672,3654,2937,3683,3886,3938,4337,4109,4108,3580,4523,3920,4617,4617,4617,4089,3857,5038,3784,4435,4280,4288,4730,3794,3803,4583,4755,3722,3489,2936,3597,3798,3963,3906,3696,3511,3459,3546,3972,3709,4651,4529,4230,2887,4307,4398,5084,5514,5211,4842,3881,4307,6209,4676,4424,5410,4998,3534,4708,2954,5054,5514,5759,5246,6024,4624,6838,5730,6773,5083,6728,6728,5295,5935,7835,7043,6978,6835,6500,7091,6032,6717,7391,6571,6289,7415,5565,8976,7627,7836,8685,8919,6800,7906,8310,9469,11192,12311,10519,9330,10168,11162,11389,13467,13071,12091,10940,11244,13083,12928,11993,12621,13154,9821,9010,11411,11067,12476,13053,12530,11787,11487,11866,12754,12028,11278,12173,10031,10138,10344,12124,10258,12035,10206,11216,9458,12181,11304,13778,11166,10620,10605,9153
,Maranhao,Brazil,14480,15395,16519,18045,20437,22002,23461,25292,27092,29571,31688,33684,34321,35628,37146,39567,42218,44338,46423,24852,25664,25391,24802,24637,23862,24173,23627,24195,23779,22711,23025,20799,21402,21153,22448,19567,19263,18955,18802,18161,17857,17310,18019,20750,18520,19331,18840,18386,18875,19688,22039,18756,19051,18674,19514,21116,22082,14459,15484,16357,13257,13209,13934,14067,14182,12961,9488,9329,8770,10157,9045,10595,9080,9981,9717,8705,8743,7613,9202,9528,7941,7963,8375,7013,6278,7193,8312,8991,7811,7889,8240,8109,8130,9360,8800,8326,8808,8065,8433,8285,8252,8444,8490,8883,7569,9346,9476,8259,9040,9237,8689,7375,8441,6447,6490,6963,7059,7464,6588,7546,6481,5750,5880,5713,5792,6747,6747,6165,6152,6698,5582,5992,5208,5916,6537,6537,5545,5706,4820,5340,6041,6620,7217,7563,7770,7888,8159,8632,9122,9520,9838,9838,10480,10945,11397,11850,12357,12650,12818,12993,4043,3482,3628,2607,2459,2497,2524,2638,2991,2991,3064,3022,3013,2930,2825,3181,2846,2364,2535,2617,2416,2639,2669,2813,2731,2899,2722,2792,2871,2955,3052,3235,3436,3441,3536,3712,3674,3774,3928,3968,4030,4160,4170,4533,4373,4496,4647,4539,4744,4669,5124,4865,5203,5099,5104,5138,5225,5437,5583,5656,5380,5457,5476,5741,5634,5554,5569,5574,5610,5648,5635,5828,5718,5765,5825,5848,5937,6194,6213,6291,6602,6333,6267,6274,6318,6648,7108,6490,6816,6896,7032,7327,7208,7591,8047,7187,7251,7401,7778,8293,7559,7793,7793,8219,8219,8386,8888,9468,8873,9380,8621,8824,9037,9329,9737,9699,9735,9808,10063,9336,9976,10397,10658,9972,10026,10329,10094,10219,10402,10960,11266,11081,10938,11450,12038,12842,11908,12727,13120,13514,12475,14023,13113,13910,14928,15295,14190,14745,15892,17063,14777,15382,14943,15094,16485,15428,16709,17288,17469,17615,17814,18541,17128,17523,18114,18799,18046,19437,20199,18232,18576,19871,20922,18228,19558,20796
