Admin2,Province/State,Country/Region,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021
,Antofagasta,Chile,1714,1761,1824,1876,1926,1994,2040,2112,2220,2290,2400,2479,2553,2649,2716,2824,2882,2986,3107,3200,3357,3503,3696,3820,3971,4214,4484,4571,5160,5441,5735,6121,6361,6608,6891,7114,7393,7614,7885,8161,1862,1775,1760,1747,1770,1788,1823,1874,1885,1846,1866,1810,1868,1862,1885,1839,1765,1602,1601,1560,1548,1548,1324,1324,1318,1303,1251,1248,1231,1193,1162,1104,1152,1133,1137,1157,1095,1126,1138,1151,1183,1203,1247,1178,1124,1111,1118,1055,1028,1024,944,894,845,887,850,817,863,804,786,799,766,760,781,783,761,734,757,741,726,732,738,716,666,667,658,641,636,655,590,573,542,507,479,469,466,435,427,435,434,441,481,507,484,479,471,490,524,516,551,513,483,503,495,501,514,545,509,482,473,460,466,460,463,462,442,425,402,297,296,289,262,261,292,300,276,275,272,257,233,222,238,242,229,232,228,196,217,242,241,246,249,238,212,216,229,234,196,187,171,164,181,198,200,198,213,202,197,194,210,192,191,184,192,184,201,225,228,263,295,305,293,322,371,389,396,408,412,408,428,506,498,468,466,461,479,543,632,690,698,745,777,851,980,1081,1193,1270,1420,1477,1532,1581,1647,1766,1860,1898,1944,1802,1732,2025,2025,1966,1934,1853,1723,1755,1866,1801,1859,1780,1812,1676,1749,1822,1794,1721,1742,1679,1532,1599,1724,1642,1602,1575,1460,1334,1374,1419,1394,1411,1371,1320,1234,1317,1430,1446,1416,1390,1322,1271,1310,1376,1341,1330,1271,1239,1115,1224,1337,1279,1239,1282,1270,1207,1301,1361,1391,1361
,Araucania,Chile,1636,1671,1692,1729,1763,1812,1838,1871,1909,1942,2013,2024,2064,2141,2173,2135,2240,2272,2327,2378,2413,2415,2501,2544,2609,2639,2692,2739,2779,2827,2859,2881,2930,2970,2988,2997,3024,3065,3088,3131,291,268,250,243,270,288,290,327,312,289,273,275,260,277,250,229,234,213,214,186,179,179,165,165,165,201,209,213,238,246,268,264,292,292,303,317,305,283,308,282,278,278,297,267,268,273,264,277,273,274,289,288,295,322,332,326,310,291,276,271,279,281,282,275,262,267,295,327,349,359,371,353,391,413,448,470,510,530,551,545,531,514,485,469,485,479,490,474,554,582,599,627,556,646,685,739,815,858,932,937,937,1044,1137,1162,1202,1236,1228,1228,1228,1239,1187,1297,1303,1229,1228,1175,1491,955,954,983,965,975,1023,1044,1025,1052,1022,986,930,1028,1154,1080,1143,1084,1106,1096,1087,1081,1077,1043,993,963,900,925,975,950,968,942,890,838,883,920,936,949,908,907,897,909,1000,967,946,1033,998,948,922,1011,958,1028,951,930,867,858,995,1035,1093,1624,1039,1010,1054,1079,1050,1037,1015,987,946,1015,1114,1124,1040,1178,1190,1231,1262,1390,1392,1450,1421,1447,1467,1560,1634,1526,1521,1497,1452,1534,1625,1690,1669,1701,1680,1684,1746,1706,1673,1633,1651,1662,1545,1475,1454,1570,1534,1546,1428,1447,1340,1444,1522,1546,1567,1575,1555,1610,1592,1649,1684,1627,1639,1554,1510,1567,1786,1773,1862,1900,1955,2024,2071,2252,2117,2162,2159,2106,2078,2213,2372,2355,2412,2333,2278,1220,2394,2534,2596,2578
,Arica y Parinacota,Chile,417,446,464,475,491,506,515,534,555,575,581,612,628,654,701,728,773,810,840,866,906,920,957,1001,1052,1098,1128,1145,1207,1227,1283,1313,1359,1408,1431,1458,1495,1530,1591,1629,366,353,379,403,420,430,454,494,476,482,543,543,568,577,614,645,679,715,761,778,760,760,826,826,858,913,890,936,930,934,948,931,914,894,856,829,763,729,690,685,675,743,770,737,760,766,760,781,783,777,731,688,652,624,641,611,629,603,573,551,560,549,558,574,558,503,502,510,508,520,546,531,517,489,473,446,464,461,442,430,416,388,393,387,393,352,343,338,362,360,382,407,403,401,386,436,465,502,515,515,525,535,547,521,523,546,493,487,486,495,483,481,473,429,422,441,447,314,306,311,300,280,264,269,262,256,226,226,214,223,248,245,255,260,235,220,225,223,204,200,188,172,165,164,175,162,145,151,139,127,129,132,122,116,114,100,102,110,112,104,106,105,95,96,108,114,133,147,151,149,146,135,178,168,177,165,149,143,161,174,184,170,173,171,175,189,226,246,249,246,247,255,261,290,330,330,383,408,411,482,498,530,589,609,597,568,571,601,602,612,610,609,618,625,662,680,703,718,690,643,642,648,634,625,625,583,554,592,634,602,636,624,591,559,598,655,615,634,630,610,591,618,632,618,588,566,551,500,512,537,519,488,488,467,452,503,540,543,521,565,550,571,668,703,702,718
,Atacama,Chile,163,168,175,182,182,185,188,197,202,207,215,218,232,236,242,258,269,281,306,339,348,365,389,413,436,448,484,502,561,586,623,649,681,716,745,783,835,885,923,954,315,309,344,343,341,324,328,337,326,335,386,374,387,420,449,457,449,422,380,412,411,411,414,414,416,440,466,578,548,551,578,653,712,727,753,820,757,829,807,823,852,809,1004,1015,1010,977,975,997,1001,1008,1017,931,862,787,761,730,759,737,658,601,589,575,580,560,551,524,487,416,400,425,398,378,389,379,378,377,387,404,442,425,412,403,413,400,441,410,425,402,397,370,372,392,384,361,364,349,347,329,327,336,333,324,301,300,293,303,287,288,270,260,266,262,276,271,258,249,227,145,165,160,150,146,138,147,146,133,117,97,88,73,62,46,33,32,38,37,32,47,48,51,51,57,70,74,76,66,86,80,82,80,70,99,92,89,81,78,75,73,75,66,57,52,60,57,57,63,55,54,50,50,48,54,56,57,71,82,96,91,94,112,103,101,93,86,73,70,79,90,103,121,117,117,138,174,192,224,198,261,294,305,326,349,363,357,343,324,357,373,365,345,367,366,364,378,371,378,411,468,461,450,432,431,433,407,404,391,365,362,380,384,389,418,414,410,390,386,423,434,406,453,444,431,447,438,434,404,466,495,466,487,26882,498,499,482,506,464,486,499,524,522,515,521,519,549,560,577
,Aysen,Chile,8,8,8,8,8,10,12,12,14,16,16,17,17,18,18,19,19,19,20,21,21,21,22,22,24,24,26,26,26,26,27,28,28,28,28,28,29,30,35,41,14,13,14,17,16,14,13,13,11,11,9,7,6,10,12,12,14,15,22,19,19,19,16,16,10,10,10,9,11,10,6,6,9,9,11,11,11,11,9,11,10,16,17,14,12,12,10,10,12,12,11,9,10,3,4,4,5,8,11,11,14,23,22,21,19,18,18,18,25,24,23,19,17,17,16,17,27,40,45,42,47,50,67,75,81,84,93,102,108,113,106,101,174,188,195,199,223,234,216,206,215,201,206,187,188,185,180,179,177,182,192,185,197,185,198,190,197,145,121,105,84,77,67,64,67,51,53,49,60,61,70,68,58,55,47,45,48,50,48,48,47,45,43,49,49,54,53,49,41,43,42,44,48,48,51,45,39,39,42,40,37,37,36,43,41,46,38,45,43,41,43,47,44,54,59,59,58,61,67,82,89,93,111,113,127,138,137,130,119,118,99,116,116,141,157,177,183,164,186,200,228,230,236,211,222,218,223,224,215,239,238,223,217,199,189,193,202,200,156,157,143,150,146,154,140,119,111,122,124,143,149,145,139,116,122,132,135,117,122,117,94,95,105,89,79,74,70,71,84,97,94,-47871,95,86,85,93,88,71,64,64,63,66,71,72,84,89
,Biobio,Chile,1215,1254,1301,1344,1404,1448,1492,1555,1667,1767,1877,1968,2059,2082,2215,2288,2366,2477,2582,2640,2683,2835,2962,3089,3253,3383,3441,3496,3990,4155,4370,4626,4877,5123,5293,5424,5660,5913,6093,6348,2022,1887,1819,1697,1677,1598,1563,1570,1477,1365,1320,1321,1293,1327,1331,1278,1231,1280,1290,1321,1347,1347,1311,1311,1302,1367,1441,1507,1498,1465,1454,1427,1455,1477,1503,1515,1449,1408,1419,1473,1468,1545,1544,1528,1471,1548,1604,1628,1673,1713,1642,1573,1639,1714,1721,1861,1975,1913,1893,2034,2118,2259,2338,2396,2282,2206,2248,2316,2324,2388,2366,2225,2130,2123,2140,2112,2141,2137,2017,1930,1933,1908,1874,1839,1760,1665,1609,1649,1726,1800,1813,1814,1756,1707,1732,1752,1767,1811,1763,1676,1559,1524,1514,1555,1647,1687,1685,1658,1680,1809,1899,2002,2022,2028,2980,1990,2017,1471,1419,1415,1304,1229,1268,1311,1310,1266,1298,1266,1213,1304,1402,1453,1478,1467,1401,1380,1525,1606,1630,1635,1672,1631,1568,1685,1699,1696,1652,1656,1601,1590,1675,1791,1813,1837,1822,1836,1753,1926,1999,1942,2019,2135,2068,2019,2166,2178,2259,2343,2381,2285,2226,2312,2519,2538,2577,2606,2544,2437,2525,2629,2645,2481,2337,2254,2254,2531,2669,2728,2647,2498,2493,2503,2770,2801,2850,2938,3060,3071,2950,3106,3232,3179,3118,3084,2981,2858,3037,3227,3282,3160,3144,2986,2776,2869,2905,2871,2894,2758,2670,2444,2497,2573,2526,2522,2583,2464,2338,2467,2753,2720,2827,2881,2790,2769,2859,2973,3024,3001,2968,2818,2727,2904,3126,3200,3315,3453,3379,3382,3652,3814,3963,4070,4172,4107,4047,4297,4751,4802,5008,5067,5139,4874,4985,5273,5357,5376
,Coquimbo,Chile,261,266,279,292,321,336,382,453,480,535,595,626,666,687,718,768,827,893,985,1118,1170,1250,1338,1431,1504,1546,1666,1710,1968,2061,2179,2257,2342,2411,2468,2521,2615,2682,2758,2834,675,684,655,639,632,651,671,734,717,694,708,749,747,749,750,705,727,707,655,810,864,864,842,842,833,891,924,984,1005,997,999,975,1042,1012,1038,1028,982,939,966,961,929,936,993,928,906,934,930,994,987,976,956,946,926,921,949,1040,1094,1065,1085,1076,1082,1014,983,1028,954,911,859,816,791,798,806,720,707,671,671,698,721,727,708,649,605,568,549,531,505,421,355,331,325,314,343,361,348,353,347,364,375,375,374,349,331,302,282,265,258,260,249,229,216,205,196,208,203,199,188,181,169,123,114,107,87,88,93,91,86,88,77,65,67,72,75,73,62,63,62,63,75,69,76,71,70,69,58,69,84,92,91,104,117,115,119,129,143,166,168,163,151,161,169,201,194,224,204,190,208,211,183,170,216,226,231,241,275,269,288,275,281,264,268,284,270,238,217,213,217,236,278,263,256,257,274,270,310,322,329,360,423,438,441,455,501,509,507,515,529,536,581,621,638,646,670,685,682,686,729,729,745,760,756,719,746,837,834,850,892,893,848,841,889,820,846,835,808,753,789,814,824,842,849,837,796,869,973,964,1020,1016,1036,1055,1081,1181,1139,1198,1230,1216,1167,1222,1317,1282,1322,1271,1249,1134,1226,1288,1329,1295
,Los Lagos,Chile,654,680,704,714,723,750,768,778,801,809,847,850,850,894,913,913,955,972,990,998,1016,1029,1050,1071,1095,1128,1155,1165,1235,1249,1284,1320,1368,1420,1449,1465,1486,1521,1553,1588,310,297,290,298,322,339,385,388,373,413,424,437,462,440,439,470,472,510,537,508,548,548,522,522,560,618,650,719,797,835,822,828,894,963,995,982,1016,1022,1025,995,1001,1037,1045,970,943,928,902,858,875,821,770,723,751,739,729,768,765,718,680,637,651,639,686,683,651,642,614,617,641,723,734,681,650,596,637,649,650,664,660,617,601,586,689,726,716,685,621,630,764,817,893,982,1032,988,1016,1084,1185,1236,1286,1316,1292,1311,1317,1345,1474,1527,1533,1508,1470,1547,1575,1685,1746,1680,1623,1665,1743,1355,1333,1307,1287,1137,1172,1251,1188,1271,1290,1227,1125,1159,1320,1368,1305,1276,1292,1198,1275,1390,1365,1435,1456,1344,1258,1283,1331,1329,1314,1299,1193,1094,1126,1166,1082,1045,1021,899,822,847,918,873,852,859,832,780,883,900,936,939,914,852,818,919,1004,991,1088,1086,1120,1114,1164,1316,1391,1351,1315,1293,1254,1380,1555,1779,1688,1746,1698,1770,2010,2273,2426,2597,2788,2884,3173,3386,3703,3604,3703,3537,3370,3326,3560,3949,3956,4032,3941,3807,3517,3700,3962,4060,3859,3684,3361,3020,3052,3064,2849,2727,2617,2471,2219,2244,2368,2227,2228,2173,2033,2003,2053,2140,2063,1942,1764,1573,1470,1546,1644,1706,1678,1706,1615,1679,1748,1981,2045,2090,2061,2020,1933,2103,2242,2223,2147,2052,1963,1833,1859,1930,1936,1976
,Los Rios,Chile,241,252,256,268,284,291,298,303,312,324,339,350,356,368,372,371,382,392,409,417,438,444,454,470,478,488,520,524,545,557,569,579,600,611,615,619,631,642,649,668,94,97,90,84,85,77,69,71,66,55,64,58,60,53,49,49,52,69,85,84,87,87,83,83,84,80,80,79,76,62,54,56,61,52,54,56,57,58,59,54,54,56,66,74,69,75,76,69,65,64,62,61,55,55,50,64,65,55,50,58,62,60,63,72,77,74,93,95,103,116,124,125,148,165,180,207,244,252,255,253,248,249,231,225,248,228,227,239,241,262,303,332,354,380,413,440,476,511,505,497,470,462,478,465,464,478,443,421,396,413,436,447,469,474,454,457,471,389,369,368,383,374,345,402,464,488,510,518,495,514,550,557,564,543,536,532,587,633,615,642,645,661,623,592,670,624,614,640,621,583,598,628,599,599,576,557,505,544,578,537,557,554,562,539,560,575,545,575,598,597,557,575,630,662,662,625,599,581,589,618,620,538,473,551,542,592,672,743,710,692,677,722,798,923,1014,1108,1176,1193,1203,1241,1260,1293,1294,1263,1285,1276,1329,1437,1421,1481,1449,1414,1354,1378,1431,1355,1334,1276,1181,1142,1135,1119,1076,1043,1029,991,943,946,1012,978,936,973,946,901,904,970,916,957,983,965,908,1027,1171,1257,1343,1335,1314,1387,1466,1601,1687,1633,1631,1627,1553,1683,1805,1781,1760,1702,1631,1579,1695,1871,1839,1907
,Magallanes,Chile,959,969,974,979,992,998,1013,1019,1022,1028,1035,1037,1037,1060,1063,1050,1053,1062,1063,1073,1073,1074,1087,1092,1108,1138,1170,1195,1269,1278,1287,1300,1320,1337,1348,1348,1370,1382,1408,1420,135,143,139,124,121,109,100,110,93,74,77,82,91,90,95,103,102,103,98,89,88,88,81,81,70,64,62,60,65,87,89,116,126,137,155,172,186,198,232,227,259,254,291,308,310,301,326,355,392,382,395,408,447,499,529,610,696,728,733,828,842,882,925,998,996,1039,1045,1036,1161,1207,1373,1311,1253,1199,1180,1290,1394,1406,1325,1284,1336,1301,1285,1307,1433,1366,1298,1316,1407,1420,1407,1521,1580,1566,1526,1417,1516,1598,1564,1600,1545,1498,1477,1538,1488,1454,1288,1207,1136,1039,940,900,915,854,754,737,689,470,460,474,436,404,412,416,447,457,451,453,438,455,486,485,492,490,475,419,387,386,421,417,411,404,384,376,414,413,408,434,484,458,496,522,557,547,542,557,496,499,491,484,496,511,499,500,491,521,524,546,568,546,502,508,518,485,490,489,500,462,460,504,491,446,437,466,449,450,513,535,482,479,502,564,605,660,632,620,599,643,659,689,717,641,594,563,518,494,562,623,601,580,589,577,530,542,580,615,600,610,612,579,557,590,540,528,524,487,494,505,498,461,430,417,391,392,399,422,399,420,417,404,391,393,398,370,353,365,335,345,372,390,375,367,360,353,316,344,346,337,336,301,282,242,260,273,272,261
