Admin2,Province/State,Country/Region,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020
,Amazonas,Colombia,889,889,889,836,832,806,801,743,743,738,648,606,555,480,372,355,355,323,303,290,276,276,272,263,278,275,272,244,235,208,203,191,188,145,142,130,129,131,100,99,88,78,81,78,86,84,82,95,95,96,92,91,75,69,66,63,59,55,63,73,96,115,129,129,137,148,148,142,143,135,126,125,99,83,64,64,62,52,45,44,38,36,31,32,31,31,30,24,24,25,25,25,21,23,23,21,21,19,18,13,16,16,16,20,19,12,18,13,14,13,13,12,11,10,12,12,12,14,14,14,14,15,17,15,15,15,12,12,15,12,12,24,31,31,31,108,21,20,22,19,19,24,27,38,23,18,18,508,36,30,28,30,27,33,23,24,22,34,35,37,29,30,35,24,36,45,41,64,40,40,16,20,19,14,17,18,16,22,16,15,16,16,15,13,15,14,13,18,26,24,22,25,22,23,23,25,24,34,30,31,33,29
,Antioquia,Colombia,975,975,1047,1084,1062,1069,1109,1354,1354,1451,1494,1576,1692,1857,1865,1893,1893,1959,2100,2218,2541,2541,2599,2665,2709,2934,3138,3493,3749,4037,4350,4729,5176,5703,5859,6271,6529,7363,8016,9512,10639,11106,12066,13598,14442,14855,15610,16286,16286,18376,18849,19695,20959,22105,24233,25574,27132,26945,26937,27093,27657,27854,27052,27843,28569,28935,28590,28275,27050,25807,24111,23573,22147,20395,19973,19973,19789,18997,18179,18561,18761,18981,18712,17976,17836,16791,16542,16982,16982,16710,16297,16297,14907,12890,11183,11130,10892,11431,11584,12538,13728,14171,15146,14346,14679,14869,15772,13511,12729,12215,10624,10211,9024,7458,6437,6164,6797,7267,8582,8881,10059,10894,12846,14626,16733,18672,17174,15872,14450,13819,15699,12218,11978,10631,9223,8636,8592,9458,9904,11705,11410,12271,12285,14950,11909,11218,11450,163033,10588,11306,12375,12292,11754,11453,9792,10334,10197,9204,10914,11088,9728,8973,8855,8331,8384,8985,9313,9586,9607,10320,10204,10393,10853,9850,10164,10246,10783,11196,11604,11914,12493,12722,12560,11100,11069,11125,10934,11008,11315,11542,11883,12946,14184,14978,16124,15845,17368,16407,15850,15885,15842,15923
,Arauca,Colombia,1,1,1,1,1,1,1,43,43,44,44,49,50,59,68,70,70,74,74,73,73,73,72,72,76,74,75,89,89,88,113,113,127,122,115,115,118,85,96,85,80,82,86,85,86,69,67,59,59,56,49,66,63,73,76,95,90,89,89,139,161,157,262,305,307,305,339,332,325,355,290,348,346,369,359,359,326,301,268,250,244,317,277,257,235,248,224,221,221,271,269,269,238,216,207,183,237,258,252,260,287,307,325,293,296,272,276,256,296,289,267,218,177,153,141,147,191,236,229,251,264,257,415,428,434,450,365,323,430,405,469,382,330,288,256,224,224,312,251,235,252,327,288,337,252,317,298,1096,286,243,260,245,311,301,265,266,243,244,263,239,204,196,188,168,147,144,167,155,140,238,201,200,188,174,170,166,172,162,203,201,202,208,192,172,165,169,202,173,165,172,177,173,175,182,189,185,176,185,191,173,167,161
,Atlantico,Colombia,4342,4342,4629,4911,5211,5645,5993,7656,7656,8118,8756,9374,9899,10760,11178,11390,11390,12205,12363,13388,14246,14246,14425,14401,14786,15347,15660,15841,16328,16362,16586,16773,16861,17141,17099,17321,17303,17293,16819,18563,18784,17209,16810,16901,16588,15512,15081,13740,13740,12724,13174,12672,12382,12059,11962,11558,11295,11124,10934,10681,10625,10649,10505,10017,9769,9667,9533,8711,8278,7885,7296,7132,6933,6261,5988,5988,5415,5128,4841,4623,4453,3964,3685,3368,3277,3080,2866,2860,2860,2838,2285,2285,2093,1991,1699,1635,1571,1542,1476,1647,1688,1785,1857,1825,1784,1765,1905,1661,1447,1386,1343,1219,1085,934,797,799,846,896,980,1119,1255,1370,1526,1536,1579,1679,1440,1409,1482,1398,1463,1295,1191,1146,1233,1254,1193,1273,1266,1203,1268,1283,1216,1216,1334,1490,1489,1523,1528,1531,1446,1549,1557,1438,1272,1182,1104,984,1198,1224,1047,1088,996,1035,1090,1061,1168,1204,1233,1201,1241,1387,1494,1609,1609,1722,1919,1891,1912,2146,2093,2197,1980,1736,1754,1808,1832,1884,2125,2497,2206,2537,2594,2910,3118,3138,3272,3565,3255,3592,3662,3558
,Bolivar,Colombia,2689,2689,2806,2828,2935,2968,3081,3347,3347,3448,3421,3477,3703,3670,3821,3786,3786,3901,3998,4060,4306,4306,4188,4211,4364,4475,4621,4677,4880,4782,4864,4935,4901,4919,4854,4887,4797,4812,4761,5225,5303,4963,4910,4975,4949,4703,4643,4402,4402,4242,4475,4360,4241,4307,4337,4389,4455,4253,4233,3997,3939,3787,3661,3562,3647,3611,3585,3421,3252,3184,2996,3154,3082,2717,2646,2646,2578,2489,2707,2637,2415,2399,2488,2429,2273,2342,2310,2071,2071,1929,1578,1578,1335,1218,1376,1380,1289,1523,1526,1791,1882,1886,1961,1588,1479,1409,1621,1130,1002,964,917,736,661,654,523,728,669,679,645,923,1133,1071,1287,1332,1300,1425,1157,1066,1025,902,1015,835,731,660,682,658,600,631,613,643,757,642,662,662,746,962,845,976,761,872,880,805,821,737,666,653,662,610,879,871,694,693,584,666,636,644,820,750,782,797,936,1066,1248,1414,1286,1517,1354,1623,1558,1725,1671,1908,1563,1394,1463,1515,1506,1470,1600,1623,1729,1688,1907,2070,2253,2079,1937,2250,1833,2071,2057,2134
,Boyaca,Colombia,78,78,80,81,83,78,77,79,79,77,82,64,88,92,95,100,100,113,118,121,126,126,127,135,145,154,157,163,171,172,179,176,183,189,189,195,193,204,208,280,287,286,294,287,318,324,324,340,340,364,382,445,477,506,555,597,641,653,700,754,805,844,838,878,928,955,1023,1084,1136,1174,1148,1224,1208,1336,1329,1329,1558,1608,1640,1596,1564,1632,1580,1483,1420,1414,1390,1350,1350,1432,1532,1532,1425,1370,1199,1121,1102,1132,1241,1329,1468,1478,1587,1612,1638,1592,1708,1481,1502,1462,1384,1303,1257,1114,1036,920,1082,1031,1110,1288,1474,1607,1763,1925,1976,2376,2373,2346,2309,2263,2527,2158,1886,1784,1665,1573,1479,1546,1525,1578,1703,1813,1872,1872,2093,2199,2188,2788,2285,2386,2605,2392,2293,2175,2051,2032,1935,1799,2015,1777,1609,1585,1584,1573,1589,1625,1575,1534,1570,1582,1658,1654,1623,1546,1511,1600,1706,1574,1618,1635,1620,1725,1623,1442,1428,1330,1453,1491,1481,1473,1496,1482,1629,1717,1708,1740,1722,1740,1870,1959,1926,1920
,Caldas,Colombia,50,50,54,58,55,58,53,62,62,67,66,67,69,70,83,82,82,78,79,81,81,81,77,72,75,76,76,77,74,65,68,66,72,74,73,74,69,71,72,94,110,140,144,161,250,288,318,377,377,441,449,500,549,643,673,693,702,716,710,741,762,777,861,902,920,922,893,897,854,832,793,789,782,945,1011,1011,1098,1095,1108,1106,1106,1160,1180,1200,1203,1192,1121,1099,1099,1156,1165,1165,1139,1065,933,975,985,1071,1033,1132,1162,1237,1312,1364,1409,1328,1437,1352,1328,1279,1252,1231,1137,907,832,721,801,930,997,1111,1268,1360,1691,1788,1903,2094,2063,2051,1958,1881,2143,1866,1831,1774,1819,1758,1740,1866,2110,2019,2232,2408,2456,2782,2426,2669,2811,3055,2778,2825,3100,3085,2981,2910,2638,2832,2412,2227,2874,2959,2593,2641,2433,2367,2216,2228,2184,2152,2196,2303,2276,2296,2306,2191,2394,2717,2648,2596,2455,2502,2311,2336,2160,1814,1725,1648,1608,1724,1895,1839,1749,1951,1906,1926,1986,1995,2181,2187,2237,2379,2221,2180
,Capital District,Colombia,7312,7312,7645,7714,8020,8129,8328,9103,9103,9447,9738,10099,10661,11099,11352,11825,11825,12492,13347,13939,15307,15307,16374,16548,17617,18653,19841,20653,21584,21804,23089,24187,25104,27208,29063,30577,31612,32757,34012,35468,35590,37263,38353,39719,41774,43361,43667,45312,45312,46634,48926,50503,51536,53100,53204,55120,54847,55366,57930,62662,63441,65209,66997,67625,67886,66560,64991,66127,66961,66619,65068,64966,64927,65238,64834,64834,61048,62117,61233,61523,60702,57585,56660,55335,54732,52574,51987,52956,52956,54258,53793,53793,53709,50105,48540,42906,39506,38930,38068,38941,39845,40141,41602,38341,39365,38340,40180,33922,30864,28203,26814,25305,24485,25132,25521,25322,26435,27463,28305,25721,24000,24365,25625,25946,24609,26143,26318,26975,26042,24491,25559,22362,22431,22463,23213,24468,25402,25544,27257,24545,22726,20449,20718,20718,22921,22348,23068,22636,23334,22661,20986,21326,22022,22260,23812,18588,17588,17952,19394,19683,17050,17530,17432,18525,19291,19957,19637,20936,18969,16671,16953,17681,18316,20075,21077,21133,21336,22002,22960,22008,22990,22361,20431,22143,20093,20173,21291,22463,23775,24249,27197,28252,29181,30355,32467,32738,31196,30960,34608,35148,36398,33849
,Caqueta,Colombia,2,2,2,2,2,2,2,2,2,5,5,6,5,6,6,5,5,5,2,2,11,11,11,11,15,19,19,30,31,36,42,57,56,60,71,86,92,96,99,146,180,281,346,398,417,423,426,465,465,569,611,672,711,713,862,999,1227,1247,1402,1355,1500,1548,1741,1789,1860,1904,1975,2082,2104,2127,2088,2218,2194,2033,1971,1971,1708,1821,1786,1566,1579,1584,1611,1672,1748,1732,1754,1580,1580,1376,1351,1351,1252,958,886,829,775,780,673,692,676,680,829,981,830,794,798,762,865,961,1062,1018,808,639,579,464,549,602,596,790,934,1070,1241,1255,1218,1308,1103,1065,1012,903,1005,963,889,898,862,857,840,839,818,806,893,908,834,834,849,903,911,2910,932,913,899,960,945,880,941,862,814,818,869,848,763,809,742,781,718,690,697,741,708,701,683,731,758,745,738,801,756,755,772,792,786,818,815,768,765,735,737,722,799,828,771,763,779,746,778,820,874,932,928,933,905,884
,Casanare,Colombia,5,5,5,5,4,4,4,5,5,5,6,8,18,21,22,23,23,26,29,29,30,30,21,21,20,22,37,37,38,39,39,42,46,60,59,59,62,69,73,78,78,80,89,101,103,109,102,111,111,137,152,160,175,181,185,189,201,212,229,247,249,259,259,289,294,319,342,341,335,355,355,350,379,378,356,356,339,353,358,334,341,352,340,334,331,335,349,328,328,338,407,407,388,351,342,352,406,412,412,438,475,499,528,527,618,647,668,575,576,627,609,595,629,502,531,418,462,468,485,521,591,691,762,784,808,881,947,874,821,953,1110,963,881,788,818,828,834,806,808,786,839,787,793,855,667,696,682,1440,757,725,714,656,597,551,494,456,425,382,436,442,400,453,444,456,414,371,361,411,427,400,405,357,361,397,370,575,385,412,406,537,515,427,416,365,426,317,320,345,371,410,432,469,429,477,501,519,480,491,541,505,539,515
