Admin2,Province/State,Country/Region,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020
,French Guiana,France,39,38,38,43,40,40,40,35,35,35,35,35,35,32,32,27,20,13,22,23,23,23,23,31,31,31,29,29,29,32,32,26,25,21,21,21,21,28,28,39,64,71,71,78,81,100,111,119,135,182,206,237,255,274,277,291,298,298,309,278,259,267,290,305,327,344,406,453,552,639,718,771,797,886,969,1124,1268,1505,1478,1569,1762,1927,2093,2200,2200,2407,2481,2650,2748,2765,3031,3031,3050,3038,3088,2981,2896,2942,2942,2931,2726,2528,2541,2543,2346,2346,1993,1816,1567,1670,1688,1524,1524,1425,1413,1428,1415,1370,1283,1283,1137,1080,947,840,837,718,718,726,679,660,636,655,642,642,584,550,545,500,471,435,435,456,449,419,416,378,398,398,402,387,409,418,422,390,390,391,379,370,359,353,326,326,333,312,295,291,296,286,286,274,273,266,269,294,298,298,294,294,300,286,264,297,297,279,260,261,260,265,241,241,256,242,241,270,215,192,192,204,204,231,278,287,312,312,321,332,339,360,452,471,471,502,512,526,555,582,639,639,650,664,697,715,743,779,779,811,835,865,885,922,949,949,977,1014,1051,1073,1093,1114,1114,1139,1175,1218,1253,1268,1341,1341,1392,1447,1534,1611,1689,1734,1734,1789,1789,1840,1960,1960,2215,2303,2303
,French Polynesia,France,41,42,47,51,51,51,51,53,55,55,55,55,55,53,53,37,37,22,21,16,16,16,14,9,8,8,7,7,7,5,6,6,4,4,4,4,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,7,7,7,50,50,75,75,102,102,102,143,143,143,143,150,150,150,224,224,213,213,280,280,280,368,368,286,286,334,334,334,245,245,267,281,309,309,309,425,425,425,425,236,241,241,241,222,227,227,238,238,238,238,290,341,341,401,401,401,450,450,491,553,725,725,725,1102,1102,1073,1073,939,939,939,1330,1330,1606,1606,2154,2154,2154,2315,2315,2391,2391,2391,2391,2391,3766,4069,4406,4873,5114,5114,5114,5789,6077,6422,6591,6811,6811,6811,7223,7459,7683,7912,8073,8073,8073,8376,8605,8871,8969,9181,9181,9181,9455,9641,9797,9977,10186,10186,10186,10186,10404,10479,10602,10685,10685,10685,10809,10931,11034,11175,11237,11237,11237,11397
,Guadeloupe,France,97,97,101,90,90,68,68,68,68,70,70,70,70,67,67,67,63,63,60,55,55,55,55,55,55,44,45,45,45,42,42,35,36,37,37,37,37,33,33,33,33,33,33,33,33,33,33,28,28,32,32,32,32,32,10,10,10,10,10,10,10,6,6,6,6,6,6,6,0,0,0,0,0,0,0,3,3,3,3,3,3,3,11,11,11,11,11,11,11,13,13,13,13,13,13,13,19,19,19,19,19,19,19,9,9,9,9,9,9,9,13,13,13,13,13,54,54,72,72,72,79,79,86,86,90,90,90,117,117,64,64,143,143,143,207,206,206,206,467,467,467,467,631,631,631,793,793,793,917,917,1009,1009,1009,1009,1009,1009,1009,1928,1928,2219,2219,2219,2219,2219,2563,2563,2563,2563,2563,2563,2246,2246,2246,2246,2246,2246,2246,2246,3272,3272,3272,3272,3272,3272,4043,4043,4043,4207,4207,4207,4207,4613,4613,4613,4827,4827,4827,4827,5015,5015,5015,5015,5015,5015,5160,5160,5237,5237,5237,5237,5237,5237,5528,5528,5528,5528,5528,5528,5528,5717,5717,5717,5717,5717,5717,5717,5840,5840,5840,5839,5839,5839,5839,5953,5953,5953,5953,5953,5953,5953,6036,6036,6036,6036,6036,6036,6036,6079,6079,6079,6079,6079,6079,6079,6104,6104,6104,6104,6102,6160,6160
,Martinique,France,95,97,98,98,98,99,99,99,101,101,77,77,77,77,78,78,76,77,77,79,84,84,84,78,78,81,82,82,82,84,84,85,86,89,89,89,82,82,84,84,87,87,87,87,87,87,87,92,92,92,92,92,92,92,88,88,88,88,88,88,88,90,90,90,90,90,90,90,90,90,90,90,90,90,109,124,124,124,124,124,124,124,130,130,130,130,130,130,130,137,137,137,137,137,137,137,142,142,142,142,142,142,142,142,149,149,149,149,149,149,156,156,156,156,156,156,156,156,156,156,156,156,156,163,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,350,350,350,482,482,482,482,482,501,631,638,638,642,642,642,642,823,823,823,823,823,823,823,1006,1006,1006,1006,1006,1006,1006,1172,1172,1172,1172,1172,1172,1172,1172,1424,1424,1424,1424,1424,1424,1731,1731,1731,1731,1731,1731,1731,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,3424,3424,3424,3424,3424,3424,3424,3424,4084,4084,4084,4084,4084,4084,4597,4597,4597,4597,4597,4597,4597,4597,4597,4597,4597,4597,4597,4597,5278,5275,5275,5275,5275,5275,5275,5381,5381,5381,5381,5381,5381,5381,5381,5435,5435,5435,5435,5435,5435,5461,5461,5461,5461,5461,5494,5494
,Mayotte,France,131,131,147,147,160,139,134,134,145,145,145,161,124,133,150,150,190,197,197,206,232,253,253,221,221,300,300,300,409,328,378,378,492,492,485,520,520,591,502,567,567,667,697,725,725,562,562,608,608,673,695,720,311,334,293,293,293,437,489,446,510,531,531,531,472,493,544,558,450,464,479,223,246,250,288,299,307,307,215,215,217,258,258,258,258,203,243,267,274,251,251,252,270,208,208,185,194,194,194,207,207,125,160,154,154,154,179,172,187,174,174,174,174,190,190,194,202,202,202,202,231,246,254,265,194,194,194,194,217,217,140,140,140,140,157,157,157,157,234,234,234,234,234,234,297,297,297,297,297,297,297,370,370,370,370,370,370,370,370,370,370,370,370,370,370,537,537,537,537,537,537,537,537,537,537,537,537,537,773,773,773,773,773,886,886,886,886,982,982,982,1023,1023,1023,1023,1023,1023,1023,1152,1152,1195,1195,1268,1268,1268,1313,1313,1358,1358,1358,1358,1358,1480,1515,1541,1541,1541,1541,1541,1805,1805,1805,1911,1911,1911,1911,1933,1933,2024,2024,2024,2024,2024,2109,2109,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2484,2484,2535,2535,2535,2535,2599,2599,2599,2599,2691,2691,2691
,New Caledonia,France,17,17,17,17,17,17,17,17,17,17,17,17,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,4,4,4,4,4,1,1,2,2,2,2,2,2
,Reunion,France,304,309,318,318,322,342,348,349,351,351,154,157,165,170,171,171,172,172,174,112,117,117,118,118,120,120,122,123,123,124,124,125,73,72,77,82,82,83,85,86,87,89,89,92,92,35,37,37,40,40,44,47,48,53,58,59,59,61,65,66,67,68,68,68,33,33,38,39,27,28,34,35,34,36,41,43,44,45,46,46,47,54,55,46,47,48,52,54,57,59,62,73,76,76,88,91,96,102,118,121,124,133,137,139,149,153,156,164,84,85,93,96,96,61,61,61,61,64,68,71,71,73,73,74,39,45,51,54,66,98,118,114,154,193,218,241,241,334,378,419,511,546,594,674,712,789,671,748,790,825,906,1022,1112,791,896,951,1020,1090,1184,1296,1396,1477,1544,1574,1674,1290,1385,697,697,918,918,1004,1008,855,855,855,1049,1049,1158,1158,802,802,802,952,952,1009,1009,481,481,481,613,613,667,667,314,314,314,459,459,551,551,499,499,499,711,711,820,820,751,751,751,988,988,1127,1127,857,857,857,1164,1164,1327,1327,925,925,924,1202,1202,1336,1336,806,806,806,994,994,1137,1137,1240,728,728,842,842,890,890,430,430,430,524,524,575,575,353,353,353,455,455,455,509,327,443,443,443
,Saint Barthelemy,France,5,5,5,5,5,5,5,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,7,7,7,7,5,4,4,4,7,7,7,7,7,7,7,7,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,7,7,7,7,7,7,7,7,7,20,20,20,20,23,23,23,23,17,17,25,25,25,25,25,25,28,28,28,28,28,12,12,17,17,17,17,17,11,11,11,11,11,17,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,26,26,26,26,26,26,33,33,33,33,33,33,33,33,33,33,33,33,41,41,41,41,41,41,41,41,34,34,34,34,34,34,34,34,34,34,13,13,13,13
,Saint Pierre and Miquelon,France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,0,1,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,St Martin,France,23,23,23,23,23,19,19,19,19,19,20,20,20,16,16,16,16,17,17,11,11,11,11,11,11,11,8,8,8,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,31,31,36,36,43,56,56,56,67,67,67,67,119,119,119,119,141,141,141,129,129,129,129,129,154,154,154,154,154,154,154,143,143,143,143,143,118,118,118,118,118,118,118,118,118,86,86,86,86,102,102,102,102,86,86,95,95,95,95,95,95,149,149,149,149,149,113,113,143,143,143,143,143,108,108,108,108,108,112,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,92,92,92,92,92,92,80,80,80,80,80,80,80,80,80,80,80,80,64,64,64,64,64,64,64,64,114,114,114,114,114,114,114,114,114,114,126,126,126,126
