Admin2,Province/State,Country/Region,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020
,Baden-Wurttemberg,Germany,2775,2513,2563,2309,2142,2098,1851,1728,1618,1571,1502,1428,1369,1337,1304,1364,1085,1103,1126,936,862,856,702,715,639,648,573,503,540,489,489,489,446,463,407,422,441,358,358,435,393,429,433,459,411,411,500,567,617,423,410,408,408,465,493,539,538,570,570,570,640,554,419,455,464,464,464,514,578,659,752,727,727,730,825,913,879,985,1022,1022,1022,1000,975,985,983,1005,1005,1020,1073,1004,1106,1114,1166,1166,1121,1384,1498,1666,1845,2103,2237,2174,2394,2613,2744,2902,3082,3190,3113,3275,3326,3303,3412,3473,3456,3306,3518,3507,3509,3496,3572,3427,3615,3646,3678,3683,3817,3905,3680,3694,3847,3809,3860,3835,3946,3986,4009,4090,3985,4026,4178,4228,4014,4234,4190,4259,4629,4913,5190,5564,5804,6086,6780,6832,7798,8564,8972,9429,9715,10130,11068,11937,13681,14424,14970,15722,17557,18527,20828,22259,23653,24088,24851,27291,29011,30310,32305,33741,34551,33411,35795,37140,38657,39901,40723,40898,41039,41199,42036,42970,43635,43751,43944,41044,40470,43258,43932,44034,44200,44045,43305,42618,43124,43646,42418,43554,43376,42683,42794,44250,45657,47141,48641,48764,48296,48583,49858,51074,52818
,Bayern,Germany,3962,3745,3497,3420,3297,3235,2981,2838,2606,2525,2374,2390,2226,2133,2064,1953,1829,1792,1881,1686,1556,1418,1415,1295,1268,1197,1131,1065,1000,942,873,888,802,855,757,691,737,661,677,600,625,517,539,508,568,600,650,706,786,740,739,765,665,769,747,846,814,887,872,892,961,957,944,1055,1055,1036,894,869,963,941,931,908,1048,963,1082,1170,1180,1269,1307,1346,1258,1295,1256,1470,1428,1553,1368,1277,1255,1342,1376,1509,1614,1806,1757,1857,1987,2250,2539,2778,3028,2958,3078,3235,3406,3683,3878,4020,3868,3815,3831,3801,3781,3857,4045,3894,4064,4137,4256,4428,4529,4727,4585,4761,4854,5044,5242,5388,5419,5372,5401,5409,5266,5256,5306,5413,5418,5127,5139,5025,4925,4937,4959,5056,4823,4802,5078,4811,5254,6054,5966,6564,6795,7426,8191,8948,9622,10179,10847,11535,12952,14292,15876,17039,16760,17449,18718,22775,22076,22737,24917,27639,29107,29335,34293,35943,38412,39733,41596,37777,43484,45936,47944,49829,50837,51649,51136,52004,52861,54707,55691,56502,56578,56250,55857,56878,57714,57919,58626,58603,58104,58127,58698,59165,59134,57563,56567,55657,55481,56779,57933,59047,60890,61149,59253,61267,61775,62720,64790
,Berlin,Germany,479,456,437,422,412,399,407,405,403,396,390,374,356,334,333,329,342,338,321,317,312,333,319,336,340,341,344,368,374,461,446,457,475,467,486,585,671,718,735,784,802,776,802,806,758,745,733,679,654,615,566,572,565,508,503,493,473,462,452,425,400,384,363,334,327,316,307,297,302,281,285,315,338,327,314,333,384,396,460,468,446,438,427,465,461,527,555,537,531,591,663,750,778,774,755,772,793,796,803,819,830,780,753,750,735,733,769,771,742,727,733,764,795,830,866,838,825,819,793,851,911,903,864,855,868,915,973,1083,1170,1157,1266,1302,1409,1521,1565,1642,1660,1641,1676,1808,1914,2079,2174,2146,2161,2280,2482,2773,3064,3219,3219,3246,3719,3959,4197,4674,4822,4819,5002,5725,6078,6500,7094,7293,7243,7817,8749,9218,10234,10658,11155,11066,11309,12703,13282,14069,14742,15064,14961,14590,15299,15740,16829,17662,17984,17634,18741,19277,19861,20066,20727,20818,20274,19977,20315,20786,20609,21279,20745,20440,19966,19802,19449,19368,19880,20704,19665,19021,18778,18436,18602,18896,19239,18556,18258,18123,18140,18209,19024
,Brandenburg,Germany,311,227,231,238,239,142,145,157,160,164,169,70,76,87,93,102,109,113,116,106,14,20,27,29,29,34,32,40,82,43,56,54,57,64,92,95,104,117,129,132,38,43,58,66,77,80,80,80,88,98,107,106,116,107,109,30,32,2,9,9,9,14,17,23,25,70,77,37,41,52,60,71,70,71,72,77,86,98,109,118,119,70,28,42,49,64,79,83,84,87,92,108,127,143,152,153,169,146,156,163,174,176,174,179,171,185,181,183,172,148,140,139,129,121,122,122,115,120,119,117,133,141,132,122,129,131,133,134,152,156,146,156,161,153,190,190,187,185,181,191,228,235,264,290,251,278,307,335,403,489,497,496,568,620,710,822,923,961,952,1024,1050,1152,1299,1467,1511,1483,1675,1667,2005,2138,2396,2472,2417,2640,2601,2823,3144,3364,3456,3390,3353,3396,3559,3730,3897,3917,3733,3738,3757,3887,4104,4415,4515,4515,4485,4558,4769,4927,5255,5232,4989,4949,4964,5156,5520,5888,5898,5850,5998,6150,6583,7117,7843,8103,8170,8231,8508,9098,9824
,Bremen,Germany,295,316,330,337,302,321,238,237,256,258,171,172,181,206,230,162,162,162,162,206,221,256,170,175,190,191,206,224,129,139,139,143,148,161,173,80,90,99,102,108,107,109,107,107,97,96,79,78,64,65,61,64,64,39,34,34,37,33,33,33,31,28,29,30,32,40,41,39,42,41,46,55,55,56,62,68,66,74,72,72,72,69,64,65,65,63,63,63,59,67,60,58,61,61,64,72,81,84,88,87,82,85,92,104,111,119,153,127,131,134,140,154,158,158,150,147,148,143,141,140,133,119,119,119,126,128,121,120,118,130,133,152,151,155,185,222,218,227,257,285,326,357,350,390,411,469,542,588,620,735,756,728,749,820,887,942,1028,1054,1065,1120,1212,1274,1283,1475,1538,1494,1686,1662,1774,1926,2108,2267,2380,2480,2607,2627,2710,2893,2965,2737,2439,2350,2391,2363,2545,2645,2272,2122,2157,2035,2050,2209,2295,1952,1893,1893,1831,1800,1970,1999,1710,1618,1619,1567,1576,1703,1763,1531,1444,1528,1646,1635,1796,1857,1650,1590,1777,1815,1825
,Hamburg,Germany,348,381,400,297,305,308,209,214,219,223,225,128,128,130,131,133,136,136,143,45,45,53,57,57,60,62,66,71,79,80,84,88,91,93,93,96,100,103,110,111,115,16,16,18,28,28,41,44,45,51,56,59,59,61,62,67,69,67,69,69,70,70,71,72,76,78,79,79,82,89,13,29,42,60,64,76,94,124,140,159,174,182,199,224,268,347,371,415,328,385,411,458,485,513,522,436,462,472,463,471,472,467,482,479,470,477,426,460,477,452,472,466,481,504,520,519,519,558,572,618,666,682,667,655,684,686,683,705,751,741,773,777,790,808,884,937,958,985,1030,1045,1077,1114,1194,1220,1243,1288,1331,1434,1489,1549,1530,1542,1575,1610,1661,1776,1803,1883,1891,2014,2098,2298,2580,2812,2877,3111,3369,3591,3963,4146,4462,4581,4653,5107,5274,5773,6065,6630,6667,6780,7155,7344,7796,8096,8296,8508,8492,8705,8711,9004,8864,8995,8960,8882,8766,8276,8596,8338,8420,7980,8087,7864,7688,7477,7473,7153,6957,6690,6499,6409,6558,6749,7069,6934,6871,6682,6798,6867,7206
,Hessen,Germany,1146,875,929,882,798,726,837,823,799,812,902,810,742,694,744,686,627,656,567,580,500,547,481,488,519,423,453,371,407,324,330,333,233,276,290,342,404,356,375,377,312,342,361,402,325,355,356,387,394,409,392,398,327,343,373,300,348,390,408,448,455,442,402,468,509,435,450,345,365,343,418,374,431,462,467,425,488,576,645,609,597,622,640,631,653,736,778,878,912,890,850,952,1061,1164,1192,1160,1247,1334,1437,1549,1619,1748,1710,1756,1822,1760,1719,1709,1666,1550,1567,1476,1394,1285,1325,1361,1256,1249,1247,1256,1264,1298,1320,1268,1259,1248,1262,1247,1324,1308,1232,1246,1247,1315,1385,1472,1594,1520,1566,1597,1630,1772,1976,2057,2091,2186,2336,1860,2452,3175,3133,3211,3492,3917,4310,4970,5203,5313,5008,6220,7018,7652,9064,9907,9477,9600,10942,11146,12835,13447,14935,16614,17080,17080,19031,20002,20969,21788,22104,20094,23466,24010,24596,24834,25756,26141,26078,26429,27174,28130,28408,28615,28433,28683,28528,28749,28883,28787,28859,28510,28534,28242,27897,28012,27860,26955,26178,25834,25675,25328,25440,27211,27775,27339,27036,26650,27133,26845,28611
,Mecklenburg-Vorpommern,Germany,20,25,30,31,32,34,43,43,37,41,36,33,33,33,33,20,20,19,19,19,19,21,24,16,23,24,30,30,30,23,23,23,24,25,26,22,21,20,19,19,16,16,15,16,18,17,17,16,16,14,15,12,9,9,10,8,8,5,3,2,2,0,1,1,2,2,2,5,7,10,21,37,37,37,39,43,55,57,59,64,65,67,75,88,85,91,89,87,91,91,86,84,93,89,76,73,74,72,70,63,59,59,60,53,47,45,46,41,39,39,33,35,36,35,32,30,38,38,42,39,43,43,43,46,52,54,65,73,71,68,77,84,85,87,88,88,87,96,102,111,112,142,142,138,167,168,189,191,205,197,188,195,237,272,305,337,362,369,360,432,468,506,584,648,650,635,751,820,951,1043,1093,1094,1073,1227,1243,1315,1447,1504,1473,1398,1438,1472,1495,1488,1477,1406,1381,1444,1429,1418,1426,1410,1349,1348,1404,1430,1502,1489,1457,1404,1379,1424,1466,1507,1560,1518,1527,1522,1648,1775,1854,2014,2130,2174,2135,2291,2452,2580,2716
,Niedersachsen,Germany,1038,969,1000,811,743,810,763,729,684,755,804,702,766,702,787,697,762,803,746,770,733,725,848,815,858,940,891,874,918,964,918,958,893,934,758,843,877,816,923,863,789,706,752,693,726,748,772,805,695,706,728,676,527,438,391,356,311,348,355,360,362,379,398,387,370,372,392,272,300,342,374,337,373,374,392,439,364,431,488,446,471,478,516,553,567,649,697,729,745,702,767,827,862,901,943,872,868,973,1020,1061,1098,1108,1060,1103,1151,1172,1196,1238,1253,1189,1156,1152,1198,1215,1224,1225,1153,1163,1168,1207,1194,1275,1302,1283,1311,1324,1468,1530,1624,1673,1582,1566,1648,1710,1812,1893,1891,1871,1846,1877,1909,1998,2179,2201,2131,2145,2286,2286,2577,2796,2873,3011,3129,3337,3744,4044,4205,4249,4195,4281,4730,4988,5715,5986,6452,6496,7111,7155,8415,9113,10162,10648,10902,11775,12405,12995,13428,13632,14401,13230,14631,15282,15675,16536,16964,16255,15932,15478,15594,16005,16498,16225,16187,16345,16270,15844,15854,16075,15918,15506,14653,14296,13817,13675,13837,12843,12489,11929,11551,11990,12266,12910,13108,13061,12559,12358,12725,13691,14365
,Nordrhein-Westfalen,Germany,2958,2974,3132,2881,2653,2560,2529,2466,2363,2284,2260,2133,2024,1964,2016,1916,2015,1903,1948,1701,1578,1586,1622,1602,1593,1537,1408,1509,1605,1417,1394,1488,1361,1367,1318,2176,2174,1971,2358,2555,2549,2709,2923,2977,3297,3349,3491,3686,3859,3899,4000,2943,2502,2375,2269,2210,2094,2044,2084,2111,2169,2164,2139,2086,2151,2294,2012,1962,1999,1950,1994,2230,2329,2502,2443,2510,2535,2701,2805,2946,2989,3076,3183,3317,3418,3650,3831,4002,4003,4012,4223,4518,4697,5019,5113,4933,4562,4619,4691,4418,4391,4575,4707,4031,3872,3754,3761,4023,4155,3766,3466,3362,3036,3068,3341,3513,3243,2954,2846,2754,2926,3241,3500,3135,3599,3599,3266,3718,4324,4709,4572,4249,4997,4650,5029,5652,6143,5955,5365,5609,6359,6947,7389,7615,7888,8100,8626,8023,8639,10629,10939,12146,12617,13757,15196,16261,17136,17459,18775,20106,21742,23437,26649,28682,27753,29326,31618,37914,36243,38504,42170,47175,49552,49552,56359,58903,61698,62202,63404,57934,66716,67469,69603,71094,71583,71781,72732,72921,74139,75760,76817,76507,75481,75417,74779,74662,74473,73420,72767,71864,70564,68958,68895,68507,68299,65147,63450,62629,62129,61389,63984,66082,67762,67113,66885,66832,67504,69276,71856
