Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020
,Andaman and Nicobar Islands,India,145,166,225,329,403,484,557,639,687,752,778,831,822,896,994,1050,1091,1130,1154,1145,1091,1078,1045,1011,971,923,864,777,677,635,602,564,518,473,439,400,381,352,345,338,331,312,307,297,293,286,268,252,252,204,196,174,165,156,147,152,160,166,189,179,171,188,168,181,174,172,174,173,182,186,180,185,190,197,193,186,198,199,195,190,185,179,184,178,183,199,190,204,199,204,198,197,192,192,182,173,168,160,159,166,168,166,175,169,164,162,167,164,153,151,145,150,150,154,145,148,142,140,142,142,137,130,120,119,106,99,99,79,71,70,70,73,81,70,75,78,78,79,84,92,93,91,92,96,95,88,86,82,73,64,69,61
,Andhra Pradesh,India,51701,63771,69252,75720,72188,74404,76377,79104,80426,82166,84654,85486,87112,87773,87597,90425,90780,89907,88138,85945,84777,85130,86725,87177,87803,89389,89742,89516,-250068,92208,94209,96191,97681,99129,100276,101210,103076,103521,102067,100880,99689,97932,96769,97271,97338,96191,95733,95072,95072,92353,90279,88197,84423,81763,78836,74518,71465,70357,69353,67683,65794,64876,63116,59435,58445,57858,56897,55282,54400,51060,50776,49513,48661,47665,46624,46295,43983,42855,41669,40047,38979,37102,36474,35065,33396,32376,32257,31721,31469,30860,28770,27300,26622,26268,25514,24575,23668,22538,21672,21438,21878,21825,21434,21403,21235,20958,20915,20857,20262,19757,18659,17892,16985,16516,16000,15382,14770,14249,13394,13024,12673,12615,12137,11571,8397,7840,7840,6924,6742,6422,6166,5910,5626,5429,5259,5237,5236,5078,4966,4728,4660,4420,4454,4377,4355,4202,3992,3978,3864,3862,3861,3700
,Arunachal Pradesh,India,662,730,654,670,701,699,692,682,642,700,720,684,670,636,690,768,790,852,882,888,843,921,923,968,996,990,961,880,899,987,1007,1031,1118,1205,1220,1226,1278,1400,1488,1525,1520,1576,1670,1630,1658,1689,1712,1732,1732,1795,1892,1871,1886,1957,1964,1939,2052,2216,2331,2427,2458,2495,2725,2794,2890,2955,3019,3015,2953,2989,3022,2850,2778,2860,2940,2891,2940,2960,3045,3052,3068,3003,2824,2833,2712,2682,2638,2499,2397,2260,2174,2139,2064,2008,1938,1856,1771,1722,1674,1645,1621,1603,1559,1509,1472,1484,1485,1440,1392,1323,1264,1232,1212,1182,1127,1082,1051,1040,1007,1004,968,926,911,888,851,817,817,778,769,751,748,735,707,692,709,685,279,269,252,238,234,241,258,234,241,225,227,222,212,184,168,154
,Assam,India,8088,8371,9233,9814,10183,10415,11738,13625,14432,15467,16555,16983,16367,18000,19178,21629,22243,22633,22090,21471,22736,23704,23756,22711,22085,21593,19598,19277,19518,19535,19222,20011,20995,21551,23273,24514,26227,27303,28159,28507,28273,28798,29206,29166,29690,29580,29133,28161,28161,29180,29091,28208,28631,29362,28780,29609,29857,30182,29830,30034,30162,29350,30662,32539,34496,34163,34128,33933,33324,33467,33047,31786,30767,29710,29221,28385,28439,28897,29307,28804,28631,28442,28158,27319,26775,25807,24724,22963,20271,17510,14891,12845,11803,11138,10421,9367,8802,8481,8385,8110,7662,7067,6758,6512,6328,5965,5371,4799,4389,3964,3666,3446,3329,3285,3193,3204,3232,3142,3179,3214,3277,3285,3272,3313,3350,3399,3399,3519,3505,3551,3543,3552,3585,3575,3542,3516,3493,3527,3481,3501,3540,3544,3523,3539,3526,3520,3525,3483,3470,3456,3422,3389
,Bihar,India,13461,15482,16845,17579,18937,20306,20770,21093,22001,23888,26453,26669,27906,28065,29291,30119,31483,32636,32591,31059,29387,28692,27546,26789,25363,24168,23111,21392,19716,19823,19067,18047,17670,17333,16335,16168,17001,17319,17032,16594,16426,16121,15346,15626,15239,15190,14396,14113,14113,13055,12959,13156,12609,12629,13005,12539,12928,12958,13015,12773,12754,12827,12664,12366,12092,12086,12077,11597,11795,11523,11420,11326,11447,11274,11165,11044,10669,10835,10756,11038,10884,10848,10584,10937,11348,11118,11213,10630,10459,9722,9355,8846,8329,8058,7897,7516,6966,6594,6423,6094,6356,6518,6287,6273,6503,6093,5815,5763,5637,5727,5454,5221,5156,5349,5378,5254,5082,4839,4794,4897,5225,5390,5401,5380,5404,5359,5359,5768,5890,5836,5630,5563,5467,5459,5354,5499,5527,5501,5375,5088,5170,5231,5279,5370,5205,5140,4991,5030,5408,5434,5504,5257
,Chandigarh,India,321,353,355,369,378,400,434,471,535,530,531,530,586,566,629,702,739,809,863,936,1003,1032,1014,1094,1172,1272,1389,1352,1456,1539,1544,1572,1692,1807,1859,1942,2060,2119,2095,2143,2253,2187,2334,2484,2573,2606,2586,2728,2728,2991,3171,3085,2978,2911,2821,2761,2622,2537,2482,2390,2298,2303,2200,2060,1963,1884,1881,1792,1673,1604,1492,1448,1392,1292,1229,1184,1170,1127,1085,1044,974,915,884,861,810,744,712,697,674,653,633,650,629,665,657,641,618,593,629,671,703,772,815,876,902,922,958,1002,1009,1009,1088,1052,1026,1081,1105,1121,1135,1094,1117,1128,1127,1169,1190,1115,1140,1062,1062,1082,981,928,883,922,921,962,897,881,838,815,766,714,635,627,584,535,494,437,389,364,369,361,345,354
,Chhattisgarh,India,2529,2855,2789,2803,2720,2482,2462,2520,2465,2767,3002,3072,3243,3336,3586,3881,4165,4494,4807,5095,5277,5828,6139,6594,7308,7495,7790,8424,9388,10174,11136,11873,12666,13520,14237,15533,17164,18702,20672,22320,23685,24708,26915,28041,29332,31001,33246,31505,31505,35909,37470,36036,36580,37489,37853,37927,38198,35850,36038,30928,30689,31661,33044,31225,30927,30468,29693,29292,28548,27857,27238,26777,27427,27439,27369,27348,27421,27208,27809,28187,27693,27180,26750,25979,25709,25795,25238,24620,23899,23743,22093,21693,22167,22331,22350,22090,22126,21914,21770,22773,23113,23066,23256,22361,21221,20725,20226,20061,19221,19275,19087,18577,18561,18770,19421,19817,20659,21393,21926,22815,24676,23957,21839,20978,20641,19635,19635,19749,19300,19351,19533,20048,19589,19516,19778,19346,18346,18640,19070,18931,17637,17468,17407,17488,17040,16558,16060,15879,15635,15153,14759,14028
,Dadra and Nagar Haveli and Daman and Diu,India,380,376,394,412,418,416,412,404,404,416,421,417,441,444,442,446,458,464,457,445,447,425,389,401,428,416,406,393,381,364,348,328,306,296,284,262,292,294,285,301,302,297,294,295,294,280,279,255,255,229,233,221,218,208,229,220,198,205,190,182,163,152,133,120,109,113,100,101,105,99,101,108,105,101,100,102,102,85,79,71,66,59,54,43,39,44,47,51,50,51,50,48,51,49,49,39,34,34,30,32,36,37,32,26,23,20,18,21,20,20,22,19,21,29,31,39,39,39,40,37,35,33,27,23,22,16,16,16,14,12,13,14,16,19,21,20,18,17,17,19,19,16,15,10,9,9,7,5,6,8,11,8
,Delhi,India,10994,10770,10743,10705,10596,10356,10207,9897,10072,10348,10409,10667,10729,10346,10868,10946,10975,11366,11489,10823,10852,11068,11137,11271,11426,11594,11778,11626,11998,12520,13208,13550,14040,14793,14626,15870,16502,17692,18842,19870,20909,20543,22377,23773,25416,26907,28059,28812,28812,29787,30914,31721,32250,32064,32097,30941,31623,30836,31125,30867,29717,29228,27123,27524,26908,26738,26450,25234,24753,23080,22720,22186,22232,21955,22007,21701,20535,21490,21903,22605,22814,22884,23292,22570,23922,24117,25237,26001,26467,26744,25786,27873,29378,30952,32363,32719,34173,33308,36375,37369,38729,39722,40258,41857,39795,41385,42629,43116,44329,44456,39990,40128,42004,42458,43221,40936,39741,40212,37329,38501,38287,38734,38181,36578,35091,32885,32885,30302,29120,28252,26678,24693,22486,22310,20546,18753,18676,17373,16785,15247,14480,13261,12198,11419,10358,10148,9255,8735,8003,7909,7267,6911
,Goa,India,1673,1666,1657,1657,1707,1809,1884,1901,2072,2095,2282,2332,2642,2741,2878,3194,3491,3720,3753,3760,3825,3861,3838,3910,3809,3631,3383,3081,3149,3351,3445,3535,3646,3635,3649,3962,4379,4782,4896,4945,4754,4501,4499,4833,5030,5104,5323,5173,5173,5102,5375,5612,5730,5920,5781,5667,5513,5646,5822,5614,5424,5097,4917,4577,4865,4977,5009,4923,4839,4803,4720,4749,4716,4783,4658,4656,4465,4316,4188,4084,3950,3827,3648,3283,3201,3099,2991,2824,2692,2576,2517,2384,2402,2436,2405,2344,2244,2215,2209,2135,2065,2058,2036,1976,1884,1861,1813,1728,1715,1653,1585,1424,1383,1364,1343,1295,1261,1170,1141,1221,1281,1316,1313,1348,1327,1335,1335,1416,1418,1388,1384,1364,1297,1310,1277,1213,1187,1111,1066,1030,995,979,975,961,978,972,941,947,1000,1001,980,951
