Admin2,Province/State,Country/Region,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021
,Adygea Republic,Russia,471,468,430,441,434,445,438,453,487,495,527,531,514,528,532,560,545,538,555,553,542,555,567,539,551,551,552,544,544,582,581,604,611,615,609,605,585,552,547,520,509,494,504,476,434,424,428,437,447,458,465,475,478,500,504,525,552,579,589,613,615,625,646,655,670,679,678,655,646,666,655,617,570,554,552,534,552,523,515,508,501,497,495,491,488,485,479,479,478,473,491,475,472,480,500,486,487,488,488,494,495,493,496,499,495,498,498,496,490,493,491,498,508,508,512,510,515,520,534,548,558,556,569,586,596,614,629,645,661,677,688,696,710,720,736,749,764,781,793,814,834,861,886,916,949,978,1012,1041,1066,1082,1101,1120,1139,1149,1168,1163,1164,1178,1186,1185,1176,1185,1182,1188,1193,1201,1202,1205,1224,1231,1244,1260,1267,1285,1291,1324,1361,1371,1383,1400,1411,1429,1464,1502,1543,1563,1582,1598,1626,1686,1725,1741,1773,1797,1824,1861,1891,1913,1932,1956,1968,1972,1982,1980,1989,1982,1983,1978,1977,1976,2006,2013,1988,1931,1926,1944,1944,1934,1945,1948,1916,1924,1937,1930,1953,1954,1945,1923,1904,1883,1898,1908,1905,1894,1865,1828,1815,1810,1818,1823,1802,1796,1757,1755,1753,1759,1751,1738,1729,1727,1726,1725,1725,1715,1693,1668,1666,1645,1639,1632,1632,1621,1617,1606,1595,1576,1561,1552,1540,1525,1498,1464,1436,1421,1403,1392,1379,1367,1360,1355,1345,1318,1292,1269,1255
,Altai Krai,Russia,1098,1140,1188,1224,1213,1180,1209,1269,1246,1194,1167,1071,1100,1109,1133,1026,996,952,919,909,962,985,946,953,977,969,1025,1073,1112,1063,1051,1105,1090,1077,1142,1229,1279,1352,1495,1621,1739,1936,2137,2216,2344,2383,2468,2521,2614,2701,2660,2545,2375,2268,2011,2043,2077,1943,1877,1756,1850,1917,1942,2003,1961,1914,1843,1772,1718,1768,1803,1728,1645,1627,1585,1548,1601,1653,1552,1523,1494,1400,1336,1376,1400,1292,1251,1241,1169,1150,1164,1182,1153,1137,1117,1114,1090,1124,1164,1131,1165,1165,1143,1116,1146,1195,1171,1172,1162,1162,1102,1139,1184,1147,1065,1019,1041,1013,1068,1123,1104,1120,1145,1170,1158,1231,1293,1153,1163,1216,1221,1203,1290,1341,1267,1188,1110,1034,951,898,1018,1047,960,905,837,738,714,766,697,688,701,807,924,1025,1071,1177,1244,1325,1418,1516,1665,1797,1906,1985,2055,2099,2133,2208,2308,2341,2355,2363,2342,2283,2286,2309,2267,2211,2147,2070,2001,2005,2095,2034,1848,1620,1664,1644,1676,1672,1535,1429,1457,1457,1442,1434,1574,1712,1751,1842,1863,1805,1803,1865,1842,1801,1798,1799,1782,1792,1787,1811,1603,1439,1576,1626,1602,1667,1699,1676,1616,1631,1599,1641,1665,1659,1666,1703,1784,1839,1940,2016,2071,2171,2253,2323,2377,2457,2522,2534,2591,2625,2653,2671,2715,2775,2787,2791,2851,2917,2920,2943,2983,2974,2970,3032,3043,3035,3012,3054,3036,3020,3012,3087,3092,3071,3107,3106,3145,3124,3111,3108,3146,3176,3173,3137,2876,2873,2882,2940,2993,3078,3088,3068,3107
,Altai Republic,Russia,58,53,54,66,65,68,72,79,86,95,101,96,117,128,140,135,155,183,174,225,243,252,276,276,296,292,314,341,338,365,374,430,448,460,481,471,473,486,499,496,520,504,531,497,488,481,490,475,474,501,498,476,466,470,481,468,476,466,447,447,419,413,428,433,405,364,357,336,318,323,317,290,272,245,241,250,250,256,261,262,245,257,279,302,308,296,297,310,291,297,306,294,280,285,284,287,299,317,332,317,324,335,353,386,407,451,444,469,493,520,551,605,662,668,701,729,779,808,854,926,931,925,903,935,966,1014,1044,1043,1072,1083,1124,1167,1228,1290,1263,1327,1365,1355,1419,1476,1528,1573,1657,1695,1853,1922,2032,2109,2143,2182,2244,2259,2319,2429,2522,2573,2628,2688,2680,2643,2628,2612,2613,2558,2513,2485,2482,2487,2515,2275,2190,2157,2161,2142,2197,2292,2270,2282,2147,2053,1930,1891,1940,1638,1304,1200,1026,921,895,773,552,366,384,409,405,431,505,435,450,444,469,509,527,565,566,560,561,594,612,642,680,663,646,667,694,733,716,700,709,740,779,814,824,881,926,929,936,958,965,975,996,1005,983,963,973,987,968,973,965,957,962,1015,1018,1009,1015,1025,972,953,951,948,945,943,949,926,836,704,552,497,465,408,386,342,316,306,284,275,266,259,254,171,159,159,162,161,126,105,96,70,70,80,72,64,50,32,46
,Amur Oblast,Russia,356,353,363,367,382,403,445,491,530,534,543,564,618,653,685,685,682,694,732,761,813,852,862,886,910,896,911,940,969,910,896,910,883,893,917,936,923,922,904,905,915,947,971,964,963,939,910,896,904,904,856,846,788,759,750,780,780,747,735,732,719,701,713,723,697,665,641,569,561,574,562,529,489,435,423,405,402,404,373,383,382,354,331,347,362,283,284,288,278,291,317,331,332,334,350,360,371,405,435,432,389,390,398,405,429,425,416,418,390,392,395,420,418,429,418,401,420,416,440,453,429,422,416,410,430,451,459,425,426,432,436,439,460,476,490,498,499,488,477,519,553,565,588,605,648,711,735,774,748,786,814,839,884,983,1101,1203,1299,1420,1499,1579,1728,1866,1971,1988,2041,2100,2226,2331,2410,2469,2509,2544,2581,2612,2656,2706,2728,2736,2731,2703,2665,2652,2738,2718,2623,2468,2236,2037,1882,1765,1640,1533,1436,1346,1326,1329,1419,1422,1420,1433,1437,1443,1458,1467,1476,1481,1486,1491,1486,1482,1520,1521,1515,1498,1484,1535,1580,1617,1651,1683,1703,1729,1746,1761,1789,1807,1809,1810,1812,1811,1804,1804,1801,1802,1793,1779,1759,1741,1715,1685,1648,1607,1580,1560,1562,1567,1559,1544,1537,1530,1517,1503,1506,1503,1486,1468,1451,1444,1445,1453,1449,1443,1441,1437,1432,1425,1427,1431,1433,1427,1428,1423,1415,1408,1390,1369,1347,1319,1291,1267,1246,1221,1203,1183,1169
,Arkhangelsk Oblast,Russia,1457,1458,1658,1751,1833,1893,2006,2121,2178,2260,2362,2430,2528,2623,2716,2705,2720,2738,2735,2708,2749,2807,2726,2662,2660,2685,2712,2766,2851,2810,2698,2740,2718,2741,2840,2932,2954,2935,2879,2873,2480,2348,2473,2558,2558,2438,2287,2131,2198,2257,2174,1871,1712,1518,1440,1466,1521,1358,1313,1243,906,682,702,750,545,453,483,505,525,593,646,678,726,755,805,842,913,983,1035,1076,1111,1141,1172,1251,1303,1292,1322,1351,1385,1434,1515,1557,1564,1565,1570,1598,1655,1714,1792,1803,1811,1742,1780,1816,1912,2003,2051,2076,2115,2177,2234,2327,2424,2462,2507,2564,2614,2681,2796,2911,2986,3072,3165,3266,3378,3554,3729,3868,3997,4132,4264,4415,4658,4895,5041,5186,5334,5481,5634,5840,6041,6230,6417,6601,6775,6938,7195,7449,7631,7814,7984,8154,8327,8604,8846,9043,9218,9365,9508,9636,9817,9961,10090,10195,10295,10379,10455,10514,10604,10659,10693,10709,10693,10606,10747,10908,10869,10785,10658,10444,10210,10086,10258,10227,10179,10073,9938,9915,9907,9924,9834,9635,9403,9162,8958,8828,8841,8844,8846,8846,8844,8845,8848,8867,8867,8872,8868,8864,8840,8846,8875,8852,8816,8788,8741,8728,8596,8485,8361,8230,8322,8412,8468,8472,8482,8470,8437,8297,8174,8063,7967,7972,7955,7891,7787,7649,7508,7351,7315,7266,7218,7159,7103,7038,6995,6974,6937,6871,6761,6640,6488,6341,6206,6063,5910,5755,5607,5479,5443,5445,5425,5414,5376,5355,5319,5294,5290,5286,5297,5268,5238,5214,5184,5152,5079,4998,4886,4761,4649,4537,4449,4364,4293,4232,4152
,Astrakhan Oblast,Russia,930,904,933,958,986,986,1008,1021,1036,1040,1028,1046,1011,1031,1068,1030,1027,983,1019,1023,1054,1085,1057,1043,1058,1046,1054,1079,1096,1108,1129,1153,1167,1189,1224,1261,1289,1267,1256,1248,1238,1245,1255,1234,1175,1163,1161,1158,1173,1151,1085,1062,991,950,922,933,958,940,904,892,895,905,913,930,898,898,884,867,857,878,898,881,849,838,812,795,812,829,781,759,716,705,637,664,698,608,543,475,428,293,306,324,278,251,211,185,185,213,245,186,51,67,101,129,158,193,219,246,271,291,312,348,389,408,430,457,482,497,546,591,615,628,645,667,689,729,769,792,818,844,873,903,955,1005,1040,1080,1121,1156,1195,1259,1315,1368,1412,1465,1518,1573,1666,1753,1819,1886,1947,2008,2069,2161,2236,2294,2350,2404,2459,2514,2604,2671,2733,2786,2840,2886,2928,3010,3074,3133,3196,3255,3306,3353,3430,3495,3551,3602,3648,3690,3726,3790,3839,3875,3903,3921,3932,3949,4003,4049,4095,4141,4193,4245,4307,4404,4490,4574,4655,4726,4796,4866,4972,5067,5155,5240,5324,5403,5491,5609,5719,5809,5893,5972,6067,6153,6238,6334,6420,6502,6582,6657,6732,6829,6916,7002,7082,7168,7261,7350,7459,7568,7671,7768,7863,7956,8058,8166,8260,8343,8419,8493,8568,8652,8745,8837,8910,8977,9033,9083,9119,9191,9267,9291,9298,9307,9265,9171,9150,9148,9054,8925,8778,8637,8480,8308,8192,8033,7883,7708,7552,7363,7211,7045,6848,6634,6434,6227,6008,5805,5612,5408,5190,4950,4705
,Bashkortostan Republic,Russia,2187,2253,2291,2341,2423,2492,2473,2546,2590,2536,2514,2571,2561,2615,2655,2653,2582,2530,2507,2474,2508,2556,2511,2476,2460,2370,2359,2396,2427,2348,2283,2288,2278,2263,2271,2286,2221,2117,2000,1888,1894,1908,1933,1819,1803,1795,1602,1602,1657,1690,1668,1642,1667,1698,1690,1720,1725,1655,1635,1581,1550,1578,1592,1619,1563,1582,1580,1581,1593,1628,1662,1678,1607,1386,1335,1183,1045,937,850,821,822,828,831,855,887,893,825,802,798,808,840,872,890,909,934,898,839,870,888,799,732,548,490,421,443,365,324,291,276,244,193,212,242,204,158,98,28,66,103,140,174,211,246,281,319,362,405,442,480,520,557,594,635,678,734,794,859,924,976,1013,1072,1071,999,905,823,765,827,906,939,963,980,957,960,933,1016,902,799,872,769,598,659,705,718,776,859,928,1010,1119,1225,1311,1396,1463,1540,1580,1691,1817,1880,1889,1944,1982,2043,2155,2273,2314,2324,2392,2459,2490,2616,2754,2779,2764,2808,2851,2894,3018,3159,3218,3146,3207,3294,3298,3430,3581,3608,3685,3715,3773,3668,3762,3892,3992,4005,3964,3936,4071,4215,4357,4480,4633,4755,4902,5011,5101,5178,5057,5073,5130,5219,5174,5215,5331,5325,5329,5212,5336,5400,5515,5673,5642,5636,5641,5668,5662,5722,5783,5784,5791,5810,5815,5828,5885,5990,5966,5960,5959,5980,5883,5752,5702,5601,5493,5474,5381,5334,5405,5524,5562,5664,5568,5520,5462,5441,5435,5529,5542,5490,5398,5339,5355,5432,5516,5517,5422,5345
,Belgorod Oblast,Russia,1458,1452,1444,1451,1437,1418,1476,1530,1493,1421,1226,1139,1194,1245,1300,1214,1159,1124,1113,1104,1160,1226,1183,975,1031,1008,1022,1078,1128,1029,905,932,858,765,798,833,731,687,601,560,523,538,551,589,542,470,426,370,394,422,412,359,304,261,213,217,247,276,307,335,358,386,428,469,501,541,585,627,663,709,759,799,771,788,791,786,817,859,829,818,828,807,797,810,838,809,789,726,695,655,677,722,670,620,577,559,559,587,625,638,609,611,592,565,523,559,564,540,534,575,630,682,726,724,722,687,741,711,771,824,800,828,840,867,848,889,950,940,943,905,906,914,972,1042,1091,1149,1209,1286,1272,1317,1317,1330,1322,1290,1291,1276,1349,1440,1379,1391,1328,1311,1316,1378,1476,1484,1529,1609,1601,1471,1557,1694,1722,1679,1541,1558,1544,1690,1839,1808,1801,1799,1742,1648,1678,1784,1704,1543,1585,1459,1378,1514,1672,1693,1587,1626,1636,1685,1832,2003,1938,1949,1847,1750,1721,1819,1905,1915,1933,1819,1754,1527,1610,1702,1626,1670,1570,1505,1444,1483,1588,1622,1613,1586,1602,1774,1872,1980,2013,2102,2170,2272,2308,2413,2535,2361,2276,2196,2143,2095,2227,2388,2133,2071,2006,1993,1925,2042,2199,2133,2105,2085,2099,2148,2237,2325,2289,2177,2220,2237,2191,2308,2447,2480,2455,2387,2410,2424,2504,2629,2557,2543,2426,2380,2274,2345,2248,2304,2394,2375,2232,2109,2175,2241,2233,2188,2190,2056,1949,2013,2100,2184,2153,1984,1934
,Bryansk Oblast,Russia,1435,1432,1429,1424,1423,1420,1416,1406,1400,1393,1384,1362,1369,1370,1378,1390,1399,1409,1420,1432,1482,1483,1525,1551,1564,1615,1620,1640,1698,1751,1748,1750,1780,1756,1729,1759,1789,1759,1722,1679,1653,1609,1651,1670,1661,1643,1629,1606,1587,1583,1565,1521,1455,1444,1438,1432,1436,1447,1447,1442,1416,1366,1321,1304,1331,1325,1321,1313,1314,1322,1345,1372,1379,1394,1408,1423,1429,1445,1461,1448,1435,1443,1451,1400,1373,1398,1395,1396,1401,1416,1428,1458,1482,1475,1486,1496,1507,1505,1498,1507,1508,1506,1509,1525,1544,1572,1608,1634,1629,1608,1602,1607,1646,1688,1693,1710,1726,1748,1747,1745,1760,1759,1757,1772,1814,1836,1871,1931,1960,1989,2011,2030,2037,2079,2141,2206,2248,2290,2331,2379,2466,2599,2675,2737,2770,2783,2792,2875,2993,3076,3166,3262,3318,3351,3406,3480,3504,3477,3525,3570,3591,3718,3834,3919,3950,3893,3884,3852,3897,4018,3996,3830,3629,3326,3133,2976,2950,2894,2868,2825,2761,2636,2554,2514,2502,2427,2304,2267,2148,2061,2123,2167,2147,2131,2134,2148,2120,2146,2113,1938,1824,1868,1902,2046,2197,2364,2417,2302,2259,2054,1905,1900,1812,1723,1561,1680,1867,2019,2081,2151,2209,2276,2339,2266,2239,2272,2206,2195,2095,2059,1873,1730,1558,1423,1270,1057,871,875,930,976,997,1005,995,972,1022,1075,1134,1149,1161,1173,1205,1205,1235,1287,1211,1199,1139,1070,1004,955,916,870,827,782,737,692,660,638,628,646,630,623,597,591,632,612,611,606,601,583,566,579,584,562,540
,Buryatia Republic,Russia,685,679,660,648,672,696,716,755,753,798,833,864,852,873,885,878,885,924,867,877,884,898,856,851,888,894,908,910,902,904,910,913,901,887,882,895,864,862,862,849,843,840,847,804,778,773,781,795,815,840,834,827,798,793,801,810,809,788,768,729,726,720,741,759,732,722,714,689,664,690,708,683,625,584,560,551,567,586,571,559,553,551,553,592,620,618,632,641,669,688,717,770,785,776,780,801,829,852,885,883,864,850,841,844,851,867,837,813,812,844,867,917,977,980,977,902,945,937,965,1003,995,974,944,972,994,1046,1101,1118,1141,1142,1136,1150,1225,1293,1262,1306,1333,1367,1366,1390,1461,1495,1556,1688,1725,1791,1988,2064,2004,2081,1929,1952,1951,2129,2146,1963,2013,2060,1859,1946,2021,2075,2135,2159,2095,2042,1974,1939,1980,1943,1859,1743,1624,1503,1564,1639,1692,1737,1765,1807,1859,1911,2008,2052,2024,1866,1707,1642,1591,1672,1754,1692,1574,1472,1401,1361,1486,1576,1591,1608,1660,1701,1763,1886,1982,2068,2133,2172,2100,2067,2035,2024,2013,1999,1981,1984,2041,2053,2065,2014,1986,1958,1969,1978,1986,2001,1952,1921,1909,1899,1902,1951,1994,1942,1925,1907,1882,1851,1886,1907,1854,1819,1773,1751,1748,1797,1817,1777,1739,1720,1696,1708,1758,1786,1757,1722,1706,1687,1708,1731,1750,1679,1615,1572,1518,1494,1492,1532,1571,1596,1544,1503,1486,1526,1535,1463,1412,1374,1317,1320,1385,1457,1429,1306,1234
