Admin2,Province/State,Country/Region,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021
,Andalusia,Spain,11113,11131,11172,11199,11208,11209,11116,537,537,564,580,593,598,604,633,651,668,684,701,708,710,716,725,729,739,748,752,755,760,764,769,767,778,787,795,798,820,860,887,930,948,983,1004,1040,1024,1101,1101,1101,1155,1171,1198,1232,1280,1280,1280,1404,1434,1467,1557,1625,1625,1625,1858,1935,2052,2108,2221,2221,2221,2500,2589,2698,2818,3001,3001,3001,3532,3731,3884,4199,4509,4509,4509,5359,5644,5945,6385,6821,6821,6821,8345,8792,9381,9980,10694,10694,10694,12513,13034,13871,14682,15583,15583,15583,17644,18596,19474,20493,21500,21500,21500,23875,24907,25688,26647,27881,27881,27881,30373,31393,32305,33662,35279,35279,35279,38239,39802,41340,41340,44200,44200,44200,47422,47422,49923,51250,52802,52802,52802,54309,55910,57948,59920,61970,61970,61970,66692,66692,69049,71083,73924,73924,73924,80882,83377,86740,89690,93357,93357,93357,101722,104571,106628,111900,117050,117050,117050,132585,136543,139255,143036,147696,147696,147696,159801,159801,165985,170873,175918,175918,175918,186615,188466,191264,194531,198241,198241,198241,203975,207798,208965,212476,214530,214530,214530,218724,219468,220965,222475,223816,223816,223816,227203,227203,227955,228473,229633,229633,229633,232757,233309,234387,235817,236862,236862,236862,239486,240018,241081,242134,242134,242134,242134,244730,245463,246868,248577,248577,248577,248577,251947,253835,253835,258936,260747,260747,260747,270415,272896,278402,284134,290820,290820,290820,307452,311144,317107,324600,332401,332401,332401,351624,356350,362953,366555,374171,374171,374171,394407,398116,403100,409761
,Aragon,Spain,4677,4708,4740,4760,4769,4788,4774,1002,1002,1058,1073,1082,1093,1097,1113,1133,1136,1159,1172,1183,1187,1194,1208,1214,1235,1238,1242,1244,1247,1252,1257,1197,1215,1248,1281,1328,1377,1429,1544,1571,1620,1635,1646,1669,1696,1728,1728,1728,1810,1834,1893,1952,1945,1945,1945,2174,2258,2424,2697,2952,2952,2952,3843,4033,4358,4780,5085,5085,5085,6323,6690,7123,7480,7998,7998,7998,12740,13128,13785,14161,14161,14161,14161,13625,14086,14655,15081,15589,15589,15589,17082,17503,18035,18383,18739,18739,18739,19723,19884,20209,20505,20694,20694,20694,20888,21773,21997,22237,22509,22509,22509,23426,23641,23930,24304,24681,24681,24681,25963,26188,26483,26764,27192,27192,27192,28320,28635,28873,29142,29590,29590,29590,30717,30717,31277,31521,31888,31888,31888,32210,32496,32905,33357,34025,34025,34025,35419,35772,36031,36622,37274,37274,37274,39022,39753,40164,41745,42945,42945,42945,46132,47158,48361,49526,50755,50755,50755,53781,54413,55418,56161,57101,57101,57101,59203,59203,60640,61338,61959,61959,61959,63003,63357,63787,64308,64704,64704,64704,65375,65610,65925,66220,66539,66539,66539,67289,67507,67866,68154,68402,68402,68402,68921,68921,69133,69116,69416,69416,69416,70003,70171,70426,70636,70805,70805,70805,71264,71435,71631,71768,71768,71768,71768,72481,72735,73156,73617,73617,73617,73617,74551,74867,74867,75275,76241,76241,76241,77654,78083,78765,79663,80491,80491,80491,82497,83016,83839,84611,85367,85367,85367,87375,87918,88764,89650,90272,90272,90272,91108,91526,92725,93327
,Asturias,Spain,2070,2070,2067,2069,2070,2089,2092,1026,1026,1027,1028,1048,1051,1052,1052,1052,1051,1049,1050,1050,1052,1053,1054,1054,1058,1060,1060,1060,1061,1059,1058,1039,1039,1039,1039,1039,1039,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1039,1039,1040,1040,1040,1040,1045,1045,1045,1045,1045,1045,1048,1050,1051,1055,1057,1057,1057,1068,1071,1083,1098,1119,1119,1119,1155,1161,1175,1209,1238,1238,1238,1304,1318,1336,1367,1388,1388,1388,1464,1483,1513,1536,1576,1576,1576,1650,1702,1751,1787,1823,1823,1823,1924,1956,1986,2055,2100,2100,2100,2298,2313,2357,2380,2427,2427,2427,2641,2692,2764,2843,2936,2936,2936,3223,3290,3367,3469,3558,3558,3558,3861,3861,3992,4100,4176,4176,4176,4504,4589,4707,4823,4936,4936,4936,5567,5705,5888,6075,6273,6273,6273,7009,7220,7402,7663,7978,7978,7978,8895,9131,9462,9856,10295,10295,10295,11174,11406,11686,12093,12660,12660,12660,13938,13938,14711,15291,15945,15945,15945,17341,17612,18051,18483,18774,18774,18774,19650,19855,20233,20468,20729,20729,20729,21270,21401,21623,21829,22039,22039,22039,22476,22476,22661,22765,22885,22885,22885,23315,23432,23543,23624,23707,23707,23707,23937,24005,24096,24189,24189,24189,24189,24441,24510,24640,24765,24765,24765,24765,25132,25260,25260,25608,25757,25757,25757,26289,26546,26866,27142,27454,27454,27454,28332,28603,28966,29398,29894,29894,29894,31245,31676,32269,32821,33398,33398,33398,34650,35119,35561,35943
,Baleares,Spain,1786,1797,1803,1815,1817,1819,1824,369,369,382,387,395,399,400,408,415,422,368,376,383,391,393,395,400,404,410,412,415,421,423,425,412,417,422,430,431,432,434,437,444,448,449,452,459,463,471,471,471,481,482,483,489,492,492,492,513,514,514,520,533,533,533,559,564,569,574,586,586,586,619,644,668,707,788,788,788,855,982,1066,1177,1294,1294,1294,1384,1743,2022,2286,2420,2420,2420,2690,2927,3146,3340,3581,3581,3581,3933,4841,5175,5701,5882,5882,5882,6397,6566,6892,7186,7415,7415,7415,7723,8027,8352,8626,8938,8938,8938,9210,9481,9651,9935,10256,10256,10256,10826,11037,11171,11335,11489,11489,11489,11797,11797,12028,12173,12348,12348,12348,12641,12731,12874,13013,13126,13126,13126,13500,13605,13714,13839,13962,13962,13962,14335,14451,14611,14786,14991,14991,14991,15542,15716,15962,16190,16466,16466,16466,17022,17249,17527,17788,18037,18037,18037,18706,18706,19135,19350,19527,19527,19527,20064,20274,20478,20650,20833,20833,20833,21262,21406,21578,21753,21988,21988,21988,22499,22668,22857,23065,23330,23330,23330,23983,23983,24390,24615,24928,24928,24928,25911,26210,26598,26998,27453,27453,27453,28838,29336,29812,30335,30335,30335,30335,32035,32435,32976,33567,33567,33567,33567,35425,35921,35921,37017,37571,37571,37571,39252,39786,40512,41196,41906,41906,41906,43482,44049,44650,45288,45907,45907,45907,47528,47971,48489,48999,49465,49465,49465,50367,50570,50885,51193
,C. Valenciana,Spain,9592,9571,9604,9632,9661,9680,9725,-213,-213,-142,-113,-103,-101,-74,-64,-48,-37,-17,-2,12,30,40,59,79,87,91,102,116,119,129,139,51,75,78,85,93,99,107,110,129,135,139,177,186,214,228,228,228,264,283,299,316,338,338,338,392,429,452,490,531,531,531,700,779,836,922,1039,1039,1039,1370,1483,1595,1828,1912,1912,1912,2433,2567,2855,3032,3501,3501,3501,4003,4254,4522,4880,5365,5365,5365,6079,6467,6755,7231,7684,7684,7684,8556,9324,9324,10573,11263,11263,11263,12661,13563,14018,14551,15262,15262,15262,16387,17049,17782,18436,19381,19381,19381,20212,21112,21649,22327,22859,22859,22859,23729,24616,25260,25958,26559,26559,26559,27614,27614,29116,29671,30256,30256,30256,31382,31965,32334,33034,33606,33606,33606,34198,34464,35209,35979,36874,36874,36874,37993,39309,39897,40950,42142,42142,42142,44178,45234,46825,48343,49849,49849,49849,51775,53723,56015,57191,58258,58258,58258,61274,61274,65483,67606,69871,69871,69871,72031,73854,75709,77900,79774,79774,79774,82128,84262,85664,87145,88480,88480,88480,89940,91714,93109,94808,96172,96172,96172,98274,98274,99770,101435,102868,102868,102868,104984,107794,109831,111923,114097,114097,114097,116785,119181,121688,124160,124160,124160,124160,126889,130432,133086,135886,135886,135886,135886,138943,142781,142781,146515,151023,151023,151023,160916,165533,170288,176440,183892,183892,183892,196872,204751,214432,222773,231294,231294,231294,250580,260040,269219,275858,283786,283786,283786,302223,310138,315279,320032
,Canarias,Spain,2139,2145,2152,2157,2164,2165,2167,636,636,639,645,655,657,659,663,669,673,674,676,681,682,684,684,683,686,689,690,690,694,694,710,703,703,715,715,716,722,724,727,728,728,728,728,733,732,737,737,737,742,744,745,752,751,751,751,758,762,768,782,784,784,784,852,854,865,871,879,879,879,909,911,918,924,932,932,932,988,996,1012,1044,1099,1099,1099,1254,1340,1406,1507,1622,1622,1622,1987,2078,2222,2411,2584,2584,2584,3286,3520,3810,4143,4417,4417,4417,5357,5591,5854,6212,6586,6586,6586,7462,7656,7876,8135,8407,8407,8407,9128,9232,9419,9566,9733,9733,9733,10276,10440,10595,10732,11005,11005,11005,11474,11474,11716,11907,12107,12107,12107,12497,12571,12687,12811,12997,12997,12997,13389,13451,13516,13638,13784,13784,13784,14161,14286,14437,14595,14743,14743,14743,15075,15096,15186,15334,15444,15444,15444,15789,15846,15927,16084,16255,16255,16255,16709,16709,16927,17044,17171,17171,17171,17511,17601,17749,17895,18010,18010,18010,18344,18461,18610,18742,18854,18854,18854,19194,19304,19492,19708,19870,19870,19870,19870,19870,20603,20811,21048,21048,21048,21675,21813,22129,22363,22616,22616,22616,23202,23357,23597,23597,23597,23597,23597,24372,24620,24908,24907,24907,24907,24907,25922,26145,26145,26610,26843,26843,26843,27638,27882,28251,28604,28969,28969,28969,29686,29989,30282,30608,30940,30940,30940,31735,31961,32297,32624,32953,32953,32953,33661,33871,34102,34353
,Cantabria,Spain,2065,2068,2070,2075,2078,2080,2081,-206,-206,-192,-191,-191,-186,-186,-175,-173,-173,-169,-169,-168,-166,-165,-165,-162,-162,-157,-155,-155,-153,-151,-148,-161,-161,-159,-159,-159,-152,-152,-152,-152,-141,-141,-141,-140,-139,-139,-139,-139,-135,-135,-134,-134,-134,-134,-134,-129,-128,-125,-123,-123,-123,-123,-101,-99,-98,-94,-85,-85,-85,-68,-57,-56,-49,-35,-35,-35,28,63,100,119,149,149,149,242,253,317,362,423,423,423,612,631,684,732,732,732,732,1010,1061,1143,1232,1324,1324,1324,1629,1691,1802,1904,2049,2049,2049,2343,2422,2535,2707,2858,2858,2858,3206,3284,3368,3490,3540,3540,3540,3796,3847,3914,3980,4048,4048,4048,4179,4179,4284,4328,4366,4366,4366,4521,4558,4600,4637,4668,4668,4668,4838,4880,4951,5009,5092,5092,5092,5390,5482,5639,5851,5965,5965,5965,6484,6614,6784,6981,7160,7160,7160,7664,7880,8109,8260,8567,8567,8567,9199,9199,9668,9925,10147,10147,10147,10669,10904,11172,11405,11565,11565,11565,11964,12097,12224,12341,12436,12436,12436,12732,12833,13026,13144,13292,13292,13292,13603,13603,13759,13800,13905,13905,13905,14111,14175,14255,14327,14399,14399,14399,14552,14614,14673,14746,14746,14746,14746,14999,15057,15168,15268,15268,15268,15268,15645,15789,15789,16076,16216,16216,16216,16599,16807,16934,17114,17246,17246,17246,17699,17816,18020,18225,18404,18404,18404,18957,19127,19188,19385,19446,19446,19446,19830,19972,20116,20229
,Castilla - La Mancha,Spain,13777,13826,13870,13901,13921,13949,14121,7655,7655,7731,7785,7847,7897,7922,7973,8018,8056,8094,8135,8168,8206,8272,8303,8365,8403,8439,8466,8474,8491,8508,8557,8480,8526,8551,8573,8573,8573,8609,8608,8660,8678,8703,8740,8742,8769,8791,8791,8791,8854,8871,8886,8909,8922,8922,8922,8970,8971,8976,8989,9005,9005,9005,9055,9059,9077,9102,9115,9115,9115,9187,9211,9227,9270,9319,9319,9319,9417,9527,9527,9598,9679,9679,9679,9839,10018,10153,10278,10446,10446,10446,10784,10967,11185,11398,11624,11624,11624,12226,12548,12909,13253,13594,13594,13594,14375,14722,15226,15752,16297,16297,16297,17377,17915,18363,18989,19686,19686,19686,21828,22810,23785,24502,25378,25378,25378,26917,27695,28563,29583,30451,30451,30451,32000,32000,33602,34126,35029,35029,35029,36000,36966,37512,38332,38938,38938,38938,39955,40214,41111,41818,42622,42622,42622,44119,44765,45633,46544,47617,47617,47617,49566,50701,51798,52957,54225,54225,54225,56292,57406,58784,59980,60973,60973,60973,62687,62687,64690,65690,66519,66519,66519,67900,68759,69590,70242,70877,70877,70877,71682,72251,73018,74010,74782,74782,74782,75817,76321,76701,77305,77739,77739,77739,78596,78596,79188,79471,80050,80050,80050,80964,81569,82146,82790,83469,83469,83469,84661,85160,85815,86564,86564,86564,86564,87737,88381,89135,90195,90195,90195,90195,92527,93602,93602,95469,97147,97147,97147,100091,101627,103399,105787,108624,108624,108624,114793,116939,118976,121714,123516,123516,123516,129090,131008,133437,135602,137525,137525,137525,141805,143225,144710,146094
,Castilla y Leon,Spain,16589,16626,16667,16713,16776,16828,16642,7953,7953,8044,8109,8165,8223,8267,8285,8315,8365,8398,8460,8517,8537,8549,8578,8610,8652,8680,8699,8709,8721,8763,8790,7975,7993,8006,8022,8032,8067,8086,8108,8135,8135,8165,8185,8227,8247,8250,8250,8250,8267,8269,8274,8275,8279,8279,8279,8282,8317,8327,8346,8361,8361,8361,8396,8435,8452,8475,8505,8505,8505,8542,8599,8628,8695,8796,8796,8796,8969,9128,9223,9406,9614,9614,9614,9878,10476,10649,10871,11150,11150,11150,11608,12196,12488,12874,13290,13290,13290,13923,14489,14945,15436,15892,15892,15892,17251,17691,18131,18478,18959,18959,18959,20408,20985,21333,21920,22488,22488,22488,24568,25204,25487,26356,27225,27225,27225,29355,30062,30692,31581,32643,32643,32643,34723,34723,36080,36884,37846,37846,37846,39779,40418,41094,41840,42829,42829,42829,45541,45952,46815,47963,48664,48664,48664,52109,53062,54467,55844,57827,57827,57827,62188,63676,64837,66727,68721,68721,68721,73549,74375,76840,78145,80317,80317,80317,85060,85060,88390,90436,91999,91999,91999,95939,97069,98328,100173,101540,101540,101540,104116,104620,105247,105999,106749,106749,106749,108360,108659,109130,109716,110070,110070,110070,111300,111300,111680,112087,112701,112701,112701,113523,113876,114368,114862,115265,115265,115265,115923,116189,116515,116833,116833,116833,116833,117425,117775,118272,118814,118814,118814,118814,120356,121543,121543,123566,124822,124822,124822,128052,128986,131168,133484,135951,135951,135951,142221,144492,147466,150425,153288,153288,153288,159828,162277,164978,167654,169808,169808,169808,174405,175878,177496,179004
,Catalonia,Spain,49844,49867,49867,50380,50451,50447,51745,25783,25783,26640,26912,27213,27223,27229,27245,27322,27373,27392,27409,27419,27425,27442,27508,27633,27803,27916,28030,28107,28154,28240,28550,28585,28661,28776,28845,28885,28978,29058,29202,29358,29483,29545,29621,29765,30012,30181,30181,30181,30920,31065,31164,31429,32010,32010,32010,33207,33549,33971,34689,35336,35336,35336,37512,38025,38434,39931,41036,41036,41036,43730,44447,45254,46368,47435,47435,47435,48678,51173,51944,53046,54063,54063,54063,56663,57106,58000,58978,60070,60070,60070,62789,63208,64218,65309,66535,66535,66535,70104,70887,72141,73485,74867,74867,74867,78073,78715,80270,81608,83023,83023,83023,86261,87001,87863,89078,90337,90337,90337,91410,91410,94244,95545,96901,96901,96901,100019,100689,101725,102798,103437,103437,103437,106614,106614,108074,108366,110410,110410,110410,115959,116806,118374,120086,122276,122276,122276,128465,129683,131181,133347,136096,136096,136096,144744,147430,151617,156003,159872,159872,159872,175528,179964,185030,190472,195806,195806,195806,205365,210919,214702,219886,224160,224160,224160,233743,233743,239527,240882,244596,244596,244596,250352,252380,254438,256529,258650,258650,258650,262107,263195,264707,266072,267463,267463,267463,270408,271697,272975,274486,275812,275812,275812,278231,278231,280020,281378,283103,283103,283103,286670,288432,290262,292202,294461,294461,294461,298968,301096,303513,306182,306182,306182,306182,311791,314705,318302,321798,321798,321798,321798,325935,332928,332928,345406,351564,351564,351564,365486,371232,378217,384328,390943,390943,390943,403903,409008,414829,420720,426432,426432,426432,437790,442289,446910,451688,456621,456621,456621,464978,469927,476503,482359
