Admin2,Province/State,Country/Region,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020
,Blekinge,Sweden,259,269,274,292,300,304,312,336,350,362,371,373,381,393,393,393,393,404,406,413,418,424,424,424,432,432,434,435,438,438,438,446,448,451,454,456,456,456,457,459,461,462,464,464,464,465,465,465,466,466,466,466,468,469,473,474,477,477,477,479,480,489,499,499,499,499,514,521,531,535,550,550,550,559,560,560,571,574,574,574,580,580,582,581,584,584,584,593,593,594,594,594,594,594,595,595,598,598,599,599,599,599,600,603,604,607,607,607,607,616,635,648,661,661,661,661,693,695,711,730,730,730,730,765,778,780,805,805,805,805,825,831,832,840,840,840,840,855,855,874,884,884,884,884,927,952,963,981,981,981,981,1059,1063,1102,1135,1135,1135,1135,1228,1228,1286,1326,1326,1326,1326,1454,1458,1514,1632,1632,1632,1632,1741,1743,1817,1878,1878,1878,1878,2056,2141,2265,2306,2306,2306,2306,2516,2606
,Dalarna,Sweden,1130,1150,1167,1168,1182,1195,1213,1221,1224,1234,1244,1247,1252,1257,1257,1257,1257,1301,1310,1338,1361,1398,1398,1398,1466,1469,1496,1524,1582,1582,1582,1644,1647,1658,1676,1688,1688,1688,1699,1717,1721,1725,1732,1732,1732,1750,1751,1763,1762,1765,1765,1765,1773,1774,1777,1780,1784,1784,1784,1800,1799,1807,1821,1831,1831,1831,1849,1846,1855,1859,1867,1867,1867,1882,1887,1895,1900,1905,1905,1905,1924,1929,1932,1942,1949,1949,1949,1975,1979,1992,2005,2016,2016,2016,2031,2032,2043,2054,2078,2078,2078,2078,2122,2148,2173,2191,2191,2191,2191,2277,2289,2312,2315,2315,2315,2315,2362,2366,2379,2403,2403,2403,2403,2460,2466,2491,2512,2512,2512,2512,2570,2569,2612,2637,2637,2637,2637,2701,2746,2774,2809,2809,2809,2809,2920,2982,3059,3121,3121,3121,3121,3368,3459,3565,3670,3670,3670,3670,3999,4078,4209,4368,4368,4368,4368,4702,4759,4868,5030,5030,5030,5030,5405,5470,5629,5804,5804,5804,5804,6153,6243,6418,6539,6539,6539,6539,6946,7134
,Gavleborg,Sweden,1324,1358,1391,1403,1427,1469,1519,1578,1619,1645,1676,1716,1775,1812,1812,1812,1812,1885,1942,1984,2022,2047,2047,2047,2095,2133,2336,2398,2426,2426,2426,2556,2586,2587,2651,2675,2675,2675,2818,2837,2842,2862,2870,2870,2870,2901,2906,2924,2928,2949,2949,2949,2959,2960,2965,2974,2975,2975,2975,2986,2986,2989,2997,3000,3000,3000,3019,3018,3027,3041,3050,3050,3050,3063,3068,3070,3076,3084,3084,3084,3098,3098,3098,3017,3029,3029,3029,3036,3037,3037,3047,3055,3055,3055,3060,3066,3074,3084,3087,3087,3087,3087,3103,3113,3117,3118,3118,3118,3118,3135,3148,3159,3172,3172,3172,3172,3209,3211,3228,3247,3247,3247,3247,3281,3282,3313,3327,3327,3327,3327,3358,3376,3382,3394,3394,3394,3394,3420,3441,3451,3475,3475,3475,3475,3525,3579,3606,3660,3660,3660,3660,3769,3892,3954,4063,4063,4063,4063,4254,4350,4525,4594,4594,4594,4594,5025,5146,5231,5546,5546,5546,5546,6051,6258,6487,6734,6734,6734,6734,7243,7435,7721,8011,8011,8011,8011,8645,9002
,Gotland,Sweden,82,83,84,84,85,91,93,100,103,103,103,108,112,116,116,116,116,125,131,137,140,140,140,140,147,153,156,156,156,156,156,159,168,168,171,175,175,175,176,180,183,183,190,190,190,200,200,206,211,213,213,213,224,224,224,232,242,242,242,244,245,251,262,264,264,264,279,281,282,284,291,291,291,301,302,304,305,305,305,305,308,309,309,309,311,311,311,312,312,312,312,312,312,312,313,313,313,313,315,315,315,315,317,317,318,318,318,318,318,321,321,321,321,321,321,321,324,324,325,331,331,331,331,341,341,344,345,345,345,345,360,360,362,362,362,362,362,369,372,372,378,378,378,378,402,403,409,411,411,411,411,481,503,508,537,537,537,537,685,732,744,770,770,770,770,906,935,958,983,983,983,983,1075,1089,1156,1186,1186,1186,1186,1333,1393,1428,1449,1449,1449,1449,1606,1612
,Halland,Sweden,814,830,856,863,880,903,934,960,989,1000,1006,1024,1069,1092,1092,1092,1092,1127,1138,1205,1237,1260,1260,1260,1371,1412,1464,1466,1502,1502,1502,1520,1520,1545,1552,1564,1564,1564,1573,1576,1580,1588,1593,1593,1593,1605,1614,1620,1624,1628,1628,1628,1635,1642,1648,1680,1678,1678,1678,1695,1710,1715,1748,1764,1764,1764,1793,1814,1846,1858,1870,1870,1870,1884,1896,1935,1937,1939,1939,1939,1980,2000,2022,2025,2048,2048,2048,2056,2071,2103,2110,2135,2135,2135,2151,2166,2170,2199,2208,2208,2208,2208,2240,2248,2263,2273,2273,2273,2273,2344,2346,2365,2396,2396,2396,2396,2464,2489,2519,2549,2549,2549,2549,2601,2640,2670,2696,2696,2696,2696,2760,2776,2819,2825,2825,2825,2825,2891,2927,2953,2995,2995,2995,2995,3129,3228,3262,3346,3346,3346,3346,3638,3788,3845,3963,3963,3963,3963,4427,4469,4502,4752,4752,4752,4752,5078,5133,5249,5428,5428,5428,5428,5765,5898,6121,6190,6190,6190,6190,6832,7047,7089,7261,7261,7261,7261,7659,7770
,Jamtland Harjedalen,Sweden,741,759,769,775,783,805,813,823,829,845,845,880,901,908,908,908,908,933,939,949,960,960,960,960,984,985,984,985,1005,1005,1005,1009,1010,1014,1017,1026,1026,1026,1032,1037,1039,1043,1041,1041,1041,1047,1050,1053,1054,1054,1054,1054,1065,1066,1070,1075,1075,1075,1075,1075,1088,1090,1093,1094,1094,1094,1093,1093,1098,1100,1100,1100,1100,1111,1111,1109,1109,1111,1111,1111,1111,1113,1113,1113,1114,1114,1114,1124,1125,1126,1126,1141,1141,1141,1146,1147,1147,1154,1154,1154,1154,1154,1155,1156,1157,1158,1158,1158,1158,1174,1179,1181,1193,1193,1193,1193,1201,1225,1228,1236,1236,1236,1236,1269,1301,1309,1314,1314,1314,1314,1417,1435,1443,1448,1448,1448,1448,1491,1513,1525,1537,1537,1537,1537,1560,1562,1572,1586,1586,1586,1586,1620,1636,1649,1672,1672,1672,1672,1773,1805,1864,1926,1926,1926,1926,2030,2121,2140,2275,2275,2275,2275,2495,2519,2603,2671,2671,2671,2671,2826,2859,2926,2985,2985,2985,2985,3142,3171
,Jonkoping,Sweden,1537,1575,1606,1605,1644,1708,1859,1985,2116,2139,2241,2273,2418,2616,2616,2616,2616,3014,3025,3192,3367,3518,3518,3518,3794,3808,3866,3933,4032,4032,4032,4130,4132,4176,4220,4246,4246,4246,4303,4305,4328,4358,4366,4366,4366,4406,4408,4426,4444,4451,4451,4451,4465,4467,4481,4492,4506,4506,4506,4527,4530,4551,4566,4580,4580,4580,4608,4608,4627,4640,4651,4651,4651,4676,4678,4696,4706,4720,4720,4720,4737,4737,4742,4747,4752,4752,4752,4768,4770,4776,4788,4797,4797,4797,4847,4850,4865,4890,4917,4917,4917,4917,4979,4984,5018,5043,5043,5043,5043,5085,5112,5137,5142,5142,5142,5142,5179,5192,5210,5243,5243,5243,5243,5295,5321,5349,5386,5386,5386,5386,5490,5519,5604,5628,5628,5628,5628,5771,5803,5863,5913,5913,5913,5913,6044,6234,6360,6451,6451,6451,6451,6933,7097,7271,7515,7515,7515,7515,8069,8369,8515,8874,8874,8874,8874,9310,9536,9824,10118,10118,10118,10118,10582,10830,10963,11181,11181,11181,11181,11619,11774,12012,12175,12175,12175,12175,12661,12923
,Kalmar,Sweden,351,366,367,369,380,399,406,416,428,435,438,453,462,472,472,472,472,495,516,519,532,544,544,544,563,572,590,617,634,634,634,643,649,663,666,669,669,669,675,675,676,679,682,682,682,687,691,696,698,699,699,699,702,703,704,710,713,713,713,718,720,721,724,726,726,726,730,734,735,743,751,751,751,758,761,771,774,781,781,781,798,799,802,810,811,811,811,822,823,823,824,826,826,826,830,832,832,834,835,835,835,835,838,841,843,847,847,847,847,849,853,853,854,854,854,854,860,865,867,868,868,868,868,873,876,882,883,883,883,883,894,899,907,911,911,911,911,938,951,971,988,988,988,988,1053,1059,1087,1123,1123,1123,1123,1221,1266,1341,1417,1417,1417,1417,1617,1681,1756,1842,1842,1842,1842,2038,2110,2172,2251,2251,2251,2251,2487,2558,2692,2778,2778,2778,2778,3182,3264,3347,3467,3467,3467,3467,3749,3811
,Kronoberg,Sweden,821,840,840,851,853,867,877,891,903,918,919,919,931,935,935,935,935,946,949,953,954,958,958,958,969,969,970,972,975,975,975,975,975,974,979,982,982,982,991,992,997,1001,1002,1002,1002,1017,1017,1019,1025,1033,1033,1033,1035,1035,1039,1047,1051,1051,1051,1063,1065,1072,1078,1098,1098,1098,1125,1128,1137,1161,1190,1190,1190,1214,1217,1218,1234,1232,1232,1232,1255,1256,1259,1271,1278,1278,1278,1299,1299,1300,1307,1314,1314,1314,1336,1336,1341,1355,1368,1368,1368,1368,1396,1405,1421,1432,1432,1432,1432,1474,1475,1503,1519,1519,1519,1519,1582,1583,1608,1624,1624,1624,1624,1673,1675,1687,1712,1712,1712,1712,1742,1750,1771,1785,1785,1785,1785,1865,1871,1925,1969,1969,1969,1969,2170,2177,2255,2352,2352,2352,2352,2626,2642,2688,2780,2780,2780,2780,3327,3351,3376,3544,3544,3544,3544,4045,4091,4120,4257,4257,4257,4257,4591,4649,4724,4908,4908,4908,4908,5209,5217,5352,5460,5460,5460,5460,5747,5763
,Norrbotten,Sweden,433,447,455,455,483,484,503,514,552,552,629,675,728,793,793,793,793,859,952,1033,1076,1085,1085,1085,1173,1218,1259,1277,1291,1291,1291,1323,1361,1375,1382,1402,1402,1402,1421,1424,1437,1445,1456,1456,1456,1460,1468,1474,1478,1483,1483,1483,1494,1494,1503,1509,1513,1513,1513,1518,1527,1527,1531,1532,1532,1532,1539,1538,1547,1548,1554,1554,1554,1562,1561,1564,1565,1565,1565,1565,1566,1566,1569,1569,1575,1575,1575,1576,1576,1578,1579,1580,1580,1580,1581,1581,1581,1584,1584,1584,1584,1584,1591,1593,1594,1597,1597,1597,1597,1605,1612,1613,1620,1620,1620,1620,1645,1662,1667,1677,1677,1677,1677,1718,1727,1732,1747,1747,1747,1747,1804,1813,1819,1849,1849,1849,1849,1909,1919,1934,1975,1975,1975,1975,2024,2047,2066,2136,2136,2136,2136,2284,2349,2399,2532,2532,2532,2532,2887,2951,3046,3097,3097,3097,3097,3414,3552,3616,3771,3771,3771,3771,4278,4428,4537,4812,4812,4812,4812,5142,5184,5227,5449,5449,5449,5449,5840,5887
