Admin2,Province/State,Country/Region,07-12-2022,07-13-2022,07-14-2022,07-15-2022,07-16-2022,07-17-2022
,Cherkasy Oblast,Ukraine,,,,,,
,Chernihiv Oblast,Ukraine,,,,,,
,Chernivtsi Oblast,Ukraine,,,,,,
,Crimea Republic*,Ukraine,,,,,,
,Dnipropetrovsk Oblast,Ukraine,,,,,,
,Donetsk Oblast,Ukraine,,,,,,
,Ivano-Frankivsk Oblast,Ukraine,,,,,,
,Kharkiv Oblast,Ukraine,,,,,,
,Kherson Oblast,Ukraine,,,,,,
,Khmelnytskyi Oblast,Ukraine,,,,,,
,Kiev,Ukraine,,,,,,
,Kiev Oblast,Ukraine,,,,,,
,Kirovohrad Oblast,Ukraine,,,,,,
,Luhansk Oblast,Ukraine,,,,,,
,Lviv Oblast,Ukraine,,,,,,
,Mykolaiv Oblast,Ukraine,,,,,,
,Odessa Oblast,Ukraine,,,,,,
,Poltava Oblast,Ukraine,,,,,,
,Rivne Oblast,Ukraine,,,,,,
,Sevastopol*,Ukraine,,,,,,
,Sumy Oblast,Ukraine,,,,,,
,Ternopil Oblast,Ukraine,,,,,,
,Unknown,Ukraine,,,,,,
,Vinnytsia Oblast,Ukraine,,,,,,
,Volyn Oblast,Ukraine,,,,,,
,Zakarpattia Oblast,Ukraine,,,,,,
,Zaporizhia Oblast,Ukraine,,,,,,
,Zhytomyr Oblast,Ukraine,,,,,,
