Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020
,Antwerp,Belgium,60560,61031,61703,62216,62503,62821,63503,64148,64605,65043,65316,65509,65744,66179,66488,67070,67402,67704,67839,68099,68611,68962,69368,69720,70046,70193,70474,70953,71368,71368,71827,72691,72928,73332,73945,74521,75073,75520,75899,76072,76383,76916,77384,77791,77976,78111,78297,78535
,Brussels,Belgium,71270,71711,72211,72592,72810,72985,73537,73971,74344,74700,74909,75004,75119,75474,75755,75996,76206,76388,76457,76573,76824,77067,77256,77458,77621,77686,77793,77970,78152,78152,78384,78711,78760,78849,79082,79316,79488,79724,79917,79990,80133,80362,80548,80741,80795,80869,80936,81038
,East Flanders,Belgium,46386,46991,47808,48444,48637,48987,49705,50329,50826,51272,51500,51716,51973,52455,52849,53256,53563,53903,54011,54243,54733,55139,55550,55899,56171,56307,56648,57142,57603,57603,58025,58793,58994,59416,60027,60450,60887,61331,61638,61809,62191,62687,63064,63438,63570,63713,63843,64139
,Flemish Brabant,Belgium,40227,40486,40934,41165,41274,41477,41806,42024,42231,42435,42636,42715,42832,43117,43337,43553,43701,43902,43964,44133,44360,44591,44818,45070,45221,45309,45501,45723,45941,45941,46136,46481,46545,46695,46969,47198,47352,47513,47664,47730,47862,48092,48298,48465,48521,48559,48614,48717
,Hainaut,Belgium,83081,84021,85035,86262,86654,87039,87734,88551,89091,89570,89810,89991,90170,90533,90813,91397,92967,93334,93425,93621,94026,94379,94733,95030,95260,95364,95579,96008,96379,96379,96715,97424,97558,97734,98181,98597,99055,99345,99676,99797,100064,100491,100811,101110,101176,101240,101293,101447
,Liege,Belgium,85034,85748,86749,87228,87365,87808,88570,89004,89428,89792,89972,90044,90305,90634,90962,91266,91503,91617,91624,91816,92052,92268,92515,92690,92817,92859,93009,93229,93467,93467,93672,94007,94046,94222,94458,94682,94939,95149,95288,95313,95515,95752,95975,96158,96186,96250,96286,96396
,Limburg,Belgium,21384,21585,21843,22014,22109,22305,22570,22773,22959,23128,23242,23271,23458,23627,23767,23940,24093,24300,24352,24501,24686,24851,24971,25143,25244,25307,25447,25672,25857,25857,26003,26350,26446,26597,26832,27044,27226,27432,27545,27631,27787,28055,28234,28414,28492,28562,28646,28822
,Luxembourg,Belgium,14394,14545,14787,14877,14962,15070,15237,15403,15484,15608,15639,15679,15757,15882,15953,16062,16158,16198,16226,16344,16442,16511,16655,16760,16808,16829,16896,17014,17109,17109,17211,17330,17347,17440,17532,17642,17699,17787,17835,17836,17902,17975,18047,18122,18132,18155,18185,18257
,Namur,Belgium,29488,29703,30043,30287,30425,30517,30779,30990,31164,31346,31467,31538,31618,31782,31933,32118,32240,32325,32352,32434,32543,32642,32746,32877,32948,32988,33053,33188,33294,33294,33442,33685,33739,33803,34047,34194,34289,34433,34540,34578,34661,34800,34916,35030,35072,35110,35140,35196
,Unknown,Belgium,8595,8674,8776,8857,8894,8951,9047,9118,9155,9197,9237,9262,9287,9331,9375,9415,9488,9527,9536,9561,9610,9646,9689,9724,9751,9764,9793,9829,9890,9890,9935,10047,10039,10060,10111,10152,10187,10244,10281,10297,10328,10374,10423,10467,10481,10495,10516,10553
,Walloon Brabant,Belgium,21252,21359,21646,21904,21983,22076,22262,22380,22479,22572,22637,22663,22727,22831,22914,22983,23076,23128,23167,23219,23296,23371,23440,23519,23573,23608,23643,23745,23828,23828,23902,24043,24057,24114,24193,24291,24360,24430,24505,24529,24606,24689,24759,24814,24829,24854,24882,24944
,West Flanders,Belgium,38722,39158,39745,40093,40255,40569,41037,41573,41914,42241,42414,42510,42813,43122,43386,43773,44051,44273,44392,44668,45069,45430,45698,46052,46296,46401,46736,47170,47509,47509,47907,48575,48752,49160,49681,50117,50484,50852,51142,51329,51677,52128,52445,52696,52800,52959,53096,53367
