Admin2,Province/State,Country/Region,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021
,Amazonas,Colombia,2029,2029,2033,2066,2075,2091,2111,2131,2131,2171,2179,2184,2192,2204,2204,2211,2211,2220,2228,2241,2259,2259,2276,2299,2319,2325,2328,2335,2364,2384,2391,2394,2399,2406,2411,2418,2428,2433,2433,2445,2454,2454,2458,2458,2466,2470,2479,2497,2497,2506,2507,2508,2510,2510,2511,2513,2513,2513,2524,2537,2565,2584,2599,2615,2626,2641,2644,2649,2654,2661,2662,2669,2673,2677,2678,2678,2687,2690,2691,2693,2693,2696,2696,2698,2701,2704,2703,2704,2704,2708,2714,2714,2714,2721,2721,2721,2725,2725,2725,2725,2728,2728,2728,2732,2732,2732,2738,2739,2741,2741,2742,2742,2742,2742,2744,2744,2744,2746,2747,2747,2747,2748,2750,2750,2750,2750,2754,2754,2757,2757,2757,2770,2779,2779,2790,2876,2876,2878,2882,2882,2882,2887,2892,2903,2903,2908,2911,3403,2939,2940,2940,2947,2947,2957,2957,2960,2961,2981,2982,2996,2999,3004,3016,3025,3048,3080,3108,3132,3132,3132,3133,3142,3144,3144,3147,3149,3149,3155,3157,3157,3159,3160,3161,3163,3167,3168,3169,3174,3183,3183,3184,3189,3189,3192,3193,3196,3197,3208,3211,3214,3226,3230,3231,3232,3240,3245,3245,3249,3259,3267,3280,3291,3288,3293,3302,3325,3333,3337,3340,3362,3375,3387,3400,3451,3470,3476,3483,3494,3497,3503,3518,3535,3535,3602,3645,3675,3687,3690,3782,3811,3879,3911,4015,4049,4080,4120,4156,4188,4256,4292,4366,4401,4434,4448,4496,4531,4611,4690,4759,4780,4794,4887,4951,5016,5027,5093,5164,5234,5284,5316,5356,5356,5399,5411,5455,5460,5523,5581,5629,5637,5660,5675,5686,5700,5707,5713,5746,5753,5760,5771,5777,5785,5815,5843,5850,5852,5858,5863,5868,5871,5874
,Antioquia,Colombia,1574,1574,1648,1704,1731,1782,1884,2147,2147,2273,2369,2498,2660,2921,3009,3098,3098,3239,3457,3647,4089,4089,4232,4442,4660,4981,5263,5675,5990,6385,6773,7246,7825,8451,8744,9253,9582,10576,11351,13335,14686,15647,16840,18690,19751,20613,21922,23035,23035,26117,27226,28845,30685,32759,35746,38026,40927,41978,43370,44730,46834,48342,49947,52417,54165,55820,57360,59122,60873,62232,63266,64679,66206,67033,68313,68313,71158,71983,72915,74796,76292,77709,78939,79784,80996,81909,83248,84765,84765,86426,89094,89094,89759,91661,92597,93727,94447,95642,96980,98062,99632,100831,101806,102501,103915,105208,106111,107331,108353,109651,110870,112470,112886,114193,115112,116110,117083,118115,120226,120542,121792,122871,124823,127128,129780,131719,134342,135372,136455,137953,139833,141427,143531,145194,146086,147450,149191,151420,153283,156033,157970,160040,162149,164814,164814,169425,170819,324385,174345,176354,178735,180520,182285,183991,184554,186183,187837,189432,191142,192874,194398,195046,196075,196745,198257,199979,201521,202844,203968,205528,206820,208147,209944,211146,212758,213928,215415,216833,218131,219372,220859,221918,222669,223435,224441,225712,226936,228441,229990,231592,233104,234925,236763,238632,240662,242712,244723,246658,248651,250617,252615,254482,255845,256597,257850,259550,261592,263708,265864,268832,271111,273430,276328,278815,281518,284635,287473,290006,292486,294421,296640,299359,301675,304080,306491,308866,310692,312640,314361,316169,317827,319066,319066,321321,322518,323761,324932,325959,326956,327802,328612,329407,330190,330995,331650,332308,332838,333507,334202,334824,335422,336056,336610,337131,337639,338256,338935,339681,340490,341322,342084,342789,343442,343940,344451,344955,345448,345890,346342,346832,347316,347316,348308,348800,349313,349831,350402,351041,351742,352497,353141,353876,354680,355574,356581,357664,358824,360067,361217,362219,363271,364705,366372,368307,369749,372048,374623,377291,380299,382652,384957
,Arauca,Colombia,2,2,2,2,2,2,2,45,45,46,46,51,52,61,70,72,72,76,76,76,76,76,76,76,80,81,82,96,96,96,121,121,135,141,141,141,147,147,160,161,161,165,171,171,173,174,174,181,181,181,183,200,202,213,219,240,246,248,251,305,331,335,448,495,509,511,550,556,560,610,612,678,699,747,748,748,764,768,784,788,805,898,915,925,925,970,985,995,995,1056,1092,1092,1093,1140,1184,1196,1264,1304,1324,1333,1368,1404,1422,1449,1475,1478,1482,1519,1613,1641,1665,1689,1694,1718,1725,1775,1842,1910,1934,1956,1971,1977,2135,2156,2186,2202,2211,2221,2383,2432,2496,2561,2597,2621,2664,2688,2742,2916,2951,2976,3020,3125,3136,3185,3185,3347,3383,4206,3415,3426,3457,3474,3579,3604,3610,3637,3654,3712,3731,3770,3791,3798,3801,3814,3817,3829,3861,3874,3886,3994,4008,4038,4056,4064,4071,4077,4085,4098,4153,4176,4201,4230,4238,4252,4261,4276,4329,4340,4345,4359,4382,4393,4400,4429,4450,4458,4461,4477,4493,4494,4514,4519,4521,4528,4539,4570,4576,4600,4607,4611,4611,4624,4648,4682,4720,4757,4761,4776,4782,4814,4827,4882,4953,5004,5014,5049,5086,5118,5127,5187,5205,5213,5213,5267,5288,5308,5326,5329,5332,5356,5390,5416,5422,5446,5448,5451,5460,5469,5478,5483,5495,5501,5501,5502,5509,5515,5519,5537,5539,5539,5541,5544,5552,5568,5571,5573,5586,5588,5590,5599,5609,5609,5619,5620,5622,5627,5631,5638,5642,5643,5643,5644,5647,5647,5652,5654,5661,5663,5663,5671,5674,5709,5730,5734,5736,5738,5751,5776,5781,5781,5784
,Atlantico,Colombia,6761,6761,7096,7502,7931,8597,9077,10882,10882,11424,12228,13151,13880,15479,16229,16871,16871,17972,18593,20246,22049,22049,22777,23360,24212,25181,25788,26406,27251,27920,28732,29572,30617,31882,32635,33700,34585,35649,36425,41006,43160,43813,44704,45486,45948,46595,47005,47573,47573,49037,50212,50732,51783,52313,53131,53835,54434,55206,55663,56118,56801,57525,58184,58634,59101,59383,59797,60134,60542,60832,61074,61571,62009,62271,62464,62464,62804,63069,63255,63430,63610,63758,63872,64007,64128,64255,64357,64696,64696,64847,65072,65072,65111,65429,65525,65631,65726,65787,65843,66038,66145,66296,66368,66512,66576,66640,66780,66862,66938,67074,67216,67317,67401,67492,67551,67666,67748,67859,67998,68148,68288,68465,68621,68692,68826,68926,69025,69099,69293,69377,69442,69557,69686,69747,69991,70142,70288,70507,70617,70695,70848,70997,71124,71124,71351,71870,72102,72288,72480,72668,72805,73079,73272,73447,73590,73729,73913,74049,74263,74450,74627,74835,74975,75145,75379,75529,75783,75976,76193,76362,76607,76924,77224,77561,77835,78123,78542,78822,79073,79572,79905,80283,80413,80656,80958,81376,81809,82113,82506,83099,83382,84057,84524,85461,86314,86920,87609,88433,88806,89729,90594,91202,91749,92020,92456,92981,93975,94549,95160,95345,95758,96681,96957,97872,98615,99123,99883,100310,101415,102068,102482,103430,104588,105386,106181,106949,107995,108352,109112,109933,110769,111348,111348,112868,113502,114189,114633,115073,115485,115849,116162,116619,117090,117687,118104,118434,118653,119007,119265,119495,119727,120090,120262,120482,120666,120879,121100,121411,121750,121935,122277,122497,122727,123019,123262,123589,123889,124155,124266,124518,124867,124867,125582,125774,126145,126565,127053,127723,128394,129066,129456,130088,130745,131590,132694,133737,134816,136115,137394,138901,140165,141639,143600,145302,147611,149595,151635,154196,156343,159108,161614
,Bolivar,Colombia,4221,4221,4364,4484,4623,4755,4905,5256,5256,5423,5550,5842,6246,6753,7067,7237,7237,7473,7852,8138,8792,8792,8949,9116,9392,9629,9854,10134,10494,10723,10945,11254,11459,11733,11913,12206,12346,12596,12845,14172,14754,14972,15208,15509,15714,15943,16118,16286,16286,16883,17363,17621,17906,18240,18587,18861,19209,19306,19548,19657,19901,20072,20276,20456,20705,20925,21090,21325,21593,21775,21865,22244,22485,22615,22738,22738,23471,23694,24158,24376,24685,24804,25012,25147,25267,25454,25530,25614,25614,25723,25967,25967,26015,26244,26658,26786,26842,27158,27277,27551,27669,27800,27875,27972,28027,28062,28274,28304,28374,28475,28523,28590,28655,28810,28875,29137,29305,29376,29458,29737,29986,30118,30334,30413,30540,30665,30785,30832,30966,31009,31122,31210,31338,31412,31554,31648,31708,31842,31906,32004,32223,32302,32428,32428,32619,33019,33178,33424,33476,33651,33776,33863,34001,34055,34142,34142,34379,34490,34759,34845,35025,35200,35265,35416,35502,35606,35886,36044,36242,36450,36733,37017,37332,37722,38008,38451,38692,39173,39538,40011,40300,40912,41090,41309,41699,42157,42536,42717,42992,43301,43682,44088,44640,45346,46140,46763,47303,48090,48381,49046,49622,50206,50442,50908,51140,51431,51799,52000,52581,52708,52891,53694,54133,54466,54908,55186,55628,56125,56785,57345,57696,58046,58743,59228,59488,59836,60479,60896,61049,61411,61627,61887,61887,62598,62964,63212,63425,63506,63691,63904,64322,64458,64626,64751,64971,65088,65189,65414,65573,65655,65819,65927,65985,66024,66041,66159,66237,66319,66379,66408,66451,66507,66566,66618,66654,66709,66780,66916,67035,67131,67207,67207,67432,67483,67569,67668,67753,67822,67904,67998,68053,68111,68198,68282,68359,68412,68523,68585,68649,68762,68913,69000,69178,69294,69374,69458,69563,69780,69980,70075,70166
,Boyaca,Colombia,225,225,227,231,236,236,241,251,251,256,263,265,289,301,307,313,313,328,333,340,355,355,359,375,390,405,409,418,430,434,444,446,460,479,484,492,499,517,524,608,624,640,650,659,694,718,734,759,759,820,844,929,982,1030,1093,1154,1212,1239,1305,1376,1445,1509,1540,1621,1685,1763,1861,1959,2063,2174,2249,2369,2441,2627,2724,2724,3091,3212,3347,3395,3452,3578,3674,3761,3824,3912,4049,4164,4164,4269,4553,4553,4625,4842,4929,5034,5123,5246,5437,5530,5699,5763,5872,5995,6086,6173,6289,6410,6664,6816,6879,7015,7157,7232,7351,7479,7683,7800,7956,8139,8358,8518,8674,8923,9091,9491,9764,9921,10118,10288,10552,10706,10855,11036,11287,11482,11710,12076,12225,12420,12726,12973,13261,13261,13744,14440,14709,15517,15214,15543,15994,16233,16486,16708,16853,17068,17382,17735,17951,18105,18382,18580,18738,18923,19216,19507,19695,19797,20040,20243,20563,20822,21142,21321,21493,21693,21960,22124,22411,22638,22862,23153,23281,23432,23599,23692,23955,24128,24272,24424,24617,24838,25100,25454,25642,25854,26101,26330,26599,26917,27176,27389,27620,27863,28060,28268,28583,28803,29258,29399,29538,29999,30240,30847,31485,31851,32464,32868,33350,33664,34017,34585,35228,35722,36242,36460,37296,37848,38242,38663,39086,39477,39477,40444,40869,41299,41626,41767,42002,42265,42590,42925,43203,43445,43557,43600,43853,43994,44231,44441,44625,44737,44872,44926,45051,45196,45340,45491,45594,45671,45768,45834,45887,45962,46059,46123,46236,46358,46407,46490,46586,46586,46699,46764,46825,46883,46942,46996,47066,47089,47125,47168,47230,47293,47370,47451,47523,47565,47599,47647,47719,47810,47890,47965,48027,48071,48119,48260,48307,48332,48399
,Caldas,Colombia,175,175,179,185,188,191,191,200,200,205,205,207,211,218,231,237,237,238,240,243,254,254,258,260,264,267,267,271,271,273,278,279,289,296,296,303,302,305,309,342,360,392,397,417,510,551,583,651,651,723,734,793,851,957,989,1023,1037,1061,1111,1158,1190,1215,1312,1383,1416,1455,1485,1547,1599,1658,1686,1737,1825,2024,2120,2120,2301,2386,2474,2547,2614,2707,2804,2888,2964,3022,3088,3152,3152,3242,3396,3396,3465,3621,3671,3805,3884,4010,4078,4191,4276,4380,4455,4653,4752,4785,4894,5117,5239,5393,5514,5663,5808,5865,5947,6042,6144,6360,6495,6609,6771,6924,7255,7410,7594,7785,8000,8139,8305,8491,8753,8988,9238,9491,9857,10093,10405,10782,11194,11387,11763,12079,12513,12839,12839,13817,14383,14976,15084,15450,15982,16328,16703,17113,17349,17870,18230,18689,19336,19835,20268,20636,20852,21102,21477,21846,22116,22308,22659,22965,23323,23620,24033,24239,24675,25168,25406,25690,25921,26238,26489,26826,26944,27096,27265,27449,27618,27853,28119,28257,28406,28884,29007,29330,29578,29733,30129,30371,30582,31053,31229,31476,31604,31832,32063,32282,32531,32668,32892,33126,33384,33746,34097,34594,35005,35578,36021,36458,36683,37244,37467,38190,38813,39295,39788,40132,40595,41061,41421,41764,42147,42420,42420,43241,43546,43735,43944,44052,44217,44374,44617,44752,44955,45094,45207,45329,45430,45551,45668,45759,45857,45955,45999,46058,46079,46141,46193,46249,46290,46305,46334,46355,46402,46447,46480,46517,46573,46639,46657,46691,46732,46732,46834,46868,46964,47011,47066,47153,47235,47330,47355,47417,47491,47602,47765,47848,47996,48133,48250,48348,48521,48686,48936,49120,49202,49397,49624,49823,49990,50129,50340
,Capital District,Colombia,13329,13329,13709,14132,14537,14940,15458,16404,16404,16839,17392,18179,19241,20709,21541,22409,22409,23367,24636,25540,27927,27927,29320,30017,31417,32726,34131,35266,36554,37641,39248,40737,42347,45039,47524,49644,51281,53131,55056,58917,60394,63265,65594,67843,70849,74599,77889,81180,81180,86857,91408,95199,98209,101955,104656,109153,111294,113548,117793,123875,126488,129975,133423,136764,141994,146109,149944,154452,158674,163295,166685,171312,176336,179540,181775,181775,188220,192654,195137,199324,201880,204065,207403,209250,211300,213631,216654,219584,219584,221738,225947,225947,227979,232408,234514,236313,238334,240287,242007,243456,244940,247233,248694,250490,252319,254276,256116,257679,259008,260559,262956,264274,265576,267170,269201,270515,271929,273481,274829,276839,279249,281534,282794,284824,286311,287845,288870,290332,291544,292964,294032,295594,297173,298170,299713,302268,304567,306114,308645,309903,311102,312946,314687,314687,317637,321596,322980,324385,325839,327660,329879,332118,333767,335008,336585,338196,340326,342530,343972,345742,346711,347905,349474,351876,353793,355714,356618,359210,359916,362221,364377,367150,369722,372174,374077,375315,377229,379902,382704,384260,387418,389136,390902,393583,394977,397285,400408,403145,405649,407627,411689,414581,418639,421759,425914,428979,430198,433640,438854,443602,447821,449799,452940,455240,459953,464910,471155,475253,477203,480219,485017,490315,496317,501691,507768,513967,518261,522621,525622,530336,538050,546495,551172,556405,560284,566276,571951,576011,582085,587675,591719,595731,595731,602584,605731,608450,610855,614475,616843,619894,622916,626180,628040,630019,631570,632532,633839,635355,637105,638767,640081,641238,642278,643642,646350,647597,648712,649797,650932,652049,652994,654204,655252,656170,657198,657987,658698,659620,660487,661207,661916,661916,663603,664116,664687,665372,666431,667282,668038,668786,669242,670030,670748,671542,672449,675062,676033,676671,677516,678408,679492,680882,681888,682934,684241,685821,687382,689038,690844,692249,693578
,Caqueta,Colombia,25,25,25,25,25,25,25,25,25,28,28,29,29,30,30,29,29,29,26,26,35,35,35,35,39,43,43,54,55,60,67,82,81,86,97,112,118,124,128,182,220,324,393,450,476,485,489,542,542,678,742,816,884,934,1116,1276,1515,1647,1839,1868,2042,2141,2493,2619,2794,2944,3068,3328,3511,3750,3922,4129,4339,4428,4603,4603,4836,5069,5179,5206,5346,5536,5724,5860,6067,6165,6307,6316,6316,6521,6789,6789,6897,7113,7179,7239,7249,7308,7319,7346,7357,7387,7536,7759,7783,7789,7793,7843,8036,8202,8370,8429,8457,8476,8488,8500,8598,8730,8748,8946,9109,9259,9430,9485,9559,9649,9870,9892,9901,9942,10044,10154,10223,10345,10428,10506,10587,10691,10756,10799,10963,11036,11064,11064,11135,11331,11445,13491,11638,11654,11687,11824,11891,11955,12102,12147,12185,12250,12301,12353,12437,12557,12612,12712,12725,12751,12784,12871,12922,12948,12999,13083,13158,13216,13280,13389,13409,13448,13499,13565,13619,13694,13745,13758,13807,13827,13869,13880,13965,14038,14056,14087,14118,14156,14225,14319,14449,14553,14611,14688,14758,14815,14845,14900,14907,14936,15000,15042,15108,15122,15131,15174,15238,15302,15364,15413,15450,15518,15575,15625,15659,15705,15863,15924,16000,16032,16070,16146,16175,16202,16228,16262,16262,16420,16492,16515,16541,16544,16564,16641,16691,16698,16725,16747,16759,16788,16811,16828,16856,16882,16894,16914,16925,16935,16937,16949,16963,16975,16981,16987,16990,17005,17006,17010,17018,17024,17033,17043,17054,17058,17060,17060,17071,17074,17078,17087,17096,17109,17111,17114,17123,17122,17127,17131,17132,17138,17143,17146,17146,17148,17155,17161,17175,17177,17177,17180,17185,17190,17198,17205,17205
,Casanare,Colombia,36,36,36,36,36,37,37,38,38,38,39,41,51,55,57,58,58,61,64,64,66,66,66,66,67,69,85,85,87,88,88,91,97,112,116,118,122,131,136,144,148,155,173,185,189,199,202,213,213,252,268,277,298,306,315,328,351,366,389,414,427,443,451,491,503,535,573,593,613,655,670,691,745,780,798,798,856,888,914,930,955,986,1008,1029,1060,1088,1129,1147,1147,1177,1274,1274,1294,1358,1404,1432,1509,1536,1565,1597,1644,1690,1719,1771,1875,1929,1950,1972,2012,2136,2168,2211,2341,2354,2438,2457,2512,2581,2637,2673,2746,2858,2929,2969,3027,3100,3234,3276,3300,3520,3677,3737,3800,3833,3957,4055,4196,4324,4407,4494,4606,4659,4822,4884,4884,5069,5125,5924,5324,5374,5428,5476,5530,5586,5640,5692,5754,5807,5861,5939,5984,6081,6122,6186,6209,6256,6281,6354,6438,6465,6510,6541,6598,6673,6718,6964,6991,7045,7086,7260,7296,7370,7417,7458,7575,7593,7653,7695,7734,7800,7853,7961,7977,8061,8119,8179,8212,8250,8338,8390,8484,8524,8579,8622,8690,8721,8778,8825,8893,8905,8939,9043,9183,9256,9394,9484,9549,9636,9664,9782,9882,9989,10183,10338,10460,10521,10596,10753,10800,10860,10916,10981,10981,11173,11241,11314,11366,11411,11450,11493,11621,11657,11694,11765,11794,11833,11859,11886,11904,11950,11993,12017,12028,12048,12055,12109,12138,12169,12189,12212,12223,12254,12272,12295,12321,12358,12394,12417,12425,12446,12471,12471,12493,12508,12539,12548,12574,12589,12606,12624,12638,12654,12680,12712,12729,12749,12771,12782,12795,12836,12870,12919,12947,12985,13001,13019,13044,13104,13128,13150,13170
