Admin2,Province/State,Country/Region,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021
,French Guiana,France,61,72,72,77,83,83,83,86,86,86,86,86,96,96,96,97,97,97,107,111,111,111,111,125,125,126,128,128,128,133,133,138,138,141,141,144,144,153,153,164,189,197,197,210,218,237,249,261,279,328,353,384,406,436,450,477,499,499,517,533,556,589,639,689,729,773,865,917,1043,1161,1255,1326,1421,1554,1758,1969,2163,2441,2458,2593,2827,3033,3270,3461,3461,3774,4004,4268,4444,4558,4913,4913,5054,5178,5459,5558,5704,5949,5949,6170,6229,6299,6393,6509,6655,6655,6745,6851,6883,7086,7251,7332,7332,7514,7562,7647,7728,7799,7857,7857,7948,7998,8069,8127,8204,8267,8267,8324,8360,8423,8471,8549,8588,8588,8622,8657,8711,8743,8777,8797,8797,8875,8904,8936,8982,9022,9076,9076,9115,9154,9209,9251,9276,9322,9322,9355,9387,9418,9462,9494,9521,9521,9552,9578,9595,9623,9659,9692,9692,9712,9738,9762,9790,9831,9863,9863,9895,9929,9955,9966,9968,10029,10029,10057,10070,10103,10128,10144,10144,10144,10180,10192,10202,10233,10239,10243,10243,10268,10268,10295,10342,10351,10376,10376,10385,10397,10404,10425,10517,10536,10536,10567,10577,10591,10620,10647,10704,10704,10715,10729,10762,10780,10808,10844,10844,10876,10900,10930,10950,10987,11014,11014,11042,11079,11116,11138,11158,11179,11179,11204,11240,11283,11318,11334,11407,11407,11458,11513,11600,11677,11755,11800,11800,11855,11855,11906,12026,12163,12281,12369,12369,12433,12499,12547,12685,12685,12773,12779,12832,12896,13045,13166,13273,13273,13273,13374,13497,13632,13825,13970,14113,14113,14221,14370,14370,14526,14776,14975,14975,15055
,French Polynesia,France,41,42,47,51,51,51,51,53,55,55,55,55,55,55,55,56,56,57,57,57,57,57,57,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,69,69,69,112,112,139,139,166,166,166,211,211,211,211,211,211,211,211,372,415,415,482,482,482,573,573,622,622,694,694,694,773,773,795,857,953,953,953,1099,1099,1099,1099,1111,1271,1271,1271,1394,1469,1469,1579,1579,1579,1579,1728,1852,1852,1964,1964,1964,2228,2228,2358,2420,2754,2754,2754,3251,3251,3573,3573,3797,3797,3797,4548,4548,5161,5161,5797,5797,5859,6431,6431,7262,7262,7262,7262,7262,8646,8949,9287,9754,9995,9995,9995,10680,10971,11316,11485,11706,11706,11706,12121,12362,12587,12816,12978,12978,12978,13286,13517,13783,13883,14096,14096,14096,14372,14559,14716,14897,15107,15107,15107,15107,15332,15411,15535,15618,15618,15618,15747,15870,15974,16118,16182,16182,16182,16345,16410,16466,16550,16550,16550,16550,16696,16795,16851,16926,16926,16926,16926,16988,17088,17131,17195,17241,17241,17241,17340,17403,17483,17590,17635,17635,17635,17697,17697
,Guadeloupe,France,135,135,139,141,141,143,143,143,143,145,145,145,145,148,148,148,148,148,148,149,149,149,149,149,149,151,152,152,152,152,152,152,153,154,154,154,154,155,155,155,155,155,155,155,155,155,155,156,156,161,161,161,161,161,162,162,162,162,162,162,162,164,164,164,164,164,164,164,171,171,171,171,171,171,171,174,174,174,174,174,174,174,182,182,182,182,182,182,182,184,184,184,184,184,184,184,190,190,190,190,190,190,190,195,195,195,195,195,195,195,203,203,203,203,203,244,244,265,265,265,272,272,279,279,290,290,290,317,317,367,367,446,446,446,510,510,510,510,771,771,771,771,935,935,935,1145,1145,1145,1269,1269,1363,1363,1363,1363,1363,1363,1363,2287,2287,2287,3080,3080,3080,3080,3426,3426,3426,3426,3426,3426,3426,4487,4487,4487,4487,4487,4487,4487,5528,5528,5528,5528,5528,5528,6319,6319,6319,6483,6483,6483,6483,6908,6908,6908,7122,7122,7122,7122,7329,7329,7329,7329,7329,7329,7474,7474,7605,7605,7605,7605,7605,7605,7903,7903,7903,7903,7903,7903,7903,8098,8098,8098,8098,8098,8098,8098,8225,8225,8225,8225,8225,8225,8225,8344,8344,8344,8344,8344,8344,8344,8427,8427,8427,8427,8427,8427,8427,8472,8472,8472,8472,8472,8472,8472,8498,8498,8498,8498,8498,8557,8557,8557,8557,8557,8557,8557,8620,8620,8620,8620,8620,8620,8620,8620,8620,8702,8702,8702,8702,8702,8702,8702,8834,8834,8834,8834,8834,8834,8834,8948
,Martinique,France,149,151,152,154,154,155,155,155,157,157,158,158,158,158,163,163,163,164,164,170,175,175,175,175,175,178,179,179,179,181,181,182,183,186,186,186,187,187,189,189,192,192,192,192,192,192,192,197,197,197,197,197,197,197,200,200,200,200,200,200,200,202,202,202,202,202,202,202,202,202,202,202,202,202,221,236,236,236,236,236,236,236,242,242,242,242,242,242,242,249,249,249,249,249,249,249,255,255,255,255,255,255,255,255,262,262,262,262,262,262,269,269,269,269,269,269,269,269,269,269,269,269,269,276,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,464,464,464,596,596,596,596,596,615,747,754,754,758,758,758,758,939,939,939,939,939,939,939,1122,1122,1122,1122,1122,1122,1122,1290,1290,1290,1290,1290,1290,1290,1290,1543,1543,1543,1543,1543,1543,1851,1851,1851,1851,1851,1851,1851,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,3552,3552,3552,3552,3552,3552,3552,3552,4215,4215,4215,4215,4215,4215,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,5413,5413,5413,5413,5413,5413,5413,5520,5520,5520,5520,5520,5520,5520,5520,5575,5575,5575,5575,5575,5575,5601,5601,5601,5601,5601,5634,5634,5634,5634,5634,5634,5634,6072,6072,6072,6072,6072,6091,6091,6091,6091,6117,6117,6117,6117,6117,6117,6117,6227,6227,6227,6227,6227,6227,6227,6302
,Mayotte,France,147,147,171,171,184,191,196,196,207,217,217,233,245,254,271,271,311,326,326,354,380,401,401,460,460,539,539,539,650,686,739,739,854,854,988,1023,1023,1095,1143,1210,1210,1312,1342,1370,1370,1475,1475,1521,1521,1587,1609,1634,1645,1670,1699,1699,1699,1934,1986,1993,2058,2079,2079,2079,2151,2175,2226,2240,2268,2282,2298,2310,2333,2345,2383,2394,2404,2404,2434,2434,2467,2508,2508,2508,2508,2560,2603,2643,2650,2661,2661,2661,2679,2688,2688,2702,2711,2711,2711,2724,2724,2743,2778,2782,2782,2782,2808,2824,2839,2862,2862,2862,2862,2900,2900,2905,2962,2962,2962,2962,3008,3023,3031,3042,3068,3068,3068,3068,3091,3091,3119,3119,3119,3119,3160,3160,3160,3160,3237,3237,3237,3237,3237,3237,3301,3301,3301,3301,3301,3301,3301,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3541,3779,3779,3779,3779,3779,3892,3892,3892,3892,3989,3989,3989,4030,4030,4030,4030,4030,4030,4030,4159,4159,4203,4203,4276,4276,4276,4321,4321,4366,4366,4366,4366,4366,4489,4524,4550,4550,4550,4550,4550,4815,4815,4815,4921,4921,4921,4921,4943,4943,5036,5036,5036,5036,5036,5122,5122,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5499,5499,5551,5551,5551,5551,5616,5616,5616,5616,5708,5708,5708,5708,5767,5767,5767,5767,5767,5767,5890,5890,5890,5890,5890,5890,5890,6045,6045,6045,6045,6232,6232,6255,6255,6255,6255,6611,6611,6611,6611,6789
,New Caledonia,France,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,33,33,33,34,35,35,35,35,35,36,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,44,44
,Reunion,France,344,349,358,358,362,382,388,389,391,391,391,394,402,407,408,408,410,410,412,412,417,417,418,418,420,420,422,423,423,424,424,425,427,426,431,436,436,437,439,440,441,443,443,446,446,447,449,449,452,452,456,459,460,465,470,471,471,473,477,478,479,480,480,480,481,481,486,487,488,489,495,496,495,497,502,504,505,506,507,507,508,516,517,520,521,522,526,528,531,533,536,547,550,551,563,566,571,577,593,596,599,608,612,614,624,628,631,639,645,646,654,657,657,657,657,657,657,660,664,667,667,669,670,671,675,681,687,690,702,734,754,776,816,855,880,903,903,996,1075,1117,1209,1244,1292,1372,1410,1487,1557,1634,1679,1714,1796,1912,2002,2115,2222,2277,2346,2416,2510,2623,2723,2805,2872,2902,3002,3099,3194,3194,3194,3415,3415,3501,3501,3685,3685,3685,3882,3882,3993,3993,4178,4178,4178,4328,4328,4385,4385,4491,4491,4491,4624,4624,4678,4678,4776,4776,4776,4921,4921,5015,5015,5149,5149,5149,5361,5361,5472,5472,5659,5659,5659,5898,5898,6037,6037,6264,6264,6264,6572,6572,6735,6735,6881,6881,6881,7161,7161,7298,7298,7501,7501,7501,7689,7689,7836,7836,7940,7940,7940,8054,8054,8102,8102,8200,8200,8200,8294,8294,8345,8345,8431,8431,8431,8534,8534,8534,8588,8588,8704,8704,8704,8801,8801,8846,8846,8909,8909,8909,8936,8972,8972,9037,9037,9037,9037,9118,9118,9173,9173,9247,9247,9359,9359,9359,9359,9406,9443,9443,9443,9552
,Saint Barthelemy,France,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,21,21,23,23,23,23,23,23,23,23,23,45,45,45,45,48,48,48,48,54,54,62,62,62,62,62,62,65,65,65,65,65,67,67,72,72,72,72,72,77,77,77,77,77,83,83,83,83,83,83,83,83,83,90,90,90,90,90,90,90,90,109,109,109,109,109,109,127,127,127,127,127,127,127,127,127,127,127,127,147,147,147,147,147,147,147,147,162,162,162,162,162,162,162,162,162,162,175,175,175,175,175,184,184,184,184,184,184,184,184,190,190,190,190,190,190,206,206,206,206,206,206,206,206,251,251,251,251,251,251
,Saint Pierre and Miquelon,France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,St Martin,France,32,32,32,32,32,32,32,32,32,32,35,35,35,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,78,78,84,84,92,109,109,109,121,121,121,121,176,176,176,176,198,198,198,213,213,213,213,213,239,239,239,239,239,239,239,256,256,256,256,256,330,330,330,330,330,330,330,330,330,367,367,367,367,383,383,383,383,403,403,412,412,412,412,412,412,466,466,466,466,466,501,501,531,531,531,531,531,538,538,538,538,538,542,566,566,566,566,566,566,566,566,604,604,604,604,604,604,604,604,655,655,655,655,655,655,690,690,690,690,690,690,690,690,690,690,690,690,717,717,717,717,717,717,717,717,801,801,801,801,801,801,801,801,801,801,918,918,918,918,918,961,961,961,961,961,961,961,961,995,995,995,995,995,995,1025,1025,1025,1025,1025,1025,1025,1025,1076,1076,1076,1076,1076,1076
