Admin2,Province/State,Country/Region,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021,04-26-2021,04-27-2021,04-28-2021,04-29-2021,04-30-2021,05-01-2021,05-02-2021,05-03-2021,05-04-2021,05-05-2021,05-06-2021,05-07-2021,05-08-2021,05-09-2021,05-10-2021,05-11-2021,05-12-2021,05-13-2021,05-14-2021,05-15-2021,05-16-2021,05-17-2021,05-18-2021,05-19-2021,05-20-2021,05-21-2021,05-22-2021,05-23-2021,05-24-2021,05-25-2021,05-26-2021,05-27-2021,05-28-2021,05-29-2021,05-30-2021,05-31-2021,06-01-2021,06-02-2021,06-03-2021,06-04-2021,06-05-2021,06-06-2021,06-07-2021,06-08-2021,06-09-2021,06-10-2021,06-11-2021,06-12-2021,06-13-2021,06-14-2021,06-15-2021,06-16-2021,06-17-2021,06-18-2021,06-19-2021,06-20-2021,06-21-2021,06-22-2021,06-23-2021,06-24-2021,06-25-2021,06-26-2021,06-27-2021,06-28-2021,06-29-2021,06-30-2021,07-01-2021,07-02-2021
,Aruba,Netherlands,111,111,113,115,117,117,117,118,119,119,119,119,119,120,121,121,122,124,132,171,263,396,509,563,630,717,798,894,973,1048,1102,1121,1205,1296,1387,1464,1534,1568,1628,1670,1760,1848,1906,1975,1997,2006,2104,2211,2292,2358,2428,2449,2482,2589,2730,2819,2898,2994,3046,3060,3152,3328,3382,3460,3460,3551,3587,3665,3721,3756,3799,3832,3844,3872,3934,3963,3998,4038,4074,4079,4094,4108,4133,4150,4167,4188,4194,4197,4229,4255,4285,4289,4304,4322,4334,4355,4369,4389,4401,4410,4420,4422,4437,4455,4472,4494,4513,4519,4524,4538,4553,4564,4578,4589,4600,4606,4622,4631,4639,4650,4658,4662,4668,4676,4685,4693,4698,4724,4731,4737,4751,4778,4791,4808,4833,4838,4845,4872,4902,4923,4942,4957,4965,4966,4984,4996,5011,5031,5044,5049,5056,5079,5106,5124,5138,5155,5163,5176,5199,5228,5257,5268,5287,5305,5323,5373,5442,5489,5509,5532,5564,5606,5716,5811,5883,5977,6013,6042,6068,6154,6228,6296,6350,6405,6435,6451,6523,6562,6623,6656,6708,6723,6742,6768,6809,6858,6896,6944,6966,6986,7028,7083,7134,7168,7202,7223,7238,7286,7319,7338,7368,7400,7413,7438,7461,7513,7553,7599,7647,7674,7692,7735,7775,7804,7849,7876,7891,7908,7938,7973,8009,8054,8089,8110,8110,8177,8227,8272,8320,8376,8395,8421,8482,8551,8624,8664,8731,8771,8800,8902,8985,9073,9142,9214,9259,9294,9374,9443,9503,9560,9607,9638,9681,9760,9834,9896,9958,10016,10050,10076,10122,10159,10219,10264,10305,10324,10345,10399,10437,10469,10505,10522,10538,10555,10570,10585,10608,10638,10650,10650,10679,10704,10721,10721,10736,10757,10770,10781,10795,10814,10826,10838,10849,10854,10857,10869,10879,10892,10902,10915,10917,10922,10936,10951,10957,10969,10974,10978,10985,10993,11006,11018,11033,11041,11057,11059,11064,11068,11069,11072,11076,11080,11081,11084,11089,11099,11103,11106,11108,11112,11116,11118,11125,11126,11131,11131,11132,11135,11138,11140,11144
,Curacao,Netherlands,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,32,32,32,33,34,36,36,36,36,37,39,39,47,49,53,55,62,62,67,68,71,75,78,78,88,92,102,107,116,131,135,145,157,161,169,192,210,228,247,268,282,291,301,315,329,337,360,364,370,392,399,411,429,452,462,476,505,532,549,571,583,585,619,645,673,698,715,744,751,759,785,804,818,837,858,873,884,907,944,958,970,987,995,1000,1021,1030,1053,1077,1097,1102,1131,1182,1215,1261,1307,1340,1374,1415,1482,1561,1620,1682,1749,1773,1827,1929,2046,2157,2258,2364,2379,2503,2658,2740,2890,3011,3136,3174,3246,3325,3404,3501,3576,3624,3661,3699,3767,3823,3881,3920,3947,3974,4006,4051,4099,4138,4140,4144,4151,4179,4230,4260,4289,4294,4317,4323,4342,4378,4405,4422,4445,4458,4464,4469,4488,4498,4505,4514,4514,4523,4527,4535,4537,4543,4543,4548,4548,4558,4567,4574,4579,4582,4585,4585,4591,4595,4597,4600,4605,4613,4613,4620,4628,4633,4643,4643,4650,4652,4655,4658,4666,4675,4681,4681,4694,4696,4705,4708,4717,4727,4730,4731,4736,4740,4751,4769,4790,4807,4813,4830,4862,4915,4960,5051,5110,5138,5238,5380,5520,5676,5839,5997,6041,6174,6424,6648,7057,7335,7558,7740,7898,8404,8834,9171,9635,9890,10066,10185,10185,10632,10909,11180,11355,11385,11430,11581,11674,11769,11837,11882,11903,11903,11983,12022,12058,12087,12119,12129,12146,12146,12181,12195,12207,12210,12213,12217,12218,12222,12228,12234,12235,12236,12236,12236,12244,12246,12249,12254,12256,12257,12262,12266,12268,12271,12271,12271,12271,12271,12271,12271,12271,12272,12272,12273,12273,12276,12277,12278,12279,12280,12281,12287,12291,12293,12293,12295,12296,12296,12304,12308,12314,12317,12318,12319,12321,12322,12327,12327,12330,12330,12332,12339,12342,12343,12345
,Drenthe,Netherlands,536,539,539,539,540,542,545,546,548,548,549,549,549,550,551,552,553,554,554,559,562,563,566,571,571,573,575,578,579,581,582,585,586,587,590,592,595,599,599,602,603,605,606,607,609,610,610,610,612,615,617,620,626,626,629,636,637,642,650,655,663,673,688,706,722,745,791,807,842,888,951,984,1030,1030,1030,1201,1250,1323,1379,1446,1446,1559,1613,1710,1806,1966,2186,2391,2525,2655,2834,2985,3125,3334,3543,3690,3817,3968,4120,4241,4409,4551,4673,4756,4850,4986,5141,5272,5392,5479,5579,5665,5771,5879,5971,6044,6109,6193,6270,6347,6425,6503,6606,6671,6809,6829,6935,7088,7178,7283,7344,7426,7515,7591,7682,7735,7807,7860,7940,8022,8099,8207,8285,8376,8447,8562,8698,8829,8957,9215,9404,9507,9740,10031,10287,10615,10905,11141,11373,11588,11823,12104,12360,12544,12733,12941,13185,13482,13717,13932,14201,14388,14578,14743,14987,15211,15458,15658,15832,15962,16147,16384,16564,16686,16843,16978,17081,17218,17376,17512,17619,17732,17855,17931,18040,18151,18248,18364,18487,18590,18684,18808,18957,19043,19184,19292,19399,19420,19501,19582,19752,19935,20041,20169,20277,20339,20507,20670,20826,20940,21039,21127,21212,21381,21523,21678,21791,21877,22039,22169,22306,22423,22549,22650,22735,22852,23021,23170,23297,23464,23586,23764,23926,24106,24243,24385,24593,24809,24996,25185,25375,25575,25763,25967,26216,26410,26561,26720,26891,27058,27199,27347,27442,27545,27680,27859,28018,28151,28294,28420,28558,28701,28811,28971,29091,29204,29318,29412,29549,29698,29861,29974,30085,30184,30311,30437,30563,30686,30798,30879,31073,31225,31338,31492,31594,31722,31868,31960,32034,32122,32262,32329,32395,32521,32607,32677,32773,32858,32941,33007,33061,33108,33152,33205,33274,33374,33459,33520,33573,33643,33728,33790,33860,33899,33917,33949,33985,34023,34057,34091,34119,34141,34161,34177,34188,34198,34213,34221,34228,34236,34244,34263,34268,34275,34281,34285,34290,34295,34300,34307,34310
,Flevoland,Netherlands,981,981,981,981,983,983,984,986,989,989,991,993,997,998,1007,1015,1019,1027,1033,1036,1041,1046,1050,1055,1057,1102,1112,1121,1140,1146,1156,1169,1176,1191,1204,1217,1233,1244,1250,1262,1270,1279,1291,1307,1315,1318,1331,1345,1362,1370,1387,1411,1429,1448,1475,1491,1516,1538,1561,1588,1613,1653,1683,1714,1762,1787,1812,1852,1901,1952,2004,2049,2083,2083,2083,2247,2295,2342,2408,2482,2482,2647,2715,2789,2894,3011,3104,3223,3354,3500,3627,3811,3994,4066,4175,4330,4508,4703,4881,5078,5316,5453,5595,5776,5943,6167,6397,6538,6679,6916,7119,7246,7412,7566,7713,7827,7926,8083,8238,8365,8538,8656,8757,8911,9154,9270,9436,9625,9774,9982,10164,10328,10505,10729,10883,10996,11152,11303,11464,11650,11796,11948,12247,12461,12675,12834,13134,13222,13515,13826,14160,14424,14805,15196,15530,15793,16187,16558,16920,17291,17618,17928,18167,18470,18738,18951,19268,19538,19702,19994,20224,20414,20534,20734,20942,21155,21355,21496,21640,21784,21925,22082,22195,22296,22428,22547,22655,22755,22884,22959,23058,23169,23242,23305,23413,23521,23629,23718,23799,23869,23956,24039,24130,24191,24264,24348,24420,24447,24486,24552,24650,24725,24797,24865,24908,24962,25024,25095,25181,25249,25315,25404,25472,25530,25638,25719,25792,25867,25943,26032,26111,26188,26306,26387,26466,26528,26627,26712,26809,26899,27009,27083,27157,27278,27402,27518,27610,27752,27902,28016,28163,28314,28430,28606,28743,28879,29013,29124,29289,29415,29554,29688,29786,29921,30056,30159,30319,30471,30626,30779,30895,31048,31228,31372,31531,31670,31870,32031,32166,32380,32512,32654,32811,32939,33042,33217,33324,33470,33574,33622,33844,33986,34118,34231,34395,34523,34633,34790,34872,35005,35147,35251,35354,35439,35515,35574,35652,35736,35823,35886,35967,36030,36075,36119,36180,36242,36282,36327,36369,36413,36460,36518,36557,36588,36620,36648,36680,36711,36732,36768,36796,36819,36836,36865,36877,36895,36905,36915,36927,36935,36949,36965,36972,36978,36980,36988,36997,37001,37009,37016,37024
,Friesland,Netherlands,642,643,643,643,643,645,645,647,647,647,648,648,649,650,652,653,656,657,657,657,657,658,661,663,677,690,701,710,721,726,732,743,755,763,767,771,777,784,789,793,801,804,807,814,819,824,825,827,832,838,840,846,854,855,864,869,875,880,890,902,921,938,962,984,1011,1056,1083,1113,1142,1171,1232,1312,1356,1356,1356,1593,1684,1783,1852,1916,1916,2110,2216,2349,2457,2571,2750,3044,3187,3312,3507,3665,3812,3983,4130,4288,4426,4558,4710,4866,4969,5177,5267,5361,5483,5632,5763,5895,6030,6157,6232,6322,6409,6485,6561,6634,6714,6806,6883,6978,7068,7138,7257,7359,7475,7603,7692,7795,7886,8008,8103,8198,8275,8366,8468,8579,8691,8779,8868,8978,9101,9244,9379,9529,9653,9788,9951,10128,10294,10472,10735,10850,11070,11329,11541,11828,12150,12441,12637,12862,13130,13408,13708,13937,14105,14308,14520,14776,15035,15321,15610,15857,16061,16233,16472,16796,17027,17235,17429,17587,17757,17995,18269,18460,18686,18951,19152,19348,19589,19822,19991,20234,20392,20566,20738,20895,21080,21261,21412,21551,21715,21890,22076,22250,22456,22699,22848,22939,23059,23283,23485,23674,23825,23997,24115,24226,24411,24629,24825,25066,25271,25408,25563,25757,26015,26180,26350,26487,26618,26754,26916,27087,27266,27406,27570,27714,27920,28093,28250,28474,28794,29002,29194,29432,29699,29935,30175,30412,30587,30801,31059,31357,31610,31880,32155,32371,32546,32749,33007,33279,33516,33710,33904,34106,34307,34536,34758,34979,35161,35371,35573,35715,35996,36172,36406,36666,36862,37024,37246,37495,37719,37912,38135,38313,38493,38684,38848,38998,39169,39199,39494,39715,39860,40023,40179,40364,40539,40671,40823,40985,41152,41289,41457,41587,41706,41834,41948,42073,42195,42292,42388,42496,42551,42637,42746,42833,42939,43011,43082,43145,43230,43283,43338,43368,43407,43455,43488,43508,43543,43570,43594,43610,43622,43644,43658,43679,43700,43713,43724,43737,43750,43759,43767,43779,43784,43795,43799,43810,43825,43835,43850
,Gelderland,Netherlands,6518,6524,6527,6527,6544,6550,6553,6558,6565,6565,6583,6588,6593,6605,6620,6642,6656,6657,6665,6672,6691,6714,6733,6764,6784,6819,6851,6876,6901,6922,6951,6970,6991,7024,7050,7086,7115,7156,7208,7244,7279,7315,7359,7390,7424,7451,7480,7521,7553,7592,7637,7710,7778,7848,7936,8030,8120,8229,8301,8432,8550,8689,8828,8969,9126,9257,9481,9649,9906,10123,10422,10658,10893,10893,10893,11741,12050,12415,12679,13021,13021,13958,14342,14938,15496,16130,16722,17313,18003,18727,19529,20189,20949,21658,22380,23177,24023,24760,25537,26271,27191,27960,28933,29851,30823,32350,33544,34482,35379,36119,36935,37674,38426,39146,39788,40239,40838,41336,41945,42652,43244,43814,44224,44685,45118,45820,46537,47212,47762,48305,48777,49336,49839,50510,50988,51737,52188,52680,53144,53863,54801,55640,56489,57316,57956,58721,59870,61215,62098,63405,64550,65148,66672,68194,70010,71453,73361,74818,76148,77551,79140,80665,82049,83438,84632,85574,86967,88252,89545,90859,91687,92554,93304,94237,95745,96719,97831,98736,99461,100100,100921,101802,102580,103270,103953,104540,105134,105848,106536,107187,107873,108423,108888,109343,109836,110353,110874,111316,111632,112022,112398,112883,113258,113724,114154,114568,114717,114912,115176,115627,116010,116390,116670,116951,117178,117451,117915,118296,118762,119187,119495,119845,120244,120729,121052,121556,121948,122255,122672,123094,123543,124011,124461,124868,125282,125743,126267,126830,127428,128118,128684,129192,129740,130386,130969,131784,132616,133287,133910,134549,135365,136185,137142,138101,138782,139433,140121,140927,141774,142532,143368,144153,144693,145364,146053,147037,147810,148735,149740,150511,151260,151641,152910,153682,154886,155818,156568,157222,158225,159462,160476,161528,162383,163154,163670,164846,165595,166624,167201,167991,169150,169957,170758,171484,172449,173338,174070,174765,175503,176252,176880,177415,177925,178437,178756,179456,179907,180466,180939,181221,181616,181874,182209,182570,182885,183397,183790,184124,184391,184726,185017,185385,185637,185908,186111,186292,186497,186753,186949,187118,187260,187406,187518,187654,187800,187933,188020,188084,188164,188217,188300,188362,188427,188492,188535,188596,188661,188728,188770,188854,188944
,Groningen,Netherlands,367,367,368,368,369,369,369,370,372,372,377,379,380,382,385,388,390,393,400,405,411,418,425,432,441,446,456,470,482,490,500,509,520,525,533,540,549,555,558,563,568,574,584,588,590,598,600,604,612,619,626,632,644,657,673,690,719,753,775,809,850,884,920,962,1011,1064,1144,1229,1315,1376,1454,1503,1546,1546,1546,1802,1871,1940,2147,2264,2264,2498,2593,2742,2871,2981,3136,3329,3499,3619,3823,3979,4122,4351,4511,4660,4775,4897,5031,5113,5206,5315,5440,5693,5810,5924,6020,6099,6197,6273,6334,6420,6497,6581,6646,6724,6763,6824,6885,6974,7043,7124,7219,7275,7333,7402,7527,7649,7752,7880,7937,8001,8099,8233,8320,8418,8516,8596,8695,8843,8961,9074,9217,9444,9609,9712,9907,10125,10293,10502,10740,10893,11179,11519,11789,12023,12301,12672,12865,13106,13387,13665,13953,14251,14486,14616,14818,15022,15255,15428,15732,16069,16242,16398,18040,18353,18532,18679,18863,19052,19218,19427,19638,19795,19999,20198,20334,20620,20751,20979,21141,21307,21428,21509,21666,21802,21903,22061,22163,22257,22333,22451,22580,22680,22811,22954,23007,23061,23200,23346,23512,23697,23846,23922,24034,24156,24297,24446,24643,24846,25055,25210,25354,25507,25704,26004,26166,26317,26439,26594,26734,26880,27031,27143,27202,27344,27437,27683,27840,27967,28134,28231,28354,28462,28680,28922,29094,29211,29296,29428,29621,29813,29962,30212,30348,30478,30581,30730,30917,31047,31208,31317,31407,31544,31662,31826,31973,32156,32272,32397,32520,32582,32844,32982,33126,33315,33455,33617,33752,34014,34236,34414,34543,34671,34811,34979,35183,35321,35411,35536,35693,35861,35973,36131,36284,36416,36517,36604,36751,36888,37020,37139,37227,37309,37369,37517,37624,37720,37801,37890,37961,38015,38154,38217,38285,38405,38476,38527,38582,38644,38710,38783,38843,38882,38914,38957,38989,39015,39049,39067,39092,39107,39126,39138,39153,39172,39183,39200,39217,39228,39241,39251,39261,39273,39286,39292,39304,39325,39351,39385,39421
,Limburg,Netherlands,4885,4890,4891,4891,4898,4899,4899,4903,4906,4906,4912,4914,4917,4921,4923,4930,4933,4938,4942,4949,4951,4960,4967,4984,4996,5017,5030,5047,5065,5101,5122,5128,5139,5152,5175,5198,5221,5249,5268,5293,5317,5339,5357,5383,5400,5424,5443,5466,5483,5509,5531,5556,5574,5592,5618,5649,5685,5722,5760,5794,5819,5852,5900,5932,5990,6028,6067,6104,6167,6222,6292,6344,6428,6428,6428,6699,6802,6889,7001,7144,7144,7376,7535,7714,7872,8138,8394,8671,8909,9190,9430,9706,10057,10448,10798,11090,11409,11828,12249,12596,13006,13650,14078,14391,14761,15169,15610,16041,16399,16710,17093,17538,17947,18279,18607,18878,19119,19426,19740,20027,20409,20736,20987,21253,21586,21860,22102,22455,22764,23075,23325,23536,23830,24187,24465,24802,25123,25471,25774,26131,26508,26940,27473,28038,28510,29035,29684,30411,31194,32102,32805,33484,34255,35488,36322,37451,38477,39450,40377,41469,42416,43249,43898,44925,45557,46196,46773,47476,47994,48732,49390,49840,50348,50979,51574,52195,52864,53481,54180,54719,55229,55830,56253,56808,57471,57991,58415,58855,59346,59830,60358,60819,61190,61530,61856,62276,62652,63045,63411,63760,64051,64414,64796,65170,65529,65854,66076,66221,66471,66811,67123,67421,67695,67896,68102,68335,68602,68895,69232,69621,69949,70173,70423,70681,70992,71285,71561,71794,71995,72274,72474,72738,73083,73301,73570,73845,74092,74322,74681,75061,75380,75738,75993,76280,76636,76940,77568,78008,78459,78822,79166,79690,80110,80620,81220,81747,82164,82689,83219,83772,84409,85047,85458,85883,86300,86936,87501,88212,88971,89551,90113,90581,91174,91806,92527,93208,93758,94319,94947,95621,96447,97142,97925,98484,99048,99659,100339,101059,101659,101895,102690,103408,104026,104633,105194,105750,106321,106810,107191,107713,108239,108683,109081,109483,109742,110071,110371,110718,111064,111367,111661,111875,112059,112265,112520,112748,113085,113264,113439,113627,113813,113999,114157,114302,114416,114492,114577,114702,114821,114932,114988,115073,115137,115196,115263,115319,115344,115384,115411,115448,115472,115497,115524,115555,115577,115598,115627,115651,115680,115709,115738
,Noord-Brabant,Netherlands,9747,9763,9782,9782,9819,9845,9854,9878,9892,9892,9935,9970,10009,10052,10088,10138,10199,10252,10303,10356,10416,10486,10558,10643,10709,10816,10873,10924,10995,11064,11136,11197,11264,11330,11380,11462,11523,11591,11676,11735,11834,11906,11994,12080,12145,12215,12266,12336,12400,12474,12554,12651,12737,12827,12941,13025,13126,13238,13357,13470,13579,13701,13869,14065,14278,14422,14670,14935,15251,15574,15898,16169,16501,16501,16501,17542,17891,18424,18980,19464,19464,20760,21417,22216,22989,24078,25045,25954,26906,28162,29550,30758,31863,32918,34040,35516,37061,38327,39742,41028,42300,44516,46189,47869,49763,51282,52889,54523,56307,58008,59583,60592,61827,63052,63970,64727,65485,66457,67140,68055,69264,70098,71078,71925,72582,73618,74623,75627,76580,77461,78130,79007,79639,80713,81363,82310,83071,83734,84469,85375,86402,87627,88647,89783,90836,91832,93198,94581,96028,97659,98978,100065,101977,103858,105652,107455,109521,111147,112621,114029,115590,117197,118595,119932,121000,122040,123334,124623,125767,126821,128111,128977,130099,131051,133150,134462,135579,136549,137323,137937,138760,139641,140607,141525,142253,142970,143625,144428,145322,146255,147102,147906,148567,149187,150081,150910,151719,152470,153137,153683,154216,154956,155672,156390,157182,157826,158162,158527,159079,159709,160401,160953,161518,161959,162374,162887,163641,164443,165258,166119,166863,167543,168354,169291,170152,170903,171603,172137,172691,173551,174099,174884,175792,176547,177070,177738,178545,179370,180337,181280,182318,183152,183993,184873,185753,186833,188199,189341,190301,191163,192470,193560,194642,196125,197385,198455,199408,200581,201803,202874,204245,205408,206379,207265,208376,209584,210836,212144,213544,214829,215853,216874,218351,220044,221245,222742,223988,225155,226836,228362,229985,231409,233053,234109,235147,236847,238213,239635,240825,241690,243247,244649,245972,247276,248587,249984,251344,252353,253354,254524,255529,256628,257490,258313,258714,259838,260568,261477,262218,262701,263330,263775,264174,264765,265269,265952,266579,267114,267497,267715,268169,268617,268995,269417,269651,269920,270158,270422,270690,270903,271090,271261,271381,271502,271650,271788,271914,272002,272129,272197,272312,272413,272508,272590,272685,272748,272806,272883,272986,273094,273214
,Noord-Holland,Netherlands,7459,7479,7523,7523,7592,7628,7659,7700,7731,7731,7838,7887,7930,8026,8098,8193,8251,8323,8501,8590,8791,8906,9040,9168,9378,9563,9717,9837,10031,10225,10355,10517,10674,10830,10996,11136,11224,11329,11497,11639,11771,11903,12036,12163,12264,12424,12554,12752,12903,13110,13290,13497,13712,14011,14274,14498,14802,15114,15440,15755,16167,16580,17012,17573,18087,18577,19041,19662,20185,20729,21382,22051,22828,22828,22828,24811,25534,26250,27047,27918,27918,29644,30693,31736,32851,34055,35110,36319,37834,39307,40498,42151,43883,45320,46780,48423,50300,52071,53951,55343,57288,58828,60711,62062,63747,65454,66979,68316,69378,70531,71629,72947,73995,75171,76060,77007,77711,78607,79614,80752,81642,82497,83329,83962,84666,85385,86369,87453,88405,89161,89798,90523,91183,92137,92843,93721,94432,95162,95881,96821,97641,98782,99889,100853,101738,102907,104111,105492,106914,108254,109505,110594,112265,114128,115968,117781,119636,121333,122948,124682,126532,128145,129700,131248,132393,133465,134953,136570,137776,139116,140257,141210,142103,143238,144790,145930,146857,147871,148650,149525,150293,151361,152280,153074,154047,154742,155461,156316,157322,158189,159169,159964,160529,161358,162111,162977,163691,164335,165004,165511,166143,166842,167616,168366,169017,169707,170095,170482,170988,171861,172687,173466,174188,174747,175342,176160,176930,177949,178796,179755,180576,181416,182302,183224,184303,185330,186565,187376,188142,189400,190116,191111,192352,193445,194185,195010,196089,196939,198224,199485,200458,201577,202529,203613,204654,206055,207439,208726,209757,210701,211954,213237,214501,216096,217336,218527,219388,220654,221885,222989,224163,225228,226082,226914,227892,228881,229913,231018,232262,233322,234266,234924,236147,237467,238627,239880,240888,241894,242977,244312,245594,246687,247656,248542,249366,250369,251268,252195,252949,253835,255220,256265,257254,258335,259409,260515,261351,262262,263036,263873,264554,265312,265913,266429,266761,267442,268000,268573,269120,269546,269910,270258,270598,270957,271408,271882,272379,272693,272946,273220,273554,273894,274222,274481,274694,274889,275118,275311,275506,275664,275867,276023,276140,276321,276511,276688,276858,276997,277125,277231,277357,277462,277595,277701,277808,277906,278012,278109,278220,278391,278627
