Admin2,Province/State,Country/Region,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020
,Amazonas,Peru,546,546,582,605,608,637,654,680,732,758,771,823,873,926,995,995,1033,1170,1179,1349,1407,1440,1483,1565,1565,1612,1655,1689,1845,1916,1971,2020,2052,2155,2254,2329,2448,2562,2717,2860,2948,3083,3167,3238,3267,3333,3406,3457,3534,3601,3653,3534,3534,3994,4278,4312,4369,4529,4529,4529,4997,5098,5298,5298,5507,5507,6045,6191,6340,6470,6632,6831,6831,7076,7125,7347,7488,7488,7791,7791,7986,8216,8313,8553,8670,8813,9010,9282,9471,9622,9760,9968,10120,10373,10640,10803,10883,10964,10964,11209,11320,11478,11611,11633,11728,11939,12119,12238,12267,12417,12524,12614,12752,12884,12987,13173,13309,13309,13559,13707,14226,14226,14471,14605,14675,14769,14804,14920,15095,15095,15282,15312,15376,15452,15539,15613,15630,15642,15665,15665,15763,15763,15804,15848,15882,15918,15962,16114,16114,16217,16366,16366,16429,16461,16511,16575,16647,16713,16713,16713,17012,17166,17166,17190,17215,17253,17258,17289,17324,17365,17408,17429,17452,17452,17469,17469,17522,17665,17665,17685,17689,17727,17727,17798,17868,17952,17952,17970,17970,18053,18053,18111,18131,18139,18139,18161,18173,18173,18180
,Ancash,Peru,3455,3455,3515,4220,4444,4668,4647,5048,5226,5290,5386,5443,5582,5736,5885,5885,6000,6294,6410,6509,6649,6746,6877,7002,7002,7248,7347,7444,7553,7652,7752,7828,7874,7988,8130,8263,8383,8510,8652,8732,8918,9071,9185,9286,9390,9554,9692,9781,9926,10017,10125,9926,9926,10309,10529,10609,10729,10902,10902,10902,11332,11536,11670,11670,11796,11796,12448,12565,12770,13013,13229,13453,13453,13937,14068,14230,14473,14473,14869,14869,15101,15327,15409,15665,15894,16149,16365,16626,16852,16949,17170,17314,17595,17846,18088,18355,18459,18605,18605,18979,19104,19233,19394,19436,19561,19703,19857,20046,20188,20329,20530,20649,20824,21059,21235,21375,21560,21560,21761,21938,22342,22342,22483,22608,22661,22728,22822,22934,23034,23034,23222,23274,23351,23425,23549,23818,23939,24054,24177,24177,24446,24446,24568,24710,24899,24951,25079,25339,25339,25464,25660,25660,25708,25799,25889,26019,26133,26237,26237,26237,26728,26857,26857,26937,27044,27125,27195,27284,27374,27485,27609,27691,27762,27804,27833,27833,27982,28158,28158,28243,28266,28307,28307,28426,28622,28666,28666,28748,28748,28848,28848,28992,29063,29100,29100,29218,29336,29336,29356
,Apurimac,Peru,152,152,171,194,189,198,203,221,237,248,259,288,295,314,319,319,331,348,351,353,402,410,412,441,441,497,498,503,514,525,530,552,554,557,566,569,578,589,593,597,601,603,615,620,628,655,661,664,668,679,691,668,668,715,732,753,763,776,776,776,826,840,858,858,880,880,982,1000,1029,1068,1136,1206,1206,1305,1333,1401,1493,1493,1626,1626,1692,1777,1806,1875,1964,2014,2096,2145,2284,2307,2387,2448,2539,2619,2703,2799,2842,2873,2873,3033,3112,3248,3354,3379,3420,3534,3718,3827,3878,3958,4010,4036,4091,4145,4200,4305,4378,4378,4407,4492,4595,4595,4638,4704,4743,4756,4783,4829,4845,4845,4919,4926,4947,4975,5013,5064,5084,5105,5138,5138,5241,5241,5302,5330,5353,5379,5429,5494,5494,5538,5590,5590,5617,5644,5678,5696,5750,5772,5772,5772,5860,5892,5892,5945,5982,5997,6011,6039,6058,6112,6139,6166,6187,6206,6228,6228,6274,6308,6308,6324,6334,6366,6366,6417,6482,6496,6496,6508,6508,6615,6615,6669,6714,6731,6731,6781,6834,6834,6866
,Arequipa,Peru,2921,2921,3335,3332,3633,3727,3817,3961,4204,4316,4460,4494,4566,4620,4764,4764,4881,5115,5195,5280,5336,5454,5533,5654,5654,5909,5981,6187,6411,6535,6682,6823,7076,7124,7234,7425,7545,7649,7807,7982,8073,8144,8374,8496,8724,8917,9252,9368,9560,9717,9939,9560,9560,10318,10676,11012,11504,11703,11703,11703,12699,12859,13206,13206,13480,13480,15233,15472,15845,16500,17191,18190,18190,19579,19883,20276,20892,20892,22503,22503,23179,23934,24096,24559,25174,25851,26777,28061,28938,29502,29857,30441,30997,31601,32139,32604,32903,33140,33140,34020,34419,34785,35153,35205,35373,35795,36590,36877,37378,37719,37864,38052,38507,38792,39046,39260,39554,39554,39806,40194,40801,40801,41149,41476,41633,41748,41882,42006,42109,42109,42314,42372,42439,42536,42647,42890,42976,43016,43058,43058,43281,43281,43368,43434,43500,43529,43646,43811,43811,43946,44256,44256,44287,44326,44423,44506,44600,44702,44702,44702,44903,44953,44953,45042,45097,45143,45164,45198,45262,45333,45407,45472,45517,45566,45606,45606,45747,45834,45834,45870,45882,45909,45909,46013,46230,46317,46317,46346,46346,46477,46477,46645,46703,46748,46748,46799,46910,46910,46982
,Ayacucho,Peru,639,639,712,748,762,790,826,862,865,886,910,915,958,995,1028,1028,1071,1157,1171,1220,1296,1331,1375,1454,1454,1540,1569,1603,1644,1678,1717,1743,1747,1775,1829,1865,1910,1934,1982,1996,2046,2077,2130,2178,2243,2289,2311,2346,2442,2517,2604,2442,2442,2791,2936,3006,3101,3170,3170,3170,3366,3462,3611,3611,3726,3726,4052,4132,4223,4352,4492,4603,4603,4930,5033,5113,5302,5302,5643,5643,5826,5982,6072,6238,6435,6560,6746,6894,7085,7148,7263,7407,7573,7793,7981,8132,8208,8337,8337,8612,8749,8932,9072,9090,9146,9331,9453,9665,9729,9841,9924,9997,10124,10263,10410,10572,10695,10695,10838,10937,11145,11145,11282,11381,11438,11479,11533,11581,11643,11643,11729,11802,11841,11886,11941,12131,12216,12271,12329,12329,12449,12449,12486,12532,12587,12644,12692,12795,12795,12875,12996,12996,13026,13055,13095,13155,13228,13274,13274,13274,13441,13510,13510,13555,13587,13621,13655,13681,13754,13804,13875,13995,14031,14059,14087,14087,14149,14231,14231,14280,14303,14345,14345,14422,14481,14516,14516,14528,14528,14592,14592,14671,14691,14727,14727,14751,14803,14803,14825
,Cajamarca,Peru,669,669,720,747,786,830,853,882,875,907,935,947,984,1013,1062,1062,1135,1279,1314,1350,1378,1422,1474,1518,1518,1597,1631,1678,1774,1816,1929,1983,2091,2138,2196,2292,2404,2470,2587,2731,2850,3012,3110,3216,3327,3494,3650,3750,3857,3928,4019,3857,3857,4205,4458,4570,4663,4785,4785,4785,5140,5307,5560,5560,5877,5877,6649,6793,6992,7277,7578,7974,7974,8422,8616,8901,9377,9377,10123,10123,10534,10795,10969,11281,11609,12042,12326,12593,13004,13452,13654,13860,14256,14524,14864,15040,15189,15370,15370,15812,16081,16325,16475,16564,16717,16898,17054,17270,17367,17529,17643,17747,18039,18249,18433,18579,18709,18709,18927,19079,19359,19359,19484,19576,19652,19751,19899,20017,20086,20086,20253,20301,20367,20471,20533,20704,20787,20833,20917,20917,21066,21066,21143,21231,21315,21384,21465,21599,21599,21715,21875,21875,21926,21971,22026,22069,22164,22222,22222,22222,22416,22505,22505,22580,22675,22712,22749,22797,22857,22917,22973,23031,23091,23114,23212,23212,23349,23472,23472,23511,23540,23611,23611,23712,23795,23834,23834,23862,23862,23969,23969,24079,24113,24159,24159,24260,24311,24311,24395
,Callao,Peru,9953,9953,12105,12167,12495,12911,13171,13291,13410,13656,13865,14017,14284,14489,14830,14830,15200,15807,15955,16115,16224,16458,16678,16844,16844,17145,17303,17372,17449,17580,17747,17871,17944,17984,18155,18230,18281,18339,18406,18471,18510,18621,18745,18921,19012,19080,19167,19243,19307,19444,19573,19307,19307,19794,19966,20062,20184,20333,20333,20333,20679,20841,20898,20898,21045,21045,21606,21708,21943,22131,22354,22594,22594,23005,23090,23272,23576,23576,24229,24229,24417,24629,24765,24946,25165,25322,25566,25816,25997,26070,26346,26471,26709,26939,27210,27407,27489,27648,27648,28058,28207,28406,28607,28640,28762,28947,29229,29523,29757,30060,30140,30306,30432,30614,30730,30891,31177,31177,31409,31624,31844,31844,31978,32140,32193,32353,32420,32572,32915,32915,33537,33699,33832,33956,34143,34598,34715,34758,34880,34880,35126,35126,35233,35334,35477,35649,35826,36101,36101,36297,36606,36606,36672,36777,36867,36991,37131,37232,37232,37232,37938,38116,38116,38296,38456,38561,38607,38693,38791,38905,39032,39197,39294,39343,39461,39461,39631,39879,39879,39978,40022,40180,40180,40416,40661,40792,40792,40826,40826,41027,41027,41221,41337,41385,41385,41530,41653,41653,41760
,Cusco,Peru,916,916,1015,1062,1103,1125,1157,1174,1182,1199,1229,1260,1274,1309,1344,1344,1368,1436,1449,1458,1469,1494,1508,1520,1520,1629,1631,1656,1680,1698,1727,1760,1775,1796,1817,1841,1875,1906,1932,1983,2018,2059,2093,2125,2198,2266,2313,2356,2467,2536,2586,2467,2467,2750,2839,3010,3176,3286,3286,3286,3808,3923,4034,4034,4157,4157,4974,5073,5201,5520,5735,6003,6003,6548,6879,7024,7458,7458,8192,8192,8619,8949,9097,9330,9776,10194,10613,11222,11974,12322,12648,12920,13354,13725,14380,14973,15235,15379,15379,15937,16146,16435,16680,16705,16952,17247,17568,17798,18168,18379,18457,18555,18811,18967,19135,19265,19369,19369,19536,19668,20060,20060,20228,20339,20415,20483,20550,20638,20688,20688,20783,20804,20864,20922,20970,21078,21145,21254,21312,21312,21422,21422,21479,21553,21599,21679,21734,21888,21888,21977,22079,22079,22124,22176,22232,22304,22365,22424,22424,22424,22631,22661,22661,22757,22818,22900,22973,23047,23092,23130,23178,23216,23252,23298,23344,23344,23418,23534,23534,23571,23591,23642,23642,23777,23902,23987,23987,24003,24003,24097,24097,24200,24264,24293,24293,24332,24416,24416,24462
,Huancavelica,Peru,383,383,430,436,449,455,465,487,507,516,528,569,579,602,612,612,635,659,663,679,751,753,756,799,799,819,822,833,847,860,869,881,890,902,913,927,940,950,958,975,1001,1023,1049,1057,1067,1082,1109,1135,1154,1161,1176,1154,1154,1236,1312,1316,1351,1399,1399,1399,1495,1513,1551,1551,1618,1618,1848,1895,1921,2003,2066,2148,2148,2359,2436,2499,2614,2614,2884,2884,3035,3171,3292,3424,3531,3768,3871,3994,4116,4194,4258,4341,4430,4495,4574,4639,4714,4800,4800,4939,5016,5166,5198,5214,5244,5347,5410,5517,5557,5628,5694,5768,5843,5910,5997,6071,6139,6139,6249,6320,6444,6444,6537,6626,6673,6697,6713,6775,6803,6803,6832,6837,6852,6874,6900,6932,6940,6946,6968,6968,7012,7012,7032,7063,7077,7088,7095,7125,7125,7132,7165,7165,7189,7194,7201,7215,7245,7293,7293,7293,7349,7364,7364,7375,7382,7401,7402,7419,7435,7447,7470,7485,7491,7497,7508,7508,7536,7558,7558,7580,7584,7590,7590,7618,7655,7659,7659,7665,7665,7685,7685,7699,7706,7712,7712,7742,7752,7752,7756
,Huanuco,Peru,780,780,848,885,979,987,1013,1068,1120,1154,1176,1183,1215,1254,1287,1287,1363,1494,1527,1593,1614,1657,1718,1770,1770,1890,1914,1957,1998,2089,2128,2215,2299,2363,2466,2560,2628,2693,2900,2952,3072,3272,3361,3493,3560,3736,3966,4128,4307,4405,4500,4307,4307,4806,5108,5220,5279,5390,5390,5390,5718,5756,5969,5969,6092,6092,6756,6881,7084,7254,7423,7653,7653,8040,8190,8329,8557,8557,8904,8904,9121,9343,9551,9747,10032,10219,10440,10667,10829,10931,11105,11234,11459,11640,11837,12049,12262,12444,12444,12784,12974,13125,13285,13307,13405,13529,13674,13884,13937,14103,14297,14418,14618,14736,14919,15066,15182,15182,15389,15515,15730,15730,15822,15936,15987,16031,16070,16128,16196,16196,16239,16256,16290,16332,16385,16457,16489,16515,16539,16539,16625,16625,16661,16698,16752,16826,16894,16975,16975,17017,17100,17100,17152,17182,17238,17286,17335,17375,17375,17375,17528,17584,17584,17649,17783,17892,18043,18084,18153,18234,18303,18404,18466,18534,18583,18583,18643,18743,18743,18776,18793,18806,18806,18900,19038,19081,19081,19123,19123,19188,19188,19281,19337,19378,19378,19429,19539,19539,19596
