Admin2,Province/State,Country/Region,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021
,Andalusia,Spain,12471,12502,12547,12576,12597,12600,12450,12612,12612,12639,12655,12668,12673,12679,12708,12726,12743,12759,12776,12783,12785,12791,12800,12804,12814,12823,12827,12830,12835,12839,12844,12864,12875,12884,12892,12895,12917,12957,12984,13027,13045,13080,13102,13139,13123,13205,13205,13205,13259,13275,13303,13338,13386,13386,13386,13510,13540,13573,13663,13731,13731,13731,13964,14041,14158,14214,14328,14328,14328,14607,14695,14804,14924,15107,15107,15107,15638,15839,15992,16308,16618,16618,16618,17473,17758,18059,18501,18937,18937,18937,20468,20918,21508,22107,22825,22825,22825,24650,25176,26017,26829,27734,27734,27734,29808,30767,31651,32673,33687,33687,33687,36083,37123,37909,38884,40125,40125,40125,42637,43678,44607,45989,47612,47612,47612,50600,52175,53725,53725,56615,56615,56615,59873,59873,62421,63766,65340,65340,65340,66865,68514,70560,72556,74620,74620,74620,79383,79383,81773,83819,86689,86689,86689,93690,96224,99593,102544,106298,106298,106298,114707,117612,119701,125003,130191,130191,130191,145826,149816,152590,156402,161148,161148,161148,173357,173357,179693,184649,189744,189744,189744,200550,202491,205359,208674,212439,212439,212439,218279,222194,223426,226989,229104,229104,229104,233413,234238,235820,237397,238783,238783,238783,242241,242241,243063,243636,244828,244828,244828,248010,248611,249714,251169,252256,252256,252256,254998,255563,256664,257755,257755,257755,257755,260433,261217,262639,264371,264371,264371,264371,267764,269693,269693,274817,276669,276669,276669,286415,288933,294474,300235,306961,306961,306961,323655,327415,333442,340991,348842,348842,348842,368220,373028,379715,383399,391102,391102,391102,411468,415278,420352,427083,432228,432228,432228,443758,445780,448767,452318,455484,455484,455484,461623,462624,464449,466308,468648,468648,468648,472186,472983,474331,475599,476822,476822,476822,479489,479848,480334,481316,482590,482590,482590,485175,485759,486723,487818,488872,488872,488872,491082,491533,492490,493578,493578,493578,493578,496864,497531,497531,499710,501013,501013,501013,503853,504001,505796,505796,505796,508174,508174,510909,511920,513619,516112,518285,518285,518285,523865,523865,526143,527997,530392,530392,530392,534597,534597,537908,539780,541843,541843,541843
,Aragon,Spain,5520,5551,5588,5618,5627,5646,5600,5600,5600,5656,5671,5680,5691,5695,5711,5731,5734,5757,5770,5781,5785,5792,5806,5812,5833,5836,5840,5842,5845,5850,5855,5880,5898,5931,5964,6011,6060,6112,6228,6255,6304,6319,6330,6353,6380,6412,6412,6412,6495,6519,6578,6637,6632,6632,6632,6861,6945,7111,7384,7639,7639,7639,8530,8720,9045,9467,9772,9772,9772,11010,11377,11810,12167,12685,12685,12685,17449,17837,18494,18870,18870,18870,18870,18388,18849,19418,19845,20353,20353,20353,21847,22269,22901,23251,23607,23607,23607,24591,24752,25077,25373,25562,25562,25562,25756,26641,26865,27105,27493,27493,27493,28410,28625,28914,29288,29665,29665,29665,30947,31172,31467,31838,32266,32266,32266,33427,33742,34005,34274,34722,34722,34722,35849,35849,36409,36704,37071,37071,37071,37393,37679,38088,38541,39267,39267,39267,40672,41029,41298,41895,42554,42554,42554,44322,45066,45479,47076,48283,48283,48283,51502,52543,53753,54925,56181,56181,56181,59244,59891,60920,61686,62653,62653,62653,64835,64835,66323,67053,67697,67697,67697,68814,69196,69665,70209,70624,70624,70624,71336,71590,71924,72243,72590,72590,72590,73375,73614,73982,74280,74534,74534,74534,75088,75088,75321,75322,75638,75638,75638,76246,76446,76714,76933,77112,77112,77112,77588,77769,77980,78124,78124,78124,78124,78849,79122,79551,80023,80023,80023,80023,80976,81298,81298,81706,82696,82696,82696,84130,84568,85261,86168,87008,87008,87008,89041,89570,90406,91191,91963,91963,91963,94005,94560,95429,96324,96962,96962,96962,97813,98231,99489,100106,100714,100714,100714,101847,102152,102509,102913,103252,103252,103252,104237,104499,104768,105017,105207,105207,105207,105708,105887,106096,106279,106480,106480,106480,106860,106998,107224,107398,107568,107568,107568,107850,107954,108122,108265,108416,108416,108416,108693,108799,108940,109093,109093,109093,109093,109579,109683,109683,110002,110163,110163,110163,110530,110668,110894,111089,111089,111339,111339,111611,111836,112210,112531,112848,112848,112848,113436,113630,113963,114218,114511,114511,114511,115206,115206,115746,116084,116374,116374,116374
,Asturias,Spain,2373,2374,2374,2376,2377,2397,2380,2399,2399,2400,2401,2421,2424,2425,2425,2425,2425,2424,2426,2427,2429,2430,2431,2431,2435,2437,2437,2437,2438,2436,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2436,2436,2437,2437,2437,2437,2442,2442,2442,2442,2442,2442,2445,2447,2448,2452,2454,2454,2454,2465,2468,2480,2495,2516,2516,2516,2552,2558,2572,2606,2635,2635,2635,2701,2715,2733,2764,2785,2785,2785,2861,2880,2910,2933,2973,2973,2973,3048,3100,3149,3185,3221,3221,3221,3322,3354,3384,3453,3498,3498,3498,3698,3714,3758,3781,3828,3828,3828,4043,4095,4167,4247,4340,4340,4340,4627,4695,4772,4874,4964,4964,4964,5268,5268,5401,5512,5588,5588,5588,5917,6002,6121,6237,6353,6353,6353,6986,7125,7312,7502,7701,7701,7701,8443,8654,8842,9109,9432,9432,9432,10367,10608,10944,11346,11795,11795,11795,12703,12953,13246,13676,14257,14257,14257,15583,15583,16396,17003,17669,17669,17669,19136,19414,19869,20321,20637,20637,20637,21570,21801,22200,22460,22746,22746,22746,23337,23485,23722,23946,24175,24175,24175,24692,24692,24903,25025,25159,25159,25159,25616,25746,25864,25955,26046,26046,26046,26297,26370,26469,26565,26565,26565,26565,26838,26912,27044,27171,27171,27171,27171,27559,27689,27689,28045,28196,28196,28196,28737,28996,29318,29597,29913,29913,29913,30804,31083,31453,31895,32402,32402,32402,33779,34214,34811,35374,35966,35966,35966,37241,37722,38175,38564,38995,38995,38995,39922,40164,40445,40705,40956,40956,40956,41495,41627,41789,41983,42168,42168,42168,42590,42717,42889,43027,43179,43179,43179,43540,43715,43866,44001,44159,44159,44159,44559,44662,44764,44862,44999,44999,44999,45363,45472,45617,45749,45749,45749,45749,46156,46271,46271,46506,46670,46670,46670,46986,47105,47263,47398,47398,47628,47628,47801,47897,48019,48166,48329,48329,48329,48652,48771,48964,49119,49243,49243,49243,49533,49533,49801,49903,50028,50028,50028
,Baleares,Spain,2005,2018,2024,2037,2039,2041,2035,2111,2111,2124,2129,2137,2141,2142,2150,2157,2164,2110,2118,2125,2133,2135,2137,2142,2146,2152,2154,2157,2163,2165,2167,2169,2174,2179,2187,2188,2189,2191,2194,2201,2205,2206,2209,2216,2220,2228,2228,2228,2238,2239,2240,2246,2249,2249,2249,2270,2271,2271,2277,2290,2290,2290,2316,2321,2326,2331,2343,2343,2343,2376,2401,2425,2464,2545,2545,2545,2612,2739,2823,2934,3051,3051,3051,3143,3501,3780,4044,4178,4178,4178,4448,4686,4906,5100,5342,5342,5342,5694,6603,6939,7465,7648,7648,7648,8164,8337,8663,8961,9191,9191,9191,9501,9809,10135,10412,10729,10729,10729,11002,11278,11452,11737,12059,12059,12059,12636,12849,12989,13154,13309,13309,13309,13619,13619,13858,14005,14181,14181,14181,14478,14573,14717,14859,14975,14975,14975,15349,15454,15568,15697,15822,15822,15822,16195,16316,16480,16663,16876,16876,16876,17431,17606,17852,18080,18361,18361,18361,18918,19146,19431,19693,19946,19946,19946,20617,20617,21048,21266,21449,21449,21449,21988,22204,22408,22581,22764,22764,22764,23193,23338,23513,23690,23925,23925,23925,24441,24612,24803,25021,25288,25288,25288,25941,25941,26348,26574,26888,26888,26888,27871,28172,28563,28965,29423,29423,29423,30813,31316,31792,32320,32320,32320,32320,34023,34426,34974,35569,35569,35569,35569,37434,37934,37934,39030,39586,39586,39586,41275,41816,42547,43232,43947,43947,43947,45533,46110,46721,47359,47984,47984,47984,49610,50059,50585,51103,51575,51575,51575,52490,52706,53027,53343,53584,53584,53584,54083,54248,54429,54591,54731,54731,54731,55092,55220,55349,55467,55559,55559,55559,55751,55802,55873,55934,55991,55991,55991,56164,56196,56236,56286,56338,56338,56338,56438,56476,56519,56621,56663,56663,56663,56752,56785,56828,56881,56881,56881,56881,57088,57130,57130,57270,57315,57315,57315,57558,57619,57676,57727,57727,57809,57809,57901,57932,58000,58082,58153,58153,58153,58298,58380,58428,58477,58533,58533,58533,58664,58664,58756,58821,58885,58885,58885
,C. Valenciana,Spain,10962,10949,10987,11021,11051,11073,11056,11089,11089,11160,11191,11199,11201,11228,11238,11254,11265,11285,11300,11314,11332,11342,11361,11381,11389,11393,11404,11418,11421,11431,11441,11451,11476,11479,11486,11494,11501,11509,11512,11531,11537,11541,11579,11588,11616,11630,11630,11630,11666,11685,11701,11718,11740,11740,11740,11794,11831,11854,11892,11933,11933,11933,12103,12182,12239,12325,12442,12442,12442,12773,12887,12999,13233,13318,13318,13318,13840,13974,14262,14439,14908,14908,14908,15411,15663,15934,16292,16777,16777,16777,17492,17881,18172,18647,19103,19103,19103,19978,20748,20748,22004,22695,22695,22695,24096,25006,25461,25996,26710,26710,26710,27842,28513,29253,29907,30866,30866,30866,31699,32603,33150,33831,34370,34370,34370,35249,36139,36796,37502,38112,38112,38112,39171,39171,40686,41248,41839,41839,41839,42969,43558,43938,44644,45220,45220,45220,45813,46081,46842,47622,48524,48524,48524,49648,50966,51569,52629,53831,53831,53831,55875,56941,58546,60075,61592,61592,61592,63527,65492,67842,69036,70114,70114,70114,73151,73151,77423,79559,81854,81854,81854,84029,85879,87787,89994,91912,91912,91912,94286,96469,97896,99403,100748,100748,100748,102240,104055,105474,107196,108586,108586,108586,110704,110704,112231,113926,115386,115386,115386,117532,120373,122452,124561,126750,126750,126750,129463,131884,134414,136908,136908,136908,136908,139660,143242,145965,148797,148797,148797,148797,151903,155822,155822,159615,164156,164156,164156,174172,178863,183671,189877,197372,197372,197372,210451,218400,228205,236657,245280,245280,245280,264742,274335,283621,290365,298389,298389,298389,317019,325112,330368,335186,341314,341314,341314,348522,352832,355862,358577,360966,360966,360966,364945,367008,368550,371599,373369,373369,373369,375358,376187,376718,377330,377866,377866,377866,379103,379675,380091,380580,381068,381068,381068,381728,382062,382310,382610,382920,382920,382920,383362,383585,383729,383907,383907,383907,383907,384413,384452,384452,384862,385049,385049,385049,385411,385429,385658,385866,385866,386284,386284,386439,386482,386631,386933,387107,387107,387107,387530,387611,387772,387993,388216,388216,388216,388652,388652,388940,389162,389344,389344,389344
,Canarias,Spain,2294,2300,2307,2312,2321,2322,2317,2323,2323,2327,2333,2343,2345,2347,2351,2357,2361,2362,2364,2369,2370,2372,2372,2371,2374,2377,2378,2378,2382,2382,2398,2402,2402,2414,2414,2415,2421,2423,2426,2427,2427,2427,2427,2432,2431,2436,2436,2436,2441,2443,2444,2451,2450,2450,2450,2457,2461,2467,2481,2483,2483,2483,2551,2553,2564,2570,2578,2578,2578,2608,2610,2617,2623,2631,2631,2631,2687,2695,2711,2743,2798,2798,2798,2955,3041,3107,3208,3323,3323,3323,3690,3781,3925,4114,4288,4288,4288,4990,5225,5516,5851,6126,6126,6126,7068,7302,7566,7927,8302,8302,8302,9184,9380,9602,9861,10133,10133,10133,10859,10969,11161,11310,11479,11479,11479,12027,12193,12350,12487,12762,12762,12762,13243,13243,13485,13676,13880,13880,13880,14271,14347,14463,14588,14775,14775,14775,15173,15236,15303,15425,15572,15572,15572,15955,16082,16239,16398,16547,16547,16547,16882,16906,17000,17149,17263,17263,17263,17612,17672,17758,17916,18088,18088,18088,18547,18547,18772,18891,19019,19019,19019,19360,19456,19605,19753,19869,19869,19869,20207,20331,20481,20615,20730,20730,20730,21075,21185,21374,21591,21753,21753,21753,21753,21753,22493,22702,22943,22943,22943,23578,23718,24036,24275,24531,24531,24531,25127,25288,25532,25532,25532,25532,25532,26317,26568,26859,26859,26859,26859,26859,27888,28121,28121,28590,28827,28827,28827,29626,29872,30245,30602,30972,30972,30972,31699,32010,32309,32638,32971,32971,32971,33785,34013,34350,34681,35014,35014,35014,35729,35941,36176,36430,36678,36678,36678,37248,37422,37634,37869,38170,38170,38170,38668,38794,38967,39081,39249,39249,39249,39693,39884,40104,40268,40477,40477,40477,40887,41058,41250,41421,41635,41635,41635,42114,42326,42548,42777,43023,43023,43023,43531,43795,44041,44260,44260,44260,44260,45081,45324,45324,45809,46004,46004,46004,46445,46649,46880,47098,47098,47422,47422,47778,47994,48230,48460,48788,48788,48788,49418,49630,49828,50040,50321,50321,50321,50881,50881,51233,51452,51617,51617,51617
,Cantabria,Spain,2273,2277,2279,2284,2287,2289,2283,2283,2283,2297,2298,2298,2303,2303,2314,2316,2316,2320,2320,2321,2323,2324,2324,2327,2327,2332,2334,2334,2336,2338,2341,2342,2342,2344,2344,2344,2351,2351,2351,2351,2362,2362,2362,2363,2364,2364,2364,2364,2368,2368,2369,2369,2369,2369,2369,2374,2375,2378,2380,2381,2381,2381,2403,2405,2406,2410,2419,2419,2419,2436,2447,2448,2455,2469,2469,2469,2532,2567,2604,2623,2653,2653,2653,2746,2759,2824,2869,2930,2930,2930,3119,3138,3191,3240,3240,3240,3240,3518,3569,3651,3740,3832,3832,3832,4137,4199,4313,4415,4561,4561,4561,4856,4936,5049,5221,5372,5372,5372,5720,5798,5883,6005,6058,6058,6058,6315,6366,6433,6499,6568,6568,6568,6700,6700,6806,6850,6888,6888,6888,7045,7082,7124,7161,7192,7192,7192,7362,7407,7478,7536,7621,7621,7621,7924,8016,8173,8386,8500,8500,8500,9019,9151,9322,9520,9699,9699,9699,10206,10422,10650,10804,11112,11112,11112,11750,11750,12224,12482,12708,12708,12708,13235,13473,13750,13984,14145,14145,14145,14548,14681,14809,14928,15027,15027,15027,15331,15436,15633,15752,15903,15903,15903,16221,16221,16382,16426,16532,16532,16532,16743,16813,16897,16973,17048,17048,17048,17202,17264,17324,17398,17398,17398,17398,17667,17731,17843,17948,17948,17948,17948,18331,18477,18477,18765,18905,18905,18905,19291,19499,19627,19809,19945,19945,19945,20401,20520,20724,20930,21127,21127,21127,21691,21862,21923,22124,22186,22186,22186,22577,22720,22866,22980,23116,23116,23116,23331,23428,23527,23635,23695,23695,23695,23884,23986,24057,24109,24183,24183,24183,24353,24416,24472,24530,24574,24574,24574,24699,24738,24786,24823,24866,24866,24866,24975,25002,25051,25095,25134,25134,25134,25251,25306,25348,25398,25398,25398,25398,25541,25592,25592,25693,25813,25813,25813,25949,26011,26077,26077,26077,26268,26268,26368,26425,26490,26552,26653,26653,26653,26888,26990,27069,27135,27269,27269,27269,27579,27579,27778,27885,28004,28004,28004
,Castilla - La Mancha,Spain,16677,16739,16789,16830,16855,16889,16909,16992,16992,17068,17122,17184,17234,17259,17310,17355,17393,17431,17472,17505,17543,17609,17640,17702,17740,17776,17803,17811,17828,17845,17894,17894,17940,17965,17987,17987,17987,18021,18024,18076,18094,18120,18158,18160,18187,18209,18209,18209,18273,18291,18307,18330,18343,18343,18343,18392,18393,18399,18413,18431,18431,18431,18480,18484,18501,18527,18539,18539,18539,18611,18635,18651,18694,18743,18743,18743,18843,18957,18957,19028,19109,19109,19109,19267,19445,19582,19707,19875,19875,19875,20214,20397,20615,20828,21054,21054,21054,21657,21980,22342,22686,23028,23028,23028,23810,24157,24664,25192,25737,25737,25737,26820,27360,27807,28433,29130,29130,29130,31277,32260,33236,33956,34835,34835,34835,36380,37162,38035,39068,39954,39954,39954,41527,41527,43172,43714,44632,44632,44632,45612,46583,47139,47968,48584,48584,48584,49613,49873,50780,51514,52336,52336,52336,53841,54488,55358,56272,57347,57347,57347,59307,60460,61573,62754,64042,64042,64042,66121,67243,68590,69810,70817,70817,70817,72554,72554,74586,75607,76456,76456,76456,77866,78735,79579,80269,80928,80928,80928,81761,82336,83132,84140,84935,84935,84935,85984,86499,86903,87516,87956,87956,87956,88827,88827,89435,89734,90337,90337,90337,91305,91921,92514,93179,93870,93870,93870,95077,95594,96259,97015,97015,97015,97015,98196,98847,99606,100673,100673,100673,100673,103019,104102,104102,105977,107656,107656,107656,110614,112158,113948,116338,119183,119183,119183,125393,127541,129591,132362,134196,134196,134196,139801,141741,144229,146462,148459,148459,148459,152833,154343,155903,157347,158757,158757,158757,161214,161898,162777,163443,163937,163937,163937,165110,165487,165833,166411,166631,166631,166631,167278,167487,167785,168167,168561,168561,168561,169170,169581,169814,170023,170153,170153,170153,170461,170933,171509,172038,172425,172425,172425,172947,173197,173417,173615,173615,173615,173615,174110,174325,174325,174674,174891,174891,174891,175310,175609,175803,176160,176160,176351,176351,176553,176769,177253,177727,178092,178092,178092,178873,179346,179683,180022,180494,180494,180494,181337,181337,182138,182596,182975,182975,182975
,Castilla y Leon,Spain,18549,18586,18627,18674,18737,18789,18555,18591,18591,18682,18747,18804,18863,18907,18925,18956,19009,19042,19104,19161,19181,19193,19222,19254,19296,19324,19343,19353,19365,19407,19434,19466,19485,19499,19516,19527,19563,19585,19607,19634,19634,19665,19685,19730,19750,19753,19753,19753,19770,19773,19778,19782,19787,19787,19787,19790,19826,19836,19855,19870,19870,19870,19906,19946,19963,19987,20017,20017,20017,20055,20112,20142,20209,20310,20310,20310,20484,20643,20739,20922,21130,21130,21130,21394,21994,22169,22391,22670,22670,22670,23132,23720,24012,24400,24816,24816,24816,25451,26020,26478,26973,27430,27430,27430,28797,29248,29689,30040,30531,30531,30531,31987,32573,32922,33514,34087,34087,34087,36184,36832,37123,37997,38872,38872,38872,41019,41743,42378,43285,44353,44353,44353,46459,46459,47849,48664,49638,49638,49638,51603,52263,52959,53735,54744,54744,54744,57489,57909,58811,59976,60687,60687,60687,64171,65158,66583,67981,69989,69989,69989,74406,75920,77102,79010,81036,81036,81036,85924,86764,89313,90671,92867,92867,92867,97687,97687,101105,103186,104785,104785,104785,108777,109973,111281,113142,114549,114549,114549,117175,117730,118397,119178,119952,119952,119952,121621,121951,122445,123041,123433,123433,123433,124714,124714,125107,125573,126229,126229,126229,127094,127478,127984,128511,128932,128932,128932,129619,129897,130242,130570,130570,130570,130570,131180,131539,132059,132611,132611,132611,132611,134165,135366,135366,137410,138681,138681,138681,141928,143022,145208,147530,150012,150012,150012,156306,158607,161590,164560,167444,167444,167444,174017,176496,179211,181926,184134,184134,184134,188780,190323,191968,193500,194915,194915,194915,197204,198081,198943,199825,200451,200451,200451,201669,202154,202645,203135,203549,203549,203549,204293,204643,204996,205296,205587,205587,205587,206184,206471,206650,206893,207098,207098,207098,207539,207739,207977,208217,208406,208406,208406,208843,209093,209333,209571,209571,209571,209571,210267,210470,210470,211004,211261,211261,211261,211909,212298,212625,213046,213046,213472,213472,214007,214460,214908,215410,215845,215845,215845,216720,217129,217551,217954,218384,218384,218384,219244,219244,220083,220468,220867,220867,220867
,Catalonia,Spain,55825,55888,55888,57036,57114,57148,57320,57569,57569,58427,58699,59003,59013,59019,59035,59112,59163,59182,59199,59209,59215,59232,59298,59423,59593,59706,59820,59897,59944,60030,60340,60450,60530,60645,60714,60754,60847,60927,61073,61229,61355,61417,61494,61639,61888,62057,62057,62057,62797,62943,63042,63307,63888,63888,63888,65086,65429,65852,66570,67217,67217,67217,69393,69906,70317,71814,72919,72919,72919,75613,76332,77142,78257,79324,79324,79324,80568,83079,83850,84952,85970,85970,85970,88572,89015,89909,90890,91982,91982,91982,94702,95123,96139,97234,98462,98462,98462,102032,102817,104084,105429,106811,106811,106811,110017,110667,112230,113569,114987,114987,114987,118233,118974,119839,121054,122320,122320,122320,123393,123393,126234,127544,128901,128901,128901,132024,132700,133751,134825,135469,135469,135469,138652,138652,140115,140416,142464,142464,142464,148015,148867,150438,152154,154354,154354,154354,160551,161769,163274,165445,168208,168208,168208,176860,179552,183747,188164,192035,192035,192035,207692,212135,217205,222652,228000,228000,228000,237569,243158,247978,253236,257588,257588,257588,267218,267218,273041,274425,278161,278161,278161,283937,285993,288067,290182,292348,292348,292348,295906,297090,298703,300125,301577,301577,301577,304522,305903,307245,308791,310141,310141,310141,312605,312605,314471,315872,317636,317636,317636,321275,323087,324940,326907,329175,329175,329175,333704,335841,338303,340993,340993,340993,340993,346643,349571,353194,356724,356724,356724,356724,360871,367906,367906,380406,386595,386595,386595,400552,406325,413332,419486,426130,426130,426130,439154,444330,450191,456108,461871,461871,461871,473259,477807,482472,487277,492228,492228,492228,500604,505572,512163,518056,523662,523662,523662,531520,534034,537456,541127,543304,543304,543304,550114,551943,553889,558047,560565,560565,560565,566542,568572,571430,574949,577701,577701,577701,582073,503209,504832,506216,507482,507482,507482,509596,509596,518235,513120,514156,514156,514156,516327,517330,518822,520263,520263,520263,520263,523656,525096,525096,527829,529904,529904,529904,533746,534368,536235,538008,538008,539381,539381,542260,542879,543680,544613,547239,547239,547239,552395,553393,555546,557288,559460,559460,559460,563680,563680,566399,569080,572754,572754,572754
