Admin2,Province/State,Country/Region,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020
,Blekinge,Sweden,264,274,279,297,307,311,319,343,357,369,379,382,389,402,402,402,402,414,417,425,430,436,436,436,444,444,447,449,452,452,452,460,462,465,468,470,470,470,471,473,475,476,478,478,478,479,479,479,480,480,480,480,482,483,487,488,491,491,491,494,495,504,514,514,514,514,529,536,546,550,565,565,565,574,575,576,587,590,590,590,596,596,598,597,600,600,600,609,609,610,610,610,610,610,612,612,615,615,616,616,616,616,617,620,621,624,624,624,624,633,652,665,678,678,678,678,710,712,728,747,747,747,747,782,795,797,822,822,822,822,842,848,849,858,858,858,858,873,873,892,902,902,902,902,945,970,981,999,999,999,999,1077,1081,1120,1154,1154,1154,1154,1247,1247,1305,1345,1345,1345,1345,1474,1478,1534,1653,1653,1653,1653,1763,1766,1840,1901,1901,1901,1901,2079,2164,2288,2329,2329,2329,2329,2539,2629,2766,2864,2864,2864,2864,3101,3261
,Dalarna,Sweden,1277,1297,1314,1315,1329,1345,1363,1372,1375,1385,1395,1398,1405,1410,1410,1410,1410,1457,1466,1495,1518,1555,1555,1555,1623,1626,1653,1681,1739,1739,1739,1801,1804,1817,1835,1848,1848,1848,1859,1877,1884,1888,1897,1897,1897,1915,1916,1928,1931,1936,1936,1936,1944,1945,1948,1951,1955,1955,1955,1971,1971,1979,1996,2003,2003,2003,2022,2020,2029,2033,2041,2041,2041,2056,2061,2069,2074,2079,2079,2079,2098,2103,2106,2116,2123,2123,2123,2149,2153,2166,2179,2190,2190,2190,2205,2206,2217,2228,2252,2252,2252,2252,2296,2322,2347,2365,2365,2365,2365,2451,2465,2488,2492,2492,2492,2492,2539,2543,2556,2580,2580,2580,2580,2637,2644,2669,2691,2691,2691,2691,2749,2751,2794,2820,2820,2820,2820,2884,2929,2957,2992,2992,2992,2992,3103,3166,3243,3306,3306,3306,3306,3553,3645,3751,3856,3856,3856,3856,4185,4264,4395,4554,4554,4554,4554,4888,4947,5056,5219,5219,5219,5219,5595,5660,5819,5994,5994,5994,5994,6350,6441,6616,6737,6737,6737,6737,7147,7335,7581,7656,7656,7656,7656,8154,8439
,Gavleborg,Sweden,1435,1470,1503,1516,1542,1587,1637,1696,1737,1763,1794,1835,1895,1933,1933,1933,1933,2007,2064,2107,2148,2174,2174,2174,2226,2264,2467,2531,2559,2559,2559,2691,2721,2726,2791,2815,2815,2815,2962,2981,2989,3011,3022,3022,3022,3053,3058,3078,3083,3108,3108,3108,3119,3120,3125,3134,3135,3135,3135,3146,3146,3150,3158,3161,3161,3161,3180,3180,3189,3203,3212,3212,3212,3225,3230,3232,3238,3246,3246,3246,3260,3260,3260,3179,3191,3191,3191,3199,3200,3200,3210,3218,3218,3218,3223,3229,3237,3247,3250,3250,3250,3250,3268,3279,3284,3285,3285,3285,3285,3302,3315,3326,3339,3339,3339,3339,3377,3379,3396,3415,3415,3415,3415,3450,3452,3483,3497,3497,3497,3497,3528,3546,3552,3564,3564,3564,3564,3590,3611,3621,3645,3645,3645,3645,3695,3749,3776,3831,3831,3831,3831,3940,4063,4125,4234,4234,4234,4234,4425,4522,4697,4766,4766,4766,4766,5197,5318,5403,5720,5720,5720,5720,6235,6445,6676,6923,6923,6923,6923,7436,7637,7923,8215,8215,8215,8215,8852,9213,9564,9926,9926,9926,9926,10397,10461
,Gotland,Sweden,88,89,90,90,91,97,99,106,109,109,109,114,118,122,122,122,122,131,137,144,147,147,147,147,154,160,162,162,162,162,162,165,174,174,177,181,181,181,182,186,189,189,196,196,196,206,206,212,217,219,219,219,230,230,230,238,248,248,248,250,251,257,268,270,270,270,285,287,288,290,297,297,297,307,308,310,311,311,311,311,314,315,315,315,317,317,317,318,318,318,318,318,318,318,319,319,319,319,321,321,321,321,323,323,324,324,324,324,324,327,327,327,327,327,327,327,330,330,331,337,337,337,337,347,347,350,351,351,351,351,366,366,368,368,368,368,368,375,378,378,384,384,384,384,408,409,416,418,418,418,418,488,510,515,544,544,544,544,692,739,751,777,777,777,777,913,942,965,990,990,990,990,1082,1100,1167,1198,1198,1198,1198,1346,1407,1442,1464,1464,1464,1464,1623,1629,1664,1702,1702,1702,1702,1864,1900
,Halland,Sweden,870,887,913,920,937,963,994,1020,1049,1060,1066,1084,1131,1154,1154,1154,1154,1190,1201,1271,1303,1331,1331,1331,1442,1483,1536,1538,1574,1574,1574,1592,1592,1620,1627,1639,1639,1639,1648,1652,1657,1665,1671,1671,1671,1683,1692,1698,1702,1706,1706,1706,1713,1720,1726,1758,1757,1757,1757,1774,1789,1794,1827,1843,1843,1843,1872,1893,1925,1937,1949,1949,1949,1963,1975,2014,2018,2020,2020,2020,2061,2081,2103,2106,2129,2129,2129,2137,2152,2184,2191,2216,2216,2216,2232,2248,2252,2281,2290,2290,2290,2290,2323,2331,2346,2356,2356,2356,2356,2427,2430,2449,2480,2480,2480,2480,2551,2576,2606,2636,2636,2636,2636,2688,2728,2758,2784,2784,2784,2784,2848,2865,2908,2914,2914,2914,2914,2980,3016,3042,3084,3084,3084,3084,3218,3317,3351,3435,3435,3435,3435,3727,3877,3934,4052,4052,4052,4052,4516,4561,4594,4847,4847,4847,4847,5175,5230,5347,5527,5527,5527,5527,5866,6002,6226,6299,6299,6299,6299,6941,7157,7199,7372,7372,7372,7372,7771,7886,8114,8249,8249,8249,8249,8770,9059
,Jamtland Harjedalen,Sweden,774,792,803,809,817,839,847,862,868,884,884,920,941,951,951,951,951,977,983,993,1004,1008,1008,1008,1032,1033,1038,1039,1059,1059,1059,1063,1064,1068,1071,1080,1080,1080,1086,1091,1093,1097,1100,1100,1100,1106,1109,1112,1113,1113,1113,1113,1124,1125,1129,1134,1134,1134,1134,1134,1147,1149,1152,1153,1153,1153,1153,1153,1158,1160,1160,1160,1160,1171,1171,1171,1171,1173,1173,1173,1173,1175,1175,1177,1178,1178,1178,1188,1189,1190,1190,1205,1205,1205,1210,1211,1211,1218,1218,1218,1218,1218,1219,1220,1221,1222,1222,1222,1222,1238,1243,1245,1257,1257,1257,1257,1265,1289,1292,1300,1300,1300,1300,1333,1365,1373,1378,1378,1378,1378,1481,1499,1507,1512,1512,1512,1512,1555,1577,1589,1601,1601,1601,1601,1624,1626,1636,1650,1650,1650,1650,1684,1700,1713,1736,1736,1736,1736,1837,1869,1928,1993,1993,1993,1993,2097,2188,2207,2342,2342,2342,2342,2562,2586,2670,2738,2738,2738,2738,2895,2928,2995,3054,3054,3054,3054,3211,3240,3331,3380,3380,3380,3380,3582,3684
,Jonkoping,Sweden,1681,1719,1750,1751,1792,1857,2009,2137,2268,2291,2394,2426,2573,2771,2771,2771,2771,3176,3189,3358,3533,3685,3685,3685,3963,3977,4035,4102,4201,4201,4201,4302,4305,4351,4396,4422,4422,4422,4479,4482,4505,4535,4544,4544,4544,4584,4586,4605,4623,4630,4630,4630,4644,4646,4660,4671,4685,4685,4685,4707,4710,4731,4746,4760,4760,4760,4788,4788,4807,4820,4831,4831,4831,4856,4858,4876,4887,4901,4901,4901,4918,4918,4923,4928,4933,4933,4933,4949,4951,4957,4969,4978,4978,4978,5028,5031,5046,5071,5098,5098,5098,5098,5160,5165,5199,5224,5224,5224,5224,5266,5293,5319,5324,5324,5324,5324,5362,5375,5393,5426,5426,5426,5426,5478,5504,5532,5569,5569,5569,5569,5673,5702,5787,5811,5811,5811,5811,5954,5986,6046,6097,6097,6097,6097,6229,6419,6545,6636,6636,6636,6636,7119,7284,7460,7705,7705,7705,7705,8258,8559,8706,9066,9066,9066,9066,9503,9732,10021,10317,10317,10317,10317,10793,11044,11181,11403,11403,11403,11403,11847,12010,12250,12416,12416,12416,12416,12911,13176,13408,13583,13583,13583,13583,14137,14468
,Kalmar,Sweden,390,405,406,408,421,440,447,457,469,476,479,495,504,514,514,514,514,542,563,568,581,594,594,594,614,626,645,674,691,691,691,701,707,721,724,727,727,727,733,733,734,740,743,743,743,748,753,758,760,761,761,761,764,765,766,772,775,775,775,780,782,783,786,788,788,788,792,796,797,805,813,813,813,820,823,834,837,844,844,844,861,862,865,873,874,874,874,885,886,886,888,890,890,890,894,895,896,898,899,899,899,899,902,905,907,911,911,911,911,913,917,917,918,918,918,918,924,929,931,932,932,932,932,937,940,946,947,947,947,947,958,963,971,975,975,975,975,1002,1015,1035,1052,1052,1052,1052,1117,1123,1151,1187,1187,1187,1187,1285,1330,1405,1481,1481,1481,1481,1681,1745,1820,1907,1907,1907,1907,2103,2175,2237,2316,2316,2316,2316,2557,2628,2762,2848,2848,2848,2848,3257,3341,3424,3547,3547,3547,3547,3832,3894,4069,4168,4168,4168,4168,4566,4701
,Kronoberg,Sweden,897,916,916,930,935,950,961,975,987,1002,1004,1005,1017,1021,1021,1021,1021,1033,1038,1044,1046,1052,1052,1052,1063,1063,1066,1068,1072,1072,1072,1073,1075,1074,1079,1082,1082,1082,1092,1093,1098,1102,1104,1104,1104,1119,1119,1121,1127,1135,1135,1135,1138,1138,1142,1150,1154,1154,1154,1166,1168,1175,1181,1201,1201,1201,1228,1231,1241,1265,1294,1294,1294,1318,1321,1322,1338,1339,1339,1339,1362,1364,1367,1379,1386,1386,1386,1407,1407,1408,1415,1423,1423,1423,1445,1445,1450,1464,1477,1477,1477,1477,1505,1521,1537,1548,1548,1548,1548,1592,1594,1624,1641,1641,1641,1641,1704,1705,1730,1746,1746,1746,1746,1780,1782,1794,1819,1819,1819,1819,1850,1858,1879,1894,1894,1894,1894,1974,1981,2035,2079,2079,2079,2079,2282,2289,2367,2464,2464,2464,2464,2749,2767,2814,2906,2906,2906,2906,3458,3482,3507,3679,3679,3679,3679,4181,4231,4262,4400,4400,4400,4400,4734,4794,4869,5055,5055,5055,5055,5361,5369,5504,5613,5613,5613,5613,5901,5919,6033,6213,6213,6213,6213,6620,6690
,Norrbotten,Sweden,481,495,503,503,533,537,556,570,608,608,685,731,787,853,853,853,853,919,1012,1093,1136,1145,1145,1145,1233,1284,1326,1344,1358,1358,1358,1390,1428,1444,1452,1472,1472,1472,1491,1494,1507,1515,1526,1526,1526,1536,1544,1551,1556,1564,1564,1564,1575,1576,1586,1592,1596,1596,1596,1601,1610,1611,1615,1616,1616,1616,1623,1623,1632,1633,1639,1639,1639,1647,1649,1652,1653,1653,1653,1653,1654,1654,1657,1657,1663,1663,1663,1664,1664,1666,1667,1668,1668,1668,1669,1669,1669,1672,1672,1672,1672,1672,1679,1681,1682,1685,1685,1685,1685,1693,1700,1701,1708,1708,1708,1708,1733,1750,1755,1765,1765,1765,1765,1806,1815,1820,1835,1835,1835,1835,1892,1901,1907,1937,1937,1937,1937,1997,2007,2022,2063,2063,2063,2063,2112,2135,2154,2224,2224,2224,2224,2372,2437,2487,2620,2620,2620,2620,2976,3040,3137,3188,3188,3188,3188,3505,3643,3709,3864,3864,3864,3864,4372,4525,4634,4909,4909,4909,4909,5243,5288,5331,5556,5556,5556,5556,5947,6004,6061,6183,6183,6183,6183,6505,6628
