Admin2,Province/State,Country/Region,10-06-2021,10-07-2021,10-08-2021,10-09-2021,10-10-2021,10-11-2021,10-12-2021,10-13-2021,10-14-2021,10-15-2021,10-16-2021,10-17-2021,10-18-2021,10-19-2021,10-20-2021,10-21-2021,10-22-2021,10-23-2021,10-24-2021,10-25-2021,10-26-2021,10-27-2021,10-28-2021,10-29-2021,10-30-2021,10-31-2021,11-01-2021,11-02-2021,11-03-2021,11-04-2021,11-05-2021,11-06-2021,11-07-2021,11-08-2021,11-09-2021,11-10-2021,11-11-2021,11-12-2021,11-13-2021,11-14-2021,11-15-2021,11-16-2021,11-17-2021,11-18-2021,11-19-2021,11-20-2021,11-21-2021,11-22-2021,11-23-2021,11-24-2021,11-25-2021,11-26-2021,11-27-2021,11-28-2021,11-29-2021,11-30-2021,12-01-2021,12-02-2021,12-03-2021,12-04-2021,12-05-2021,12-06-2021,12-07-2021,12-08-2021,12-09-2021,12-10-2021,12-11-2021,12-12-2021,12-13-2021,12-14-2021,12-15-2021,12-16-2021,12-17-2021,12-18-2021,12-19-2021,12-20-2021,12-21-2021,12-22-2021,12-23-2021,12-24-2021,12-25-2021,12-26-2021,12-27-2021,12-28-2021,12-29-2021,12-30-2021,12-31-2021,01-01-2022,01-02-2022,01-03-2022,01-04-2022,01-05-2022,01-06-2022,01-07-2022,01-08-2022,01-09-2022,01-10-2022,01-11-2022,01-12-2022,01-13-2022,01-14-2022,01-15-2022,01-16-2022,01-17-2022,01-18-2022,01-19-2022,01-20-2022,01-21-2022,01-22-2022,01-23-2022,01-24-2022,01-25-2022,01-26-2022,01-27-2022,01-28-2022,01-29-2022,01-30-2022,01-31-2022,02-01-2022,02-02-2022,02-03-2022,02-04-2022,02-05-2022,02-06-2022,02-07-2022
Autauga,Alabama,US,9810,9826,9839,9843,9850,9851,9858,9865,9874,9883,9893,9901,9904,9909,9910,9954,9967,10043,10047,10048,10061,10083,10219,10228,10239,10252,10258,10271,10284,10304,10314,10327,10331,10335,10350,10355,10373,10383,10401,10403,10407,10419,10423,10439,10457,10468,10471,10477,10495,10508,10512,10512,10517,10517,10517,10526,10527,10531,10545,10560,10561,10562,10566,10575,10584,10589,10596,10599,10605,10637,10641,10646,10661,10663,10669,10679,10692,10711,10746,10758,10785,10789,10800,10828,10886,10953,11018,11018,11184,11256,11347,11478,11638,11789,11856,11975,12029,12102,12180,12180,12180,12180,12624,12682,12738,12833,12928,13019,13133,13191,13251,13251,13251,13251,13703,14291,14498,14742,14782,14826,14826,14970,14999,14999,15046
Baldwin,Alabama,US,36734,36780,36814,36870,36889,36905,36933,36965,37018,37044,37069,37087,37098,37127,37167,37192,37224,37245,37258,37266,37285,37325,37350,37372,37398,37414,37425,37445,37461,37495,37529,37633,37648,37659,37737,37745,37785,37819,37855,37865,37875,37891,37914,37940,37959,37981,37986,38000,38014,38042,38061,38061,38068,38074,38085,38104,38123,38140,38171,38195,38207,38215,38236,38247,38265,38278,38307,38314,38321,38398,38413,38441,38457,38484,38506,38521,38569,38628,38690,38771,38864,38878,38942,39084,39298,39583,39911,39911,40396,40549,40838,41312,41855,42391,42738,43285,43583,43896,44353,44353,44353,44353,46528,46893,47143,47662,48338,49168,49682,50003,50313,50313,50313,50313,51924,52255,52459,52649,52881,53083,53083,53559,53637,53637,53768
Barbour,Alabama,US,3527,3536,3541,3545,3546,3546,3548,3550,3552,3553,3554,3556,3560,3563,3565,3566,3575,3577,3578,3578,3583,3595,3596,3596,3599,3601,3601,3605,3607,3609,3611,3612,3614,3614,3620,3622,3631,3632,3648,3648,3648,3653,3655,3659,3660,3683,3687,3688,3690,3691,3691,3691,3694,3694,3695,3699,3700,3700,3701,3706,3708,3708,3708,3712,3714,3714,3716,3716,3716,3718,3719,3720,3722,3722,3723,3725,3725,3726,3730,3735,3740,3742,3742,3750,3777,3819,3860,3860,3932,3961,3999,4036,4101,4150,4180,4263,4305,4375,4437,4437,4437,4437,4684,4713,4741,4800,4843,4902,4993,5025,5054,5054,5054,5054,5192,5224,5241,5263,5276,5297,5297,5338,5346,5346,5356
Bibb,Alabama,US,4168,4176,4184,4192,4193,4194,4202,4208,4211,4216,4216,4217,4217,4232,4236,4240,4246,4251,4252,4253,4256,4262,4275,4276,4278,4279,4281,4283,4286,4290,4295,4294,4295,4295,4301,4302,4310,4313,4317,4317,4317,4323,4325,4328,4333,4337,4337,4337,4338,4339,4340,4340,4340,4340,4340,4345,4348,4352,4354,4357,4362,4364,4367,4371,4375,4378,4379,4379,4379,4385,4388,4391,4393,4396,4397,4400,4406,4409,4410,4410,4414,4420,4426,4452,4472,4514,4533,4533,4576,4594,4616,4680,4730,4815,4857,4914,4939,5007,5046,5046,5046,5046,5274,5302,5385,5486,5565,5663,5747,5779,5795,5795,5795,5795,6006,6049,6088,6107,6130,6158,6158,6204,6208,6208,6224
Blount,Alabama,US,9941,9957,9970,9998,10013,10020,10037,10047,10071,10081,10094,10102,10104,10113,10132,10162,10179,10192,10197,10207,10227,10338,10364,10371,10395,10406,10408,10423,10441,10490,10510,10527,10533,10534,10548,10547,10494,10513,10530,10534,10536,10548,10568,10598,10621,10626,10636,10640,10659,10696,10700,10700,10714,10715,10717,10729,10739,10756,10765,10779,10782,10791,10803,10817,10828,10840,10857,10860,10864,10878,10904,10919,10941,10954,10959,10969,10990,11002,11031,11041,11053,11064,11072,11096,11128,11193,11256,11256,11338,11368,11430,11497,11587,11690,11749,11828,11893,11965,12068,12068,12068,12068,12520,12579,12648,12825,13005,13131,13259,13362,13427,13427,13427,13427,13837,13930,13981,14056,14096,14158,14158,14299,14329,14329,14366
Bullock,Alabama,US,1510,1511,1511,1511,1512,1514,1517,1517,1517,1517,1517,1517,1517,1517,1516,1516,1516,1516,1517,1517,1518,1526,1527,1527,1526,1526,1526,1526,1524,1524,1525,1524,1525,1525,1520,1519,1519,1520,1521,1523,1523,1524,1525,1524,1524,1527,1527,1527,1527,1525,1525,1525,1526,1526,1526,1525,1525,1525,1527,1528,1528,1528,1528,1532,1534,1537,1537,1537,1537,1538,1538,1538,1540,1541,1542,1542,1545,1548,1553,1555,1556,1557,1564,1582,1614,1652,1676,1676,1700,1707,1724,1752,1783,1806,1831,1851,1857,1901,1922,1922,1922,1922,2003,2010,2019,2039,2073,2108,2139,2145,2149,2149,2149,2149,2201,2220,2226,2234,2242,2245,2245,2254,2255,2255,2258
Butler,Alabama,US,3217,3221,3227,3228,3228,3228,3230,3233,3236,3239,3247,3248,3248,3250,3253,3256,3258,3263,3264,3267,3285,3335,3345,3346,3349,3351,3353,3365,3369,3374,3377,3377,3378,3377,3381,3382,3387,3387,3387,3390,3391,3393,3398,3404,3409,3419,3422,3426,3430,3430,3433,3433,3434,3434,3435,3439,3442,3445,3444,3444,3445,3445,3446,3448,3459,3467,3466,3467,3467,3479,3480,3481,3487,3490,3491,3493,3494,3494,3498,3507,3510,3514,3520,3535,3558,3591,3613,3613,3654,3672,3695,3773,3838,3896,3919,3985,4021,4037,4073,4073,4073,4073,4232,4262,4281,4319,4352,4407,4450,4481,4519,4519,4519,4519,4670,4740,4759,4784,4806,4830,4830,4888,4894,4894,4915
Calhoun,Alabama,US,21817,21886,21924,21950,22004,22011,22034,22065,22095,22125,22142,22159,22168,22180,22190,22205,22221,22225,22232,22236,22255,22295,22310,22326,22341,22348,22350,22341,22351,22372,22383,22368,22374,22377,22365,22368,22371,22414,22473,22481,22485,22506,22512,22523,22522,22541,22545,22548,22589,22582,22582,22582,22585,22585,22586,22598,22610,22620,22622,22630,22632,22636,22652,22662,22670,22682,22695,22700,22705,22722,22737,22754,22772,22794,22803,22810,22825,22837,22866,22897,22924,22934,22956,23011,23120,23242,23411,23411,23629,23694,23801,24047,24282,24507,24678,24866,24948,25110,25325,25325,25325,25325,26447,26576,26700,27065,27449,27764,28140,28398,28519,28519,28519,28519,29469,29732,29876,30046,30215,30342,30342,30575,30612,30612,30725
Chambers,Alabama,US,5516,5520,5523,5524,5531,5532,5537,5541,5553,5558,5559,5560,5562,5562,5563,5567,5607,5607,5610,5612,5615,5729,5782,5781,5780,5785,5786,5787,5785,5782,5785,5789,5790,5791,5794,5795,5800,5803,5809,5809,5809,5810,5785,5787,5795,5774,5774,5774,5778,5778,5778,5778,5783,5784,5784,5785,5790,5791,5795,5801,5804,5810,5815,5819,5825,5825,5830,5832,5833,5846,5849,5854,5856,5861,5864,5869,5880,5886,5899,5912,5941,5954,5969,5999,6043,6121,6171,6171,6278,6323,6402,6467,6603,6689,6749,6887,6959,7008,7054,7054,7054,7054,7369,7424,7460,7540,7634,7712,7793,7835,7882,7882,7882,7882,8078,8110,8134,8181,8213,8239,8239,8278,8290,8290,8303
Cherokee,Alabama,US,2963,2965,2968,2971,2973,2977,2980,2990,2992,2994,2999,3000,3005,3009,3016,3017,3023,3028,3028,3029,3032,3055,3061,3066,3068,3068,3069,3071,3072,3082,3089,3093,3095,3096,3101,3103,3111,3112,3117,3119,3120,3124,3130,3132,3133,3140,3144,3144,3148,3161,3169,3169,3175,3177,3178,3183,3186,3195,3199,3203,3205,3205,3212,3222,3224,3226,3230,3232,3232,3243,3243,3248,3259,3261,3266,3266,3272,3279,3285,3289,3302,3302,3303,3311,3318,3364,3385,3385,3418,3429,3448,3487,3511,3550,3569,3629,3648,3682,3719,3719,3719,3719,3997,4058,4106,4196,4233,4310,4419,4484,4529,4529,4529,4529,4753,4774,4803,4822,4851,4869,4869,4910,4920,4920,4930
