Admin2,Province/State,Country/Region,07-12-2022,07-13-2022,07-14-2022,07-15-2022,07-16-2022,07-17-2022,07-18-2022,07-19-2022,07-20-2022,07-21-2022,07-22-2022,07-23-2022,07-24-2022,07-25-2022,07-26-2022,07-27-2022,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022,08-03-2022,08-04-2022,08-05-2022,08-06-2022,08-07-2022,08-08-2022,08-09-2022,08-10-2022,08-11-2022,08-12-2022,08-13-2022,08-14-2022,08-15-2022,08-16-2022,08-17-2022,08-18-2022,08-19-2022,08-20-2022,08-21-2022,08-22-2022,08-23-2022,08-24-2022,08-25-2022,08-26-2022,08-27-2022,08-28-2022,08-29-2022,08-30-2022,08-31-2022,09-01-2022,09-02-2022,09-03-2022,09-04-2022,09-05-2022,09-06-2022,09-07-2022,09-08-2022,09-09-2022,09-10-2022,09-11-2022,09-12-2022,09-13-2022,09-14-2022,09-15-2022,09-16-2022,09-17-2022,09-18-2022,09-19-2022,09-20-2022,09-21-2022,09-22-2022,09-23-2022,09-24-2022,09-25-2022,09-26-2022,09-27-2022,09-28-2022,09-29-2022,09-30-2022,10-01-2022,10-02-2022,10-03-2022,10-04-2022,10-05-2022,10-06-2022,10-07-2022,10-08-2022,10-09-2022,10-10-2022,10-11-2022,10-12-2022,10-13-2022,10-14-2022,10-15-2022
,Cherkasy Oblast,Ukraine,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768,163768
,Chernihiv Oblast,Ukraine,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202,126202
,Chernivtsi Oblast,Ukraine,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465,150465
,Crimea Republic*,Ukraine,184260,184282,184307,184338,184374,184417,184465,184510,184558,184610,184655,184708,184770,184823,184882,184949,185028,185105,185190,185282,185390,185509,185636,185779,185948,186126,186312,186511,186701,186902,187115,187340,187613,187897,188176,188474,188782,189143,189535,189936,190335,190702,191098,191503,191921,192343,192792,193250,193718,194094,194595,195120,195651,196178,196690,197124,197462,197978,198469,198958,199455,199948,200389,200769,201222,201683,202151,202533,202936,203240,203569,203906,204257,204595,204921,205258,205509,205722,205944,206181,206423,206630,206824,206971,207108,207256,207389,207513,207632,207739,207835,207949,208056,208137,208210,208271
,Dnipropetrovsk Oblast,Ukraine,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551,303551
,Donetsk Oblast,Ukraine,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052,216052
,Ivano-Frankivsk Oblast,Ukraine,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629,181629
,Kharkiv Oblast,Ukraine,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661,305661
,Kherson Oblast,Ukraine,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686,107686
,Khmelnytskyi Oblast,Ukraine,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270,201270
