Admin2,Province/State,Country/Region,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021,04-04-2021,04-05-2021,04-06-2021,04-07-2021,04-08-2021,04-09-2021,04-10-2021,04-11-2021,04-12-2021,04-13-2021,04-14-2021,04-15-2021,04-16-2021,04-17-2021,04-18-2021,04-19-2021,04-20-2021,04-21-2021,04-22-2021,04-23-2021,04-24-2021,04-25-2021,04-26-2021,04-27-2021,04-28-2021,04-29-2021,04-30-2021,05-01-2021,05-02-2021,05-03-2021,05-04-2021,05-05-2021,05-06-2021,05-07-2021,05-08-2021,05-09-2021,05-10-2021,05-11-2021,05-12-2021,05-13-2021,05-14-2021,05-15-2021,05-16-2021,05-17-2021,05-18-2021,05-19-2021,05-20-2021,05-21-2021,05-22-2021,05-23-2021,05-24-2021,05-25-2021,05-26-2021,05-27-2021,05-28-2021,05-29-2021,05-30-2021,05-31-2021,06-01-2021,06-02-2021,06-03-2021,06-04-2021,06-05-2021,06-06-2021,06-07-2021,06-08-2021,06-09-2021,06-10-2021,06-11-2021,06-12-2021,06-13-2021,06-14-2021,06-15-2021,06-16-2021,06-17-2021,06-18-2021,06-19-2021,06-20-2021,06-21-2021,06-22-2021,06-23-2021,06-24-2021,06-25-2021,06-26-2021,06-27-2021,06-28-2021,06-29-2021,06-30-2021,07-01-2021,07-02-2021,07-03-2021,07-04-2021,07-05-2021,07-06-2021,07-07-2021,07-08-2021,07-09-2021,07-10-2021,07-11-2021,07-12-2021,07-13-2021,07-14-2021,07-15-2021,07-16-2021,07-17-2021,07-18-2021,07-19-2021,07-20-2021,07-21-2021,07-22-2021,07-23-2021,07-24-2021,07-25-2021,07-26-2021,07-27-2021,07-28-2021,07-29-2021,07-30-2021,07-31-2021,08-01-2021,08-02-2021,08-03-2021,08-04-2021,08-05-2021,08-06-2021,08-07-2021,08-08-2021,08-09-2021,08-10-2021,08-11-2021,08-12-2021,08-13-2021,08-14-2021,08-15-2021,08-16-2021,08-17-2021,08-18-2021,08-19-2021,08-20-2021,08-21-2021,08-22-2021,08-23-2021,08-24-2021,08-25-2021,08-26-2021,08-27-2021,08-28-2021,08-29-2021,08-30-2021,08-31-2021,09-01-2021,09-02-2021,09-03-2021,09-04-2021,09-05-2021,09-06-2021,09-07-2021,09-08-2021,09-09-2021,09-10-2021,09-11-2021,09-12-2021,09-13-2021,09-14-2021,09-15-2021,09-16-2021,09-17-2021,09-18-2021,09-19-2021,09-20-2021,09-21-2021,09-22-2021,09-23-2021,09-24-2021,09-25-2021,09-26-2021,09-27-2021,09-28-2021,09-29-2021,09-30-2021,10-01-2021,10-02-2021,10-03-2021,10-04-2021,10-05-2021,10-06-2021,10-07-2021,10-08-2021,10-09-2021,10-10-2021,10-11-2021,10-12-2021,10-13-2021,10-14-2021,10-15-2021,10-16-2021,10-17-2021,10-18-2021,10-19-2021,10-20-2021,10-21-2021,10-22-2021,10-23-2021,10-24-2021,10-25-2021,10-26-2021,10-27-2021,10-28-2021,10-29-2021,10-30-2021,10-31-2021
,Alberta,Canada,492,500,510,519,524,533,541,551,561,575,590,596,615,631,640,653,666,684,697,719,733,744,760,790,815,841,851,860,871,890,890,890,890,890,1002,1028,1046,1046,1046,1046,1046,1142,1168,1193,1217,1241,1272,1284,1307,1345,1368,1389,1402,1417,1436,1447,1463,1484,1500,1512,1525,1549,1574,1587,1599,1606,1620,1631,1639,1649,1660,1671,1684,1693,1705,1709,1710,1722,1728,1744,1760,1775,1780,1782,1791,1798,1805,1812,1818,1827,1843,1853,1866,1874,1877,1883,1886,1888,1890,1902,1911,1913,1914,1914,1920,1926,1928,1933,1935,1940,1946,1949,1952,1956,1957,1957,1961,1963,1968,1971,1973,1976,1979,1980,1983,1983,1987,1990,1994,1994,1994,1994,1998,2001,2002,2005,2007,2012,2013,2018,2021,2029,2034,2034,2037,2040,2043,2048,2048,2054,2059,2064,2067,2074,2067,2073,2075,2082,2083,2086,2090,2099,2102,2102,2106,2108,2110,2117,2119,2123,2132,2137,2140,2143,2148,2152,2158,2162,2164,2170,2176,2183,2192,2198,2199,2206,2214,2219,2227,2228,2231,2236,2243,2246,2246,2248,2251,2256,2262,2265,2269,2270,2270,2274,2278,2280,2283,2289,2290,2292,2290,2292,2293,2293,2293,2293,2295,2299,2301,2301,2301,2301,2301,2303,2305,2307,2307,2307,2307,2307,2307,2310,2311,2312,2314,2314,2314,2316,2318,2318,2320,2322,2322,2322,2322,2325,2325,2325,2328,2328,2328,2328,2328,2328,2329,2325,2325,2325,2328,2330,2331,2331,2332,2332,2332,2333,2336,2338,2342,2343,2343,2343,2348,2355,2356,2360,2364,2364,2364,2371,2375,2383,2388,2390,2390,2390,2390,2407,2425,2434,2444,2444,2444,2462,2471,2495,2505,2523,2523,2523,2545,2574,2594,2611,2622,2622,2622,2645,2663,2697,2717,2731,2731,2731,2752,2778,2804,2814,2830,2830,2830,2830,2863,2901,2930,2946,2946,2946,2976,2988,3006,3014,3026,3026,3026,3051,3063,3073,3085,3093,3093,3093
,British Columbia,Canada,358,371,384,395,395,395,441,457,469,481,492,492,492,527,543,559,587,598,598,598,647,668,692,713,724,724,724,765,777,796,808,808,808,808,808,882,893,901,901,901,901,946,954,962,970,988,988,988,1010,1019,1031,1038,1047,1047,1047,1078,1090,1104,1119,1128,1128,1128,1154,1168,1172,1184,1189,1189,1189,1210,1218,1234,1240,1246,1246,1246,1259,1263,1269,1278,1288,1288,1288,1288,1314,1317,1321,1327,1327,1327,1335,1336,1338,1348,1355,1355,1355,1363,1365,1372,1376,1380,1380,1380,1391,1393,1394,1397,1397,1397,1397,1407,1407,1411,1419,1421,1421,1421,1437,1438,1441,1446,1449,1449,1449,1455,1455,1458,1463,1463,1463,1463,1463,1489,1491,1493,1495,1495,1495,1513,1515,1521,1524,1530,1530,1530,1538,1539,1546,1550,1554,1554,1554,1571,1571,1576,1577,1581,1581,1581,1596,1597,1594,1595,1602,1602,1602,1622,1624,1627,1632,1634,1634,1634,1648,1650,1658,1661,1667,1667,1667,1667,1680,1683,1690,1692,1692,1692,1703,1703,1707,1709,1710,1710,1710,1722,1722,1725,1729,1730,1730,1730,1734,1734,1738,1739,1740,1740,1740,1743,1743,1744,1747,1749,1749,1749,1754,1754,1754,1754,1756,1756,1756,1759,1759,1759,1760,1760,1760,1760,1760,1760,1760,1761,1761,1761,1761,1763,1763,1763,1763,1767,1767,1767,1768,1768,1771,1771,1771,1771,1771,1771,1772,1772,1772,1772,1772,1772,1777,1777,1778,1779,1779,1779,1779,1780,1781,1782,1784,1785,1785,1785,1801,1801,1802,1804,1807,1807,1807,1814,1816,1818,1824,1827,1827,1827,1827,1842,1842,1847,1856,1856,1856,1865,1866,1873,1877,1888,1888,1888,1899,1900,1910,1915,1922,1922,1922,1940,1942,1953,1953,1973,1973,1973,1983,1983,1992,1996,2001,2001,2001,2001,2029,2033,2042,2055,2055,2055,2081,2086,2092,2096,2109,2109,2109,2109,2109,2137,2147,2156,2156,2156
,Diamond Princess,Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Grand Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Manitoba,Canada,248,256,266,280,290,301,312,328,342,353,362,381,395,407,420,438,451,465,483,490,499,508,523,537,547,556,569,572,590,605,617,617,617,645,654,659,661,667,667,678,683,688,695,705,717,726,733,738,741,748,753,755,760,761,769,773,783,788,793,795,797,799,804,809,813,821,823,825,829,832,832,835,837,838,842,846,850,853,859,862,866,866,871,871,875,876,878,879,882,884,886,886,887,888,889,893,895,896,898,901,903,904,905,907,907,907,908,911,912,916,917,917,917,917,918,919,920,927,928,929,929,929,932,933,934,934,934,935,937,937,938,938,940,942,943,946,949,949,949,949,951,954,955,955,958,959,959,960,961,962,964,967,967,968,968,971,973,974,976,978,979,980,982,986,987,990,993,997,997,1000,1002,1002,1006,1010,1011,1012,1016,1019,1022,1028,1029,1033,1035,1035,1042,1042,1045,1052,1053,1056,1062,1067,1071,1072,1075,1077,1079,1081,1087,1089,1093,1100,1102,1104,1111,1112,1115,1118,1124,1125,1129,1132,1134,1135,1138,1139,1139,1139,1141,1141,1147,1148,1150,1151,1152,1154,1157,1160,1160,1161,1162,1163,1163,1164,1164,1164,1165,1165,1165,1166,1167,1170,1171,1172,1172,1172,1175,1177,1178,1178,1178,1178,1181,1181,1183,1184,1184,1184,1184,1184,1183,1184,1185,1185,1185,1187,1188,1188,1188,1188,1188,1188,1188,1188,1189,1189,1189,1189,1189,1189,1189,1190,1192,1192,1192,1192,1192,1198,1198,1199,1200,1200,1200,1202,1201,1203,1203,1204,1204,1204,1205,1206,1207,1207,1207,1207,1207,1209,1211,1211,1211,1211,1211,1211,1213,1213,1214,1215,1217,1217,1217,1217,1224,1224,1226,1230,1230,1230,1231,1234,1235,1235,1235,1235,1235,1237,1237,1240,1244,1246,1246,1246
,New Brunswick,Canada,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,16,16,17,18,18,18,18,18,18,18,20,20,20,21,21,22,22,22,22,23,24,24,24,24,24,25,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,32,33,33,33,33,33,33,33,33,33,33,33,34,34,34,35,35,35,36,36,36,36,36,37,38,38,39,40,40,41,41,41,41,41,41,41,41,41,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,49,49,52,53,54,54,56,57,59,60,64,66,68,69,70,70,72,72,74,75,75,80,82,84,87,90,91,94,99,101,106,107,108,111,111,112,114,114,116,117
,Newfoundland and Labrador,Canada,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,10,10,10,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,16,16,16,16,16
,Northwest Territories,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11
,Nova Scotia,Canada,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,70,71,71,71,71,71,71,72,72,72,72,72,74,74,76,77,79,79,79,79,79,80,84,85,85,85,87,88,88,88,88,88,88,88,88,89,89,89,90,90,90,90,90,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,95,96,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,100,100,100,100,100,100
,Nunavut,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
