Admin2,Province/State,Country/Region,02-19-2021
,Anhui,China,6
,Beijing,China,9
,Chongqing,China,6
,Fujian,China,1
,Gansu,China,2
,Guangdong,China,8
,Guangxi,China,2
,Guizhou,China,2
,Hainan,China,6
,Hebei,China,7
,Heilongjiang,China,13
,Henan,China,22
,Hong Kong,China,197
,Hubei,China,4512
,Hunan,China,4
,Inner Mongolia,China,1
,Jiangsu,China,0
,Jiangxi,China,1
,Jilin,China,3
,Liaoning,China,2
,Macau,China,0
,Ningxia,China,0
,Qinghai,China,0
,Shaanxi,China,3
,Shandong,China,7
,Shanghai,China,7
,Shanxi,China,0
,Sichuan,China,3
,Tianjin,China,3
,Tibet,China,0
,Unknown,China,0
,Xinjiang,China,3
,Yunnan,China,2
,Zhejiang,China,1
