Admin2,Province/State,Country/Region,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021,04-02-2021,04-03-2021
,Amazonas,Colombia,73,73,74,74,76,76,78,79,79,79,79,79,85,85,85,85,85,86,87,89,89,89,90,90,90,90,90,90,90,97,99,99,101,102,102,102,103,103,103,101,101,101,101,101,101,101,101,101,101,101,102,102,102,102,102,102,104,104,104,104,104,104,104,104,105,105,105,106,107,107,107,107,107,107,107,107,107,107,107,107,107,108,109,109,111,111,110,110,110,111,111,111,111,111,111,113,115,115,115,115,115,115,115,115,115,116,116,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,118,120,120,120,120,120,120,120,120,120,120,121,121,122,122,122,122,122,122,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,124,124,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,125,125,125,126,127,127,127,127,127,128,128,128,128,129,129,130,131,132,132,132,133,133,133,133,134,135,135,137,137,138,141,142,142,142,143,143,144,144,144,144,146,147,149,149,151,152,154,156,158,159,164,165,168,174,176,177,177,178,178,179,182,184,184,189,193,194,197,198,200,200,200,201,201,201,207,207,208,210,210,211,211,212,213,213,217,218,219,219,219,220,221
,Antioquia,Colombia,10,10,10,10,10,10,10,11,11,13,13,13,14,16,16,18,18,19,22,24,27,27,27,28,30,35,42,46,52,58,62,66,72,77,90,98,109,124,133,166,182,193,203,222,239,275,301,321,321,363,394,429,478,521,537,593,625,655,712,736,788,834,878,903,937,989,1023,1066,1121,1161,1201,1226,1270,1293,1334,1334,1417,1465,1493,1533,1571,1603,1628,1652,1694,1746,1784,1809,1809,1831,1889,1889,1936,1980,2011,2034,2053,2072,2089,2102,2126,2145,2145,2187,2203,2222,2222,2266,2285,2296,2314,2337,2358,2389,2399,2440,2464,2486,2505,2524,2549,2568,2568,2592,2634,2634,2701,2727,2755,2772,2772,2819,2837,2853,2878,2911,2940,2963,2997,3013,3048,3086,3108,3108,3149,3221,3253,3272,3298,3322,3360,3394,3428,3458,3484,3510,3540,3567,3567,3600,3644,3644,3696,3731,3757,3785,3811,3840,3868,3894,3924,3946,3986,4013,4038,4065,4086,4107,4130,4154,4169,4184,4208,4237,4254,4269,4289,4318,4331,4348,4368,4394,4394,4456,4483,4503,4524,4552,4575,4602,4630,4662,4683,4698,4721,4728,4786,4817,4848,4864,4871,4929,4965,5004,5031,5070,5112,5146,5180,5214,5252,5282,5336,5393,5441,5467,5506,5538,5582,5622,5662,5703,5703,5786,5828,5857,5890,5932,5969,6001,6031,6063,6083,6103,6134,6150,6165,6191,6212,6236,6260,6274,6293,6304,6324,6338,6358,6358,6394,6409,6437,6451,6478,6495,6511,6526,6539,6558,6572,6587,6599,6599,6625,6639,6649,6659,6668,6674,6679,6692,6706,6724,6733,6743,6743,6775,6786,6807,6828,6843,6865,6893,6912,6936,6952,6983,7016,7038,7098,7128
,Arauca,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,4,5,5,6,7,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,13,13,14,14,14,14,17,17,17,18,18,19,19,19,21,21,22,24,26,26,26,28,28,28,30,32,32,34,35,36,36,39,40,41,42,44,47,47,50,52,53,55,56,56,57,59,59,62,64,64,67,67,67,68,68,71,75,76,79,80,83,84,88,88,90,90,90,90,94,94,97,97,98,98,99,99,100,103,103,104,106,106,106,107,108,108,110,111,113,113,114,115,116,116,116,117,117,117,117,117,117,117,117,118,118,120,121,122,122,123,124,125,125,126,127,127,127,127,129,129,129,129,129,130,130,130,131,131,131,132,134,134,134,134,134,134,135,135,136,137,137,137,139,143,143,143,144,145,147,147,147,147,148,149,149,150,150,152,152,153,154,155,155,156,157,157,157,157,158,159,160,160,161,162,162,162,163,163,164,164,166,166,166,167,167,167,167,168,169,169,169,170,170,170,170,170,170,171,172,172,172,172,172,172,172,172,172,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173
,Atlantico,Colombia,246,246,277,302,330,356,377,434,434,467,500,543,590,675,714,760,760,798,888,962,1117,1117,1162,1207,1277,1361,1409,1488,1540,1598,1670,1719,1776,1837,1884,1958,1995,2039,2082,2107,2136,2176,2208,2241,2265,2295,2332,2360,2360,2413,2436,2475,2500,2526,2545,2565,2586,2598,2620,2635,2649,2669,2680,2699,2715,2726,2734,2750,2756,2765,2774,2783,2798,2806,2814,2814,2832,2841,2851,2852,2863,2876,2884,2892,2900,2907,2917,2927,2927,2930,2946,2946,2954,2962,2968,2970,2974,2976,2985,2993,2999,3002,3002,3016,3021,3030,3030,3037,3042,3053,3057,3062,3066,3066,3072,3071,3074,3076,3077,3079,3079,3080,3080,3080,3083,3083,3089,3093,3094,3097,3097,3100,3102,3104,3110,3113,3113,3114,3114,3115,3117,3121,3123,3123,3125,3131,3135,3136,3137,3140,3140,3142,3142,3146,3149,3151,3151,3154,3154,3155,3161,3161,3166,3169,3169,3174,3177,3182,3188,3190,3194,3195,3198,3199,3203,3206,3208,3212,3214,3217,3221,3227,3231,3238,3243,3249,3257,3262,3271,3277,3281,3290,3290,3305,3312,3320,3331,3341,3353,3364,3375,3385,3395,3399,3410,3410,3433,3443,3452,3462,3462,3481,3489,3504,3518,3534,3550,3566,3575,3587,3605,3615,3628,3640,3653,3665,3678,3695,3713,3726,3744,3765,3765,3783,3794,3801,3814,3828,3838,3853,3859,3866,3872,3879,3890,3906,3912,3919,3925,3929,3935,3944,3955,3964,3969,3974,3980,3980,3994,4001,4010,4013,4018,4020,4025,4030,4032,4037,4042,4047,4055,4055,4065,4069,4071,4075,4082,4085,4096,4104,4117,4125,4139,4162,4163,4194,4208,4225,4246,4266,4291,4315,4354,4388,4422,4460,4494,4523,4576,4623
,Bolivar,Colombia,188,188,194,204,204,210,211,224,224,227,236,243,253,269,276,278,278,287,306,319,352,352,365,375,388,407,415,424,429,434,440,450,454,456,465,474,481,484,488,495,499,502,506,509,516,520,528,533,533,551,555,571,588,590,595,596,603,605,607,612,616,619,623,630,630,635,637,642,644,644,644,648,651,656,657,657,679,682,685,688,692,695,699,701,702,711,716,721,721,723,726,726,728,731,735,735,738,742,748,750,750,752,752,754,754,758,758,761,763,764,765,766,766,770,777,776,780,783,786,787,789,793,793,795,801,801,804,805,808,811,811,816,817,819,820,821,823,829,830,830,833,836,839,839,841,846,846,850,851,854,854,856,859,863,864,864,868,870,870,873,875,875,879,882,884,884,886,886,889,893,899,900,903,903,909,911,914,919,921,927,933,937,942,946,951,956,959,970,976,981,983,988,991,999,1004,1005,1009,1013,1020,1025,1030,1035,1048,1058,1067,1077,1092,1107,1115,1128,1128,1132,1135,1142,1153,1159,1162,1169,1174,1177,1185,1189,1189,1192,1193,1202,1207,1218,1221,1227,1236,1241,1241,1249,1254,1262,1267,1272,1275,1282,1288,1294,1296,1302,1306,1308,1311,1315,1319,1321,1325,1327,1329,1331,1331,1335,1339,1339,1342,1345,1346,1346,1346,1346,1349,1354,1354,1356,1359,1359,1362,1362,1366,1366,1367,1370,1370,1370,1373,1373,1374,1377,1378,1378,1378,1386,1388,1391,1391,1392,1392,1392,1394,1400,1403,1406,1409,1409,1412,1413
,Boyaca,Colombia,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,19,19,19,21,21,21,17,20,20,21,22,22,23,24,25,25,26,26,27,27,28,29,30,32,31,30,33,33,34,37,39,41,43,46,50,52,54,54,55,56,56,58,58,60,61,62,64,63,63,71,73,78,79,81,84,84,87,89,89,92,98,98,100,102,107,108,110,111,113,113,117,123,123,123,129,131,133,137,144,147,147,150,154,157,160,164,169,173,176,176,177,191,191,201,203,209,210,210,221,227,232,238,241,247,251,258,268,273,279,285,285,290,300,305,310,316,321,325,337,344,351,356,364,367,368,368,375,385,393,396,400,406,411,418,419,423,426,430,441,448,456,463,472,478,482,487,492,497,505,511,515,517,520,523,526,532,535,536,547,549,551,553,558,560,563,570,573,577,585,592,597,602,609,614,620,630,638,642,647,651,660,670,678,684,696,699,703,707,715,723,734,745,753,767,786,797,803,808,816,816,848,854,863,872,882,894,905,915,923,933,943,954,964,976,985,990,999,1008,1013,1022,1024,1034,1040,1046,1049,1058,1063,1068,1071,1073,1075,1080,1080,1085,1091,1092,1095,1101,1101,1106,1108,1109,1114,1115,1116,1122,1123,1125,1127,1129,1130,1134,1135,1136,1137,1142,1143,1146,1147,1150,1152,1153,1154,1154,1155,1156,1161
,Caldas,Colombia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,9,9,9,9,10,10,11,12,13,14,15,15,16,17,17,17,18,20,22,22,23,24,24,24,27,28,28,30,30,38,40,41,41,41,43,50,54,56,59,61,61,61,70,74,74,76,79,79,83,84,86,86,88,91,97,97,106,107,107,107,114,116,120,123,125,126,129,131,133,135,141,142,143,146,151,151,157,164,164,168,170,177,181,181,194,201,209,215,220,223,227,232,238,246,253,260,260,263,278,287,295,296,307,315,323,331,332,342,350,352,357,357,365,378,384,390,397,404,410,419,433,441,446,457,460,464,468,475,477,484,491,494,499,505,509,516,518,519,524,530,535,539,541,544,550,561,565,573,579,585,590,596,606,614,619,624,625,629,635,640,644,650,652,659,663,673,682,691,699,704,712,716,724,731,738,748,758,761,768,775,786,797,807,817,825,825,837,847,852,859,861,873,878,883,888,895,905,912,922,926,929,935,937,940,943,950,951,953,956,959,959,964,966,967,968,971,971,973,973,973,976,978,981,982,982,983,986,987,987,989,990,990,991,991,992,996,1000,1001,1004,1005,1007,1008,1010,1010,1012,1013,1014,1015,1014,1015,1019,1021,1022
,Capital District,Colombia,335,335,344,358,362,382,388,416,416,439,448,463,475,510,518,540,540,558,575,602,665,665,691,713,735,774,806,842,871,907,931,984,1026,1076,1138,1201,1248,1299,1376,1402,1486,1555,1627,1713,1794,1905,2000,2115,2115,2307,2392,2517,2658,2748,2828,2910,3052,3169,3261,3375,3481,3578,3668,3778,3883,3998,4096,4172,4269,4358,4424,4494,4587,4647,4754,4754,4951,5008,5084,5160,5230,5276,5310,5375,5437,5548,5593,5652,5652,5712,5825,5825,5865,5990,6033,6086,6132,6178,6229,6266,6303,6335,6335,6408,6448,6481,6481,6568,6611,6650,6683,6714,6727,6772,6783,6825,6855,6874,6898,6917,6942,6982,6982,7015,7072,7072,7129,7155,7186,7212,7212,7277,7302,7322,7345,7368,7404,7432,7457,7490,7514,7540,7567,7567,7589,7650,7670,7688,7715,7748,7787,7820,7854,7893,7917,7956,7987,8015,8015,8047,8113,8113,8155,8175,8206,8228,8262,8285,8327,8361,8392,8421,8449,8477,8505,8536,8570,8600,8634,8656,8681,8721,8744,8770,8792,8814,8843,8880,8919,8944,8973,9009,9009,9103,9137,9185,9224,9280,9323,9381,9437,9479,9529,9579,9631,9631,9788,9868,9934,9981,9981,10131,10203,10286,10387,10472,10564,10650,10743,10829,10922,11048,11162,11243,11347,11462,11580,11697,11787,11930,12003,12095,12095,12287,12380,12476,12559,12636,12710,12772,12841,12896,12972,13031,13078,13125,13184,13229,13277,13316,13349,13382,13412,13448,13489,13540,13582,13582,13643,13671,13703,13734,13758,13792,13828,13850,13869,13885,13899,13916,13936,13936,13980,13987,14002,14018,14028,14050,14066,14083,14102,14122,14134,14154,14154,14200,14224,14239,14251,14267,14287,14312,14325,14343,14357,14383,14409,14409,14445,14464
,Caqueta,Colombia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,7,7,7,8,8,8,8,12,15,16,18,21,23,29,33,41,43,47,50,54,59,68,74,82,84,91,100,103,113,120,131,135,141,141,160,166,173,177,180,189,195,196,197,204,207,211,211,215,223,223,228,240,245,249,256,258,262,265,268,269,269,274,274,277,277,282,282,284,289,296,297,297,304,304,305,308,311,314,317,321,321,328,335,335,340,345,346,348,348,351,361,365,367,373,374,376,380,382,383,387,389,389,392,396,398,398,404,405,406,406,410,414,419,422,424,426,426,428,431,431,438,440,445,446,450,451,453,458,459,463,466,472,474,476,480,480,480,480,482,485,487,488,489,491,492,494,496,497,498,502,502,504,506,509,510,512,517,519,522,523,524,526,529,529,530,533,533,534,534,536,536,538,543,546,550,552,555,558,559,563,565,570,571,572,572,574,577,578,578,579,579,582,583,588,589,594,595,597,597,598,599,602,603,605,609,610,610,612,614,615,615,620,621,623,623,623,626,626,628,628,628,631,632,632,632,633,634,634,636,636,636,636,636,636,637,638,638,638,639,640,640,640,640,643,643,646,646,646,646,647,647,648,649,649,649,649,650,650
,Casanare,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,7,8,9,9,11,12,13,13,14,16,17,17,17,18,18,20,21,21,23,24,24,24,24,24,26,26,26,28,28,30,30,31,31,32,33,33,36,37,39,39,41,41,42,42,41,41,43,44,46,46,48,48,48,51,51,56,56,56,57,57,57,59,59,60,62,63,63,63,67,67,71,71,72,72,73,79,81,83,83,86,86,88,94,95,99,101,101,103,106,107,111,114,114,117,121,121,121,131,133,133,134,138,139,143,144,146,146,146,146,146,147,149,149,150,151,151,152,152,152,153,153,153,155,156,158,158,158,160,160,162,162,163,164,166,166,172,175,176,177,177,179,180,182,182,182,182,184,185,187,186,190,190,191,191,191,193,194,197,198,200,200,203,203,205,205,208,209,212,219,219,224,225,226,226,228,229,232,233,236,238,239,239,241,242,243,245,248,250,252,255,255,256,258,259,263,263,263,264,265,265,268,269,269,269,270,273,273,273,273,273,275,281,281,282,282,283,283,283,285,290,291,292,294,297,298,298,298,299,299,299,299,300,303,305,305,305,305
